##NAMES=Diamond
##RRUFFID=R050205
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050205
535.5350, 10.11694
536.8600, 63.61487
538.1850, 12.17834
539.5090, 32.70398
540.8340, 51.25781
542.1580, 31.85925
543.4820, 33.38062
544.8050, 43.90027
546.1290, 14.46484
547.4520, 10.01123
548.7750, 18.48608
550.0980, 48.04395
551.4200, 36.56079
552.7420, 12.08276
554.0650, 17.59619
555.3860, 58.10791
556.7080, 4.381836
558.0300, 18.14453
559.3510, 60.64819
560.6720, 8.838623
561.9930, 33.65747
563.3130, 47.15186
564.6340, 3.349365
565.9540, 8.146240
567.2740, 0.2695310
568.5940, 43.22168
569.9130, 22.71338
571.2330, 25.20386
572.5520, 58.69385
573.8710, 11.17822
575.1890, 15.58374
576.5080, 13.10132
577.8260, 17.69043
579.1440, 33.17090
580.4620, 20.64795
581.7800, 45.12573
583.0970, 1.486816
584.4140, 10.97607
585.7310, 24.49414
587.0480, 0.9169920
588.3650, 13.54932
589.6810, 12.01392
590.9970, 15.58276
592.3130, 42.98022
593.6290, 8.420166
594.9440, 24.87646
596.2600, 4.732666
597.5750, 40.77612
598.8900, 37.18799
600.2040, 16.80664
601.5190, 13.39209
602.8330, 20.16406
604.1470, 8.389404
605.4610, 11.83545
606.7740, 54.24634
608.0880, 70.78857
609.4010, 32.21851
610.7140, 48.76147
612.0260, 46.99609
613.3390, 19.42041
614.6510, 40.84766
615.9630, 27.26318
617.2750, 50.77393
618.5870, 51.19043
619.8980, 53.63818
621.2100, 20.38843
622.5210, 30.86157
623.8320, 69.39502
625.1420, 36.93848
626.4530, 65.54956
627.7630, 85.06348
629.0730, 84.43042
630.3830, 70.94067
631.6920, 117.8745
633.0010, 154.2542
634.3110, 172.8621
635.6190, 94.22583
636.9280, 118.5952
638.2370, 110.9175
639.5450, 76.29443
640.8530, 148.7778
642.1610, 119.1545
643.4690, 135.5608
644.7760, 95.06982
646.0830, 107.5220
647.3900, 102.0225
648.6970, 79.37158
650.0040, 100.8274
651.3100, 65.33618
652.6160, 30.70923
653.9220, 58.15137
655.2280, 89.51050
656.5340, 64.85767
657.8390, 60.36841
659.1440, 24.79980
660.4490, 52.15186
661.7540, 23.58936
663.0580, 50.93359
664.3620, 39.13135
665.6660, 45.47046
666.9700, 16.92529
668.2740, 32.00537
669.5770, 86.34277
670.8810, 37.69287
672.1840, 52.02466
673.4870, 47.37915
674.7890, 28.78662
676.0920, 56.20435
677.3940, 33.64551
678.6960, 68.00928
679.9970, 70.08691
681.2990, 51.68213
682.6000, 77.05273
683.9010, 64.36255
685.2020, 39.66943
686.5030, 12.14233
687.8040, 24.44360
689.1040, 71.84204
690.4040, 0.3601070
691.7040, 36.65161
693.0040, 40.88208
694.3030, 22.32666
695.6020, 61.55981
696.9010, 23.93384
698.2000, 12.27661
699.4990, 49.58789
700.7970, 45.85938
702.0950, 20.12817
703.3930, 24.77515
704.6910, 41.04541
705.9890, 73.42432
707.2860, 41.82471
708.5830, 30.07886
709.8800, 90.32642
711.1770, 45.63623
712.4730, 92.89185
713.7700, 26.88647
715.0660, 81.10083
716.3620, 29.43481
717.6580, 47.11743
718.9530, 79.34766
720.2480, 48.09448
721.5430, 97.08228
722.8380, 11.23682
724.1330, 44.37646
725.4270, 64.59106
726.7220, 46.79688
728.0160, 52.35986
729.3100, 54.56543
730.6030, 56.86475
731.8970, 22.02905
733.1900, 8.216309
734.4830, 55.38208
735.7760, 36.70361
737.0680, 73.87915
738.3610, 40.11401
739.6530, 26.13989
740.9450, 62.69897
742.2360, 4.873291
743.5280, 37.08496
744.8190, 78.26733
746.1100, 8.380615
747.4010, 25.50439
748.6920, 30.66187
749.9830, 34.89209
751.2730, 33.04321
752.5630, 19.88696
753.8530, 61.20020
755.1430, 0.3420410
756.4320, 4.586182
757.7210, 43.67261
759.0100, 7.550537
760.2990, 18.65381
761.5880, 62.72241
762.8760, 8.841309
764.1650, 66.95605
765.4530, 8.067383
766.7400, 10.71484
768.0280, 72.38281
769.3150, 34.45264
770.6030, 99.54736
771.8900, 13.63525
773.1760, 64.76465
774.4630, 25.84546
775.7490, 35.07739
777.0360, 20.94727
778.3220, 5.997314
779.6070, 3.155762
780.8930, 1.802002
782.1780, 9.272705
783.4630, 24.39990
784.7480, 9.428955
786.0330, 10.45361
787.3180, 48.47632
788.6020, 29.49609
789.8860, 56.55176
791.1700, 26.57251
792.4540, 54.58960
793.7370, 53.60352
795.0200, 10.61426
796.3030, 77.62061
797.5860, 29.62354
798.8690, 16.37695
800.1510, 17.64062
801.4340, 5.622559
802.7160, 64.60059
803.9980, 15.82446
805.2790, 2.795654
806.5610, 34.76245
807.8420, 17.72729
809.1230, 60.68823
810.4040, 32.77539
811.6850, 0.7297360
812.9650, 18.67920
814.2450, 37.64648
815.5250, 16.58984
816.8050, 70.51221
818.0850, 11.55200
819.3640, 56.37354
820.6430, 10.41235
821.9220, 9.718018
823.2010, 50.18945
824.4800, 35.10327
825.7580, 61.01416
827.0360, 33.09668
828.3140, 20.00586
829.5920, 17.06250
830.8690, 10.96387
832.1470, 28.86548
833.4240, 4.192627
834.7010, 8.301270
835.9780, 25.58105
837.2540, 50.46021
838.5310, 42.33594
839.8070, 0.3669430
841.0830, 72.15869
842.3580, 15.99976
843.6340, 1.137695
844.9090, 89.57544
846.1840, 67.43286
847.4590, 2.373779
848.7340, 53.18848
850.0080, 18.22363
851.2830, 25.03711
852.5570, 31.80420
853.8310, 47.64624
855.1040, 65.48486
856.3780, 4.725342
