##NAMES=Enargite
##RRUFFID=R070176
##IDEAL CHEMISTRY=Cu_3_AsS_4_
##LOCALITY=Zuni Mine (Zuñi Mine), Anvil Mountain, Silverton, Silverton District, San Juan County, Colorado, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Massive fine grained dark gray metallic, associated with zunyite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070176
250.9988, 500.3350
251.4809, 504.2471
251.9630, 516.9678
252.4452, 541.3027
252.9273, 568.8203
253.4094, 597.0439
253.8915, 627.8325
254.3736, 663.4263
254.8557, 704.3335
255.3379, 747.7354
255.8200, 790.6343
256.3021, 833.1025
256.7842, 874.1782
257.2663, 914.2280
257.7484, 952.3159
258.2306, 986.9858
258.7127, 1018.625
259.1948, 1050.715
259.6769, 1089.421
260.1590, 1135.240
260.6411, 1171.155
261.1233, 1185.834
261.6054, 1201.385
262.0875, 1230.245
262.5696, 1270.220
263.0517, 1312.557
263.5338, 1358.114
264.0160, 1403.125
264.4981, 1426.923
264.9802, 1423.298
265.4623, 1407.751
265.9444, 1382.417
266.4265, 1352.769
266.9087, 1329.932
267.3908, 1326.421
267.8729, 1326.841
268.3550, 1299.466
268.8371, 1238.110
269.3192, 1172.180
269.8014, 1105.938
270.2835, 1046.756
270.7656, 1006.048
271.2477, 991.6870
271.7298, 985.6079
272.2119, 970.1758
272.6941, 945.3008
273.1762, 915.8516
273.6583, 879.5459
274.1404, 842.4600
274.6225, 812.7202
275.1046, 791.9692
275.5868, 771.6802
276.0689, 746.6738
276.5510, 717.6860
277.0331, 685.7876
277.5152, 647.7788
277.9973, 612.9209
278.4795, 596.1948
278.9616, 596.6655
279.4437, 590.2271
279.9258, 564.6694
280.4079, 527.9009
280.8900, 490.7129
281.3722, 453.7300
281.8543, 420.8950
282.3364, 396.6753
282.8185, 380.5884
283.3006, 366.3340
283.7827, 357.9082
284.2649, 347.2432
284.7470, 322.9644
285.2291, 286.8311
285.7112, 257.1597
286.1933, 246.9570
286.6754, 252.9639
287.1576, 255.5098
287.6397, 252.9805
288.1218, 249.1357
288.6039, 245.6147
289.0860, 241.8477
289.5681, 237.2139
290.0503, 231.8462
290.5324, 224.2900
291.0145, 210.9277
291.4966, 187.9600
291.9787, 165.9238
292.4608, 143.6821
292.9430, 124.3701
293.4251, 114.1357
293.9072, 114.0195
294.3893, 115.1865
294.8714, 104.9302
295.3535, 76.35840
295.8357, 57.30811
296.3178, 59.19385
296.7999, 60.71973
297.2820, 44.96094
297.7641, 14.43018
298.2462, 14.24463
298.7284, 26.07129
299.2105, 20.39502
299.6926, 23.24854
300.1747, 52.71680
300.6568, 71.01025
301.1389, 59.80127
301.6211, 31.66602
302.1032, 10.12695
302.5853, 9.094727
303.0674, 18.61670
303.5495, 2.752930
304.0316, 73.42383
304.5138, 119.8643
304.9959, 103.0903
305.4780, 68.23877
305.9601, 54.72705
306.4422, 73.49561
306.9243, 109.0918
307.4065, 141.3506
307.8886, 169.3467
308.3707, 196.3647
308.8528, 221.7969
309.3349, 246.6045
309.8170, 270.4229
310.2992, 294.0757
310.7813, 319.0312
311.2634, 345.1553
311.7455, 372.8047
312.2276, 406.1240
312.7097, 444.2627
313.1919, 490.2954
313.6740, 553.5195
314.1561, 624.0078
314.6382, 682.2715
315.1203, 713.8955
315.6024, 736.1089
316.0846, 775.1924
316.5667, 831.7095
317.0488, 900.8257
317.5309, 980.6650
318.0130, 1072.559
318.4951, 1177.674
318.9773, 1295.872
319.4594, 1426.174
319.9415, 1568.003
320.4236, 1720.616
320.9057, 1882.919
321.3878, 2052.311
321.8700, 2233.971
322.3521, 2435.074
322.8342, 2652.673
323.3163, 2894.642
323.7984, 3181.476
324.2805, 3486.127
324.7627, 3773.157
325.2448, 4040.023
325.7269, 4308.441
326.2090, 4596.317
326.6911, 4903.569
327.1732, 5211.099
327.6554, 5524.812
328.1375, 5834.575
328.6196, 6124.623
329.1017, 6406.774
329.5838, 6707.185
330.0659, 7038.859
330.5481, 7399.964
331.0302, 7777.959
331.5123, 8165.907
331.9944, 8583.298
332.4765, 9016.647
332.9586, 9489.020
