##NAMES=Artroeite
##RRUFFID=R100034
##IDEAL CHEMISTRY=PbAlF_3_(OH)_2_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Natural History Museum of Los Angeles County
##DESCRIPTION=Colorless fragments from the type specimen, associated with calcioaravaipaite R100033.  Photos of type specimen are courtesy of LACMNH.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100034
370.1198, 63.58133
370.6020, 59.49500
371.0841, 55.75092
371.5662, 52.00839
372.0483, 48.02533
372.5304, 43.45084
373.0125, 39.15314
373.4947, 35.01334
373.9768, 31.20166
374.4589, 28.34531
374.9410, 27.02350
375.4231, 25.57272
375.9052, 23.26279
376.3874, 19.93829
376.8695, 16.79266
377.3516, 13.63458
377.8337, 10.92160
378.3158, 9.281158
378.7979, 8.831268
379.2801, 8.585144
379.7622, 8.407104
380.2443, 8.206268
380.7264, 7.500702
381.2085, 6.243256
381.6906, 4.816132
382.1728, 3.448975
382.6549, 2.150574
383.1370, 1.017639
383.6191, 2.4048001E-02
384.1012, -0.1546611
384.5833, 0.6461790
385.0655, 0.2123410
385.5476, 1.112030
386.0297, 1.944275
386.5118, 2.482452
386.9939, 2.069275
387.4760, 0.5019840
387.9582, 0.9527590
388.4403, 0.7514340
388.9224, 0.4322200
389.4045, 1.193268
389.8866, 0.3705140
390.3687, 0.7140500
390.8509, 0.6626280
391.3330, 0.4003300
391.8151, 1.032684
392.2972, 0.3796390
392.7793, 2.295013
393.2614, 3.184448
393.7436, 1.970093
394.2257, 0.6385500
394.7078, 0.2957150
395.1899, 0.5006410
395.6720, 9.6588001E-02
396.1541, 2.422913
396.6363, 4.733002
397.1184, 5.477356
397.6005, 3.763519
398.0826, 2.878601
398.5647, 3.973999
399.0468, 5.936859
399.5290, 7.418274
400.0111, 7.493103
400.4932, 7.991058
400.9753, 9.478973
401.4574, 11.95724
401.9395, 13.76334
402.4217, 14.47138
402.9038, 14.96909
403.3859, 15.80139
403.8680, 16.92850
404.3501, 18.55673
404.8322, 20.99753
405.3144, 23.79639
405.7965, 25.56128
406.2786, 26.00696
406.7607, 26.40427
407.2428, 27.40463
407.7249, 29.04077
408.2071, 30.26566
408.6892, 30.99615
409.1713, 31.58005
409.6534, 32.57343
410.1355, 33.93610
410.6176, 34.98010
411.0998, 35.58823
411.5819, 35.70752
412.0640, 34.92087
412.5461, 33.27231
413.0282, 31.75580
413.5103, 31.54053
413.9925, 31.96957
414.4746, 31.66287
414.9567, 30.31866
415.4388, 28.41574
415.9209, 25.98730
416.4030, 23.34982
416.8852, 21.22821
417.3673, 20.28909
417.8494, 19.84842
418.3315, 19.37811
418.8136, 18.84930
419.2957, 18.35123
419.7779, 18.11304
420.2600, 17.85672
420.7421, 17.30505
421.2242, 15.56955
421.7063, 14.37363
422.1884, 14.87399
422.6706, 16.51144
423.1527, 17.19189
423.6348, 15.24481
424.1169, 13.18921
424.5990, 12.15802
425.0811, 12.55170
425.5633, 13.28873
426.0454, 14.34061
426.5275, 15.73001
427.0096, 17.45758
427.4917, 20.01035
427.9738, 22.22385
428.4560, 23.73749
428.9381, 24.60324
429.4202, 25.76584
429.9023, 27.32178
430.3844, 29.01135
430.8665, 30.77475
431.3487, 32.71332
431.8308, 33.86053
432.3129, 34.07938
432.7950, 33.49951
433.2771, 32.03027
433.7592, 29.65125
434.2414, 27.71249
434.7235, 27.19376
435.2056, 27.66486
435.6877, 27.44476
436.1698, 26.46561
436.6519, 25.19977
437.1341, 24.34723
437.6162, 23.66458
438.0983, 22.32642
438.5804, 19.57291
439.0625, 16.75851
439.5446, 15.49741
440.0268, 15.53351
440.5089, 15.97586
440.9910, 16.65060
441.4731, 17.28564
441.9552, 17.45483
442.4373, 17.00235
442.9195, 17.13074
443.4016, 19.09662
443.8837, 21.74939
444.3658, 23.69220
444.8479, 22.85504
445.3300, 22.90735
445.8122, 25.71033
446.2943, 30.89166
446.7764, 34.93802
447.2585, 35.68384
447.7406, 36.35376
448.2227, 38.63733
448.7049, 43.81635
449.1870, 48.26822
449.6691, 51.21240
450.1512, 53.69650
450.6333, 57.42572
451.1154, 63.29657
451.5976, 68.86902
452.0797, 73.27158
452.5618, 76.57071
453.0439, 80.34705
453.5260, 84.57916
454.0081, 89.25732
454.4903, 94.45282
454.9724, 100.1125
455.4545, 105.6866
455.9366, 110.9605
456.4187, 116.3217
456.9008, 122.3510
457.3830, 129.0710
457.8651, 135.9289
458.3472, 142.7648
458.8293, 149.6384
459.3114, 157.2411
459.7935, 165.4910
460.2757, 172.9193
460.7578, 177.9240
461.2399, 181.4103
461.7220, 184.7527
462.2041, 189.0525
462.6862, 192.0789
463.1684, 192.1741
463.6505, 189.9002
464.1326, 186.5437
464.6147, 183.3229
465.0968, 178.5455
465.5789, 171.0168
466.0611, 160.3450
466.5432, 149.4579
467.0253, 139.1321
467.5074, 128.7921
467.9895, 117.9921
468.4716, 104.9052
468.9538, 93.46652
469.4359, 84.48544
469.9180, 77.38739
470.4001, 70.32581
470.8822, 63.22937
471.3643, 56.38571
471.8465, 49.77112
472.3286, 43.30621
472.8107, 37.99045
473.2928, 33.99673
473.7749, 30.87973
474.2570, 28.45090
474.7392, 26.70682
475.2213, 24.86133
475.7034, 22.74350
476.1855, 20.42850
476.6676, 18.00467
477.1497, 15.47672
477.6319, 13.01138
478.1140, 10.17059
478.5961, 7.592957
479.0782, 6.656616
479.5603, 7.550323
480.0424, 8.618835
480.5246, 8.685547
481.0067, 8.032715
481.4888, 7.055817
481.9709, 5.664276
482.4530, 4.224396
482.9352, 2.542511
483.4173, 0.8935550
483.8994, 0.1486510
484.3815, 1.803741
484.8636, 3.446442
485.3457, 3.828369
485.8279, 2.514984
486.3100, 1.269257
486.7921, 0.1289060
487.2742, 0.8171390
487.7563, 1.505951
488.2384, 2.019073
488.7206, 2.098236
489.2027, 1.521851
489.6848, 0.5198970
490.1669, 0.1404420
490.6490, 0.5092470
491.1311, 0.3702390
491.6133, 0.6264650
492.0954, 2.459930
492.5775, 3.701019
493.0596, 4.318146
493.5417, 4.435638
494.0238, 3.735016
494.5060, 2.504150
494.9881, 2.264679
495.4702, 3.870789
495.9523, 5.891846
496.4344, 6.188019
496.9165, 5.088043
497.3987, 3.829681
497.8808, 3.020142
498.3629, 2.419220
498.8450, 1.791290
499.3271, 1.108704
499.8092, 0.5154720
500.2914, 1.0040000E-02
500.7735, -8.8422291E-02
501.2556, 0.4524230
501.7377, 8.7402001E-02
502.2198, 0.4837950
502.7019, 0.8662110
503.1841, 1.004578
503.6662, 0.2676390
504.1483, 3.100037
504.6304, 5.528046
505.1125, 5.444305
505.5946, 2.494751
506.0768, 1.873993
506.5589, 4.900330
507.0410, 8.315552
507.5231, 9.160309
508.0052, 6.914124
508.4873, 5.595947
508.9695, 5.783752
509.4516, 6.897186
509.9337, 7.909607
510.4158, 8.836121
510.8979, 9.970367
511.3800, 11.67200
