##NAMES=Tellurite
##RRUFFID=R070606
##IDEAL CHEMISTRY=TeO_2_
##LOCALITY=Moctezuma mine, Moctezuma, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless massive crystalline, associated with quartz and tellurium
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070606
515.0679, 2.927124
515.5500, 6.013245
516.0321, 22.06720
516.5142, 31.47510
516.9963, 23.61975
517.4785, 12.17841
517.9606, 8.955261
518.4427, 13.27502
518.9248, 18.95178
519.4069, 22.75708
519.8890, 24.55389
520.3712, 23.80750
520.8533, 15.91022
521.3354, 11.60309
521.8175, 13.76385
522.2996, 17.78967
522.7817, 19.99841
523.2639, 20.05566
523.7460, 19.91656
524.2281, 21.66437
524.7102, 24.97394
525.1923, 26.75928
525.6744, 27.67047
526.1566, 25.73181
526.6387, 16.47144
527.1208, 5.644165
527.6029, 0.5760500
528.0850, 3.727295
528.5671, 8.952087
529.0493, 12.70563
529.5314, 14.64679
530.0135, 12.54181
530.4956, 4.960388
530.9777, 2.044861
531.4598, 2.212280
531.9420, 4.605896
532.4241, 9.323242
532.9062, 12.14600
533.3883, 12.51178
533.8704, 8.951172
534.3525, 2.938049
534.8347, 3.425537
535.3168, 9.261536
535.7989, 13.79871
536.2810, 15.17780
536.7631, 11.14954
537.2452, 10.13007
537.7274, 14.82727
538.2095, 19.81165
538.6916, 21.69818
539.1737, 21.93616
539.6558, 24.32257
540.1379, 31.41772
540.6201, 40.99524
541.1022, 49.75055
541.5843, 57.93500
542.0664, 62.15393
542.5485, 58.20355
543.0306, 52.90955
543.5128, 54.75397
543.9949, 63.86499
544.4770, 72.42554
544.9591, 74.17889
545.4412, 76.39624
545.9233, 89.80237
546.4055, 112.8269
546.8876, 131.8715
547.3697, 138.1727
547.8518, 136.0693
548.3339, 140.5473
548.8160, 159.7615
549.2982, 175.2706
549.7803, 184.3461
550.2624, 191.3746
550.7445, 199.3896
551.2266, 208.8907
551.7087, 218.8644
552.1909, 227.6465
552.6730, 236.2682
553.1551, 251.0345
553.6372, 274.4803
554.1193, 298.7467
554.6014, 319.1946
555.0836, 339.8625
555.5657, 366.6126
556.0478, 401.4547
556.5299, 432.4451
557.0120, 449.1644
557.4941, 457.4105
557.9763, 465.5721
558.4584, 474.4207
558.9405, 492.9352
559.4226, 530.3307
559.9047, 583.3829
560.3868, 628.3551
560.8690, 664.5191
561.3511, 695.4831
561.8332, 713.7173
562.3153, 731.1547
562.7974, 761.4221
