##NAMES=Kunatite
##RRUFFID=R120055
##IDEAL CHEMISTRY=CuFe^3+^_2_(PO_4_)_2_(OH)_2_&#183;4H_2_O
##LOCALITY=Krasno, Horni Slakov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Spherical aggregates of pale green acicular crystals on quartz, associated with triplite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120055
250.3886, 187.5082
250.8707, 184.2633
251.3528, 180.8046
251.8350, 176.0104
252.3171, 169.3901
252.7992, 162.0342
253.2813, 155.0919
253.7634, 149.0135
254.2455, 142.4905
254.7277, 135.1450
255.2098, 126.9238
255.6919, 118.8859
256.1740, 111.1302
256.6561, 103.4261
257.1382, 95.54733
257.6204, 87.00153
258.1025, 79.33429
258.5846, 73.02780
259.0667, 68.00140
259.5488, 63.16922
260.0309, 58.67453
260.5131, 54.30283
260.9952, 49.84103
261.4773, 44.96179
261.9594, 40.85745
262.4415, 37.91544
262.9236, 36.01816
263.4058, 34.01428
263.8879, 31.67007
264.3700, 29.52563
264.8521, 28.07870
265.3342, 27.61572
265.8163, 26.99734
266.2985, 25.90271
266.7806, 24.50690
267.2627, 23.84991
267.7448, 24.13297
268.2269, 24.69067
268.7090, 25.03955
269.1912, 25.11707
269.6733, 25.30560
270.1554, 25.53329
270.6375, 25.88751
271.1196, 26.88272
271.6017, 28.67474
272.0839, 30.77310
272.5660, 32.90454
273.0481, 35.13324
273.5302, 37.04666
274.0123, 38.62421
274.4944, 39.87280
274.9766, 40.57666
275.4587, 40.44882
275.9408, 40.89035
276.4229, 43.14673
276.9050, 47.44751
277.3871, 50.68076
277.8693, 52.32123
278.3514, 53.13782
278.8335, 54.84476
279.3156, 57.56735
279.7977, 60.53537
280.2798, 63.49469
280.7620, 66.42346
281.2441, 68.78455
281.7262, 70.32263
282.2083, 71.68906
282.6904, 74.13919
283.1725, 77.73462
283.6547, 81.51364
284.1368, 85.18134
284.6189, 88.68225
285.1010, 91.62787
285.5831, 93.88791
286.0652, 95.93323
286.5474, 98.43835
287.0295, 101.3963
287.5116, 104.4876
287.9937, 107.8571
288.4758, 111.3648
288.9579, 113.8936
289.4401, 115.3659
289.9222, 116.4289
290.4043, 117.8783
290.8864, 119.6557
291.3685, 121.2870
291.8506, 122.5542
292.3328, 123.5429
292.8149, 124.4771
293.2970, 125.3667
293.7791, 126.1254
294.2612, 126.5232
294.7433, 126.6684
295.2255, 126.9944
295.7076, 127.6788
296.1897, 128.6116
296.6718, 129.6761
297.1539, 130.8620
297.6360, 131.8990
298.1182, 132.3263
298.6003, 132.4109
299.0824, 132.8476
299.5645, 133.9407
300.0466, 135.3482
300.5287, 136.7830
301.0109, 138.1934
301.4930, 139.2364
301.9751, 139.3462
302.4572, 138.9725
302.9393, 138.8602
303.4214, 139.1559
303.9036, 139.7844
304.3857, 140.8272
304.8678, 142.1808
305.3499, 143.4708
305.8320, 144.6276
306.3141, 145.5449
306.7963, 146.0320
307.2784, 145.9875
307.7605, 145.7226
308.2426, 145.3586
308.7247, 144.9630
309.2068, 144.7134
309.6890, 145.1825
310.1711, 145.4958
310.6532, 144.6333
311.1353, 142.3380
311.6174, 140.0898
312.0995, 139.1105
312.5817, 138.7369
313.0638, 137.8565
313.5459, 136.3255
314.0280, 134.0053
314.5101, 130.4451
314.9922, 125.5332
315.4744, 121.1427
315.9565, 119.0497
316.4386, 117.6287
316.9207, 115.0504
317.4028, 109.6292
317.8849, 104.0240
318.3671, 99.46428
318.8492, 95.90070
319.3313, 92.22781
319.8134, 87.79254
320.2955, 83.15433
320.7776, 78.79947
321.2598, 74.95528
321.7419, 71.24603
322.2240, 67.71021
322.7061, 64.31818
323.1882, 60.81676
323.6703, 57.07744
324.1525, 53.14600
324.6346, 49.05737
325.1167, 44.22737
325.5988, 40.20248
326.0809, 37.53174
326.5630, 35.75287
327.0452, 33.70847
327.5273, 30.93198
328.0094, 28.31384
328.4915, 26.19061
328.9736, 24.83081
329.4557, 23.35741
329.9379, 21.68869
330.4200, 19.93103
330.9021, 18.26489
331.3842, 16.48004
331.8663, 15.07991
332.3484, 14.23828
332.8306, 14.02371
333.3127, 13.84219
333.7948, 13.85179
334.2769, 13.78670
334.7590, 13.27765
335.2411, 11.99303
335.7233, 10.99344
336.2054, 10.62378
336.6875, 10.83144
337.1696, 10.69142
337.6517, 10.03209
338.1339, 9.366287
338.6160, 9.194092
339.0981, 9.644409
339.5802, 9.919708
340.0623, 9.853134
340.5444, 9.555450
341.0266, 9.431274
341.5087, 9.495926
341.9908, 9.609085
342.4729, 9.712540
342.9550, 9.804733
343.4371, 9.711121
343.9193, 9.316391
344.4014, 8.922516
344.8835, 9.256638
345.3656, 10.31206
345.8477, 11.18913
346.3298, 11.20644
346.8120, 10.62032
347.2941, 10.76128
347.7762, 11.81676
348.2583, 12.75215
348.7404, 11.80101
349.2225, 9.480804
349.7047, 8.019821
350.1868, 9.115128
350.6689, 11.22330
351.1510, 11.27132
351.6331, 9.298828
352.1152, 7.365021
352.5974, 7.668762
353.0795, 9.163254
353.5616, 9.843124
354.0437, 8.700363
354.5258, 7.116455
355.0079, 6.359848
355.4901, 6.350449
355.9722, 6.694534
356.4543, 8.033356
356.9364, 9.188599
357.4185, 8.622635
357.9006, 5.285156
358.3828, 2.346008
358.8649, 2.464294
359.3470, 4.387405
359.8291, 5.571762
360.3112, 3.954605
360.7933, 1.980957
361.2755, 1.215652
361.7576, 1.981201
362.2397, 2.624619
362.7218, 2.459396
363.2039, 1.859894
363.6860, 1.244568
364.1682, 0.5431670
364.6503, 7.6139998E-03
365.1324, 0.1316680
365.6145, 9.6115001E-02
366.0966, 8.2442999E-02
366.5787, 0.7015530
367.0609, 1.489410
367.5430, 1.790283
368.0251, 0.4785160
368.5072, 3.0609000E-02
368.9893, 1.123856
369.4714, 3.302994
369.9536, 4.339554
370.4357, 3.157089
370.9178, 1.966705
371.3999, 1.669968
371.8820, 2.637665
372.3641, 3.588531
372.8463, 4.774796
