##NAMES=Wiserite
##RRUFFID=R130122
##IDEAL CHEMISTRY=Mn^2+^_14_(B_2_O_5_)_4_(OH)_8_&#183;(Si,Mg)(O,OH)_4_Cl
##LOCALITY=Kombat Mine, Namibia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Light brown prismatic to needles, associated with black hausmannite and white barite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130122
225.2279, 1.288055
225.7100, 1.217285
226.1922, 1.431183
226.6743, 1.550888
227.1564, 1.562866
227.6385, 1.466370
228.1206, 1.185501
228.6027, 0.7093510
229.0849, 0.3149570
229.5670, 0.2598880
230.0491, 0.4512630
230.5312, 0.6247100
231.0133, 0.7809750
231.4954, 0.8781430
231.9776, 0.8309940
232.4597, 0.6160130
232.9418, 0.4250030
233.4239, 0.5007170
233.9060, 0.6556400
234.3881, 0.5709690
234.8703, 9.6099998E-04
235.3524, 0.7049560
235.8345, 1.039688
236.3166, 0.9386750
236.7987, 0.7538150
237.2808, 0.5937650
237.7630, 0.4751130
238.2451, 0.3771360
238.7272, 0.3485110
239.2093, 0.3933410
239.6914, 0.5582430
240.1735, 0.9137270
240.6557, 1.172394
241.1378, 1.210938
241.6199, 1.109543
242.1020, 0.8970030
242.5841, 0.5543670
243.0662, 0.1939390
243.5484, 6.2148999E-02
244.0305, 0.3110200
244.5126, 0.3639830
244.9947, 0.2258150
245.4768, 0.9180760
245.9589, 1.175995
246.4410, 0.7976380
246.9232, 0.1857300
247.4053, 9.3673997E-02
247.8874, 0.8533330
248.3695, 1.335693
248.8516, 1.178696
249.3337, 0.8020170
249.8159, 0.4776310
250.2980, 0.2942200
250.7801, 0.2420810
251.2622, 0.3305210
251.7443, 0.6678010
252.2264, 0.8987270
252.7086, 0.9926450
253.1907, 0.9882200
253.6728, 0.8480830
254.1549, 0.5872500
254.6370, 0.3418730
255.1191, 0.3591160
255.6013, 0.8821720
256.0834, 1.134995
256.5655, 0.8915250
257.0476, 0.5795900
257.5297, 0.4510500
258.0118, 0.5640110
258.4940, 0.8446810
258.9761, 1.219910
259.4582, 1.794388
259.9403, 2.188263
260.4224, 2.228928
260.9045, 2.262634
261.3867, 2.557129
261.8688, 3.107712
262.3509, 3.681458
262.8330, 4.023071
263.3151, 4.119095
263.7972, 3.990082
264.2794, 3.106064
264.7615, 2.476547
265.2436, 2.908875
265.7257, 4.258316
266.2078, 5.650665
266.6899, 6.201172
267.1721, 5.731247
267.6542, 5.542038
268.1363, 5.884583
268.6184, 6.218964
269.1005, 6.200699
269.5826, 5.906311
270.0648, 5.684204
270.5469, 5.837936
271.0290, 6.385330
271.5111, 6.785217
271.9932, 7.075836
272.4753, 7.218948
272.9575, 7.036392
273.4396, 6.668518
273.9217, 6.504196
274.4038, 6.844940
274.8859, 7.629425
275.3680, 8.067673
275.8501, 7.847839
276.3322, 7.708786
276.8144, 8.007568
277.2965, 8.573608
277.7786, 9.020554
278.2607, 9.135925
278.7428, 8.984695
279.2249, 8.822159
279.7071, 8.665771
280.1892, 8.478668
280.6713, 8.149979
281.1534, 7.796967
281.6355, 7.687180
282.1176, 7.976837
282.5998, 8.437622
283.0819, 8.435699
283.5640, 7.636948
284.0461, 7.083527
284.5282, 7.102142
285.0103, 7.460236
285.4925, 7.846664
285.9746, 8.167969
286.4567, 8.439140
286.9388, 8.718124
287.4209, 9.093788
287.9030, 9.205322
288.3852, 8.789558
288.8673, 8.156509
289.3494, 7.657303
289.8315, 7.367729
290.3136, 7.227020
290.7957, 7.142937
291.2779, 7.099625
291.7600, 7.333984
292.2421, 8.266869
292.7242, 9.249718
293.2063, 9.594223
293.6884, 9.243546
294.1706, 8.622437
294.6527, 8.024307
295.1348, 7.460464
295.6169, 7.073265
296.0990, 6.905403
296.5811, 6.877167
297.0633, 6.977417
297.5454, 7.182434
298.0275, 7.366730
298.5096, 7.481964
298.9917, 7.521507
299.4738, 7.449905
299.9560, 7.238632
300.4381, 6.964699
300.9202, 6.547829
301.4023, 6.045090
301.8844, 5.784050
302.3665, 6.083961
302.8487, 6.703140
303.3308, 6.771927
303.8129, 5.890640
304.2950, 5.143600
304.7771, 5.167152
305.2592, 5.706680
305.7414, 6.092506
306.2235, 6.039902
306.7056, 5.751862
307.1877, 5.644783
307.6698, 5.784210
308.1519, 5.818756
308.6341, 5.487061
309.1162, 5.011192
309.5983, 4.840881
310.0804, 5.143593
310.5625, 5.531044
311.0446, 5.435684
311.5268, 4.848106
312.0089, 4.315315
312.4910, 3.919296
312.9731, 3.646790
313.4552, 3.469955
313.9373, 3.380745
314.4195, 3.431747
314.9016, 3.784409
315.3837, 4.399574
315.8658, 4.699730
316.3479, 4.467972
316.8300, 4.026772
317.3121, 3.587616
317.7943, 3.164673
318.2764, 2.787094
318.7585, 2.458076
319.2406, 2.205360
319.7227, 2.082527
320.2048, 2.178040
320.6870, 2.305511
321.1691, 2.327972
321.6512, 2.288994
322.1333, 2.383743
322.6154, 2.784081
323.0975, 3.284431
323.5797, 3.293266
324.0618, 2.515228
324.5439, 1.952148
325.0260, 2.182198
325.5081, 2.838158
325.9902, 3.185738
326.4724, 2.954811
326.9545, 2.508835
327.4366, 2.420792
327.9187, 2.730675
328.4008, 3.045395
328.8829, 3.451515
329.3651, 3.751228
329.8472, 3.603607
330.3293, 2.951088
330.8114, 2.268707
331.2935, 2.037148
331.7756, 2.303070
332.2578, 2.557243
332.7399, 2.859863
333.2220, 3.075165
333.7041, 3.042282
334.1862, 2.794075
334.6683, 2.574432
335.1505, 2.563690
