##NAMES=Aminoffite
##RRUFFID=R100055
##IDEAL CHEMISTRY=Ca_3_(BeOH)_2_Si_3_O_10_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Colorless transparent tetragonal pyramids with basal terminations, co-type sample from Harvard
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100055
192.7777, 29.90580
193.2598, 32.24187
193.7419, 34.54727
194.2241, 36.89754
194.7062, 39.47055
195.1883, 42.61951
195.6704, 45.61093
196.1525, 48.33376
196.6346, 50.91304
197.1168, 53.44823
197.5989, 55.96574
198.0810, 58.53667
198.5631, 61.37697
199.0452, 64.71865
199.5273, 68.00838
200.0095, 71.18878
200.4916, 74.25359
200.9737, 77.32908
201.4558, 80.59303
201.9379, 83.68124
202.4200, 85.58878
202.9022, 86.57298
203.3843, 86.39561
203.8664, 84.70956
204.3485, 81.74431
204.8306, 78.02787
205.3127, 73.53488
205.7949, 68.67427
206.2770, 64.34058
206.7591, 60.49665
207.2412, 57.11690
207.7233, 54.28104
208.2054, 51.93341
208.6876, 49.76930
209.1697, 47.45900
209.6518, 45.49521
210.1339, 44.50484
210.6160, 44.66887
211.0981, 45.37105
211.5803, 46.26079
212.0624, 47.33694
212.5445, 48.36948
213.0266, 49.41588
213.5087, 50.26553
213.9908, 50.77690
214.4730, 50.94617
214.9551, 50.66321
215.4372, 49.71670
215.9193, 48.02238
216.4014, 46.16854
216.8836, 43.72035
217.3657, 41.51167
217.8478, 40.21286
218.3299, 39.99121
218.8120, 40.30077
219.2941, 40.45059
219.7763, 40.37756
220.2584, 40.36465
220.7405, 40.57394
221.2226, 40.79347
221.7047, 40.89146
222.1868, 40.79665
222.6690, 40.48750
223.1511, 39.86126
223.6332, 38.67473
224.1153, 37.83684
224.5974, 37.83138
225.0795, 37.96160
225.5617, 37.73112
226.0438, 36.99114
226.5259, 35.93091
227.0080, 34.82919
227.4901, 33.34167
227.9722, 32.48808
228.4544, 32.61134
228.9365, 33.11281
229.4186, 33.63958
229.9007, 34.06352
230.3828, 34.36754
230.8649, 34.51463
231.3471, 34.41772
231.8292, 34.24582
232.3113, 34.04802
232.7934, 33.77296
233.2755, 33.44684
233.7576, 33.07379
234.2398, 32.50459
234.7219, 31.54990
235.2040, 30.04259
235.6861, 28.35092
236.1682, 26.30650
236.6503, 24.17024
237.1325, 22.05486
237.6146, 20.02159
238.0967, 18.31786
238.5788, 17.38988
239.0609, 17.78135
239.5430, 17.71700
240.0252, 16.50587
240.5073, 15.12811
240.9894, 14.60598
241.4715, 15.17831
241.9536, 16.30692
242.4357, 17.32982
242.9179, 18.21175
243.4000, 19.13097
243.8821, 20.10972
244.3642, 21.12871
244.8463, 22.27366
245.3284, 23.58496
245.8106, 24.70611
246.2927, 25.15722
246.7748, 24.92602
247.2569, 24.53222
247.7390, 23.87047
248.2211, 23.15967
248.7033, 22.49194
249.1854, 21.81750
249.6675, 21.68599
250.1496, 22.94886
250.6317, 25.41172
251.1138, 27.84349
251.5960, 30.05186
252.0781, 32.07670
252.5602, 34.09094
253.0423, 36.16650
253.5244, 37.85735
254.0065, 38.86879
254.4887, 39.19761
254.9708, 38.55827
255.4529, 36.70203
255.9350, 33.90274
256.4171, 30.30517
256.8992, 25.72752
257.3813, 21.21732
257.8635, 17.42314
258.3456, 14.20907
258.8277, 11.44882
259.3098, 9.208664
259.7919, 7.371910
260.2740, 5.781654
260.7562, 4.425758
261.2383, 3.369911
261.7204, 2.912109
262.2025, 2.715141
262.6846, 2.348114
263.1667, 1.573433
263.6489, 0.7168960
264.1310, 0.2378010
264.6131, 0.1849440
265.0952, 0.2998350
265.5773, 0.4970020
266.0594, 0.7973180
266.5416, 1.242020
267.0237, 1.851501
267.5058, 2.587860
267.9879, 3.508224
268.4700, 4.716286
268.9521, 5.618256
269.4343, 5.581848
269.9164, 5.378456
270.3985, 5.587189
270.8806, 6.355751
271.3627, 7.448242
271.8448, 8.724487
272.3270, 10.30975
272.8091, 11.44497
273.2912, 11.52343
273.7733, 11.34505
274.2554, 11.36761
274.7375, 11.67184
275.2197, 12.08131
275.7018, 12.48083
276.1839, 12.91486
276.6660, 13.03746
277.1481, 12.41502
277.6302, 11.73415
278.1124, 11.38542
278.5945, 11.36629
279.0766, 11.36838
279.5587, 11.18337
280.0408, 10.84457
280.5229, 10.02232
281.0051, 8.004211
281.4872, 6.083130
281.9693, 4.921959
282.4514, 4.389801
282.9335, 3.881248
283.4156, 2.738220
283.8978, 0.9313280
284.3799, 0.1323170
284.8620, 0.2195660
285.3441, 0.6993710
285.8262, 0.8007810
286.3083, 0.6780400
286.7905, 0.7703930
287.2726, 1.516312
287.7547, 2.786461
288.2368, 3.281776
288.7189, 2.179199
289.2010, 1.239502
289.6832, 1.026810
290.1653, 1.267624
290.6474, 1.533440
291.1295, 1.587120
291.6116, 1.465523
292.0938, 1.322456
292.5759, 1.200089
293.0580, 0.9959110
293.5401, 0.5710680
294.0222, 0.1443710
294.5043, 6.0653999E-02
294.9865, 6.3789003E-02
295.4686, 0.3793330
295.9507, 0.4764020
296.4328, 5.6968998E-02
296.9149, 0.1891170
297.3970, 0.4775160
297.8792, 1.424904
298.3613, 2.115585
298.8434, 2.390129
299.3255, 2.603867
299.8076, 3.483490
300.2897, 5.574081
300.7719, 7.304054
301.2540, 8.162651
301.7361, 8.962158
302.2182, 10.12451
302.7003, 11.77946
303.1824, 13.93226
303.6646, 16.69984
304.1467, 20.32610
304.6288, 23.50526
305.1109, 25.70161
305.5930, 28.08128
306.0751, 31.37256
306.5573, 35.36092
307.0394, 39.25685
307.5215, 42.37389
308.0036, 44.71838
308.4857, 47.11660
308.9678, 49.66346
309.4500, 52.15669
309.9321, 54.35541
310.4142, 56.48610
310.8963, 58.96268
311.3784, 62.07472
311.8605, 65.77615
312.3427, 69.68355
312.8248, 74.10384
313.3069, 78.39293
313.7890, 82.26467
314.2711, 86.01721
314.7532, 90.04523
315.2354, 94.51536
315.7175, 99.39229
316.1996, 104.5535
316.6817, 110.2342
317.1638, 115.8875
317.6459, 120.9048
318.1281, 126.1573
318.6102, 132.4677
319.0923, 140.0760
319.5744, 148.5000
320.0565, 157.0685
320.5386, 166.1134
321.0208, 174.4677
321.5029, 182.3546
321.9850, 189.4432
322.4671, 195.8023
322.9492, 201.3028
323.4313, 205.4597
323.9135, 207.9333
324.3956, 208.8643
324.8777, 207.2033
325.3598, 202.8650
325.8419, 196.0021
326.3240, 185.4813
326.8062, 172.2306
327.2883, 158.3007
327.7704, 144.9812
328.2525, 132.3331
328.7346, 120.9543
329.2167, 111.0821
329.6989, 102.3352
330.1810, 95.11597
330.6631, 88.80985
331.1452, 82.61157
331.6273, 76.06973
332.1094, 69.38885
332.5916, 63.21967
333.0737, 57.78325
333.5558, 52.52672
334.0379, 47.22885
334.5200, 42.08096
335.0021, 37.25474
335.4843, 32.79428
335.9664, 28.79478
336.4485, 25.48383
336.9306, 23.00153
337.4127, 20.78316
337.8948, 18.80894
338.3770, 17.03397
338.8591, 15.45388
339.3412, 14.05408
339.8233, 12.81886
340.3055, 11.68192
340.7876, 10.62370
341.2697, 9.919945
341.7518, 10.06585
342.2339, 10.09429
342.7160, 9.522018
343.1982, 8.524910
343.6803, 7.557655
344.1624, 6.908012
344.6445, 6.538841
345.1266, 6.318268
345.6087, 6.543129
346.0909, 6.406158
346.5730, 5.418953
347.0551, 4.056877
347.5372, 2.887199
348.0193, 2.110451
348.5014, 1.685425
348.9836, 1.660995
349.4657, 2.272736
349.9478, 2.490517
350.4299, 1.635620
350.9120, 0.5342030
351.3941, 0.2093580
351.8763, 0.4839710
352.3584, 0.6278760
352.8405, 1.083214
353.3226, 1.872757
353.8047, 2.211075
354.2868, 1.552948
354.7690, 0.8717960
355.2511, 0.9148330
355.7332, 1.526520
356.2153, 1.980751
356.6974, 1.560493
357.1795, 0.5631640
357.6617, 0.2471850
358.1438, 0.9778750
358.6259, 1.658730
359.1080, 1.557076
359.5901, 1.021889
360.0722, 0.6058430
360.5544, 0.5769200
361.0365, 0.6687620
361.5186, 0.3690410
362.0007, 0.4190370
362.4828, 0.7891310
362.9649, 0.1556320
363.4471, 1.411400
363.9292, 1.756401
364.4113, 0.9068910
364.8934, 0.1269530
365.3755, 0.5505830
365.8576, 0.4695130
366.3398, 0.4855270
366.8219, 0.8187790
367.3040, 1.160934
367.7861, 1.129227
368.2682, 0.7639850
368.7503, 0.4738690
369.2325, 0.3593060
369.7146, 0.4407880
370.1967, 0.8461690
370.6788, 1.647339
371.1609, 2.382515
371.6430, 2.488922
372.1252, 2.228790
372.6073, 2.480804
373.0894, 4.056686
373.5715, 5.625755
374.0536, 5.896355
374.5357, 5.085686
375.0179, 4.496284
375.5000, 4.767754
375.9821, 5.654839
376.4642, 6.604721
376.9463, 7.765480
377.4284, 8.649796
377.9106, 8.808144
378.3927, 8.627487
378.8748, 8.910400
379.3569, 9.931725
379.8390, 10.95260
380.3211, 10.88347
380.8033, 9.442429
381.2854, 8.582893
381.7675, 9.064613
382.2496, 9.737503
382.7317, 9.641945
383.2138, 8.770287
383.6960, 7.718681
384.1781, 6.875488
384.6602, 6.264961
385.1423, 6.017700
385.6244, 6.351135
386.1065, 6.727859
386.5887, 6.984039
387.0708, 7.161713
387.5529, 7.361214
388.0350, 7.630051
388.5171, 7.896202
388.9992, 7.980721
389.4814, 7.277222
389.9635, 7.382591
390.4456, 8.889114
390.9277, 10.79826
391.4098, 12.40523
391.8919, 13.56008
392.3741, 14.41496
392.8562, 15.08949
393.3383, 15.54725
393.8204, 16.12965
394.3025, 17.00503
394.7846, 17.82419
395.2668, 18.22525
395.7489, 18.51056
396.2310, 19.32406
396.7131, 21.10100
397.1952, 23.45782
397.6773, 25.02411
398.1595, 25.15428
398.6416, 25.54747
399.1237, 26.58468
399.6058, 27.84453
400.0879, 29.03291
400.5700, 30.05783
401.0522, 30.89998
401.5343, 31.40646
402.0164, 31.43229
402.4985, 31.98786
402.9806, 33.57388
403.4627, 35.28273
403.9449, 36.72575
404.4270, 37.97130
404.9091, 39.24840
405.3912, 40.65800
405.8733, 42.21970
406.3554, 44.01274
406.8376, 46.14285
407.3197, 48.28446
407.8018, 50.59225
408.2839, 52.70853
408.7660, 54.23994
409.2481, 55.07593
409.7303, 55.32370
410.2124, 54.87219
410.6945, 53.75451
411.1766, 52.80746
411.6587, 52.48296
412.1408, 52.14513
412.6230, 51.11801
413.1051, 49.43652
413.5872, 47.60567
414.0693, 45.67094
414.5514, 43.86026
415.0335, 42.54540
415.5157, 41.72582
415.9978, 41.01658
416.4799, 40.16132
416.9620, 39.34063
417.4441, 38.96127
417.9262, 39.47600
418.4084, 39.80755
418.8905, 39.49271
419.3726, 38.55787
419.8547, 36.90251
420.3368, 34.33784
420.8189, 31.31902
421.3011, 28.67709
421.7832, 26.60475
422.2653, 24.44682
422.7474, 22.12538
423.2295, 19.66688
423.7116, 16.87862
424.1938, 13.87292
424.6759, 11.25191
425.1580, 9.521469
425.6401, 8.615517
426.1222, 7.435493
426.6043, 5.388954
427.0865, 3.800232
427.5686, 3.334778
428.0507, 3.438942
428.5328, 3.285133
429.0149, 2.545044
429.4970, 1.569000
429.9792, 0.9787830
430.4613, 0.9656070
430.9434, 0.9453200
431.4255, 0.8802950
431.9076, 0.8314360
432.3897, 0.8571400
432.8719, 0.9356460
433.3540, 0.9922870
433.8361, 0.9688720
434.3182, 0.8730240
434.8003, 0.7548290
435.2824, 0.6044540
435.7646, 0.4469450
436.2467, 0.2088700
436.7288, 5.1420000E-03
437.2109, 1.1574000E-02
437.6930, 0.2862700
438.1751, 0.5834730
438.6573, 0.5538480
439.1394, 0.1681370
439.6215, 0.1510620
440.1036, 0.4282680
440.5857, 0.5235520
441.0678, 0.3260650
441.5500, 0.1205670
442.0321, 0.6461330
442.5142, 1.139984
442.9963, 1.669037
443.4784, 2.386383
443.9605, 3.312416
444.4427, 4.277275
444.9248, 5.271385
445.4069, 6.219398
445.8890, 6.916489
446.3711, 7.180367
446.8532, 7.680695
447.3354, 8.921349
447.8175, 10.63422
448.2996, 12.24843
448.7817, 13.62785
449.2638, 14.96812
449.7459, 16.45135
450.2281, 18.08098
450.7102, 19.75576
451.1923, 21.39948
451.6744, 23.26109
452.1565, 25.59909
452.6386, 28.17817
453.1208, 30.40518
453.6029, 31.99937
454.0850, 33.25598
454.5671, 34.98010
455.0492, 37.82175
455.5313, 40.25561
456.0135, 41.91731
456.4956, 43.40065
456.9777, 45.15034
457.4598, 47.24355
457.9419, 49.58734
458.4240, 52.13716
458.9062, 54.89244
459.3883, 57.57248
459.8704, 59.80530
460.3525, 62.42238
460.8346, 65.85605
461.3167, 69.68036
461.7989, 73.37040
462.2810, 76.74239
462.7631, 79.91721
463.2452, 82.95443
463.7273, 85.73396
464.2094, 89.12256
464.6916, 94.02461
465.1737, 98.80468
465.6558, 102.4679
466.1379, 105.1636
466.6200, 107.6430
467.1021, 110.4371
467.5843, 113.2238
468.0664, 115.5466
468.5485, 117.5152
469.0306, 118.2679
469.5127, 117.2188
469.9948, 114.7385
470.4770, 111.6172
470.9591, 107.9285
471.4412, 103.4151
471.9233, 97.75099
472.4054, 91.21786
472.8875, 84.17957
473.3697, 76.65814
473.8518, 69.24759
474.3339, 62.43205
474.8160, 56.26960
475.2981, 50.55908
475.7802, 45.21953
476.2624, 40.41997
476.7445, 36.26499
477.2266, 32.67141
477.7087, 29.53712
478.1908, 26.79657
478.6729, 24.41957
479.1551, 22.34145
479.6372, 20.44080
480.1193, 19.17799
480.6014, 19.02480
481.0835, 18.99001
481.5656, 18.52705
482.0478, 17.70141
482.5299, 16.79516
483.0120, 15.94396
483.4941, 15.25066
483.9762, 15.19631
484.4583, 16.16401
484.9405, 16.99611
485.4226, 17.33033
485.9047, 17.54827
486.3868, 17.87550
486.8689, 18.36591
487.3510, 19.06039
487.8332, 20.13705
488.3153, 21.48121
488.7974, 22.54833
489.2795, 23.25911
489.7616, 23.83482
490.2437, 24.54688
490.7259, 25.17587
491.2080, 25.37082
491.6901, 25.10081
492.1722, 24.31674
492.6543, 22.73922
493.1364, 20.60649
493.6186, 18.62825
494.1007, 16.98949
494.5828, 15.44076
495.0649, 13.65316
495.5470, 11.58936
496.0291, 9.774239
496.5113, 8.191078
496.9934, 6.882599
497.4755, 6.060204
497.9576, 5.517845
498.4397, 4.759537
498.9218, 3.549286
499.4040, 2.137756
499.8861, 1.078300
500.3682, 0.4660340
500.8503, 7.7918999E-02
501.3324, 0.1010820
501.8145, 0.1596980
502.2967, 1.7487001E-02
502.7788, 0.3036350
503.2609, 0.6596910
503.7430, 0.9677810
504.2251, 1.216660
504.7072, 1.349083
505.1894, 1.322685
505.6715, 1.276985
506.1536, 1.294868
506.6357, 1.277092
507.1178, 1.025360
507.5999, 0.5482250
508.0821, 0.3057330
508.5642, 1.019737
509.0463, 2.222122
509.5284, 2.451622
510.0105, 1.486481
510.4926, 0.1375270
510.9748, 1.367981
511.4569, 2.829857
511.9390, 3.785629
512.4211, 3.967850
512.9032, 4.074249
513.3853, 4.194412
513.8674, 4.531479
514.3495, 5.604401
514.8317, 7.533592
515.3138, 9.551208
515.7959, 10.84071
516.2780, 11.33584
516.7601, 12.14964
517.2422, 13.57005
517.7244, 14.93598
518.2065, 15.90937
518.6886, 16.72887
519.1707, 17.75919
519.6528, 19.12400
520.1349, 20.66376
520.6171, 22.18829
521.0992, 23.78662
521.5813, 25.00577
522.0634, 25.25195
522.5455, 25.70648
523.0276, 26.82405
523.5098, 28.45836
523.9919, 30.32800
524.4740, 32.37458
524.9561, 34.43868
525.4382, 36.21954
525.9203, 37.69718
526.4025, 39.51071
526.8846, 41.97007
527.3667, 44.57880
527.8488, 46.91242
528.3309, 48.99036
528.8130, 50.96278
529.2952, 53.22638
