##NAMES=Krautite
##RRUFFID=R060967
##IDEAL CHEMISTRY=Mn^2+^(As^5+^O_3_OH)&#183;H_2_O
##LOCALITY=Jachymov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pink spheroidal aggregates and crusts found with other secondary arsenic minerals, quartz and mica
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060967
297.0184, 87.51172
297.5005, 116.7617
297.9826, 128.0898
298.4648, 159.5117
298.9469, 211.4648
299.4290, 266.5391
299.9111, 311.7344
300.3932, 348.4727
300.8753, 394.6836
301.3575, 460.4375
301.8396, 523.5625
302.3217, 573.2695
302.8038, 613.2031
303.2859, 650.9336
303.7680, 689.7656
304.2502, 730.1992
304.7323, 774.0312
305.2144, 842.9180
305.6965, 886.0352
306.1786, 889.5234
306.6607, 873.9492
307.1429, 861.9648
307.6250, 859.5234
308.1071, 856.2188
308.5892, 835.3984
309.0713, 784.5742
309.5534, 750.2656
310.0356, 740.8242
310.5177, 737.7695
310.9998, 732.8008
311.4819, 724.6875
311.9640, 714.1367
312.4461, 699.8047
312.9283, 681.7344
313.4104, 680.8242
313.8925, 726.1953
314.3746, 758.5977
314.8567, 756.2070
315.3388, 733.3008
315.8210, 710.7031
316.3031, 697.6406
316.7852, 696.6211
317.2673, 717.7305
317.7494, 776.1484
318.2315, 823.0586
318.7137, 830.7031
319.1958, 831.5625
319.6779, 857.7578
320.1600, 917.4141
320.6421, 979.2227
321.1242, 994.6992
321.6064, 961.4727
322.0885, 969.3086
322.5706, 1051.723
323.0527, 1161.230
323.5348, 1273.398
324.0169, 1383.934
324.4991, 1465.762
324.9812, 1482.699
325.4633, 1462.012
325.9454, 1466.883
326.4275, 1504.090
326.9096, 1562.145
327.3918, 1646.891
327.8739, 1744.777
328.3560, 1824.230
328.8381, 1892.301
329.3202, 1931.352
329.8023, 1916.395
330.2845, 1854.102
330.7666, 1785.496
331.2487, 1731.836
331.7308, 1682.102
332.2129, 1603.727
332.6950, 1474.055
333.1772, 1361.613
333.6593, 1294.570
334.1414, 1257.062
334.6235, 1230.191
335.1056, 1209.418
335.5877, 1182.688
336.0698, 1131.043
336.5519, 1038.875
337.0341, 970.7969
337.5162, 949.3320
337.9983, 933.5273
338.4804, 891.6953
338.9625, 827.9609
339.4446, 770.3555
339.9268, 742.2969
340.4089, 742.1133
340.8910, 733.4102
341.3731, 703.3047
341.8552, 678.0000
342.3373, 663.6250
342.8195, 656.1641
343.3016, 650.0156
343.7837, 642.5430
344.2658, 635.1797
344.7479, 628.6055
345.2300, 614.6133
345.7122, 618.3398
346.1943, 662.5742
346.6764, 710.9297
347.1585, 737.8164
347.6406, 743.4609
348.1227, 750.5508
348.6049, 791.6641
349.0870, 861.2188
349.5691, 887.1094
350.0512, 835.6914
350.5333, 788.9961
351.0154, 805.6133
351.4976, 860.0352
351.9797, 896.9102
352.4618, 882.1055
352.9439, 844.2422
