##NAMES=Joesmithite
##RRUFFID=R120157
##IDEAL CHEMISTRY=PbCa_2_Mg_3_Fe^3+^_2_(Si_6_Be_2_)O_22_(OH)_2_
##LOCALITY=Ramsorten drift, Langban, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Reddish brown to black short prismatic crystals and fragments associated with hematite, from type sample
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120157
228.6328, 36.64810
229.1149, 39.24527
229.5970, 41.36795
230.0792, 42.79767
230.5613, 43.75150
231.0434, 45.04138
231.5255, 46.93179
232.0076, 48.74579
232.4897, 50.11758
232.9719, 50.96637
233.4540, 51.53845
233.9361, 51.53479
234.4182, 51.29916
234.9003, 52.10941
235.3824, 54.64584
235.8646, 57.23416
236.3467, 59.00864
236.8288, 59.49237
237.3109, 60.22726
237.7930, 61.29630
238.2751, 62.63486
238.7573, 63.94485
239.2394, 64.85504
239.7215, 66.26227
240.2036, 68.69089
240.6857, 72.80310
241.1678, 76.40485
241.6500, 79.29166
242.1321, 81.70422
242.6142, 84.30701
243.0963, 87.15680
243.5784, 90.09686
244.0605, 93.08127
244.5427, 96.29404
245.0248, 99.14169
245.5069, 101.6600
245.9890, 103.8127
246.4711, 105.5096
246.9532, 106.8691
247.4354, 107.6181
247.9175, 107.6122
248.3996, 106.7255
248.8817, 105.5469
249.3638, 104.2092
249.8459, 102.5167
250.3281, 100.0795
250.8102, 96.71335
251.2923, 92.91437
251.7744, 88.69034
252.2565, 83.88956
252.7386, 79.47702
253.2208, 75.47452
253.7029, 71.84769
254.1850, 68.50803
254.6671, 65.56915
255.1492, 62.66409
255.6313, 59.62231
256.1135, 56.36069
256.5956, 53.54849
257.0777, 51.25833
257.5598, 49.36667
258.0419, 47.76117
258.5240, 46.56091
259.0062, 45.39279
259.4883, 44.07883
259.9704, 42.60492
260.4525, 41.55655
260.9346, 41.10425
261.4167, 40.88220
261.8989, 40.38000
262.3810, 39.30283
262.8631, 38.77872
263.3452, 39.31091
263.8273, 40.88306
264.3094, 41.55978
264.7916, 41.07245
265.2737, 40.23917
265.7558, 39.88016
266.2379, 40.20941
266.7200, 40.29208
267.2021, 39.91055
267.6843, 39.11002
268.1664, 38.29947
268.6485, 37.49442
269.1306, 36.60889
269.6127, 35.56094
270.0948, 34.31439
270.5770, 33.21637
271.0591, 32.44934
271.5412, 31.88150
272.0233, 30.75366
272.5054, 28.93759
272.9875, 26.86688
273.4697, 24.85501
273.9518, 22.90356
274.4339, 20.83942
274.9160, 18.55978
275.3981, 16.21222
275.8802, 14.19070
276.3624, 12.55099
276.8445, 11.15311
277.3266, 10.06345
277.8087, 9.331116
278.2908, 8.095520
278.7729, 6.052887
279.2551, 3.750000
279.7372, 2.629700
280.2193, 2.859680
280.7014, 3.169098
281.1835, 2.801971
281.6656, 1.771362
282.1478, 0.9654240
282.6299, 0.4626770
283.1120, 0.1072690
283.5941, 0.3695070
284.0762, 0.9770810
284.5583, 1.557373
285.0405, 2.138214
285.5226, 2.681671
286.0047, 2.791534
286.4868, 2.401672
286.9689, 1.794586
287.4510, 1.333649
287.9332, 1.006592
288.4153, 0.6558530
288.8974, 0.2082210
289.3795, 0.3021850
289.8616, 0.7697140
290.3438, 1.185730
290.8259, 1.558197
291.3080, 1.802368
291.7901, 1.963501
292.2722, 2.327057
292.7543, 3.056122
293.2365, 4.006653
293.7186, 4.769470
294.2007, 5.334015
294.6828, 6.030731
295.1649, 7.237762
295.6470, 8.833221
296.1292, 10.45685
296.6113, 11.94528
297.0934, 13.41190
297.5755, 15.19815
298.0576, 17.31335
298.5397, 19.33923
299.0219, 20.86606
299.5040, 22.13297
299.9861, 23.54089
300.4682, 25.14682
300.9503, 26.91907
301.4324, 29.02316
301.9146, 31.35434
302.3967, 33.50159
302.8788, 35.18137
303.3609, 36.51602
303.8430, 37.60214
304.3251, 38.41470
304.8073, 39.13507
305.2894, 40.11847
305.7715, 41.15683
306.2536, 41.77414
306.7357, 41.49045
307.2178, 40.76688
307.7000, 39.97125
308.1821, 39.10184
308.6642, 38.40897
309.1463, 38.36414
309.6284, 38.56726
310.1105, 38.39471
310.5927, 37.27582
311.0748, 35.90833
311.5569, 34.80750
312.0390, 33.98325
312.5211, 33.05789
313.0032, 31.43829
313.4854, 29.73978
313.9675, 28.63788
314.4496, 28.88257
