##NAMES=Tenorite
##RRUFFID=R060978
##IDEAL CHEMISTRY=CuO
##LOCALITY=Algomah, Michigan, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black massive with some prismatic faces, associated with malachite and chrysocolla
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060978
190.9528, 48.04663
191.4349, 28.24268
191.9170, 20.24829
192.3992, 28.94458
192.8813, 44.63647
193.3634, 48.56445
193.8455, 21.74878
194.3276, 13.17529
194.8097, 39.55396
195.2919, 77.69556
195.7740, 105.6924
196.2561, 116.8198
196.7382, 115.1106
197.2203, 106.5330
197.7024, 84.61597
198.1846, 66.94482
198.6667, 53.97339
199.1488, 45.24756
199.6309, 40.41431
200.1130, 39.37427
200.5951, 41.95508
201.0773, 48.16797
201.5594, 60.02148
202.0415, 71.74438
202.5236, 90.44897
203.0057, 105.0708
203.4878, 101.5598
203.9700, 77.77441
204.4521, 49.27979
204.9342, 37.04858
205.4163, 50.96265
205.8984, 54.93677
206.3805, 40.05713
206.8627, 20.66699
207.3448, 7.781738
207.8269, 3.371826
208.3090, 4.064941
208.7911, 6.947266
209.2732, 14.15259
209.7554, 14.38354
210.2375, 0.3693850
210.7196, 16.21045
211.2017, 20.64429
211.6838, 13.41724
212.1659, 6.060059
212.6480, 11.84082
213.1302, 35.72363
213.6123, 45.13696
214.0944, 26.85352
214.5765, 5.892334
215.0586, 0.6003420
215.5407, 7.016357
216.0229, 16.62769
216.5050, 17.04785
216.9871, 6.269043
217.4692, 1.986328
217.9513, 8.537842
218.4334, 12.24902
218.9156, 10.86084
219.3977, 5.440186
219.8798, 0.3632810
220.3619, 3.937988
220.8440, 5.235840
221.3261, 4.550537
221.8083, 7.0800997E-02
222.2904, 4.187988
222.7725, 7.630371
223.2546, 9.601807
223.7367, 8.119141
224.2188, 1.107178
224.7010, 10.65552
225.1831, 15.95215
225.6652, 11.46167
226.1473, 5.500732
226.6294, 1.584229
227.1115, 8.228760
227.5937, 11.33911
228.0758, 8.866699
228.5579, 2.016846
229.0400, 3.006592
229.5221, 8.632080
230.0042, 9.822510
230.4864, 1.129395
230.9685, 15.67627
231.4506, 19.50293
231.9327, 5.410889
232.4148, 19.30566
232.8969, 32.72583
233.3791, 26.28784
233.8612, 18.03638
234.3433, 6.504883
234.8254, 5.376709
