##NAMES=Diamond
##RRUFFID=X080011
##IDEAL CHEMISTRY=C
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted yellow gemstone, 0.19 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080011
420.6584, 8.174251
421.1405, 1.831774
421.6226, 1.504194
422.1047, 0.3248540
422.5869, 2.603144
423.0690, 3.971899
423.5511, 4.435053
424.0332, 3.589970
424.5153, 1.179287
424.9974, 1.241430
425.4796, 0.7050250
425.9617, 4.517870
426.4438, 9.573882
426.9259, 17.57224
427.4080, 23.07167
427.8901, 19.79286
428.3723, 9.350844
428.8544, 0.1008130
429.3365, 1.495363
429.8186, 4.698820
430.3007, 9.229981
430.7828, 10.93687
431.2650, 12.09426
431.7471, 12.92050
432.2292, 13.44249
432.7113, 13.83366
433.1934, 14.13192
433.6755, 13.80482
434.1577, 11.32791
434.6398, 5.322763
435.1219, 2.524902
435.6040, 7.303597
436.0861, 12.01539
436.5682, 12.36409
437.0504, 9.208888
437.5325, 6.391805
438.0146, 6.802812
438.4967, 9.483161
438.9788, 10.82520
439.4609, 10.12451
439.9431, 9.840793
440.4252, 11.56229
440.9073, 13.96596
441.3894, 16.22193
441.8715, 18.47664
442.3536, 18.71069
442.8358, 12.96918
443.3179, 2.489477
443.8000, 2.808889
444.2821, 0.5558830
444.7642, 6.629318
445.2463, 10.35731
445.7285, 12.03693
446.2106, 12.24801
446.6927, 8.915730
447.1748, 5.809513
447.6569, 7.906682
448.1390, 14.34627
448.6212, 18.79373
449.1033, 17.39485
449.5854, 11.98822
450.0675, 7.416216
450.5496, 2.685431
451.0317, 0.5164640
451.5139, 3.974451
451.9960, 9.277934
452.4781, 11.48256
452.9602, 9.751970
453.4423, 7.180985
453.9244, 7.006539
454.4066, 9.599904
454.8887, 10.83485
455.3708, 10.57609
455.8529, 9.402724
456.3350, 5.769473
456.8171, 1.716177
457.2993, 1.028143
457.7814, 5.473332
458.2635, 12.52505
458.7456, 16.90129
459.2277, 18.13620
459.7098, 17.50111
460.1920, 12.36326
460.6741, 7.857830
461.1562, 7.974548
461.6383, 11.83983
462.1204, 15.26840
462.6025, 14.76338
463.0847, 11.18059
463.5668, 8.909887
464.0489, 8.335941
464.5310, 8.353599
465.0131, 9.044532
465.4952, 9.867599
465.9774, 10.13883
466.4595, 9.482815
466.9416, 8.883308
467.4237, 10.04706
467.9058, 12.33170
468.3879, 12.49728
468.8701, 9.101470
469.3522, 5.342282
469.8343, 3.867216
470.3164, 4.347748
470.7985, 5.616272
471.2806, 8.389104
471.7628, 10.88273
472.2449, 11.20819
472.7270, 9.749347
473.2091, 8.322952
473.6912, 7.426428
474.1733, 7.440730
474.6555, 9.817682
475.1376, 16.15724
475.6197, 19.23178
476.1018, 15.91773
476.5839, 10.24972
477.0660, 4.775420
477.5482, 0.4606910
478.0303, 1.681501
478.5124, 0.6337130
478.9945, 3.134466
479.4766, 5.059813
479.9587, 2.937105
480.4409, 2.038084
480.9230, 4.529483
481.4051, 7.811965
481.8872, 8.961532
482.3693, 7.436828
482.8514, 4.989134
483.3336, 3.862007
483.8157, 4.132382
484.2978, 5.411298
484.7799, 9.852153
485.2620, 12.81716
485.7441, 11.04728
486.2263, 7.166900
486.7084, 5.785193
487.1905, 9.312009
487.6726, 14.31686
488.1547, 14.82520
488.6368, 10.49510
489.1190, 7.344323
489.6011, 7.513008
490.0832, 8.395430
490.5653, 6.817917
491.0474, 3.362443
491.5295, 2.140002
492.0117, 7.446246
492.4938, 14.39192
492.9759, 16.27024
493.4580, 13.16362
493.9401, 9.583055
494.4222, 7.676390
494.9044, 6.906626
495.3865, 5.764768
495.8686, 3.444792
496.3507, 2.751409
496.8328, 5.799904
497.3149, 9.832722
497.7971, 12.23215
498.2792, 12.54342
498.7613, 10.82243
499.2434, 6.569597
499.7255, 0.1048850
500.2076, 2.212843
500.6898, 3.654223
501.1719, 8.812573
501.6540, 12.29757
502.1361, 14.22097
502.6182, 13.72073
503.1003, 10.80968
503.5825, 6.838794
504.0646, 2.676135
504.5467, 2.108093
505.0288, 2.675066
505.5110, 5.763562
505.9931, 12.46971
506.4752, 11.95529
506.9573, 7.473862
507.4394, 4.283992
507.9215, 4.446110
508.4037, 6.017745
508.8858, 6.578230
509.3679, 6.240373
509.8500, 6.747433
510.3321, 8.941607
510.8142, 11.37404
511.2964, 13.01456
511.7785, 13.84225
512.2606, 13.09559
512.7427, 8.808352
513.2248, 4.272970
513.7069, 2.174843
514.1890, 2.329789
514.6711, 4.164813
515.1533, 7.828841
515.6354, 11.81303
516.1175, 12.83574
516.5996, 8.483475
517.0817, 6.636669
517.5638, 10.29122
518.0460, 14.22299
518.5281, 14.64789
519.0102, 11.99122
519.4923, 8.688208
519.9744, 6.248305
520.4565, 4.564820
520.9387, 3.143859
521.4208, 1.723174
521.9029, 1.175076
522.3850, 2.207900
522.8671, 3.687828
523.3492, 4.598913
523.8314, 5.041583
524.3135, 6.145871
524.7956, 9.631941
525.2777, 14.34549
525.7598, 15.87610
526.2419, 13.36277
526.7241, 10.76627
527.2062, 9.577417
527.6883, 9.390854
528.1704, 9.889071
528.6525, 11.22886
529.1346, 12.23290
529.6168, 11.99261
530.0989, 11.14254
530.5810, 10.82140
531.0631, 11.16185
531.5452, 11.48251
532.0273, 11.37896
532.5095, 10.82185
532.9916, 9.585800
533.4737, 7.731282
533.9558, 5.253706
534.4379, 0.5633970
534.9200, 3.913836
535.4022, 4.812368
535.8843, 2.039927
536.3664, 1.489530
536.8485, 2.575884
537.3306, 1.169426
537.8127, 0.2090190
538.2949, 0.5560630
538.7770, 0.4534490
539.2591, 1.051735
539.7412, 3.245107
540.2233, 5.555161
540.7054, 7.800772
541.1876, 9.678982
541.6697, 10.89395
542.1518, 11.46981
542.6339, 11.61062
543.1160, 11.41241
543.5981, 10.55087
544.0803, 7.324313
544.5624, 3.576334
545.0445, 3.192890
545.5266, 8.454538
546.0087, 13.71483
546.4908, 15.82728
546.9730, 15.59474
547.4551, 14.10014
547.9372, 11.58275
548.4193, 9.329195
548.9014, 8.782124
549.3835, 9.993063
549.8657, 10.18014
550.3478, 7.195720
550.8299, 5.905912
551.3120, 10.50756
551.7941, 16.27424
552.2762, 16.20892
552.7584, 8.973019
553.2405, 0.6875860
553.7226, 0.8676040
554.2047, 4.848585
554.6868, 8.278650
555.1689, 8.326830
555.6511, 7.502276
556.1332, 6.515479
556.6153, 5.372887
557.0974, 3.783340
557.5795, 1.510814
558.0616, 0.1104350
558.5438, 1.047895
559.0259, 4.188528
559.5080, 7.092510
559.9901, 9.674651
560.4722, 11.08405
560.9543, 10.07981
561.4365, 7.230398
561.9186, 5.634313
562.4007, 6.024029
562.8828, 6.577688
563.3649, 6.991800
563.8470, 7.314477
564.3292, 7.022307
564.8113, 5.789151
565.2934, 5.332147
565.7755, 7.749496
566.2576, 13.18332
566.7397, 16.15244
567.2219, 15.21565
567.7040, 13.60050
568.1861, 10.53225
568.6682, 7.753363
569.1503, 7.668534
569.6324, 10.50618
570.1146, 13.33349
570.5967, 13.12156
571.0788, 10.31290
571.5609, 7.421631
572.0430, 4.068072
572.5251, 1.895773
573.0073, 2.438484
573.4894, 4.420353
573.9715, 5.899891
574.4536, 6.524941
574.9357, 7.399108
575.4178, 9.964405
575.9000, 12.67759
576.3821, 13.22231
576.8642, 11.41793
577.3463, 8.394703
577.8284, 4.505349
578.3105, 0.3751530
578.7927, 0.8915520
579.2748, 3.073647
579.7569, 6.892831
580.2390, 11.56270
580.7211, 15.08161
581.2032, 14.72264
581.6854, 11.28992
582.1675, 8.853381
582.6496, 11.05633
583.1317, 15.95214
583.6138, 16.25724
584.0959, 10.38875
584.5781, 5.505228
585.0602, 3.082946
585.5423, 2.445432
586.0244, 3.428536
586.5065, 5.838172
586.9886, 7.867558
587.4708, 8.015249
587.9529, 7.824964
588.4351, 9.992604
588.9172, 13.91148
589.3993, 15.52075
589.8814, 12.79478
