##NAMES=Palermoite
##RRUFFID=R130090
##IDEAL CHEMISTRY=Li_2_SrAl_4_(PO_4_)_4_(OH)_4_
##LOCALITY=Palermo Mine, N. Groton, New Hampshire, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch and Don Doell
##DESCRIPTION=Colorless prismatic crystal, associated with quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130090
366.0966, 55.16019
366.5787, 55.91922
367.0609, 56.73004
367.5430, 57.32510
368.0251, 58.00531
368.5072, 58.08975
368.9893, 57.44016
369.4714, 56.15454
369.9536, 54.50955
370.4357, 52.19223
370.9178, 49.84198
371.3999, 47.76276
371.8820, 46.15280
372.3641, 44.26428
372.8463, 42.04404
373.3284, 39.59760
373.8105, 37.02710
374.2926, 34.21500
374.7747, 31.51630
375.2568, 28.96756
375.7390, 26.55603
376.2211, 24.53839
376.7032, 22.97693
377.1853, 21.62860
377.6674, 20.25870
378.1495, 18.86499
378.6317, 17.39307
379.1138, 15.75894
379.5959, 14.07745
380.0780, 12.70383
380.5601, 11.67062
381.0422, 10.68045
381.5244, 9.546814
382.0065, 8.284241
382.4886, 6.945953
382.9707, 5.464874
383.4528, 4.110962
383.9349, 3.447021
384.4171, 3.333038
384.8992, 3.000854
385.3813, 1.843048
385.8634, 0.2944640
386.3455, 1.060913
386.8276, 2.214844
387.3098, 2.870300
387.7919, 2.386993
388.2740, 1.282715
388.7561, 0.4932860
389.2382, 0.5452270
389.7203, 0.8213810
390.2025, 0.8205570
390.6846, 0.6008910
391.1667, 0.4162600
391.6488, 0.4430540
392.1309, 0.5543520
392.6130, 0.6578370
393.0952, 0.7729800
393.5773, 0.7939150
394.0594, 0.5314330
394.5415, 0.1537480
395.0236, 2.5543001E-02
395.5057, 0.3607180
395.9879, 0.7158510
396.4700, 0.7837520
396.9521, 0.5068360
397.4342, 0.1752010
397.9163, 0.1728520
398.3984, 0.5573730
398.8806, 0.9956360
399.3627, 1.427002
399.8448, 1.986267
400.3269, 2.750702
400.8090, 3.688171
401.2911, 4.511536
401.7733, 5.056488
402.2554, 5.687286
402.7375, 6.570892
403.2196, 7.669220
403.7017, 9.197876
404.1838, 11.44608
404.6660, 13.89465
405.1481, 15.36227
405.6302, 15.54428
406.1123, 15.90475
