##NAMES=Vuoriyarvite-K
##RRUFFID=R070703
##IDEAL CHEMISTRY=(K,Na,[box])_12_Nb_8_(Si_4_O_12_)_4_O_8_&#183;12-16H_2_O
##LOCALITY=Vein No. 46,  Kirovskii apatite mine (Kirovsky Mine; Kirov Mine),  Kukisvumchorr Mt,  Khibiny Massif,  Kola Peninsula,  Murmanskaja Oblast',  Northern Region,  Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light tan, compact mass of micro-crystals associated with calcite and greenish sodalite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070703
185.6111, 3445.219
186.0932, 3518.385
186.5753, 3606.061
187.0574, 3733.439
187.5395, 3888.832
188.0216, 4021.227
188.5037, 4111.053
188.9859, 4172.445
189.4680, 4232.100
189.9501, 4287.564
190.4322, 4356.941
190.9143, 4461.617
191.3964, 4598.402
191.8786, 4743.352
192.3607, 4897.107
192.8428, 5051.805
193.3249, 5162.992
193.8070, 5220.539
194.2891, 5266.781
194.7713, 5364.621
195.2534, 5501.070
195.7355, 5627.961
196.2176, 5707.977
196.6997, 5744.170
197.1818, 5814.594
197.6640, 5927.697
198.1461, 6064.785
198.6282, 6200.385
199.1103, 6338.012
199.5924, 6452.840
200.0745, 6509.881
200.5567, 6500.375
201.0388, 6551.893
201.5209, 6686.428
202.0030, 6878.562
202.4851, 7071.543
202.9672, 7274.559
203.4494, 7434.057
203.9315, 7480.551
204.4136, 7385.174
204.8957, 7379.961
205.3778, 7526.094
205.8599, 7784.250
206.3421, 7957.990
206.8242, 8029.932
207.3063, 8062.219
207.7884, 8105.678
208.2705, 8163.422
208.7526, 8235.855
209.2348, 8321.967
209.7169, 8421.969
210.1990, 8535.414
210.6811, 8675.469
211.1632, 8809.410
211.6453, 8889.871
212.1275, 8889.164
212.6096, 8917.992
213.0917, 9025.867
213.5738, 9224.859
214.0559, 9340.180
214.5380, 9328.430
215.0202, 9276.844
215.5023, 9333.809
215.9844, 9551.275
216.4665, 9753.799
216.9486, 9870.777
217.4307, 9877.477
217.9129, 9906.531
218.3950, 9966.898
218.8771, 10045.35
219.3592, 10117.93
219.8413, 10191.77
220.3234, 10247.82
220.8056, 10268.20
221.2877, 10222.06
221.7698, 10229.32
222.2519, 10321.23
222.7340, 10461.96
223.2161, 10533.07
223.6983, 10502.87
224.1804, 10449.28
224.6625, 10416.16
225.1446, 10414.09
225.6267, 10405.02
226.1088, 10384.47
226.5910, 10353.75
227.0731, 10322.12
227.5552, 10297.67
228.0373, 10262.18
228.5194, 10198.78
229.0015, 10088.76
229.4836, 9997.098
229.9658, 9949.492
230.4479, 9940.832
230.9300, 9870.332
231.4121, 9706.297
231.8942, 9516.256
232.3763, 9361.180
232.8585, 9259.824
233.3406, 9161.469
233.8227, 9059.494
234.3048, 8954.156
234.7869, 8846.195
235.2690, 8736.973
235.7512, 8623.055
236.2333, 8500.182
236.7154, 8367.506
237.1975, 8227.828
237.6796, 8078.324
238.1617, 7918.689
238.6439, 7756.141
239.1260, 7584.062
239.6081, 7414.125
240.0902, 7266.135
240.5723, 7159.375
241.0544, 7039.404
241.5366, 6879.689
242.0187, 6656.590
242.5008, 6487.699
242.9829, 6398.141
243.4650, 6348.844
243.9471, 6271.701
244.4293, 6158.498
244.9114, 6028.094
245.3935, 5883.584
245.8756, 5710.576
246.3577, 5560.426
246.8398, 5439.031
247.3220, 5337.363
247.8041, 5227.707
248.2862, 5065.053
248.7683, 4960.623
249.2504, 4996.834
249.7325, 5329.469
250.2147, 5415.979
250.6968, 5145.352
251.1789, 4648.719
251.6610, 4311.111
252.1431, 4201.713
252.6252, 4148.057
253.1074, 4062.660
253.5895, 3911.439
254.0716, 3814.988
254.5537, 3803.289
255.0358, 3849.984
255.5179, 3855.762
256.0001, 3807.057
256.4822, 3739.467
256.9643, 3668.883
257.4464, 3588.941
257.9285, 3525.656
258.4106, 3486.807
258.8928, 3466.076
259.3749, 3430.707
259.8570, 3368.488
260.3391, 3308.635
260.8212, 3273.719
261.3033, 3273.264
261.7855, 3269.490
262.2676, 3258.107
262.7497, 3239.332
263.2318, 3215.123
263.7139, 3188.619
264.1960, 3150.363
264.6782, 3084.422
265.1603, 2972.531
265.6424, 2891.857
266.1245, 2862.572
266.6066, 2877.225
267.0887, 2868.006
267.5709, 2831.672
268.0530, 2778.787
268.5351, 2715.932
269.0172, 2638.988
269.4993, 2567.734
269.9814, 2503.311
270.4636, 2446.262
270.9457, 2414.281
271.4278, 2418.160
271.9099, 2431.053
272.3920, 2428.977
272.8741, 2409.438
273.3563, 2395.320
273.8384, 2390.857
274.3205, 2395.678
274.8026, 2408.408
275.2847, 2430.895
275.7668, 2454.029
276.2490, 2467.205
276.7311, 2468.668
277.2132, 2475.475
277.6953, 2488.688
278.1774, 2505.020
278.6595, 2536.451
279.1417, 2588.584
279.6238, 2642.689
280.1059, 2671.588
280.5880, 2675.840
281.0701, 2710.471
281.5522, 2798.189
282.0344, 2923.053
282.5165, 3018.895
282.9986, 3085.955
283.4807, 3137.930
283.9628, 3184.162
284.4449, 3222.586
284.9271, 3257.320
285.4092, 3290.607
285.8913, 3323.312
286.3734, 3348.113
286.8555, 3360.752
287.3376, 3382.637
287.8198, 3443.848
288.3019, 3541.838
288.7840, 3643.186
289.2661, 3743.336
289.7482, 3839.449
290.2303, 3916.365
290.7124, 3971.127
291.1945, 4012.086
291.6767, 4045.289
292.1588, 4073.727
292.6409, 4107.217
293.1230, 4162.422
293.6051, 4220.791
294.0872, 4220.482
294.5694, 4155.703
295.0515, 4085.375
295.5336, 4077.307
296.0157, 4119.047
296.4978, 4158.381
296.9799, 4169.857
297.4621, 4165.809
297.9442, 4179.594
298.4263, 4213.498
298.9084, 4239.619
299.3905, 4219.656
299.8727, 4167.803
300.3548, 4124.301
300.8369, 4108.584
301.3190, 4111.680
301.8011, 4128.730
302.2832, 4160.861
302.7654, 4181.088
303.2475, 4161.527
303.7296, 4111.383
304.2117, 4049.047
304.6938, 3960.010
305.1759, 3872.697
305.6581, 3833.953
306.1402, 3844.188
306.6223, 3852.756
307.1044, 3818.539
307.5865, 3754.770
308.0686, 3685.982
308.5508, 3622.531
309.0329, 3556.441
309.5150, 3477.641
309.9971, 3384.467
310.4792, 3299.051
310.9613, 3249.793
311.4435, 3214.156
311.9256, 3162.850
312.4077, 3088.137
312.8898, 2991.996
313.3719, 2862.748
313.8540, 2701.689
314.3362, 2559.057
314.8183, 2472.338
315.3004, 2412.652
315.7825, 2346.221
316.2646, 2250.119
316.7467, 2153.734
317.2289, 2076.092
317.7110, 2017.211
318.1931, 1945.902
318.6752, 1832.090
319.1573, 1707.531
319.6394, 1602.492
320.1216, 1549.857
320.6037, 1494.559
321.0858, 1415.373
321.5679, 1313.529
322.0500, 1215.307
322.5321, 1138.365
323.0143, 1062.184
323.4964, 970.3887
323.9785, 829.3691
324.4606, 704.9824
324.9427, 617.1992
325.4248, 564.4141
325.9070, 506.6895
326.3891, 445.7676
326.8712, 373.7266
327.3533, 285.1484
327.8354, 134.4355
328.3175, 17.19727
328.7997, 44.11719
329.2818, 53.75195
329.7639, 76.27734
330.2460, 119.5430
330.7281, 169.0215
331.2102, 216.4238
331.6924, 263.5371
332.1745, 304.1797
332.6566, 335.8926
333.1387, 359.9258
333.6208, 388.0508
334.1029, 430.2539
334.5851, 460.5371
335.0672, 458.7480
335.5493, 407.4688
336.0314, 366.3438
336.5135, 333.9707
336.9956, 315.5762
337.4778, 343.5391
337.9599, 446.8770
338.4420, 534.1016
338.9241, 542.9336
339.4062, 452.0078
339.8883, 385.7793
340.3705, 361.4062
340.8526, 359.1113
341.3347, 330.4648
341.8168, 268.2559
342.2989, 203.5449
342.7810, 152.7441
343.2632, 115.4746
343.7453, 77.68750
344.2274, 40.33008
344.7095, 1.9530000E-03
345.1916, 55.27930
345.6737, 125.3105
346.1559, 184.4863
346.6380, 208.4531
347.1201, 208.0078
347.6022, 237.1523
348.0843, 307.4395
348.5664, 379.1836
349.0486, 379.6680
349.5307, 322.9902
350.0128, 294.4375
350.4949, 363.8164
350.9770, 483.2852
351.4591, 550.1680
351.9413, 554.4043
352.4234, 546.9980
352.9055, 589.1230
353.3876, 663.6191
353.8697, 723.6211
354.3518, 741.6641
354.8340, 739.1270
355.3161, 734.5215
355.7982, 728.1289
356.2803, 733.8809
356.7624, 763.7461
357.2445, 812.4961
357.7267, 871.5918
358.2088, 953.8945
358.6909, 1033.818
359.1730, 1093.652
359.6551, 1133.168
360.1372, 1162.807
360.6194, 1163.625
361.1015, 1166.375
361.5836, 1202.381
362.0657, 1326.619
362.5478, 1441.900
363.0299, 1516.127
363.5121, 1549.854
363.9942, 1553.717
364.4763, 1501.547
364.9584, 1437.547
365.4405, 1392.273
365.9226, 1375.219
366.4048, 1374.119
366.8869, 1403.428
367.3690, 1453.771
367.8511, 1477.881
368.3332, 1446.109
368.8153, 1406.805
369.2975, 1383.523
369.7796, 1405.125
370.2617, 1404.057
370.7438, 1358.203
371.2259, 1290.895
371.7080, 1270.004
372.1902, 1336.594
372.6722, 1397.004
373.1544, 1408.588
373.6365, 1340.547
374.1186, 1308.152
374.6007, 1320.125
375.0828, 1360.041
375.5649, 1402.934
376.0471, 1457.361
376.5292, 1489.826
377.0113, 1479.211
377.4934, 1421.049
377.9755, 1383.346
378.4576, 1368.260
378.9398, 1366.400
379.4219, 1370.729
379.9040, 1382.164
380.3861, 1380.127
380.8682, 1352.893
381.3503, 1305.941
381.8325, 1261.602
382.3146, 1220.248
382.7967, 1184.623
383.2788, 1164.375
383.7609, 1155.160
384.2430, 1135.490
384.7252, 1090.258
385.2073, 1037.947
385.6894, 1025.359
386.1715, 1048.111
386.6536, 1052.557
387.1357, 989.4766
387.6179, 885.4355
388.1000, 783.6211
388.5821, 686.4902
389.0642, 606.7031
389.5463, 571.4844
390.0284, 569.9766
390.5106, 562.4844
390.9927, 525.9922
391.4748, 474.2129
391.9569, 414.8438
392.4390, 342.2012
392.9211, 284.8398
393.4033, 276.3613
393.8854, 294.5547
394.3675, 296.2617
394.8496, 226.3105
395.3317, 162.6816
395.8138, 151.9414
396.2960, 224.5449
396.7781, 259.1016
397.2602, 195.6504
397.7423, 94.52539
398.2244, 31.92969
398.7065, 72.40430
399.1887, 96.34766
399.6708, 65.86914
400.1529, 28.05078
400.6350, 85.77539
401.1171, 84.12109
401.5992, 64.09961
402.0814, 61.18164
402.5635, 89.16797
403.0456, 106.1172
403.5277, 99.77930
404.0098, 76.24805
404.4919, 76.68945
404.9741, 113.6543
405.4562, 152.2793
405.9383, 164.8105
406.4204, 146.5957
406.9025, 138.7441
407.3846, 151.9160
407.8668, 172.7441
408.3489, 166.8418
408.8310, 131.9707
409.3131, 86.76758
409.7952, 32.07227
410.2773, 27.42383
410.7595, 57.70703
411.2416, 53.32422
411.7237, 33.97852
412.2058, 19.37305
412.6879, 10.16211
413.1700, 10.39844
413.6522, 19.22656
414.1343, 38.94727
414.6164, 78.11133
415.0985, 137.5078
415.5806, 198.8477
416.0627, 262.9375
416.5449, 316.8027
417.0270, 340.3242
417.5091, 276.4570
417.9912, 223.0137
418.4733, 274.2500
418.9554, 411.1836
419.4376, 517.6777
419.9197, 501.3750
420.4018, 450.3672
420.8839, 434.5469
421.3660, 496.3457
421.8481, 554.6699
422.3303, 580.5059
422.8124, 584.9082
423.2945, 599.2344
423.7766, 633.4961
424.2587, 674.6270
424.7408, 719.6094
425.2230, 774.6074
425.7051, 816.1250
426.1872, 839.0449
426.6693, 850.4316
427.1514, 858.8164
427.6335, 853.7520
428.1157, 863.3105
428.5978, 901.5605
429.0799, 970.0977
429.5620, 1014.072
430.0441, 1024.125
430.5262, 1025.316
431.0084, 1044.699
431.4905, 1088.219
431.9726, 1115.107
432.4547, 1115.184
432.9368, 1095.570
433.4189, 1074.754
433.9011, 1052.336
434.3832, 1035.668
434.8653, 1024.885
435.3474, 1022.744
435.8295, 1047.713
436.3116, 1110.514
436.7938, 1177.094
437.2759, 1200.826
437.7580, 1188.258
438.2401, 1162.439
438.7222, 1109.016
439.2043, 1061.420
439.6865, 1071.855
440.1686, 1147.713
440.6507, 1222.031
441.1328, 1243.633
441.6149, 1235.199
442.0970, 1227.936
442.5792, 1221.145
443.0613, 1228.283
443.5434, 1269.889
444.0255, 1339.945
444.5076, 1387.324
444.9897, 1370.553
445.4719, 1340.264
445.9540, 1330.512
446.4361, 1390.350
446.9182, 1411.766
447.4003, 1343.480
447.8824, 1229.105
448.3646, 1186.811
448.8467, 1291.309
449.3288, 1380.557
449.8109, 1390.105
450.2930, 1290.689
450.7751, 1236.344
451.2573, 1246.570
451.7394, 1283.412
452.2215, 1289.631
452.7036, 1249.971
453.1857, 1239.184
453.6678, 1285.803
454.1500, 1381.021
454.6321, 1470.164
455.1142, 1553.557
455.5963, 1619.357
456.0784, 1640.727
456.5605, 1632.963
457.0426, 1656.115
457.5247, 1724.207
458.0069, 1814.877
458.4890, 1909.434
458.9711, 2008.564
459.4532, 2105.262
459.9353, 2194.592
460.4174, 2274.416
460.8996, 2342.793
461.3817, 2400.355
461.8638, 2452.240
462.3459, 2484.709
462.8280, 2513.885
463.3102, 2563.689
463.7923, 2676.445
464.2744, 2785.746
464.7565, 2847.887
465.2386, 2864.984
465.7207, 2905.836
466.2029, 3003.902
466.6850, 3124.260
467.1671, 3245.887
467.6492, 3360.508
468.1313, 3482.184
468.6134, 3616.695
469.0956, 3758.793
469.5777, 3888.736
470.0598, 4003.930
470.5419, 4113.207
471.0240, 4220.133
471.5061, 4324.867
471.9883, 4421.377
472.4704, 4507.051
472.9525, 4587.211
473.4346, 4670.971
473.9167, 4759.486
474.3988, 4826.979
474.8810, 4858.568
475.3631, 4869.199
475.8452, 4900.633
476.3273, 4952.869
476.8094, 5012.666
477.2915, 5086.963
477.7737, 5159.939
478.2558, 5193.758
478.7379, 5178.174
479.2200, 5138.109
479.7021, 5087.969
480.1842, 5031.930
480.6664, 4979.014
481.1485, 4939.469
481.6306, 4900.570
482.1127, 4853.250
482.5948, 4796.699
483.0769, 4735.906
483.5591, 4679.023
484.0412, 4614.494
484.5233, 4531.625
485.0054, 4394.838
485.4875, 4276.863
485.9696, 4213.291
486.4518, 4185.225
486.9339, 4099.439
487.4160, 3897.861
487.8981, 3706.270
488.3802, 3582.461
488.8623, 3554.998
489.3445, 3497.441
489.8266, 3398.316
490.3087, 3283.104
490.7908, 3188.691
491.2729, 3116.473
491.7550, 3054.076
492.2372, 3006.457
492.7193, 2963.525
493.2014, 2878.164
493.6835, 2747.381
494.1656, 2619.602
494.6477, 2541.168
495.1299, 2495.021
495.6120, 2430.463
496.0941, 2329.973
496.5762, 2229.719
497.0583, 2162.039
497.5404, 2123.195
498.0226, 2105.639
498.5047, 2150.980
498.9868, 2183.457
499.4689, 2131.793
499.9510, 1986.643
500.4331, 1856.559
500.9153, 1784.861
501.3974, 1749.488
501.8795, 1730.395
502.3616, 1734.271
502.8437, 1742.846
503.3258, 1758.955
503.8080, 1779.244
504.2901, 1790.453
504.7722, 1796.979
505.2543, 1788.996
505.7364, 1750.664
506.2185, 1659.148
506.7007, 1648.902
507.1828, 1751.582
507.6649, 1886.941
508.1470, 1944.680
508.6291, 1913.312
509.1112, 1913.982
509.5934, 1987.984
510.0755, 2108.395
510.5576, 2194.303
511.0397, 2245.430
511.5218, 2301.639
512.0039, 2397.922
512.4860, 2516.889
512.9681, 2632.314
513.4503, 2736.766
513.9324, 2837.242
514.4145, 2954.166
514.8966, 3071.703
515.3787, 3164.670
515.8608, 3184.285
516.3430, 3210.568
516.8251, 3303.537
517.3072, 3465.174
517.7893, 3614.906
518.2714, 3750.664
518.7535, 3865.326
519.2357, 3952.172
519.7178, 3959.988
520.1999, 4016.494
520.6820, 4175.557
521.1641, 4370.207
521.6462, 4459.248
522.1284, 4405.213
522.6105, 4335.484
523.0926, 4304.529
523.5747, 4306.363
524.0568, 4292.336
524.5389, 4272.332
525.0211, 4227.188
525.5032, 4128.697
525.9853, 3985.896
526.4674, 3867.133
526.9495, 3790.873
527.4316, 3736.240
527.9138, 3681.176
528.3959, 3623.723
528.8780, 3554.943
529.3601, 3480.438
529.8422, 3387.605
530.3243, 3245.148
530.8065, 3048.549
531.2886, 2882.568
531.7707, 2819.061
532.2528, 2787.734
532.7349, 2724.840
533.2170, 2571.156
533.6992, 2441.961
534.1813, 2378.258
534.6634, 2355.238
535.1455, 2300.482
535.6276, 2185.268
536.1097, 2078.191
536.5919, 2000.592
537.0740, 1954.312
537.5561, 1907.094
538.0382, 1855.070
538.5203, 1808.033
539.0024, 1783.211
539.4846, 1784.215
539.9667, 1761.541
540.4488, 1694.049
540.9309, 1612.367
541.4130, 1588.684
541.8951, 1612.787
542.3773, 1628.164
542.8594, 1584.859
543.3415, 1526.545
543.8236, 1516.131
544.3057, 1552.998
544.7878, 1580.768
545.2700, 1562.252
545.7521, 1517.096
546.2342, 1466.273
546.7163, 1404.840
547.1984, 1356.256
547.6805, 1329.332
548.1627, 1314.109
548.6448, 1291.910
549.1269, 1250.342
549.6090, 1117.586
550.0911, 1208.916
550.5732, 1247.787
551.0554, 1236.010
551.5375, 1026.240
552.0196, 1067.189
552.5017, 1005.975
552.9838, 940.3613
553.4659, 1015.578
553.9481, 830.8789
554.4302, 903.5625
554.9123, 873.3027
555.3944, 889.9453
555.8765, 804.5625
556.3586, 750.5000
556.8408, 798.1914
557.3229, 789.3125
557.8050, 691.0156
558.2871, 697.6094
558.7692, 694.4648
559.2513, 683.9375
559.7335, 668.1621
560.2156, 634.0234
560.6977, 612.7344
561.1798, 528.2422
561.6619, 628.4062
562.1440, 676.9980
562.6262, 676.7832
563.1083, 481.0879
563.5904, 538.2324
564.0725, 494.2910
564.5546, 446.3730
565.0367, 539.5898
565.5189, 373.2246
566.0010, 464.5391
566.4831, 453.2422
566.9652, 489.1445
567.4473, 423.3594
567.9294, 389.1953
568.4116, 457.1055
568.8937, 468.7637
569.3758, 391.9121
569.8579, 431.8320
570.3400, 263.5859
570.8221, 278.2891
571.3043, 372.0293
571.7864, 301.0898
572.2685, 343.6465
572.7506, 343.1973
573.2327, 146.7500
573.7148, 291.5742
574.1970, 289.0098
574.6791, 135.1094
575.1612, 268.6758
575.6433, 135.9355
576.1254, 98.43555
576.6075, 132.6172
577.0897, 92.31055
577.5718, 169.7422
578.0539, 133.9844
578.5360, 88.23438
579.0181, 86.78125
579.5002, 39.78125
579.9824, 66.00586
580.4645, 13.22461
580.9466, 39.39258
581.4287, 83.53320
581.9108, 9.095703
582.3929, 4.283203
582.8751, 7.658203
583.3572, 3.777344
583.8393, 0.5976560
584.3214, 4.714844
584.8035, 17.95703
585.2856, 30.41602
585.7678, 32.64844
586.2499, 35.71680
586.7320, 47.90625
587.2141, 71.50000
587.6962, 99.63477
588.1783, 145.3398
588.6605, 187.6738
589.1426, 203.4629
589.6247, 161.1895
590.1068, 140.2246
590.5889, 158.0859
