##NAMES=Nenadkevichite
##RRUFFID=R070610
##IDEAL CHEMISTRY=(Na,[box])_8_Nb_4_(Si_4_O_12_)_2_(O,OH)_4_&#183;8H_2_O
##LOCALITY=Desourdy Quarry, Mount Saint Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Cluster of pale-pink translucent tabular pseudohexagonal crystals, associated with analcime
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070610
268.7063, 3349.615
269.1884, 3176.923
269.6705, 3006.079
270.1526, 2834.553
270.6347, 2654.975
271.1169, 2465.200
271.5990, 2326.970
272.0811, 2298.650
272.5632, 2267.576
273.0453, 2198.111
273.5274, 2101.628
274.0096, 2009.175
274.4917, 1942.726
274.9738, 1901.522
275.4559, 1871.120
275.9380, 1853.166
276.4201, 1843.465
276.9023, 1842.034
277.3844, 1849.548
277.8665, 1868.679
278.3486, 1903.343
278.8307, 1950.380
279.3128, 1978.097
279.7950, 1961.094
280.2771, 1952.184
280.7592, 1966.082
281.2413, 1996.732
281.7234, 2033.728
282.2055, 2071.348
282.6877, 2107.637
283.1698, 2131.475
283.6519, 2118.273
284.1340, 2121.642
284.6161, 2166.717
285.0982, 2230.413
285.5804, 2282.173
286.0625, 2305.250
286.5446, 2305.309
287.0267, 2302.662
287.5088, 2291.692
287.9909, 2284.705
288.4731, 2284.073
288.9552, 2287.519
289.4373, 2296.177
289.9194, 2311.783
290.4015, 2326.412
290.8836, 2315.470
291.3658, 2256.005
291.8479, 2204.447
292.3300, 2175.176
292.8121, 2153.304
293.2942, 2123.973
293.7763, 2081.213
294.2585, 2029.289
294.7406, 1976.398
295.2227, 1917.743
295.7048, 1866.500
296.1869, 1829.884
296.6690, 1796.312
297.1512, 1756.390
297.6333, 1706.730
298.1154, 1651.865
298.5975, 1598.546
299.0796, 1542.294
299.5617, 1497.807
300.0439, 1480.022
300.5260, 1462.897
301.0081, 1426.457
301.4902, 1367.565
301.9723, 1298.958
302.4544, 1236.286
302.9366, 1178.275
303.4187, 1131.254
303.9008, 1112.549
304.3829, 1091.406
304.8650, 1045.961
305.3471, 976.9487
305.8293, 905.7109
306.3114, 857.0635
306.7935, 837.4062
307.2756, 810.8398
307.7577, 779.3750
308.2398, 739.1973
308.7220, 682.6147
309.2041, 613.1704
309.6862, 544.0752
310.1683, 486.4932
310.6504, 440.6416
311.1325, 396.6299
311.6147, 354.1929
312.0968, 313.1392
312.5789, 274.3599
313.0610, 236.8911
313.5431, 197.1338
314.0252, 150.6523
314.5074, 99.24072
314.9895, 59.70166
315.4716, 40.38916
315.9537, 23.29248
316.4358, 1.648438
316.9179, 22.41162
317.4001, 43.56738
317.8822, 56.22314
318.3643, 65.91113
318.8464, 94.36670
319.3285, 159.9229
319.8106, 208.7305
320.2928, 208.6040
320.7749, 188.3442
321.2570, 184.1616
321.7391, 214.4155
322.2212, 260.1304
322.7033, 284.5376
323.1855, 282.0830
323.6676, 275.8687
324.1497, 272.1257
324.6318, 268.9375
325.1139, 264.2644
325.5960, 257.1733
326.0782, 250.0784
326.5603, 245.5901
327.0424, 243.4883
327.5245, 245.2693
328.0066, 260.7986
328.4887, 273.6465
328.9709, 268.0549
329.4530, 241.4646
329.9351, 210.8113
330.4172, 188.9470
330.8993, 175.7161
331.3814, 169.0427
331.8636, 175.8611
332.3457, 180.9976
332.8278, 170.6309
333.3099, 145.4612
333.7920, 119.5923
334.2741, 104.7021
334.7563, 96.45337
335.2384, 78.04126
335.7205, 43.17334
336.2026, 6.116943
336.6847, 24.89478
337.1668, 49.51172
337.6490, 63.62476
338.1311, 55.43726
338.6132, 38.69067
339.0953, 37.72461
339.5774, 55.64990
340.0595, 80.24487
340.5417, 103.0552
341.0238, 125.9341
341.5059, 154.1565
341.9880, 201.8870
342.4701, 246.7356
342.9522, 262.0955
343.4344, 248.7180
343.9165, 233.4141
344.3986, 227.3545
344.8807, 232.9702
345.3628, 251.7534
345.8449, 296.5881
346.3271, 339.2656
346.8092, 358.7383
347.2913, 361.0701
347.7734, 368.2051
348.2555, 389.4465
348.7376, 420.9712
349.2198, 454.5024
349.7019, 491.1611
350.1840, 526.8062
350.6661, 562.8525
351.1482, 596.5273
351.6303, 620.6719
352.1125, 632.1404
352.5946, 640.8347
353.0767, 662.2183
353.5588, 700.0046
354.0409, 738.7625
354.5230, 775.5371
355.0052, 813.8911
355.4873, 859.8948
355.9694, 913.5605
356.4515, 965.1179
356.9336, 1002.521
357.4157, 1020.835
357.8979, 1055.235
358.3800, 1117.564
358.8621, 1183.860
359.3442, 1239.929
359.8263, 1287.323
360.3084, 1337.655
360.7906, 1400.422
361.2727, 1474.824
361.7548, 1537.120
362.2369, 1566.136
362.7190, 1607.252
363.2011, 1679.028
363.6833, 1769.104
364.1654, 1859.586
364.6475, 1941.762
365.1296, 2015.428
365.6117, 2077.863
366.0938, 2113.822
366.5760, 2159.430
367.0581, 2228.581
367.5402, 2302.239
368.0223, 2362.445
368.5044, 2404.172
368.9865, 2435.592
369.4687, 2466.926
369.9508, 2494.513
370.4329, 2532.523
370.9150, 2602.104
371.3971, 2665.205
371.8792, 2696.068
372.3614, 2696.889
372.8435, 2690.658
373.3256, 2700.219
373.8077, 2726.098
374.2898, 2741.567
374.7719, 2746.853
375.2541, 2738.640
375.7362, 2710.472
376.2183, 2669.003
376.7004, 2627.515
377.1825, 2596.197
377.6646, 2566.011
378.1468, 2509.291
378.6289, 2413.433
379.1110, 2326.151
379.5931, 2278.613
380.0752, 2243.311
380.5573, 2190.602
381.0395, 2109.616
381.5216, 2021.124
382.0037, 1949.084
382.4858, 1893.776
382.9679, 1836.832
383.4500, 1775.512
383.9322, 1707.249
384.4143, 1626.485
384.8964, 1529.578
385.3785, 1441.591
385.8606, 1382.276
386.3427, 1341.651
386.8249, 1295.598
387.3070, 1240.436
387.7891, 1181.221
388.2712, 1118.642
388.7533, 1052.785
389.2354, 995.0518
389.7176, 947.5625
390.1997, 908.3872
390.6818, 882.5693
391.1639, 869.7024
391.6460, 850.2483
392.1281, 806.0088
392.6103, 739.6296
393.0924, 688.0994
393.5745, 662.6033
394.0566, 641.4668
394.5387, 616.2034
395.0208, 587.3987
395.5030, 556.2349
395.9851, 521.9175
396.4672, 486.2095
396.9493, 456.3811
397.4314, 445.7700
397.9135, 426.2258
398.3957, 386.7427
398.8778, 342.7932
399.3599, 309.3152
399.8420, 290.2612
400.3241, 279.3418
400.8062, 268.1597
401.2884, 255.8359
401.7705, 242.0027
402.2526, 228.1172
402.7347, 212.4937
403.2168, 191.7727
403.6989, 169.2859
404.1811, 151.8000
404.6632, 144.7629
405.1453, 146.2664
405.6274, 143.3206
406.1095, 130.9939
406.5916, 122.1272
407.0738, 122.1323
407.5559, 126.3442
408.0380, 129.7158
408.5201, 130.4568
409.0022, 127.7893
409.4843, 118.4031
409.9665, 100.0308
410.4486, 85.80371
410.9307, 84.32837
411.4128, 84.85962
411.8949, 79.24707
412.3770, 66.77954
412.8592, 52.53687
413.3413, 38.87231
413.8234, 26.34717
414.3055, 17.74048
414.7876, 14.93091
415.2697, 12.50586
415.7519, 3.662842
416.2340, 8.911377
416.7161, 15.98486
417.1982, 10.28589
417.6803, 1.385742
418.1624, 1.698486
418.6446, 10.62012
419.1267, 14.99341
419.6088, 6.002930
420.0909, 12.46460
420.5730, 27.07617
421.0551, 43.20117
421.5373, 48.62183
422.0194, 28.00854
422.5015, 3.759033
422.9836, 19.87451
423.4657, 11.33887
423.9478, 8.147217
424.4300, 17.78833
424.9121, 13.73120
425.3942, 7.857910
425.8763, 3.804932
426.3584, 14.09570
426.8405, 20.70093
427.3227, 21.90186
427.8048, 12.61572
428.2869, 14.08130
428.7690, 57.12671
429.2511, 79.93677
429.7332, 56.52197
430.2154, 39.37964
430.6975, 44.94946
431.1796, 60.27490
431.6617, 67.15771
432.1438, 57.50488
432.6259, 39.03491
433.1081, 24.61914
433.5902, 12.65112
434.0723, 10.06396
434.5544, 23.79541
435.0365, 43.34082
435.5186, 67.23901
436.0008, 93.44946
436.4829, 111.7014
436.9650, 105.5042
437.4471, 82.06812
437.9292, 80.90186
438.4113, 115.4639
438.8935, 148.2288
439.3756, 148.1799
439.8577, 128.6514
440.3398, 115.9692
440.8219, 121.8091
441.3040, 133.1338
441.7862, 136.6733
442.2683, 133.5010
442.7504, 132.1648
443.2325, 135.5198
443.7146, 143.7515
444.1967, 158.6768
444.6789, 184.1003
445.1610, 205.0669
445.6431, 210.9941
446.1252, 212.9553
446.6073, 227.4194
447.0894, 256.7739
447.5716, 286.8997
448.0537, 302.0127
448.5358, 299.1780
449.0179, 301.8411
449.5000, 310.5740
449.9821, 323.1738
450.4643, 340.0081
450.9464, 359.8374
451.4285, 382.1150
451.9106, 407.0239
452.3927, 430.8586
452.8748, 441.2898
453.3570, 427.8027
453.8391, 419.0015
454.3212, 415.8259
454.8033, 419.1243
455.2854, 432.6350
455.7675, 455.6045
456.2497, 479.0117
456.7318, 492.4648
457.2139, 496.3677
457.6960, 504.7698
458.1782, 522.0713
458.6603, 538.2761
459.1424, 548.4282
459.6245, 553.6719
460.1066, 555.8025
460.5887, 551.8750
461.0709, 548.7095
461.5530, 557.6743
462.0351, 578.3457
462.5172, 594.3420
462.9993, 595.3438
463.4814, 591.5525
463.9636, 601.4019
464.4457, 627.4822
464.9278, 655.9004
465.4099, 682.7866
465.8920, 709.2070
466.3741, 738.5139
466.8563, 770.8176
467.3384, 797.9001
467.8205, 810.4375
468.3026, 807.1543
468.7847, 810.0583
469.2668, 824.7327
469.7490, 838.7627
470.2311, 843.5571
470.7132, 845.1223
471.1953, 855.9121
471.6774, 882.1558
472.1595, 915.1348
472.6417, 933.0859
473.1238, 920.9316
473.6059, 925.9436
474.0880, 969.6155
474.5701, 1014.701
475.0522, 1033.255
475.5344, 1027.550
476.0165, 1023.940
476.4986, 1046.585
476.9807, 1090.432
477.4628, 1127.096
477.9449, 1156.648
478.4271, 1178.342
478.9092, 1182.362
479.3913, 1181.175
479.8734, 1194.144
480.3555, 1233.065
480.8376, 1270.164
481.3198, 1278.799
481.8019, 1265.314
482.2840, 1254.260
482.7661, 1251.768
483.2482, 1255.407
483.7303, 1264.397
484.2125, 1279.807
484.6946, 1289.272
485.1767, 1292.200
485.6588, 1288.088
486.1409, 1273.096
486.6230, 1249.566
487.1052, 1226.225
487.5873, 1209.025
488.0694, 1196.312
488.5515, 1181.027
489.0336, 1174.610
489.5157, 1149.899
489.9979, 1090.566
490.4800, 1020.877
490.9621, 960.0552
491.4442, 913.2083
491.9263, 876.8574
492.4084, 851.9023
492.8906, 840.3179
493.3727, 808.6436
493.8548, 734.4431
494.3369, 669.4927
494.8190, 645.3406
495.3011, 642.7664
495.7833, 625.9150
496.2654, 574.8643
496.7475, 516.3188
497.2296, 483.2510
497.7117, 474.5803
498.1938, 472.7920
498.6760, 477.4404
499.1581, 480.3909
499.6402, 466.0801
500.1223, 432.8337
500.6044, 412.3625
501.0865, 419.1213
501.5687, 438.0981
502.0508, 455.8145
502.5329, 471.2949
503.0150, 488.6279
503.4971, 511.4446
503.9792, 537.9026
504.4614, 557.2141
504.9435, 557.6072
505.4256, 565.8440
505.9077, 590.0347
506.3898, 620.7322
506.8719, 648.9407
507.3541, 672.5471
507.8362, 694.7014
508.3183, 719.9631
508.8004, 748.9504
509.2825, 772.3049
509.7646, 790.5835
510.2468, 801.6040
510.7289, 799.4941
511.2110, 791.3906
511.6931, 789.1377
512.1752, 798.2219
512.6573, 812.1782
513.1395, 825.4136
513.6216, 837.6841
514.1037, 844.2129
514.5858, 842.6616
515.0679, 836.6833
515.5500, 827.8975
516.0322, 816.0603
516.5143, 812.2483
516.9964, 834.6963
517.4785, 854.2319
517.9606, 840.1997
518.4427, 797.8411
518.9249, 754.1992
519.4070, 724.3259
519.8891, 706.9102
520.3712, 697.5447
520.8533, 712.1667
521.3354, 712.7822
521.8176, 687.7922
522.2997, 655.6460
522.7818, 630.4097
523.2639, 613.8623
523.7460, 600.5347
524.2281, 583.9722
524.7103, 565.6052
525.1924, 561.7556
525.6745, 586.4080
526.1566, 599.4531
526.6387, 573.3687
527.1208, 532.8748
527.6030, 507.0869
528.0851, 503.7747
528.5672, 509.3779
529.0493, 517.5601
529.5314, 526.1987
530.0135, 526.4219
530.4957, 514.6313
530.9778, 503.4172
531.4599, 507.7288
531.9420, 527.3096
532.4241, 531.5750
532.9063, 508.0298
533.3884, 481.3242
533.8705, 457.4177
534.3526, 440.2456
534.8347, 439.4631
535.3168, 458.8691
535.7990, 483.5513
536.2811, 486.1873
536.7632, 453.0820
537.2453, 432.9712
537.7274, 434.2627
538.2095, 440.3940
538.6917, 448.0461
539.1738, 454.5020
539.6559, 454.5806
540.1380, 442.9888
540.6201, 428.9094
541.1022, 431.2664
541.5844, 451.6658
542.0665, 470.9482
542.5486, 484.2761
543.0307, 493.1313
543.5128, 500.1299
543.9949, 506.0854
544.4771, 509.7329
544.9592, 506.3909
545.4413, 500.6741
545.9234, 496.7568
546.4055, 495.7285
546.8876, 500.6172
547.3698, 514.2117
547.8519, 533.8281
548.3340, 549.1118
548.8161, 562.1497
549.2982, 566.8918
549.7803, 551.1084
550.2625, 536.2151
550.7446, 539.9961
551.2267, 562.4937
551.7088, 592.8625
552.1909, 626.7812
552.6730, 660.8516
553.1552, 670.7258
553.6373, 644.0090
554.1194, 620.2556
554.6015, 610.2175
555.0836, 612.9932
555.5657, 634.3442
556.0479, 677.3511
556.5300, 710.3433
557.0121, 705.2021
557.4942, 680.4316
557.9763, 670.8462
558.4584, 681.4678
558.9406, 698.0181
559.4227, 709.2922
559.9048, 714.6682
560.3869, 722.1499
560.8690, 735.3962
561.3511, 748.9348
561.8333, 763.0408
562.3154, 776.0032
562.7975, 786.0193
563.2796, 792.4995
563.7617, 795.6968
564.2438, 794.8535
564.7260, 788.9753
565.2081, 784.6467
565.6902, 783.0295
566.1723, 784.8081
566.6544, 791.1721
567.1365, 798.1013
567.6187, 801.5999
568.1008, 801.3132
568.5829, 802.2861
569.0650, 807.8228
569.5471, 816.5376
570.0292, 826.8569
570.5114, 838.8411
570.9935, 844.1062
571.4756, 835.4126
571.9577, 814.7810
572.4398, 799.1792
572.9219, 795.4849
573.4041, 788.6040
573.8862, 765.9690
574.3683, 740.4167
574.8504, 732.5774
575.3325, 746.1135
575.8146, 762.7856
576.2968, 761.3530
576.7789, 741.1387
577.2610, 713.9526
577.7431, 667.8167
578.2252, 631.6794
578.7073, 621.5818
579.1895, 624.2375
579.6716, 621.7634
580.1537, 608.4683
580.6358, 593.8948
581.1179, 587.4448
581.6000, 586.4097
582.0822, 581.4675
582.5643, 570.5383
583.0464, 560.0002
583.5285, 557.1838
584.0106, 560.6572
584.4927, 553.0176
584.9749, 526.0103
585.4570, 498.5559
585.9391, 476.1523
586.4212, 456.5913
586.9033, 436.4209
587.3854, 415.0432
587.8676, 395.2173
588.3497, 380.2275
588.8318, 370.1646
589.3139, 360.6978
589.7960, 352.0254
590.2781, 343.7498
590.7603, 340.5808
591.2424, 335.6658
591.7245, 318.6055
592.2066, 285.3208
592.6887, 251.2188
593.1708, 225.7288
593.6530, 208.0562
594.1351, 199.0930
594.6172, 199.3408
595.0993, 197.9614
595.5814, 185.2502
596.0635, 163.4573
596.5457, 150.4463
597.0278, 153.3833
597.5099, 154.4404
597.9920, 148.7415
598.4741, 140.7000
598.9562, 134.8428
599.4384, 131.7241
599.9205, 129.4058
600.4026, 128.1328
600.8847, 126.1907
601.3668, 109.1782
601.8489, 66.84180
602.3311, 33.85352
602.8132, 30.42090
603.2953, 38.75342
603.7774, 43.08594
604.2595, 41.71069
604.7416, 36.63257
605.2238, 26.39966
605.7059, 14.11890
606.1880, 4.977051
606.6701, 1.197266
607.1522, 9.813721
607.6343, 24.57373
608.1165, 43.51367
608.5986, 59.89258
609.0807, 70.81006
609.5628, 82.92920
610.0449, 98.53320
610.5270, 113.6006
611.0092, 124.1738
611.4913, 131.3831
611.9734, 140.9299
612.4555, 158.2383
612.9376, 177.1760
613.4197, 182.1614
613.9019, 171.6028
614.3840, 164.2810
614.8661, 165.0471
615.3482, 172.2188
615.8303, 187.6968
616.3124, 211.3706
616.7946, 223.9453
617.2767, 208.9287
617.7588, 193.0156
618.2409, 195.9785
618.7230, 212.9404
619.2051, 232.0498
619.6873, 248.4199
620.1694, 261.2100
620.6515, 269.6094
621.1336, 274.2603
