##NAMES=Rooseveltite
##RRUFFID=R060804
##IDEAL CHEMISTRY=Bi^3+^As^5+^O_4_
##LOCALITY=Josef mine, Moldava, Czech. Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue-gray ill-formed grains, somewhat in spherical shapes
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060804
258.4438, 38.31641
258.9259, 41.83887
259.4080, 31.75684
259.8901, 23.50293
260.3723, 26.09375
260.8544, 42.84180
261.3365, 29.58105
261.8186, 29.20312
262.3007, 98.76855
262.7828, 133.2295
263.2650, 117.6377
263.7471, 104.9004
264.2292, 105.4160
264.7113, 119.1016
265.1934, 155.5771
265.6755, 230.0449
266.1577, 305.8740
266.6398, 331.4629
267.1219, 283.3818
267.6040, 261.3594
268.0861, 302.9150
268.5682, 408.9980
269.0503, 477.1367
269.5324, 495.3604
270.0146, 496.0195
270.4967, 518.0430
270.9788, 568.8613
271.4609, 611.4307
271.9430, 634.8340
272.4251, 639.9883
272.9073, 642.4053
273.3894, 640.9131
273.8715, 639.7607
274.3536, 646.9668
274.8357, 665.8428
275.3178, 673.1084
275.8000, 659.5322
276.2821, 627.3535
276.7642, 600.1533
277.2463, 578.5303
277.7284, 558.2227
278.2105, 537.0127
278.6927, 515.8496
279.1748, 481.4414
279.6569, 425.7305
280.1390, 353.1816
280.6211, 290.7891
281.1032, 239.6523
281.5854, 193.4707
282.0675, 146.2100
282.5496, 98.18457
283.0317, 45.88672
283.5138, 12.27637
283.9959, 75.09570
284.4781, 143.6357
284.9602, 221.0537
285.4423, 285.6709
285.9244, 306.1621
286.4065, 286.4590
286.8886, 277.6611
287.3708, 297.5859
287.8529, 332.3320
288.3350, 337.3604
288.8171, 310.4121
289.2992, 283.1543
289.7813, 292.0322
290.2635, 329.2002
290.7456, 345.7676
291.2277, 324.3633
291.7098, 283.3750
292.1919, 267.5830
292.6740, 276.7959
293.1562, 278.7178
293.6383, 243.2412
294.1204, 178.2139
294.6025, 112.3633
295.0846, 50.16309
295.5667, 10.25195
296.0489, 69.34277
296.5310, 127.6709
297.0131, 192.7500
297.4952, 272.9199
297.9773, 363.5771
298.4594, 456.9717
298.9416, 550.1143
299.4237, 646.9766
299.9058, 751.9580
300.3879, 863.9482
300.8700, 983.5117
301.3521, 1108.355
301.8343, 1239.261
302.3164, 1375.729
302.7985, 1520.920
303.2806, 1664.385
303.7627, 1799.905
304.2448, 1925.619
304.7270, 2041.210
305.2091, 2133.817
305.6912, 2219.420
306.1733, 2323.320
306.6554, 2457.389
307.1375, 2580.164
307.6197, 2652.956
308.1018, 2688.849
308.5839, 2715.578
309.0660, 2754.997
309.5481, 2787.947
310.0302, 2793.186
310.5123, 2765.035
310.9944, 2733.428
311.4766, 2716.759
311.9587, 2710.133
312.4408, 2705.341
312.9229, 2696.501
313.4050, 2690.134
313.8871, 2688.814
314.3693, 2692.040
314.8514, 2705.260
315.3335, 2733.372
315.8156, 2772.247
316.2977, 2816.952
316.7798, 2864.176
317.2620, 2921.138
317.7441, 2991.535
318.2262, 3075.426
318.7083, 3164.925
319.1904, 3267.132
319.6725, 3375.062
320.1547, 3477.840
320.6368, 3566.654
321.1189, 3654.468
321.6010, 3745.950
322.0831, 3840.838
322.5652, 3928.764
323.0474, 4003.867
323.5295, 4072.754
324.0116, 4139.953
324.4937, 4206.914
324.9758, 4270.912
325.4579, 4331.186
325.9401, 4387.386
326.4222, 4441.620
326.9043, 4498.424
327.3864, 4549.918
327.8685, 4591.951
328.3506, 4622.206
328.8328, 4645.402
329.3149, 4646.789
329.7970, 4639.231
330.2791, 4669.229
330.7612, 4779.893
331.2433, 4883.602
331.7255, 4938.307
332.2076, 4899.672
332.6897, 4906.318
333.1718, 4991.694
333.6539, 5111.371
334.1360, 5167.504
334.6182, 5131.857
335.1003, 5083.219
335.5824, 5048.535
336.0645, 5029.849
336.5466, 5014.772
337.0287, 4999.724
337.5109, 4991.258
337.9930, 5004.690
338.4751, 5049.357
338.9572, 5082.404
339.4393, 5089.947
339.9214, 5071.114
340.4036, 5036.792
340.8857, 4984.059
341.3678, 4918.512
341.8499, 4846.889
342.3320, 4769.508
342.8141, 4682.392
343.2963, 4585.483
343.7784, 4482.464
344.2605, 4380.357
344.7426, 4277.670
345.2247, 4178.053
345.7068, 4091.194
346.1890, 4016.128
346.6711, 3930.735
347.1532, 3825.912
347.6353, 3708.171
348.1174, 3587.988
348.5995, 3466.050
349.0817, 3357.102
349.5638, 3286.014
350.0459, 3234.047
350.5280, 3151.783
351.0101, 3022.531
351.4922, 2882.630
