##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=BiAl_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
147.1251, 6.082092
147.6072, 5.393860
148.0893, 4.435791
148.5714, 3.534363
149.0535, 2.932434
149.5357, 2.670959
150.0178, 2.509766
150.4999, 2.043518
150.9820, 0.9647220
151.4641, 0.2608640
151.9462, 0.1077880
152.4284, 0.2339480
152.9105, 0.5050660
153.3926, 0.8580930
153.8747, 1.201538
154.3568, 1.302002
154.8389, 0.8950200
155.3211, 0.5358280
155.8032, 9.2101999E-02
156.2853, 0.2478640
156.7674, 0.2052000
157.2495, 0.3752440
157.7316, 1.347717
158.2138, 2.097107
158.6959, 2.748596
159.1780, 3.084656
159.6601, 2.609497
160.1422, 1.734924
160.6243, 1.465149
161.1065, 2.504517
161.5886, 4.539490
162.0707, 6.229797
162.5528, 7.257080
163.0349, 7.890869
163.5170, 8.040771
163.9991, 7.771240
164.4813, 7.745605
164.9634, 8.635071
165.4455, 9.992859
165.9276, 10.76562
166.4097, 10.41736
166.8918, 9.776672
167.3740, 9.947510
167.8561, 11.15314
168.3382, 12.08081
168.8203, 11.46533
169.3024, 10.25275
169.7845, 9.587646
170.2667, 10.05835
170.7488, 11.24335
171.2309, 12.24066
171.7130, 13.12646
172.1951, 13.62726
172.6772, 13.36945
173.1594, 12.78864
173.6415, 12.50385
174.1236, 12.90869
174.6057, 13.90289
175.0878, 14.89783
175.5699, 16.04846
176.0521, 17.02777
176.5342, 17.60864
177.0163, 17.96069
177.4984, 18.40448
177.9805, 19.21948
178.4626, 20.42316
178.9448, 21.21545
179.4269, 20.78021
179.9090, 20.71826
180.3911, 21.86359
180.8732, 23.85150
181.3553, 25.67938
181.8375, 26.44818
182.3196, 26.00439
182.8017, 25.96631
183.2838, 26.52789
183.7659, 27.20740
184.2480, 27.93280
184.7301, 28.60968
185.2123, 28.96124
185.6944, 28.63275
186.1765, 27.48712
186.6586, 26.92657
187.1407, 27.73999
187.6228, 28.55988
188.1050, 28.24298
188.5871, 26.71692
189.0692, 24.95844
189.5513, 23.84985
190.0334, 23.35236
190.5155, 22.51099
190.9977, 20.93256
191.4798, 19.17389
191.9619, 17.96423
192.4440, 17.40967
192.9261, 16.79620
193.4082, 15.34052
193.8904, 13.34338
194.3725, 11.60876
194.8546, 10.47656
195.3367, 9.749146
195.8188, 9.028503
196.3009, 8.287720
196.7831, 7.534302
197.2652, 6.785522
197.7473, 6.029968
198.2294, 5.251770
198.7115, 4.367615
199.1936, 3.430176
199.6758, 2.642090
200.1579, 1.862549
200.6400, 1.473083
201.1221, 1.864441
201.6042, 2.772217
202.0863, 3.542358
202.5685, 3.532471
203.0506, 2.808838
203.5327, 2.682068
204.0148, 3.784241
204.4969, 4.865234
204.9790, 5.203247
205.4612, 5.095886
