##NAMES=Kurchatovite
##RRUFFID=R130074
##IDEAL CHEMISTRY=CaMgB_2_O_5_
##LOCALITY=Solongo B deposit, Vitim Plateau, Buriatia (Buryatia) Republic, Transbaikalia (Zabaykalye), Eastern-Siberian Region, Russia
##OWNER=RRUFF
##SOURCE=Igor Pekov
##DESCRIPTION=Pale gray crystals with good cleavage, associated with white frolovite and yellow wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130074
161.6186, 208.2446
162.1007, 193.5250
162.5828, 179.3659
163.0649, 166.4747
163.5471, 154.5206
164.0292, 143.0014
164.5113, 131.8275
164.9934, 122.4238
165.4755, 116.0302
165.9576, 111.6034
166.4398, 107.9487
166.9219, 104.7026
167.4040, 101.8889
167.8861, 99.46521
168.3682, 97.36896
168.8503, 95.93958
169.3325, 95.33380
169.8146, 95.54156
170.2967, 96.53339
170.7788, 99.30432
171.2609, 102.4150
171.7430, 104.2714
172.2252, 104.6173
172.7073, 105.2611
173.1894, 107.7000
173.6715, 111.5010
174.1536, 115.6221
174.6357, 119.9678
175.1179, 124.2967
175.6000, 128.2954
176.0821, 131.8523
176.5642, 135.3399
177.0463, 139.2858
177.5284, 143.5116
178.0106, 147.3859
178.4927, 150.6737
178.9748, 153.3920
179.4569, 155.3746
179.9390, 156.5143
180.4211, 157.3699
180.9033, 158.7610
181.3854, 160.5434
181.8675, 161.9850
182.3496, 162.6566
182.8317, 162.6888
183.3138, 162.3482
183.7960, 161.5960
184.2781, 160.6617
184.7602, 160.1588
185.2423, 159.9629
185.7244, 159.1107
186.2065, 156.8749
186.6887, 153.4568
187.1708, 149.6235
187.6529, 145.5041
188.1350, 140.8986
188.6171, 135.5576
189.0992, 129.4354
189.5814, 122.7347
190.0635, 115.3032
190.5456, 107.1878
191.0277, 99.32910
191.5098, 91.62433
191.9919, 84.45776
192.4741, 78.92426
192.9562, 75.08289
193.4383, 71.97772
193.9204, 69.03900
194.4025, 66.28394
194.8846, 64.03369
195.3668, 62.32678
195.8489, 61.13934
196.3310, 60.48962
196.8131, 60.40845
197.2952, 60.61359
197.7773, 61.00085
198.2595, 61.57501
198.7416, 62.10931
199.2237, 62.63910
199.7058, 63.06519
200.1879, 63.08936
200.6700, 62.68939
201.1522, 62.01459
201.6343, 60.98364
202.1164, 59.51526
202.5985, 58.67755
203.0806, 58.93231
203.5627, 59.72943
204.0449, 59.03076
204.5270, 56.36633
205.0091, 53.73334
205.4912, 52.63354
205.9733, 53.33051
206.4554, 53.97809
206.9376, 54.40131
207.4197, 54.61371
207.9018, 54.64172
208.3839, 54.42615
208.8660, 54.18738
209.3481, 54.19586
209.8303, 54.63068
210.3124, 54.55267
210.7945, 53.85638
211.2766, 52.58667
211.7587, 50.80072
212.2408, 48.33350
212.7230, 45.69507
213.2051, 43.33746
213.6872, 41.58331
214.1693, 38.88507
214.6514, 34.81415
215.1335, 29.65179
215.6157, 24.89819
216.0978, 20.50208
216.5799, 16.49414
217.0620, 12.90002
217.5441, 9.828064
218.0262, 6.793762
218.5084, 3.669067
218.9905, 0.4995120
219.4726, 2.287598
219.9547, 4.607666
220.4368, 6.756775
220.9189, 9.017517
221.4011, 11.81836
221.8832, 13.57074
222.3653, 13.85706
222.8474, 12.98389
223.3295, 12.36963
223.8116, 12.19904
224.2938, 12.00769
224.7759, 11.54486
225.2580, 10.84570
225.7401, 9.789551
226.2222, 8.247498
226.7043, 6.349609
227.1865, 4.469482
227.6686, 2.357971
228.1507, 0.7003170
228.6328, 1.5015000E-02
229.1149, 0.6156620
229.5970, 1.280396
230.0792, 2.088684
230.5613, 2.869995
231.0434, 2.870972
231.5255, 1.673462
232.0076, 0.2924190
232.4897, 0.6769410
232.9719, 0.8853150
233.4540, 1.511475
233.9361, 2.744019
234.4182, 4.432678
234.9003, 6.027527
235.3824, 7.320862
235.8646, 8.818665
236.3467, 10.78424
236.8288, 13.36597
237.3109, 16.09576
237.7930, 19.11688
238.2751, 22.24890
238.7573, 24.89850
239.2394, 27.14575
239.7215, 28.76141
240.2036, 29.60376
240.6857, 29.39001
241.1678, 28.98962
241.6500, 28.31238
242.1321, 27.46790
242.6142, 26.72430
243.0963, 26.07983
243.5784, 25.54755
244.0605, 25.31122
244.5427, 26.04059
245.0248, 25.25677
245.5069, 22.18359
245.9890, 17.90839
246.4711, 14.89288
246.9532, 13.68341
247.4354, 12.80847
247.9175, 11.71368
248.3996, 10.23724
248.8817, 9.079041
249.3638, 8.265869
249.8459, 7.771973
250.3281, 7.469482
250.8102, 7.015259
251.2923, 7.388977
251.7744, 9.189819
252.2565, 12.93817
252.7386, 15.81226
253.2208, 17.44135
253.7029, 18.46881
254.1850, 19.84967
254.6671, 21.42889
255.1492, 23.68213
255.6313, 26.97583
256.1135, 31.55536
256.5956, 35.30927
257.0777, 37.87573
257.5598, 39.89142
258.0419, 42.20587
258.5240, 44.92603
259.0062, 47.60455
259.4883, 50.08209
259.9704, 52.27954
260.4525, 54.76080
260.9346, 57.62128
261.4167, 60.61066
261.8989, 63.44104
262.3810, 66.04468
262.8631, 68.63568
263.3452, 71.25336
263.8273, 73.94324
264.3094, 76.52472
264.7916, 78.94861
265.2737, 81.44666
265.7558, 84.32831
266.2379, 87.69806
266.7200, 91.11005
267.2021, 94.68225
267.6843, 98.31085
268.1664, 100.9754
268.6485, 102.2839
269.1306, 103.4182
269.6127, 105.6086
270.0948, 109.2968
270.5770, 111.9658
271.0591, 113.1216
271.5412, 112.9077
272.0233, 111.9234
272.5054, 110.0126
272.9875, 107.7456
273.4697, 105.4958
273.9518, 103.2427
274.4339, 100.9606
274.9160, 98.54681
275.3981, 96.17126
275.8802, 94.37524
276.3624, 93.28357
276.8445, 92.27112
277.3266, 91.11481
277.8087, 89.90338
278.2908, 87.65698
278.7729, 84.02771
279.2551, 79.60278
