##NAMES=Derriksite
##RRUFFID=R100223
##IDEAL CHEMISTRY=Cu_4_(UO_2_)(Se^4+^O_3_)_2_(OH)_6_
##LOCALITY=Musonoi mine, Kolwezi, Katanga, Congo
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Dark green crystal associated with metatorbernite, malachite and brochantite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100223
457.9264, 6.771957
458.4085, 8.210358
458.8906, 9.263577
459.3727, 8.344288
459.8548, 6.677341
460.3369, 6.390701
460.8191, 8.405228
461.3012, 10.77413
461.7833, 11.90609
462.2654, 12.23875
462.7475, 12.67861
463.2296, 14.28519
463.7118, 15.56676
464.1939, 15.10214
464.6760, 12.77280
465.1581, 11.78787
465.6402, 14.40548
466.1223, 17.97489
466.6045, 20.60540
467.0866, 21.18616
467.5687, 21.87174
468.0508, 23.17165
468.5329, 24.62041
469.0150, 25.14029
469.4972, 24.11416
469.9793, 23.07595
470.4614, 22.40135
470.9435, 22.08015
471.4256, 22.48180
471.9077, 23.97291
472.3899, 25.45825
472.8720, 25.81113
473.3541, 24.91586
473.8362, 24.35372
474.3183, 24.45506
474.8004, 24.81198
475.2826, 24.61320
475.7647, 23.88642
476.2468, 23.02589
476.7289, 22.33080
477.2110, 21.61941
477.6931, 20.27518
478.1753, 18.29302
478.6574, 16.62068
479.1395, 16.22066
479.6216, 16.57819
480.1037, 16.99297
480.5858, 17.45388
481.0680, 17.61600
481.5501, 17.03632
482.0322, 15.99425
482.5143, 15.07859
482.9964, 14.59045
483.4786, 14.22369
483.9607, 13.92295
484.4428, 13.70364
484.9249, 13.21516
485.4070, 11.61702
485.8892, 10.21491
486.3713, 10.00079
486.8534, 12.71703
487.3355, 14.02229
487.8176, 12.92141
488.2997, 10.61939
488.7819, 9.824162
489.2640, 11.35474
489.7461, 12.53974
490.2282, 12.42606
490.7103, 10.84737
491.1924, 10.01823
491.6746, 10.08448
492.1567, 10.35112
492.6388, 10.11512
493.1209, 9.456501
493.6030, 9.429203
494.0851, 10.30487
494.5673, 11.28269
495.0494, 11.13977
495.5315, 10.17570
496.0136, 9.460709
496.4957, 9.597107
496.9778, 10.18994
497.4600, 10.85818
497.9421, 11.54256
498.4242, 12.16354
498.9063, 12.75439
499.3884, 13.30797
499.8705, 13.78926
500.3527, 14.13367
500.8348, 14.28855
501.3169, 14.10249
501.7990, 13.73178
502.2811, 13.43858
502.7632, 12.67829
503.2454, 12.71331
503.7275, 14.47108
504.2096, 17.69226
504.6917, 19.44751
505.1738, 18.91651
505.6559, 17.89776
506.1381, 17.20113
506.6202, 16.72575
507.1023, 17.11593
507.5844, 18.83689
508.0665, 20.85962
508.5486, 21.49039
509.0308, 20.58476
509.5129, 20.13438
509.9950, 20.88597
510.4771, 22.17262
510.9592, 22.41067
511.4413, 21.70667
511.9235, 21.08212
512.4056, 21.47992
512.8877, 22.26012
513.3698, 22.33392
513.8519, 21.56780
514.3340, 20.87792
514.8162, 21.25484
515.2983, 21.92797
515.7804, 21.96341
516.2625, 20.57138
