##NAMES=Diopside
##RRUFFID=R090046
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Green crystals associated with graphite, R090047
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090046
175.5984, 698.0242
176.0806, 706.3191
176.5627, 716.7751
177.0448, 725.8016
177.5269, 730.0719
178.0090, 731.2660
178.4911, 734.2805
178.9733, 741.1611
179.4554, 751.1605
179.9375, 765.1074
180.4196, 783.0981
180.9017, 800.4133
181.3838, 825.3560
181.8660, 849.2498
182.3481, 842.3977
182.8302, 775.5726
183.3123, 669.9117
183.7944, 569.4617
184.2766, 473.5751
184.7587, 389.8073
185.2408, 330.1550
185.7229, 292.3274
186.2050, 261.1481
186.6871, 226.6830
187.1693, 192.1567
187.6514, 170.7609
188.1335, 163.5844
188.6156, 166.7811
189.0977, 177.4896
189.5798, 194.9465
190.0620, 214.1541
190.5441, 230.1183
191.0262, 244.1016
191.5083, 266.4744
191.9904, 303.6321
192.4725, 347.6862
192.9547, 383.6826
193.4368, 411.7279
193.9189, 440.8004
194.4010, 480.9713
194.8831, 530.7103
195.3652, 568.4741
195.8474, 597.0786
196.3295, 606.6752
196.8116, 570.9388
197.2937, 486.6392
197.7758, 390.0560
198.2579, 298.5104
198.7401, 211.8523
199.2222, 131.2457
199.7043, 53.68994
200.1864, 13.81250
200.6685, 50.09473
201.1507, 50.03784
201.6328, 42.98767
202.1149, 45.19531
202.5970, 57.28931
203.0791, 74.06140
203.5612, 97.74048
204.0434, 123.8684
204.5255, 138.5706
205.0076, 139.0687
205.4897, 136.7124
205.9718, 138.7775
206.4539, 146.4960
206.9361, 152.7961
207.4182, 159.3909
207.9003, 163.0814
208.3824, 157.2693
208.8645, 138.7793
209.3466, 119.7785
209.8288, 108.6072
210.3109, 108.3004
210.7930, 103.3001
211.2751, 91.71490
211.7572, 74.76141
212.2393, 55.41547
212.7215, 33.34949
213.2036, 10.47369
213.6857, 12.90948
214.1678, 37.75195
214.6499, 56.37836
215.1320, 64.52863
215.6142, 66.45239
216.0963, 82.86584
216.5784, 122.6638
217.0605, 160.2465
217.5426, 174.7632
218.0247, 151.8535
218.5069, 146.3505
218.9890, 171.4673
219.4711, 219.2812
219.9532, 249.2587
220.4353, 252.5537
220.9175, 253.3837
221.3996, 266.3302
221.8817, 291.9813
222.3638, 326.6111
222.8459, 374.6521
223.3280, 432.8451
223.8102, 476.8528
224.2923, 497.4806
224.7744, 520.4308
225.2565, 562.0878
225.7386, 628.7422
226.2207, 697.9123
226.7029, 762.8235
227.1850, 825.2958
227.6671, 902.0552
228.1492, 1009.818
228.6313, 1109.962
229.1134, 1179.374
229.5956, 1215.401
230.0777, 1230.126
230.5598, 1226.516
231.0419, 1202.578
231.5240, 1144.616
232.0062, 1032.235
232.4883, 914.2972
232.9704, 821.3455
233.4525, 767.3416
233.9346, 708.2512
234.4167, 635.3832
234.8989, 554.3097
235.3810, 491.9874
235.8631, 452.7126
236.3452, 425.2229
236.8273, 403.7508
237.3094, 390.7556
237.7916, 377.7205
238.2737, 362.9340
238.7558, 347.8870
239.2379, 338.4648
239.7200, 337.4401
240.2021, 337.9972
240.6843, 336.6372
241.1664, 332.3585
241.6485, 328.4305
242.1306, 325.0019
242.6127, 322.2895
243.0948, 319.8933
243.5770, 316.2993
244.0591, 315.8154
244.5412, 321.3121
245.0233, 337.6766
245.5054, 349.7185
245.9876, 353.1559
246.4697, 352.6122
246.9518, 364.4938
247.4339, 396.5891
247.9160, 429.7122
248.3981, 452.8022
248.8803, 457.7212
249.3624, 472.4309
249.8445, 498.6748
250.3266, 534.3801
250.8087, 575.2090
251.2908, 623.5568
251.7730, 671.6627
252.2551, 714.0725
252.7372, 745.9279
253.2193, 786.8214
253.7014, 844.9522
254.1835, 907.8998
254.6657, 947.2111
255.1478, 961.6070
255.6299, 954.7330
256.1120, 927.6404
256.5941, 878.9780
