##NAMES=Aravaipaite
##RRUFFID=R100032
##IDEAL CHEMISTRY=Pb_3_AlF_9_&#183;H_2_O
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Transparent sheets, associated with laurelite R100011 and scotlandite R100043
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100032
253.9297, 1348.363
254.4118, 1375.290
254.8940, 1400.247
255.3761, 1421.202
255.8582, 1436.716
256.3403, 1454.204
256.8224, 1473.739
257.3046, 1495.234
257.7867, 1519.030
258.2688, 1548.203
258.7509, 1573.717
259.2330, 1591.671
259.7151, 1600.790
260.1973, 1611.201
260.6794, 1623.847
261.1615, 1636.865
261.6436, 1647.535
262.1257, 1656.135
262.6078, 1661.976
263.0900, 1665.506
263.5721, 1667.144
264.0542, 1661.783
264.5363, 1648.191
265.0184, 1628.848
265.5005, 1606.243
265.9827, 1580.891
266.4648, 1551.160
266.9469, 1516.102
267.4290, 1475.776
267.9111, 1434.693
268.3932, 1393.630
268.8754, 1351.042
269.3575, 1305.016
269.8396, 1254.285
270.3217, 1202.978
270.8038, 1152.123
271.2859, 1101.567
271.7681, 1052.582
272.2502, 1004.941
272.7323, 959.1936
273.2144, 918.0020
273.6965, 882.0383
274.1786, 845.7820
274.6608, 806.7927
275.1429, 765.9583
275.6250, 728.1055
276.1071, 693.4053
276.5892, 661.6582
277.0714, 634.2620
277.5535, 611.2896
278.0356, 589.7156
278.5177, 569.0374
278.9998, 549.1448
279.4819, 529.1440
279.9641, 508.5325
280.4462, 489.7385
280.9283, 474.8494
281.4104, 464.1113
281.8925, 453.5898
282.3746, 442.4719
282.8568, 431.5835
283.3389, 423.5581
283.8210, 418.6978
284.3031, 414.5208
284.7852, 409.1816
285.2673, 402.7864
285.7495, 396.2188
286.2316, 389.5334
286.7137, 382.6516
287.1958, 376.0481
287.6779, 369.8030
288.1600, 361.5876
288.6422, 349.3013
289.1243, 333.0542
289.6064, 316.4905
290.0885, 299.7236
290.5706, 282.0017
291.0527, 261.6008
291.5349, 238.7639
292.0170, 215.3982
292.4991, 191.9663
292.9812, 168.8115
293.4633, 148.8914
293.9454, 132.7280
294.4276, 117.6067
294.9097, 98.93530
295.3918, 77.70435
295.8739, 59.66772
296.3560, 48.37256
296.8381, 42.21997
297.3203, 38.78174
297.8024, 38.33960
298.2845, 38.71631
298.7666, 37.34302
299.2487, 34.87744
299.7308, 33.08716
300.2130, 32.15894
300.6951, 32.55859
301.1772, 35.71362
301.6593, 41.64844
302.1414, 47.62207
302.6235, 50.74976
303.1057, 52.25146
303.5878, 54.77881
304.0699, 60.54590
304.5520, 66.67334
305.0341, 69.73706
305.5162, 69.97119
305.9984, 69.00903
306.4805, 66.48633
306.9626, 63.91992
307.4447, 63.77417
307.9268, 67.58838
308.4089, 72.61816
308.8911, 76.34229
309.3732, 79.10913
309.8553, 82.41846
310.3374, 86.37451
310.8195, 91.63086
311.3016, 99.25146
311.7838, 110.4912
312.2659, 121.8965
312.7480, 131.0400
313.2301, 138.6133
313.7122, 146.3330
314.1943, 154.9702
314.6765, 164.1021
315.1586, 173.8733
315.6407, 184.9507
316.1228, 194.4402
316.6049, 200.1311
317.0870, 203.4058
317.5692, 206.5833
318.0513, 212.6230
318.5334, 216.9420
319.0155, 217.1626
319.4976, 212.7080
319.9797, 206.1211
320.4619, 197.2429
320.9440, 186.8685
321.4261, 176.1372
321.9082, 165.9895
322.3903, 154.6615
322.8724, 141.1227
323.3546, 125.3236
323.8367, 109.9155
324.3188, 96.02075
324.8009, 82.33069
325.2830, 68.11487
325.7651, 50.83911
326.2473, 35.60693
326.7294, 24.12549
327.2115, 15.91272
327.6936, 6.878784
328.1757, 4.598145
328.6578, 15.70703
329.1400, 25.11780
329.6221, 31.50635
330.1042, 37.75525
330.5863, 44.45996
331.0684, 51.14978
331.5505, 56.04248
332.0327, 57.94897
332.5148, 59.66077
332.9969, 62.46411
333.4790, 66.84875
333.9611, 70.55615
334.4432, 73.98022
334.9254, 76.56580
335.4075, 76.84399
335.8896, 73.24182
336.3717, 70.70483
336.8538, 71.45740
337.3359, 76.18054
337.8180, 77.11804
338.3001, 72.97986
338.7823, 66.99646
339.2644, 62.59827
339.7465, 59.95166
340.2286, 58.30396
340.7107, 57.96838
341.1928, 58.62830
341.6750, 57.28845
342.1571, 53.79846
342.6392, 49.23291
343.1213, 44.08594
343.6034, 38.33423
344.0855, 33.65894
344.5677, 30.69434
345.0498, 28.60022
345.5319, 25.70850
346.0140, 22.05591
346.4961, 16.59924
346.9782, 7.365356
347.4604, 4.692871
347.9425, 14.40527
348.4246, 20.88245
348.9067, 26.38074
349.3888, 34.09558
349.8709, 43.77490
350.3531, 53.92505
350.8352, 63.82056
351.3173, 73.67432
351.7994, 84.04236
352.2815, 94.96008
352.7636, 105.9805
353.2458, 115.6675
353.7279, 125.1647
354.2100, 136.9451
354.6921, 154.0261
355.1742, 172.3473
355.6563, 187.4049
356.1385, 199.4664
356.6206, 211.6066
357.1027, 226.2332
357.5848, 241.9539
358.0669, 257.2190
358.5490, 271.3311
359.0312, 285.1837
359.5133, 298.5526
359.9954, 311.9548
360.4775, 327.1830
360.9596, 346.9286
361.4417, 367.6608
361.9239, 386.7883
362.4060, 403.0121
362.8881, 420.1136
363.3702, 441.2135
363.8523, 463.7090
364.3344, 483.6683
364.8166, 497.3839
365.2987, 510.8917
365.7808, 526.9397
366.2629, 546.2200
366.7450, 563.0070
367.2271, 575.1047
367.7093, 585.2209
368.1914, 595.5892
368.6735, 609.8711
369.1556, 620.3528
369.6377, 624.5867
370.1198, 623.4355
370.6020, 623.2377
371.0841, 625.3866
371.5662, 626.9952
372.0483, 626.6523
372.5304, 624.0178
373.0125, 620.0438
373.4947, 614.5013
373.9768, 607.7866
374.4589, 600.6097
374.9410, 592.6844
375.4231, 584.9460
375.9052, 578.0115
376.3874, 572.1558
376.8695, 563.4939
377.3516, 550.8065
377.8337, 537.3038
378.3158, 526.8641
378.7979, 519.9099
379.2801, 512.2139
379.7622, 501.5492
380.2443, 489.3726
380.7264, 481.9701
381.2085, 479.7806
381.6906, 479.4655
382.1728, 477.9430
382.6549, 475.6320
383.1370, 475.5948
383.6191, 478.7726
384.1012, 483.6202
384.5833, 487.6748
385.0655, 491.0143
385.5476, 494.4286
386.0297, 497.9531
386.5118, 501.5460
386.9939, 505.7557
387.4760, 510.8145
387.9582, 515.5095
388.4403, 518.8309
388.9224, 520.9564
389.4045, 522.3209
389.8866, 523.3855
390.3687, 523.8909
390.8509, 522.7068
391.3330, 519.9949
391.8151, 518.5334
392.2972, 521.2385
392.7793, 525.4023
393.2614, 528.5034
393.7436, 529.3003
394.2257, 530.0989
394.7078, 530.7676
395.1899, 531.6556
395.6720, 534.5087
396.1541, 542.1538
396.6363, 550.6777
397.1184, 558.3284
397.6005, 565.0302
398.0826, 570.1234
398.5647, 574.2800
399.0468, 576.3826
399.5290, 575.2579
400.0111, 571.2793
400.4932, 563.8579
400.9753, 552.5823
401.4574, 537.4381
401.9395, 520.3566
402.4217, 501.8104
402.9038, 480.4529
403.3859, 454.9548
403.8680, 422.9796
404.3501, 392.4592
404.8322, 364.2667
405.3144, 338.2764
405.7965, 314.6072
406.2786, 293.4396
406.7607, 272.6670
407.2428, 250.6938
407.7249, 227.3522
408.2071, 208.4219
408.6892, 194.2634
409.1713, 182.9128
409.6534, 172.2534
410.1355, 162.3141
410.6176, 153.0372
411.0998, 143.9956
411.5819, 135.6870
412.0640, 129.9677
412.5461, 126.7997
413.0282, 123.4994
413.5103, 117.6084
413.9925, 110.2336
414.4746, 103.4854
414.9567, 97.61072
415.4388, 92.67822
415.9209, 88.75439
416.4030, 85.78113
416.8852, 83.47876
417.3673, 82.74524
417.8494, 81.99658
418.3315, 79.52380
418.8136, 75.24390
419.2957, 71.29016
419.7779, 68.76624
420.2600, 67.21851
420.7421, 66.25085
421.2242, 66.60229
421.7063, 66.60986
422.1884, 64.92310
422.6706, 62.25476
423.1527, 61.20996
423.6348, 65.05750
424.1169, 68.56299
424.5990, 68.96545
425.0811, 63.70703
425.5633, 60.80823
426.0454, 62.61548
426.5275, 66.07556
427.0096, 67.19470
427.4917, 63.59961
427.9738, 61.28442
428.4560, 61.92114
428.9381, 65.34436
429.4202, 67.56995
429.9023, 68.18994
430.3844, 68.25842
430.8665, 68.56506
431.3487, 69.26868
431.8308, 68.94812
432.3129, 66.69763
432.7950, 64.41785
433.2771, 66.87280
433.7592, 74.20032
434.2414, 81.17688
434.7235, 84.61169
435.2056, 85.61414
435.6877, 89.22717
436.1698, 95.66101
436.6519, 101.5670
437.1341, 102.8455
437.6162, 100.9880
438.0983, 99.88855
438.5804, 101.3334
439.0625, 102.9148
439.5446, 101.8004
440.0268, 98.43616
440.5089, 94.41028
440.9910, 89.37073
441.4731, 84.86279
441.9552, 82.62085
442.4373, 83.29150
442.9195, 83.81580
443.4016, 81.65149
443.8837, 78.79297
444.3658, 77.66846
444.8479, 80.07019
445.3300, 83.24048
445.8122, 86.29565
446.2943, 89.28003
446.7764, 93.06091
447.2585, 98.61572
447.7406, 104.3354
448.2227, 109.4574
448.7049, 113.6877
449.1870, 117.7773
449.6691, 121.8561
450.1512, 125.7124
450.6333, 128.8621
451.1154, 131.0804
451.5976, 133.1447
452.0797, 135.2566
452.5618, 137.4006
453.0439, 139.1115
453.5260, 140.1591
454.0081, 141.3171
454.4903, 142.8228
454.9724, 144.6709
455.4545, 148.2903
455.9366, 153.8986
456.4187, 161.1749
456.9008, 169.7083
457.3830, 179.5400
457.8651, 189.8571
458.3472, 200.1377
458.8293, 210.8505
459.3114, 223.7914
459.7935, 238.8240
460.2757, 253.3582
460.7578, 265.2682
461.2399, 275.2314
461.7220, 284.1151
462.2041, 292.1761
462.6862, 299.3429
463.1684, 306.8888
463.6505, 313.6005
464.1326, 316.4637
464.6147, 314.9813
465.0968, 308.7560
465.5789, 296.2360
466.0611, 276.4761
466.5432, 257.5350
467.0253, 242.4971
467.5074, 228.2484
467.9895, 212.2399
468.4716, 191.8784
468.9538, 172.4637
469.4359, 154.1592
469.9180, 137.1614
470.4001, 122.2190
470.8822, 110.1447
471.3643, 98.82642
471.8465, 87.20740
472.3286, 75.10181
472.8107, 64.99976
473.2928, 57.29712
473.7749, 50.98499
474.2570, 45.42285
474.7392, 40.61853
475.2213, 35.44641
475.7034, 29.24670
476.1855, 23.00171
476.6676, 19.08899
477.1497, 17.30798
477.6319, 15.81836
478.1140, 13.07861
478.5961, 10.05225
479.0782, 8.671021
479.5603, 9.150513
480.0424, 9.622192
480.5246, 8.268799
481.0067, 6.067993
481.4888, 4.498169
481.9709, 4.493896
482.4530, 4.523193
482.9352, 3.701904
483.4173, 2.221924
483.8994, 0.6850590
484.3815, 0.9692380
484.8636, 2.466064
485.3457, 3.696167
485.8279, 4.500366
486.3100, 5.405029
486.7921, 6.801392
487.2742, 8.065063
487.7563, 8.597290
488.2384, 7.746582
488.7206, 7.269531
489.2027, 7.347168
489.6848, 7.937378
490.1669, 9.127441
490.6490, 11.31445
491.1311, 12.79565
491.6133, 12.36646
492.0954, 10.08386
492.5775, 8.880859
493.0596, 9.113525
493.5417, 9.055908
494.0238, 6.429810
494.5060, 1.742920
494.9881, 2.581787
495.4702, 5.803223
495.9523, 8.479614
496.4344, 11.25671
496.9165, 14.10034
497.3987, 16.83521
497.8808, 18.46863
498.3629, 20.49731
498.8450, 24.84021
499.3271, 31.78967
499.8092, 38.34644
500.2914, 42.21265
500.7735, 45.30566
501.2556, 49.58301
501.7377, 56.81909
502.2198, 63.61670
502.7019, 68.61658
503.1841, 72.66211
503.6662, 78.08838
504.1483, 86.81189
504.6304, 95.17822
505.1125, 101.5546
505.5946, 105.5867
506.0768, 112.3505
506.5589, 122.9381
