##NAMES=Gartrellite
##RRUFFID=R060881
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^Fe^3+^(As^5+^O_4_)_2_(OH)&#183;H_2_O
##LOCALITY=Ashburton Downs, Western Australia
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Yellow grainy incrustations
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060881
##MEASURED CHEMISTRY=Pb_1.00_Cu_1.00_(Fe^3+^_0.77_Cu_0.18_Al_0.04_Zn_0.01_)_Σ=1_((As_0.97_S_0.03_)_Σ=1_O_4_)_2_(OH)_0.87_·H_2_O; trace amounts of P; OH estimated by charge balance, H_2_O by difference
402.1199, 479.4968
402.6020, 458.3608
403.0841, 428.8474
403.5662, 400.9578
404.0483, 373.6426
404.5305, 352.9739
405.0126, 340.6553
405.4947, 332.2974
405.9768, 328.2368
406.4589, 326.4622
406.9410, 323.4883
407.4231, 317.2627
407.9052, 308.4639
408.3874, 298.4229
408.8695, 284.4749
409.3516, 275.1204
409.8337, 276.3787
410.3158, 279.3040
410.7979, 275.5642
411.2801, 264.4487
411.7622, 254.8765
412.2443, 257.5986
412.7264, 269.2834
413.2085, 270.9495
413.6906, 256.0823
414.1728, 243.4016
414.6549, 250.4583
415.1370, 269.4905
415.6191, 283.9199
416.1012, 287.9468
416.5833, 289.4448
417.0655, 294.9099
417.5476, 302.7920
418.0297, 307.9895
418.5118, 308.5750
418.9939, 305.7600
419.4760, 300.5698
419.9582, 288.4302
420.4403, 286.2615
420.9224, 299.4226
421.4045, 318.9966
421.8866, 342.8516
422.3687, 368.0024
422.8509, 387.4280
423.3330, 395.2847
423.8151, 393.3835
424.2972, 393.7441
424.7793, 398.0630
425.2614, 402.2688
425.7436, 403.5498
426.2257, 405.5659
426.7078, 413.7717
427.1899, 429.0493
427.6720, 443.0508
428.1541, 444.2959
428.6363, 434.0825
429.1184, 430.7380
429.6005, 438.6958
430.0826, 448.8621
430.5647, 454.4749
431.0468, 457.2917
431.5290, 461.7158
432.0111, 471.1804
432.4932, 480.6404
432.9753, 483.7761
433.4574, 482.5962
433.9395, 485.9805
434.4217, 498.2913
434.9038, 514.5154
435.3859, 525.5884
435.8680, 530.2703
436.3501, 530.5339
436.8322, 519.7654
437.3144, 510.8416
437.7965, 516.2803
438.2786, 533.3000
438.7607, 547.8691
439.2428, 548.6409
439.7249, 539.3076
440.2071, 542.4153
440.6892, 570.6255
441.1713, 590.7295
441.6534, 589.5435
442.1355, 582.4141
442.6176, 584.0315
443.0998, 598.0688
443.5819, 617.1289
444.0640, 634.1819
444.5461, 649.6133
445.0282, 667.5120
445.5103, 688.8418
445.9925, 711.0554
446.4746, 730.6907
446.9567, 749.6106
447.4388, 773.4094
447.9209, 803.7571
448.4030, 838.4966
448.8852, 875.3462
449.3673, 915.5237
449.8494, 962.8782
450.3315, 1019.719
450.8136, 1079.702
451.2957, 1133.341
451.7779, 1177.017
452.2600, 1227.139
452.7421, 1278.870
453.2242, 1341.165
453.7063, 1419.827
454.1884, 1513.055
454.6706, 1618.815
455.1527, 1737.379
455.6348, 1861.294
456.1169, 1966.951
456.5990, 2044.655
457.0811, 2131.065
457.5633, 2244.826
458.0454, 2361.221
458.5275, 2470.087
459.0096, 2568.243
459.4917, 2647.460
459.9738, 2700.972
460.4560, 2732.376
460.9381, 2750.277
461.4202, 2755.181
461.9023, 2739.199
462.3844, 2692.040
462.8665, 2623.508
463.3487, 2562.209
463.8308, 2518.347
464.3129, 2463.416
464.7950, 2388.781
465.2771, 2299.421
465.7592, 2198.937
466.2414, 2088.770
466.7235, 1972.843
467.2056, 1852.743
467.6877, 1728.506
468.1698, 1626.160
468.6519, 1561.973
469.1341, 1502.427
469.6162, 1442.151
470.0983, 1382.713
470.5804, 1323.577
471.0625, 1264.765
471.5446, 1212.970
472.0268, 1179.401
472.5089, 1162.324
472.9910, 1138.557
473.4731, 1104.138
473.9552, 1065.939
474.4373, 1023.091
474.9195, 980.7583
475.4016, 952.5950
475.8837, 948.7874
476.3658, 950.7849
476.8479, 948.9741
477.3300, 944.3501
477.8121, 937.8389
478.2943, 929.6152
478.7764, 924.1897
479.2585, 926.0085
479.7406, 934.3997
480.2227, 942.2161
480.7048, 950.5537
481.1870, 959.7019
481.6691, 969.9915
482.1512, 980.6616
482.6333, 989.7861
483.1154, 996.5996
483.5975, 1005.884
484.0797, 1026.157
484.5618, 1058.383
485.0439, 1091.055
485.5260, 1122.804
486.0081, 1156.055
486.4902, 1194.113
486.9724, 1234.667
487.4545, 1269.716
487.9366, 1285.792
488.4187, 1303.449
488.9008, 1347.359
489.3829, 1412.857
489.8651, 1478.040
490.3472, 1534.829
490.8293, 1585.826
491.3114, 1632.153
491.7935, 1669.651
492.2756, 1702.874
492.7578, 1727.880
493.2399, 1756.856
493.7220, 1802.268
494.2041, 1856.996
