##NAMES=Scotlandite
##RRUFFID=R100043
##IDEAL CHEMISTRY=PbS^4+^O_3_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless, elongated tabular crystals associated with aravaipaite R100032 and laurelite R100011
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100043
178.3845, 191.8571
178.8666, 206.9577
179.3488, 220.6706
179.8309, 235.3274
180.3130, 254.0773
180.7951, 279.0582
181.2772, 300.9039
181.7593, 316.9420
182.2415, 332.0828
182.7236, 350.0647
183.2057, 372.3985
183.6878, 395.5104
184.1699, 414.0381
184.6520, 425.8968
185.1342, 437.4107
185.6163, 449.8961
186.0984, 461.2107
186.5805, 469.4790
187.0626, 474.2288
187.5447, 475.3332
188.0269, 471.6993
188.5090, 462.9617
188.9911, 452.2544
189.4732, 440.2795
189.9553, 426.7998
190.4374, 411.1315
190.9196, 392.3033
191.4017, 372.4752
191.8838, 354.0178
192.3659, 336.7628
192.8480, 321.8621
193.3301, 310.8080
193.8123, 302.4696
194.2944, 293.1420
194.7765, 281.1435
195.2586, 269.2039
195.7407, 260.0991
196.2228, 253.9149
196.7050, 248.7193
197.1871, 243.4066
197.6692, 237.7506
198.1513, 231.0061
198.6334, 222.3995
199.1155, 213.2988
199.5977, 204.5296
200.0798, 196.1500
200.5619, 188.0632
201.0440, 179.7845
201.5261, 170.9702
202.0082, 163.7200
202.4904, 161.1901
202.9725, 158.2720
203.4546, 151.7509
203.9367, 141.4972
204.4188, 130.1786
204.9009, 121.3038
205.3831, 115.7875
205.8652, 110.0540
206.3473, 104.2723
206.8294, 98.05389
207.3115, 90.61172
207.7936, 82.14267
208.2758, 74.02539
208.7579, 68.36667
209.2400, 66.66119
209.7221, 64.04239
210.2042, 59.95973
210.6863, 55.58064
211.1685, 51.55652
211.6506, 48.06067
212.1327, 45.00284
212.6148, 42.29671
213.0969, 40.57053
213.5790, 37.84950
214.0612, 33.24475
214.5433, 28.28497
215.0254, 23.85175
215.5075, 20.25876
215.9896, 17.60675
216.4717, 16.18269
216.9539, 16.64368
217.4360, 16.84651
217.9181, 17.12312
218.4002, 16.95467
218.8823, 15.62257
219.3644, 12.95628
219.8466, 9.730194
220.3287, 6.748703
220.8108, 3.799240
221.2929, 2.097351
221.7750, 2.823868
222.2571, 4.517410
222.7393, 5.393646
223.2214, 5.061142
223.7035, 4.059525
224.1856, 2.852448
224.6677, 1.456512
225.1498, 0.1236880
225.6320, 1.274216
226.1141, 2.518646
226.5962, 3.100143
227.0783, 2.738586
227.5604, 2.283508
228.0425, 2.792313
228.5247, 4.004898
229.0068, 4.960754
229.4889, 5.065338
229.9710, 4.681351
230.4531, 4.651917
230.9352, 5.199051
231.4174, 5.759140
231.8995, 5.969131
232.3816, 5.883682
232.8637, 5.573303
233.3458, 4.626694
233.8279, 3.425598
234.3101, 3.495392
234.7922, 5.902267
235.2743, 7.805984
235.7564, 7.108444
236.2385, 4.802475
236.7206, 2.902527
237.2028, 2.760117
237.6849, 3.941467
238.1670, 4.602295
238.6491, 4.493591
239.1312, 4.181412
239.6133, 4.120026
240.0955, 4.054245
240.5776, 3.431442
241.0597, 1.578781
241.5418, 1.022629
242.0239, 1.843506
242.5060, 0.8568420
242.9882, 3.020004
243.4703, 3.159988
243.9524, 2.121307
244.4345, 1.186539
244.9166, 1.131638
245.3987, 1.710861
245.8809, 1.707306
246.3630, 0.5436860
246.8451, 0.4995880
247.3272, 1.140060
247.8093, 1.507492
248.2914, 1.879028
248.7736, 2.445435
249.2557, 2.993332
249.7378, 2.580093
250.2199, 0.8694000
250.7020, 2.652603
251.1841, 0.8873290
251.6663, 2.416382
252.1484, 5.017365
252.6305, 5.846069
253.1126, 5.189178
253.5947, 3.874619
254.0768, 3.9641999E-02
254.5590, 2.149719
255.0411, 1.068604
255.5232, 1.492905
256.0053, 3.782669
256.4874, 5.052078
256.9695, 5.529892
257.4517, 5.767715
257.9338, 5.252655
258.4159, 5.116989
258.8980, 5.942245
259.3801, 6.908463
259.8622, 6.943680
260.3444, 5.699295
260.8265, 3.982323
261.3086, 3.325439
261.7907, 4.508369
262.2728, 5.618896
262.7549, 6.549942
263.2371, 7.440208
263.7192, 8.648636
264.2013, 10.23871
264.6834, 11.53608
265.1655, 11.38117
265.6476, 8.624374
266.1298, 7.279739
266.6119, 8.571899
267.0940, 10.66990
267.5761, 11.91383
268.0582, 11.98710
268.5403, 11.53105
269.0225, 11.25837
269.5046, 11.23754
269.9867, 11.10653
270.4688, 10.72831
270.9509, 10.32104
271.4330, 10.01769
271.9152, 9.846695
272.3973, 9.865059
272.8794, 10.11440
273.3615, 10.62914
273.8436, 11.47076
274.3257, 12.98923
274.8079, 14.58856
275.2900, 15.96162
275.7721, 17.05595
276.2542, 17.56613
276.7363, 17.00947
277.2184, 15.55188
277.7006, 14.78020
278.1827, 15.37608
278.6648, 16.13537
279.1469, 16.16389
279.6290, 15.53475
280.1111, 14.84587
280.5933, 14.24597
281.0754, 13.96964
281.5575, 14.51851
282.0396, 16.21363
282.5217, 18.32133
283.0038, 20.79005
283.4860, 23.42528
283.9681, 25.38114
284.4502, 26.43156
284.9323, 26.41579
285.4144, 24.94180
285.8965, 21.09339
286.3787, 17.86965
286.8608, 17.63144
287.3429, 19.60563
287.8250, 20.71436
288.3071, 19.51308
288.7892, 17.52036
289.2714, 17.19143
289.7535, 18.76468
290.2356, 20.03899
290.7177, 19.49800
291.1998, 17.90898
291.6819, 17.32475
292.1641, 18.39547
292.6462, 19.78606
293.1283, 20.28236
293.6104, 20.13625
294.0925, 19.86761
294.5746, 19.44464
295.0568, 18.89786
295.5389, 18.25601
296.0210, 17.34461
296.5031, 17.08731
296.9852, 19.26467
297.4673, 22.88573
297.9495, 25.13907
298.4316, 24.30007
298.9137, 22.00229
299.3958, 20.61908
299.8779, 20.23443
300.3600, 19.70648
300.8422, 18.04684
301.3243, 16.00470
301.8064, 14.81921
302.2885, 15.16154
302.7706, 15.97576
303.2527, 15.89893
303.7349, 14.87931
304.2170, 14.47681
304.6991, 16.22540
305.1812, 18.54807
305.6633, 19.31055
306.1454, 17.87818
306.6276, 16.08484
307.1097, 15.51038
307.5918, 16.05900
308.0739, 16.56357
308.5560, 16.92693
309.0381, 17.27664
309.5203, 17.52845
310.0024, 17.54553
310.4845, 17.64703
310.9666, 18.35371
311.4487, 19.42322
311.9308, 19.52847
312.4130, 18.16634
312.8951, 16.50564
313.3772, 15.45392
313.8593, 14.88875
314.3414, 14.65448
314.8235, 15.13323
315.3057, 15.92305
315.7878, 15.76252
316.2699, 14.06435
316.7520, 12.67912
317.2341, 13.37447
317.7162, 15.33112
318.1984, 16.90855
318.6805, 17.47689
319.1626, 17.35590
319.6447, 17.03790
320.1268, 16.51476
320.6089, 15.76630
321.0911, 14.20954
321.5732, 12.63474
322.0553, 12.18655
322.5374, 13.35394
323.0195, 15.00088
323.5016, 16.33572
323.9838, 17.38246
324.4659, 17.42146
324.9480, 15.17661
325.4301, 12.44688
325.9122, 11.59734
326.3943, 13.06940
326.8765, 14.79613
327.3586, 15.36548
327.8407, 14.96461
328.3228, 14.53915
328.8049, 14.37264
329.2870, 14.11354
329.7692, 13.24909
330.2513, 11.85331
