##NAMES=Enstatite
##RRUFFID=R120168
##IDEAL CHEMISTRY=MgSiO_3_
##LOCALITY=Merensky Reef, Rustenburg, Brushveld District, South Africa
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Dark green, massive
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120168
258.4940, 2.886536
258.9761, 3.185425
259.4582, 1.343506
259.9403, 0.1993410
260.4224, 0.3157350
260.9045, 0.2716060
261.3867, 0.7285770
261.8688, 2.478149
262.3509, 3.968323
262.8330, 3.909851
263.3151, 1.544861
263.7972, 0.4205930
264.2794, 1.338867
264.7615, 2.555542
265.2436, 3.032898
265.7257, 2.805969
266.2078, 2.663208
266.6899, 3.495117
267.1721, 5.643372
267.6542, 6.447632
268.1363, 5.227600
268.6184, 3.591614
269.1005, 2.039856
269.5826, 0.7255860
270.0648, 0.1832890
270.5469, 0.5029300
271.0290, 0.2061770
271.5111, 2.9479999E-02
271.9932, 0.4796140
272.4753, 0.5336910
272.9575, 0.7673950
273.4396, 2.905579
273.9217, 4.417786
274.4038, 4.226624
274.8859, 2.504150
275.3680, 1.374573
275.8501, 1.136292
276.3322, 1.004028
276.8144, 0.8048100
277.2965, 0.5128780
277.7786, 8.7219000E-02
278.2607, 0.5108640
278.7428, 1.234497
279.2249, 1.886353
279.7071, 2.453979
280.1892, 2.984863
280.6713, 3.520630
281.1534, 4.026367
281.6355, 4.473938
282.1176, 4.873779
282.5998, 5.140930
283.0819, 4.968201
283.5640, 3.873962
284.0461, 3.298340
284.5282, 3.976135
285.0103, 5.237976
285.4925, 5.938171
285.9746, 5.624146
286.4567, 5.157959
286.9388, 6.252258
287.4209, 9.622437
287.9030, 11.98566
288.3852, 12.25616
288.8673, 11.47003
289.3494, 10.72571
289.8315, 10.25720
290.3136, 10.08295
290.7957, 10.35791
291.2779, 11.18066
291.7600, 11.60522
292.2421, 11.47473
292.7242, 10.93518
293.2063, 9.868042
293.6884, 8.277527
294.1706, 6.967224
294.6527, 6.826904
295.1348, 7.882385
295.6169, 8.501526
296.0990, 8.256042
296.5811, 7.826599
297.0633, 7.934875
297.5454, 8.526550
298.0275, 8.647034
298.5096, 7.281494
298.9917, 4.842529
299.4738, 3.860596
299.9560, 5.375122
300.4381, 7.367554
300.9202, 8.940613
301.4023, 10.06750
301.8844, 10.61407
302.3665, 10.23486
302.8487, 9.429138
303.3308, 9.707397
303.8129, 11.70654
304.2950, 13.63202
304.7771, 14.50299
