##NAMES=Vanadiocarpholite
##RRUFFID=R080099
##IDEAL CHEMISTRY=Mn^2+^V^3+^AlSi_2_O_6_(OH)_4_
##LOCALITY=Molinello mine, Graveglia Valley, Ne, Genova Province, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellow brown fibrous, associated with quartz crystals on matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R080099
205.6509, 14.35651
206.1331, 14.06569
206.6152, 13.94344
207.0973, 14.08052
207.5794, 14.31378
208.0615, 14.08701
208.5436, 13.26686
209.0258, 12.33524
209.5079, 11.53267
209.9900, 10.81934
210.4721, 10.45575
210.9542, 10.57704
211.4363, 11.02162
211.9185, 11.23306
212.4006, 11.13322
212.8827, 10.96487
213.3648, 10.96013
213.8469, 11.29474
214.3290, 11.10005
214.8112, 10.08701
215.2933, 8.547791
215.7754, 7.519745
216.2575, 7.171341
216.7396, 7.011795
217.2217, 6.847504
217.7039, 6.853699
218.1860, 6.261642
218.6681, 4.721802
219.1502, 2.596802
219.6323, 1.276520
220.1144, 1.058716
220.5966, 1.156601
221.0787, 1.165558
221.5608, 1.098312
222.0429, 0.9123540
222.5250, 0.5935670
223.0071, 0.1571660
223.4893, 0.3460240
223.9714, 0.9882280
224.4535, 1.588425
224.9356, 2.060959
225.4177, 2.395744
225.8998, 2.609268
226.3820, 2.660889
226.8641, 2.597641
227.3462, 2.572258
227.8283, 2.573547
228.3104, 2.631012
228.7925, 2.796761
229.2747, 3.245087
229.7568, 3.400047
230.2389, 3.143471
230.7210, 2.599724
231.2031, 2.164185
231.6852, 1.868828
232.1674, 1.637177
232.6495, 1.453300
233.1316, 1.395004
233.6137, 1.192955
234.0958, 0.7229230
234.5779, 0.1308900
235.0601, 0.1334920
235.5422, 0.1502000
236.0243, 0.4355470
236.5064, 0.4587400
236.9885, 3.8910002E-02
237.4706, 0.2324370
237.9528, 0.2621000
238.4349, 0.1653750
238.9170, 0.2603610
239.3991, 0.7575070
239.8812, 1.130096
240.3633, 1.079620
240.8455, 0.2225650
241.3276, 8.1284001E-02
241.8097, 0.4078370
242.2918, 1.364655
242.7739, 2.064301
243.2560, 2.092682
243.7382, 2.802078
244.2203, 3.397812
244.7024, 3.885849
245.1845, 3.945724
245.6666, 4.557495
246.1487, 4.947388
246.6309, 5.327774
247.1130, 6.015778
247.5951, 6.135391
248.0772, 6.817490
248.5593, 7.274429
249.0414, 7.833755
249.5236, 8.169891
250.0057, 8.574265
250.4878, 9.200928
250.9699, 9.703796
251.4520, 10.01221
251.9341, 10.57513
252.4163, 10.68219
252.8984, 11.18846
253.3805, 11.86674
253.8626, 12.18440
254.3447, 12.74936
254.8268, 13.21965
255.3090, 13.56508
255.7911, 14.21809
256.2732, 14.99887
256.7553, 15.78723
257.2374, 16.67828
257.7195, 17.48582
258.2017, 17.91432
258.6838, 17.69833
259.1659, 17.73485
259.6480, 18.38116
260.1301, 19.67189
260.6122, 20.45992
261.0944, 20.57907
261.5765, 20.40292
262.0586, 20.28969
262.5407, 20.20091
263.0228, 20.28496
263.5049, 20.59294
263.9871, 21.12268
264.4692, 21.74998
264.9513, 22.58565
265.4334, 23.35318
265.9155, 23.77939
266.3976, 23.76050
266.8798, 23.71321
267.3619, 23.67061
267.8440, 23.64894
268.3261, 23.78560
268.8082, 24.09978
269.2903, 24.52870
269.7725, 25.05917
270.2546, 25.72731
270.7367, 26.29491
271.2188, 26.71777
271.7009, 27.01004
272.1830, 27.15269
272.6652, 27.00423
273.1473, 27.08939
273.6294, 27.91336
274.1115, 29.64565
274.5936, 31.05928
275.0757, 31.98993
275.5579, 32.56854
276.0400, 33.11311
276.5221, 33.61313
277.0042, 34.11626
277.4863, 34.59285
277.9684, 35.03862
278.4506, 35.69482
278.9327, 36.63403
279.4148, 37.71167
279.8969, 38.58614
280.3790, 39.21542
280.8611, 39.88864
281.3433, 40.72098
281.8254, 41.71013
282.3075, 42.88501
282.7896, 44.28531
283.2717, 45.83971
283.7538, 47.55922
284.2360, 49.47342
284.7181, 51.10469
285.2002, 51.95851
285.6823, 52.18018
286.1644, 53.25362
286.6465, 55.32401
287.1287, 57.61662
287.6108, 58.99060
288.0929, 59.53601
288.5750, 60.49107
289.0571, 62.60149
289.5392, 65.48439
290.0214, 67.54460
290.5035, 68.71118
290.9856, 69.55324
291.4677, 70.49385
291.9498, 71.59137
292.4319, 73.08426
292.9141, 75.19412
293.3962, 77.61041
293.8783, 79.72331
294.3604, 81.53860
294.8425, 83.19742
295.3246, 84.70091
295.8068, 86.10721
296.2889, 87.61899
296.7710, 89.33961
297.2531, 91.19463
297.7352, 93.05620
298.2173, 94.89645
298.6995, 96.61920
299.1816, 97.94389
299.6637, 99.17723
300.1458, 100.8432
300.6279, 103.0741
301.1100, 105.6452
301.5922, 108.5155
302.0743, 111.5562
302.5564, 114.2465
303.0385, 116.4356
303.5206, 118.0434
304.0027, 118.7405
304.4849, 118.2244
304.9670, 117.8261
305.4491, 119.0660
305.9312, 121.4305
306.4133, 123.6889
306.8954, 125.3023
307.3776, 126.4798
307.8597, 127.2848
308.3418, 127.7011
308.8239, 128.1624
309.3060, 129.0255
309.7881, 130.1549
310.2703, 131.3113
310.7524, 132.5163
311.2345, 133.6359
311.7166, 134.5488
312.1987, 135.2619
312.6808, 135.8593
313.1630, 136.4774
313.6451, 136.9745
314.1272, 137.2041
314.6093, 137.0678
315.0914, 136.6867
