##NAMES=Arsenuranospathite
##RRUFFID=R100008
##IDEAL CHEMISTRY=Al(U^6+^O_2_)_2_(As^5+^O_4_)_2_F&#183;20H_2_O
##LOCALITY=Krunkelbach valley, Menzenschwand, Schwarzwald, Germany
##OWNER=RRUFF
##SOURCE=William Pinch
##DESCRIPTION=Blocky aggregates of yellowish-brown platy crystals, cell parameters are consistent with a partially dehydrated sample
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100008
246.4225, 34.18610
246.9047, 30.81702
247.3868, 29.31299
247.8689, 31.37036
248.3510, 34.65448
248.8331, 35.93640
249.3152, 34.80835
249.7974, 35.90985
250.2795, 45.56396
250.7616, 57.73590
251.2437, 63.49268
251.7258, 59.03699
252.2079, 50.69098
252.6901, 44.76135
253.1722, 41.22357
253.6543, 40.49304
254.1364, 44.85443
254.6185, 51.37701
255.1006, 57.53784
255.5828, 62.87036
256.0649, 67.47278
256.5470, 70.83539
257.0291, 72.52197
257.5112, 75.70575
257.9933, 83.90192
258.4755, 92.80219
258.9576, 98.87787
259.4397, 101.1189
259.9218, 102.3822
260.4039, 106.4169
260.8860, 113.8971
261.3682, 120.2657
261.8503, 124.2990
262.3324, 126.8883
262.8145, 127.4484
263.2966, 126.0514
263.7787, 125.5488
264.2609, 129.8275
264.7430, 139.8895
265.2251, 149.1143
265.7072, 157.6851
266.1893, 164.2484
266.6714, 166.6834
267.1536, 165.3909
267.6357, 164.0491
268.1178, 167.0895
268.5999, 175.5010
269.0820, 182.4631
269.5641, 187.5351
270.0463, 191.1030
270.5284, 192.8698
271.0105, 193.0543
271.4926, 192.3439
271.9747, 190.8970
272.4568, 188.3941
272.9390, 187.9114
273.4211, 192.8857
273.9032, 196.9186
274.3853, 197.2455
274.8674, 194.5804
275.3495, 191.4606
275.8317, 190.2275
276.3138, 190.9424
276.7959, 189.3071
277.2780, 180.7140
277.7601, 174.0641
278.2422, 174.1385
278.7244, 178.0203
279.2065, 179.4994
279.6886, 173.7405
280.1707, 161.7117
280.6528, 153.7812
281.1349, 155.4666
281.6171, 155.5568
282.0992, 150.1146
282.5813, 142.3371
283.0634, 136.5112
283.5455, 135.3141
284.0276, 137.4212
284.5098, 136.0031
284.9919, 126.2624
285.4740, 117.5074
285.9561, 111.1479
286.4382, 107.0457
286.9203, 104.5928
287.4025, 103.2979
287.8846, 103.0141
288.3667, 103.9019
288.8488, 108.8633
289.3309, 110.7063
289.8130, 106.0450
290.2952, 99.37708
290.7773, 95.30603
291.2594, 95.51514
291.7415, 98.12335
292.2236, 99.42279
292.7057, 98.06903
293.1879, 97.70190
293.6700, 98.29431
294.1521, 99.35028
294.6342, 101.3146
295.1163, 104.1013
295.5984, 106.6614
296.0806, 107.4220
296.5627, 104.7211
297.0448, 105.7097
297.5269, 113.3334
298.0090, 121.1475
298.4911, 125.0201
298.9733, 125.3364
299.4554, 125.0499
299.9375, 127.1818
300.4196, 132.0245
300.9017, 136.9098
301.3839, 142.2817
301.8660, 147.1997
302.3481, 150.8443
302.8302, 153.7147
303.3123, 157.2155
303.7944, 162.4937
304.2766, 169.4528
304.7587, 175.7254
305.2408, 183.5318
305.7229, 188.3953
306.2050, 186.7808
306.6871, 181.6039
307.1693, 177.5417
307.6514, 177.1592
308.1335, 180.2444
308.6156, 185.8528
309.0977, 198.4789
309.5798, 208.4349
310.0620, 212.7946
310.5441, 214.6659
311.0262, 217.8965
311.5083, 224.0570
311.9904, 231.9449
312.4725, 238.8185
312.9547, 242.8162
313.4368, 248.4747
313.9189, 258.3129
314.4010, 268.3014
314.8831, 274.3199
315.3652, 275.6326
315.8474, 275.4706
316.3295, 278.5268
316.8116, 286.9894
317.2937, 292.9362
317.7758, 296.0955
318.2579, 297.3655
318.7401, 297.2366
319.2222, 295.7590
319.7043, 292.8105
320.1864, 288.4162
320.6685, 282.8132
321.1506, 273.6484
321.6328, 259.1371
322.1149, 243.5071
322.5970, 227.8349
323.0791, 212.3181
323.5612, 196.8675
324.0433, 181.0793
324.5255, 165.2318
325.0076, 152.3751
325.4897, 144.5609
325.9718, 137.3896
326.4539, 130.3233
326.9360, 123.3019
327.4182, 116.7928
327.9003, 111.0452
328.3824, 104.9522
328.8645, 95.16931
329.3466, 74.36365
329.8287, 59.84125
330.3109, 55.58795
330.7930, 55.84973
331.2751, 56.48938
331.7572, 55.95477
332.2393, 53.58276
332.7214, 47.77362
333.2036, 34.84448
333.6857, 27.25061
334.1678, 28.90454
334.6499, 31.77509
335.1320, 31.03131
335.6141, 26.42871
336.0963, 20.44226
336.5784, 15.31787
337.0605, 10.94678
337.5426, 8.331421
338.0247, 8.647156
338.5068, 9.448608
338.9890, 10.92322
339.4711, 12.22382
339.9532, 11.75555
340.4353, 8.275391
340.9174, 2.326294
341.3995, 2.719177
341.8817, 7.528381
342.3638, 10.36023
342.8459, 9.649231
343.3280, 7.369202
343.8101, 5.785583
344.2922, 5.865112
344.7744, 6.973022
345.2565, 7.802368
345.7386, 8.440979
346.2207, 8.572021
346.7028, 7.814514
347.1849, 6.885437
347.6671, 6.468079
348.1492, 6.597961
348.6313, 6.616455
349.1134, 5.510986
349.5955, 2.818237
350.0776, 1.076965
350.5598, 2.339233
351.0419, 2.723999
351.5240, 1.156494
352.0061, 7.585327
352.4882, 11.59424
352.9703, 8.578125
353.4525, 0.5502930
353.9346, 6.455811
354.4167, 8.039124
354.8988, 7.483765
355.3809, 3.627502
355.8630, 1.254822
356.3452, 3.899109
356.8273, 2.541931
357.3094, 0.9393920
357.7915, 2.507568
358.2736, 1.743042
