##NAMES=Cristobalite
##RRUFFID=R061064
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Ellora Caves, India
##OWNER=RRUFF
##SOURCE=Harvard Mineralogical Museum
##DESCRIPTION=Colorless single crystals, octahedra and groups of octahedra, some have transformed to quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061064
##MEASURED CHEMISTRY=Si_1.00_O_2_·0.11H_2_O ; trace amounts of Al and Na; H_2_O by difference, verified by Raman spectroscopy
227.2126, 13462.81
227.6947, 13729.09
228.1768, 13941.77
228.6590, 14106.68
229.1411, 14180.36
229.6232, 14140.56
230.1053, 14035.56
230.5874, 13890.48
231.0695, 13712.99
231.5516, 13506.86
232.0338, 13279.58
232.5159, 13044.44
232.9980, 12727.44
233.4801, 12276.78
233.9622, 11802.20
234.4443, 11372.70
234.9265, 10983.38
235.4086, 10583.90
235.8907, 10128.11
236.3728, 9603.566
236.8549, 9090.814
237.3370, 8572.293
237.8192, 8077.539
238.3013, 7620.114
238.7834, 7194.700
239.2655, 6787.951
239.7476, 6385.173
240.2297, 5987.413
240.7119, 5626.651
241.1940, 5328.878
241.6761, 5040.701
242.1582, 4743.930
242.6403, 4449.448
243.1224, 4180.945
243.6046, 3955.719
244.0867, 3766.023
244.5688, 3560.351
245.0509, 3298.538
245.5330, 3070.746
246.0151, 2908.215
246.4973, 2781.797
246.9794, 2653.594
247.4615, 2504.303
247.9436, 2343.506
248.4257, 2200.933
248.9078, 2080.127
249.3900, 1973.717
249.8721, 1884.021
250.3542, 1804.670
250.8363, 1731.572
251.3184, 1663.523
251.8005, 1596.817
252.2827, 1518.886
252.7648, 1416.337
253.2469, 1333.521
253.7290, 1285.800
254.2111, 1248.948
254.6932, 1207.062
255.1754, 1157.376
255.6575, 1105.381
256.1396, 1057.854
256.6217, 1015.745
257.1038, 972.8589
257.5859, 922.4172
258.0681, 876.4600
258.5502, 841.2861
259.0323, 816.8765
259.5144, 798.9597
259.9965, 785.1106
260.4786, 774.3896
260.9608, 760.9548
261.4429, 740.8716
261.9250, 726.5156
262.4071, 724.5188
262.8892, 730.5835
263.3713, 735.6477
263.8535, 735.7136
264.3356, 732.4734
264.8177, 727.2000
265.2998, 716.4534
265.7819, 709.7361
266.2640, 708.8540
266.7462, 715.5388
267.2283, 733.3904
267.7104, 768.4734
268.1925, 810.4932
268.6746, 840.8811
269.1567, 858.1047
269.6389, 871.3818
270.1210, 885.6665
270.6031, 899.2302
271.0852, 908.4685
271.5673, 907.7307
272.0494, 906.3250
272.5316, 916.5969
273.0137, 939.5127
273.4958, 965.2964
273.9779, 998.0142
274.4600, 1024.179
274.9421, 1025.080
275.4243, 992.7778
275.9064, 955.9014
276.3885, 936.6326
276.8706, 930.7371
277.3527, 914.3621
277.8348, 871.8354
278.3170, 824.5867
278.7991, 810.5371
279.2812, 834.0942
279.7633, 854.8503
280.2454, 849.8875
280.7275, 832.4072
281.2097, 823.6953
281.6918, 827.7544
282.1739, 847.0620
282.6560, 891.9526
283.1381, 964.3220
283.6202, 1019.569
284.1024, 1043.034
284.5845, 1050.793
285.0666, 1064.363
285.5487, 1084.016
286.0308, 1083.892
286.5129, 1042.246
286.9951, 957.8047
287.4772, 862.1702
287.9593, 738.1396
288.4414, 621.0964
288.9235, 528.4758
289.4056, 456.5371
289.8878, 392.9548
290.3699, 330.1455
290.8520, 270.2703
291.3341, 223.7886
291.8162, 196.6121
292.2983, 174.4609
292.7804, 157.9170
293.2625, 144.0422
293.7447, 129.0144
294.2268, 111.2981
294.7089, 92.50146
295.1910, 75.88062
295.6731, 56.80225
296.1552, 46.12524
296.6374, 51.99023
297.1195, 60.17163
297.6016, 58.13989
298.0837, 44.80298
298.5658, 30.06177
299.0479, 26.71289
299.5301, 38.99634
300.0122, 44.07495
300.4943, 39.19849
300.9764, 30.09692
301.4585, 14.37305
301.9406, 4.221436
302.4228, 17.09277
302.9049, 16.75000
303.3870, 4.596924
303.8691, 6.093262
304.3512, 16.27148
304.8333, 23.43384
305.3155, 24.78589
305.7976, 23.59644
306.2797, 25.35791
306.7618, 33.92749
307.2439, 43.45508
307.7260, 41.22534
308.2082, 23.91455
308.6903, 6.158203
309.1724, 10.91577
309.6545, 24.50415
310.1366, 31.64722
310.6187, 31.70020
311.1009, 26.67896
311.5830, 15.04346
312.0651, 2.411133
312.5472, 12.48584
313.0293, 9.145752
313.5114, 1.333740
313.9936, 1.765137
314.4757, 0.5170900
314.9578, 1.097412
315.4399, 8.203857
315.9220, 18.73535
316.4041, 27.86670
316.8863, 35.89209
317.3684, 38.69678
317.8505, 26.71143
318.3326, 4.610352
318.8147, 3.412354
319.2968, 23.90039
319.7790, 52.43433
320.2611, 49.81055
320.7432, 20.42285
321.2253, 5.609131
321.7074, 11.23315
322.1895, 0.8449710
322.6717, 7.559326
323.1538, 11.95386
323.6359, 17.20654
324.1180, 29.52832
324.6001, 42.40161
325.0822, 44.01221
325.5644, 30.01440
326.0465, 8.372803
326.5286, 8.042969
327.0107, 20.98828
327.4928, 23.56860
327.9749, 4.171143
328.4571, 16.88208
328.9392, 22.31299
329.4213, 12.28467
329.9034, 0.8928220
330.3855, 2.350342
330.8676, 18.34448
331.3498, 28.38452
331.8319, 29.67993
332.3140, 27.97437
332.7961, 20.45337
333.2782, 11.65527
333.7603, 10.75537
334.2425, 24.74390
334.7246, 45.89185
335.2067, 46.99805
335.6888, 11.26074
336.1709, 11.24902
336.6530, 1.708008
337.1352, 24.49194
337.6173, 33.38574
338.0994, 22.21606
338.5815, 5.451660
339.0636, 0.9194340
339.5457, 3.382324
340.0279, 11.01440
340.5100, 28.02100
340.9921, 40.19092
341.4742, 34.48511
341.9563, 13.49316
342.4384, 5.622314
342.9206, 12.81763
343.4027, 12.13477
343.8848, 12.00269
344.3669, 13.13892
344.8490, 13.27637
345.3311, 9.593994
345.8133, 3.776855
346.2954, 0.6030270
346.7775, 2.162842
347.2596, 5.090332
347.7417, 7.278809
348.2238, 8.950439
348.7060, 10.40918
349.1881, 11.16553
349.6702, 12.89697
350.1523, 21.22900
350.6344, 45.11621
351.1165, 55.72778
351.5987, 33.62720
352.0808, 2.895996
352.5629, 8.177490
353.0450, 4.940430
353.5271, 25.48608
354.0092, 35.09277
354.4914, 31.17017
354.9735, 29.46387
355.4556, 31.73462
355.9377, 33.99268
356.4198, 33.22900
356.9019, 31.07373
357.3841, 30.88330
357.8662, 34.50879
358.3483, 42.18774
358.8304, 55.38599
359.3125, 79.22510
359.7946, 100.2700
360.2768, 120.9238
360.7589, 135.8184
361.2410, 136.9482
361.7231, 122.3997
362.2052, 104.3872
362.6873, 100.2998
363.1695, 111.5029
363.6516, 113.9895
364.1337, 95.07251
364.6158, 78.29541
365.0979, 78.84570
365.5800, 94.25757
366.0622, 113.9993
366.5443, 134.4553
367.0264, 154.0542
367.5085, 172.8027
367.9906, 191.6028
368.4727, 206.0813
368.9549, 213.6145
369.4370, 215.1887
369.9191, 212.8696
370.4012, 199.7886
370.8833, 191.2419
371.3654, 199.2188
371.8476, 218.0640
372.3297, 235.6660
372.8118, 248.8784
373.2939, 255.1589
373.7760, 249.3293
374.2581, 224.8740
374.7403, 209.0669
375.2224, 208.1716
375.7045, 213.7747
376.1866, 219.5754
376.6687, 224.6890
377.1508, 230.7676
377.6329, 240.9912
378.1151, 256.9248
378.5972, 274.5120
379.0793, 295.6575
379.5614, 314.2021
380.0435, 330.3689
380.5256, 342.0405
381.0078, 343.8337
381.4899, 333.8782
381.9720, 322.0435
382.4541, 325.7639
382.9362, 349.1914
383.4183, 374.5388
383.9005, 402.5288
384.3826, 429.9351
384.8647, 452.6716
385.3468, 471.8188
385.8289, 492.5811
386.3110, 519.1011
386.7932, 550.1868
387.2753, 579.7107
387.7574, 605.6636
388.2395, 637.3848
388.7216, 686.8225
389.2037, 743.3152
389.6859, 785.2317
390.1680, 800.4934
390.6501, 818.9126
391.1322, 859.3862
391.6143, 917.1123
392.0964, 982.4617
392.5786, 1054.589
393.0607, 1124.311
393.5428, 1176.059
394.0249, 1198.963
394.5070, 1239.295
394.9891, 1308.053
395.4713, 1386.895
395.9534, 1465.086
396.4355, 1542.731
396.9176, 1622.891
397.3997, 1706.087
397.8818, 1794.406
398.3640, 1901.903
398.8461, 2040.946
399.3282, 2188.452
399.8103, 2352.165
400.2924, 2517.862
400.7745, 2662.476
401.2567, 2783.281
401.7388, 2909.757
402.2209, 3082.409
402.7030, 3304.037
403.1851, 3534.151
403.6672, 3760.373
404.1494, 4007.486
404.6315, 4285.280
405.1136, 4590.244
405.5957, 4915.701
406.0778, 5259.349
406.5599, 5619.677
407.0421, 5988.569
407.5242, 6365.656
408.0063, 6769.023
408.4884, 7214.141
408.9705, 7683.629
409.4526, 8140.318
409.9348, 8563.622
410.4169, 9033.182
410.8990, 9626.036
411.3811, 10261.44
411.8632, 10822.16
412.3453, 11294.95
412.8275, 11747.97
413.3096, 12250.13
413.7917, 12809.14
414.2738, 13287.36
414.7559, 13686.34
415.2380, 14020.31
415.7202, 14305.03
416.2023, 14526.06
416.6844, 14663.10
417.1665, 14706.69
417.6486, 14666.96
418.1307, 14565.25
418.6129, 14412.97
419.0950, 14164.58
419.5771, 13779.50
420.0592, 13326.26
420.5413, 12820.12
421.0234, 12270.82
421.5056, 11704.61
421.9877, 11124.84
422.4698, 10542.50
422.9519, 9979.127
423.4340, 9435.007
423.9161, 8910.398
424.3983, 8401.860
424.8804, 7913.666
425.3625, 7449.299
425.8446, 7005.304
426.3267, 6593.406
426.8088, 6223.928
427.2910, 5887.415
427.7731, 5564.209
428.2552, 5247.253
428.7373, 4954.928
429.2194, 4708.428
429.7015, 4512.552
430.1837, 4316.129
430.6658, 4108.949
431.1479, 3912.747
431.6300, 3737.448
432.1121, 3579.447
432.5942, 3431.696
433.0764, 3291.660
433.5585, 3157.914
434.0406, 3027.674
434.5227, 2897.383
435.0048, 2779.841
435.4869, 2676.447
435.9691, 2584.896
436.4512, 2509.018
436.9333, 2445.190
437.4154, 2380.229
437.8975, 2302.647
438.3796, 2219.297
438.8618, 2149.808
439.3439, 2096.873
439.8260, 2040.321
440.3081, 1967.593
440.7902, 1887.708
441.2723, 1817.348
441.7545, 1759.155
442.2366, 1703.628
442.7187, 1645.611
443.2008, 1587.958
443.6829, 1534.563
444.1650, 1486.194
444.6472, 1445.164
445.1293, 1416.949
445.6114, 1402.295
446.0935, 1364.454
446.5756, 1280.272
447.0577, 1202.994
447.5399, 1148.012
448.0220, 1108.975
448.5041, 1080.250
448.9862, 1059.348
