##NAMES=Perroudite
##RRUFFID=R070484
##IDEAL CHEMISTRY=Ag_4_Hg_5_S_5_(I,Br)_2_Cl_2_
##LOCALITY=Cap Garonne Mine, Pradet, Var, Provence-Alpes-Côte d'Azur, France
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Reddish brown acicular crystals associated with green or pale-green  cornwallite, light-yellow barite and quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070484
216.3766, 464.0063
216.8587, 429.1687
217.3408, 423.5745
217.8230, 423.7339
218.3051, 415.4617
218.7872, 397.9443
219.2693, 378.4045
219.7514, 364.0020
220.2335, 355.9531
220.7157, 345.4976
221.1978, 337.4268
221.6799, 323.4075
222.1620, 292.8889
222.6441, 251.0586
223.1262, 215.0415
223.6084, 200.7073
224.0905, 209.4744
224.5726, 204.1121
225.0547, 176.7756
225.5368, 146.1724
226.0189, 113.7849
226.5011, 83.37061
226.9832, 63.67017
227.4653, 62.37573
227.9474, 76.67725
228.4295, 73.84180
228.9116, 37.97974
229.3938, 3.784912
229.8759, 23.02612
230.3580, 42.22974
230.8401, 53.95508
231.3222, 58.04443
231.8043, 55.67603
232.2865, 51.92383
232.7686, 41.39746
233.2507, 35.92529
233.7328, 37.56104
234.2149, 44.79785
234.6970, 57.76758
235.1792, 76.56104
235.6613, 96.88159
236.1434, 107.8445
236.6255, 103.0327
237.1076, 96.32251
237.5897, 86.49609
238.0719, 75.88110
238.5540, 64.47217
239.0361, 52.92773
239.5182, 45.69824
240.0003, 52.32715
240.4824, 89.96411
240.9646, 109.0583
241.4467, 97.86548
241.9288, 79.09033
242.4109, 69.86865
242.8930, 72.33301
243.3751, 75.47412
243.8573, 64.40771
244.3394, 31.41162
244.8215, 9.598145
245.3036, 7.780273
245.7857, 7.523438
246.2678, 0.5185550
246.7500, 16.20947
247.2321, 33.57324
247.7142, 45.64746
248.1963, 50.57178
248.6784, 70.04004
249.1605, 118.7656
249.6427, 167.5830
250.1248, 207.3906
250.6069, 239.4990
251.0890, 268.4204
251.5711, 296.2061
252.0532, 323.4492
252.5354, 357.2681
253.0175, 392.6123
253.4996, 441.7485
253.9817, 513.2793
254.4638, 598.0845
254.9459, 684.1445
255.4281, 764.6294
255.9102, 842.7476
256.3923, 927.9170
256.8744, 1018.775
257.3565, 1120.267
257.8386, 1231.733
258.3207, 1352.892
258.8029, 1485.627
259.2850, 1629.977
259.7671, 1780.682
260.2492, 1926.157
260.7313, 2058.914
261.2134, 2208.376
261.6956, 2391.883
262.1777, 2582.526
262.6598, 2763.080
263.1419, 2931.294
263.6240, 3097.107
264.1061, 3272.540
264.5883, 3458.025
265.0704, 3646.880
265.5525, 3836.368
266.0346, 4031.869
266.5167, 4235.279
266.9988, 4446.486
267.4810, 4663.999
267.9631, 4886.744
268.4452, 5114.385
268.9273, 5346.407
269.4094, 5569.656
269.8915, 5818.035
270.3737, 6121.132
270.8558, 6456.402
271.3379, 6778.637
271.8200, 7058.365
272.3021, 7309.831
272.7842, 7564.169
273.2664, 7826.613
273.7485, 8078.695
274.2306, 8330.944
274.7127, 8564.170
275.1948, 8754.864
275.6769, 8904.442
276.1591, 8997.016
276.6412, 9012.609
277.1233, 8950.473
277.6054, 8827.316
278.0875, 8640.505
278.5696, 8395.172
279.0518, 8097.741
279.5339, 7740.707
280.0160, 7359.354
280.4981, 6976.115
280.9802, 6589.766
281.4623, 6194.987
281.9445, 5779.361
282.4266, 5368.147
282.9087, 4988.131
283.3908, 4636.677
283.8729, 4311.990
284.3550, 4008.048
284.8372, 3731.144
285.3193, 3499.240
285.8014, 3317.530
286.2835, 3159.964
286.7656, 3002.801
287.2477, 2846.600
287.7299, 2711.315
288.2120, 2600.394
288.6941, 2511.729
289.1762, 2446.539
289.6583, 2404.218
290.1404, 2373.962
290.6226, 2345.846
291.1047, 2325.520
291.5868, 2338.311
292.0689, 2405.863
292.5510, 2480.145
293.0331, 2532.599
293.5153, 2575.431
293.9974, 2638.991
294.4795, 2739.287
294.9616, 2863.915
295.4437, 2982.882
295.9258, 3070.202
296.4080, 3194.122
296.8901, 3376.498
297.3722, 3593.499
297.8543, 3823.527
298.3364, 4059.223
298.8185, 4299.167
299.3007, 4543.344
299.7828, 4788.804
300.2649, 5047.451
300.7470, 5327.105
301.2291, 5611.894
301.7112, 5894.113
302.1934, 6174.813
302.6755, 6455.342
303.1576, 6737.184
303.6397, 7022.051
304.1218, 7296.392
304.6039, 7544.415
305.0861, 7800.118
305.5682, 8081.408
306.0503, 8375.467
306.5324, 8654.062
307.0145, 8902.019
307.4966, 9134.588
307.9788, 9395.068
308.4609, 9686.628
308.9430, 10005.80
309.4251, 10361.47
309.9072, 10734.69
310.3893, 11111.25
310.8715, 11488.53
311.3536, 11865.68
311.8357, 12254.34
312.3178, 12667.30
312.7999, 13034.56
313.2820, 13365.59
313.7642, 13627.32
314.2463, 13815.32
314.7284, 13922.78
315.2105, 13931.54
315.6926, 13828.57
316.1747, 13615.81
316.6569, 13297.10
317.1390, 12853.24
317.6211, 12333.95
318.1032, 11746.97
318.5853, 11109.33
319.0674, 10448.18
319.5496, 9749.800
320.0317, 9049.631
320.5138, 8374.773
320.9959, 7726.164
321.4780, 7137.144
321.9601, 6634.356
322.4423, 6199.009
322.9244, 5803.654
323.4065, 5451.013
323.8886, 5128.463
324.3707, 4826.949
324.8528, 4550.551
325.3350, 4310.583
325.8171, 4112.351
326.2992, 3941.794
326.7813, 3787.916
327.2634, 3649.248
327.7455, 3517.323
328.2277, 3397.176
328.7098, 3278.378
329.1919, 3150.279
329.6740, 3012.834
330.1561, 2874.528
330.6382, 2742.629
331.1204, 2617.284
331.6025, 2487.952
332.0846, 2350.171
332.5667, 2214.231
333.0488, 2083.046
333.5309, 1957.308
334.0131, 1838.199
334.4952, 1726.146
334.9773, 1623.001
335.4594, 1533.646
335.9415, 1462.680
336.4236, 1401.284
336.9058, 1348.596
337.3879, 1305.084
337.8700, 1271.799
338.3521, 1248.713
338.8342, 1233.228
339.3163, 1222.916
339.7985, 1217.820
340.2805, 1218.155
340.7627, 1222.585
341.2448, 1232.956
341.7269, 1256.245
342.2090, 1285.868
342.6911, 1309.298
343.1732, 1318.534
343.6554, 1317.131
344.1375, 1316.376
344.6196, 1317.416
345.1017, 1316.431
345.5838, 1314.880
346.0659, 1309.778
346.5481, 1295.922
347.0302, 1271.694
347.5123, 1247.733
347.9944, 1237.143
348.4765, 1239.171
348.9586, 1236.053
349.4408, 1218.466
349.9229, 1203.960
350.4050, 1209.653
350.8871, 1231.941
351.3692, 1251.926
351.8513, 1265.377
352.3335, 1270.521
352.8156, 1263.224
353.2977, 1242.847
353.7798, 1215.619
354.2619, 1183.162
354.7440, 1146.519
355.2262, 1110.979
355.7083, 1082.940
356.1904, 1047.994
356.6725, 997.1123
357.1546, 933.9297
357.6367, 863.9915
358.1189, 788.5596
358.6010, 712.0344
359.0831, 642.6453
359.5652, 584.2944
360.0473, 520.0967
360.5294, 441.0691
361.0116, 362.2266
361.4937, 292.0630
361.9758, 232.7312
362.4579, 186.0833
362.9400, 155.5449
363.4221, 140.9202
363.9043, 126.9375
364.3864, 116.8643
364.8685, 103.5686
365.3506, 80.07935
365.8327, 53.98926
366.3148, 36.18579
366.7970, 31.21021
367.2791, 33.57739
367.7612, 34.50562
368.2433, 36.51489
368.7254, 28.89819
369.2076, 6.638184
369.6897, 38.44702
370.1718, 44.27563
370.6539, 26.42358
371.1360, 6.530029
371.6181, 0.8691410
372.1003, 6.743652
372.5824, 10.84326
373.0645, 9.931641
373.5466, 15.22168
374.0287, 41.82544
374.5108, 76.24414
374.9930, 98.41895
375.4751, 101.1045
375.9572, 93.82495
376.4393, 80.93579
376.9214, 63.86230
377.4035, 51.56641
377.8857, 47.42749
378.3678, 48.35645
378.8499, 51.73169
379.3320, 58.94824
379.8141, 59.59180
380.2962, 43.07739
380.7784, 24.11523
381.2605, 21.26367
381.7426, 34.36279
382.2247, 44.86133
382.7068, 36.84863
383.1889, 11.79272
383.6711, 0.8610840
384.1532, 9.468506
384.6353, 18.02954
385.1174, 17.54517
385.5995, 11.57959
386.0816, 5.007813
386.5638, 0.2893070
387.0459, 5.112793
387.5280, 11.27271
388.0101, 20.84717
388.4922, 26.31274
388.9743, 21.22778
389.4565, 17.89795
389.9386, 24.94653
390.4207, 39.73682
390.9028, 53.15894
391.3849, 59.19849
391.8670, 58.58301
392.3492, 52.35449
392.8313, 35.55835
393.3134, 25.02710
393.7955, 28.79712
394.2776, 41.40869
394.7597, 62.02881
395.2419, 93.79980
395.7240, 116.2312
396.2061, 104.5383
396.6882, 67.42651
397.1703, 40.22144
397.6524, 28.79199
398.1346, 30.69214
398.6167, 52.84497
399.0988, 91.92358
399.5809, 114.2253
400.0630, 99.71265
400.5451, 78.50415
401.0273, 73.65332
401.5094, 83.08325
401.9915, 95.86597
402.4736, 107.0642
402.9557, 115.8164
403.4378, 119.3286
403.9200, 112.0540
404.4021, 107.1021
404.8842, 108.0483
405.3663, 109.5889
405.8484, 105.9912
406.3305, 97.05737
406.8127, 87.61621
407.2948, 82.06738
407.7769, 80.36914
408.2590, 82.35522
408.7411, 94.02856
409.2232, 102.2153
409.7054, 98.99048
410.1875, 91.67896
410.6696, 90.69482
411.1517, 100.4895
411.6338, 115.2993
412.1159, 128.6748
412.5981, 140.8320
413.0802, 147.8252
413.5623, 146.1948
414.0444, 142.0527
414.5265, 142.4253
415.0086, 146.1833
415.4908, 144.6367
415.9729, 125.9136
416.4550, 104.7041
416.9371, 103.4878
417.4192, 121.8855
417.9013, 136.4746
418.3835, 131.6577
418.8656, 115.6277
419.3477, 115.5859
419.8298, 144.2375
420.3119, 164.8657
420.7940, 164.1736
421.2762, 153.2278
421.7583, 142.2083
422.2404, 134.0432
422.7225, 130.7822
423.2046, 136.1299
423.6867, 151.6692
424.1689, 157.5493
424.6510, 142.0205
425.1331, 129.7449
425.6152, 128.9182
426.0973, 134.9707
426.5794, 140.8345
427.0616, 142.8147
427.5437, 142.2451
428.0258, 146.7678
428.5079, 160.3157
428.9900, 163.5647
429.4721, 141.0698
429.9543, 118.1616
430.4364, 112.6157
430.9185, 121.9673
431.4006, 132.0085
431.8827, 134.6580
432.3648, 132.5222
432.8470, 130.3247
433.3291, 129.1868
433.8112, 130.9602
434.2933, 140.2971
434.7754, 150.3264
435.2575, 142.8831
435.7397, 110.1685
436.2218, 81.91040
436.7039, 64.38257
437.1860, 55.62817
437.6681, 58.27417
438.1502, 71.55444
438.6323, 84.58643
439.1144, 86.53149
439.5966, 76.95996
440.0787, 68.78638
440.5608, 61.78687
441.0429, 60.57251
441.5250, 69.01392
442.0071, 79.71289
442.4893, 86.54053
442.9714, 88.10181
443.4535, 86.08252
443.9356, 79.98096
444.4177, 69.06299
444.8998, 66.33350
445.3820, 79.94873
445.8641, 91.34814
446.3462, 86.08398
446.8283, 71.28198
447.3104, 63.51758
447.7925, 73.55054
448.2747, 86.38403
448.7568, 84.54980
449.2389, 70.39380
449.7210, 58.35107
450.2031, 53.34448
450.6852, 51.29199
451.1674, 47.06885
451.6495, 40.58057
452.1316, 36.19897
452.6137, 37.34790
453.0958, 38.41064
453.5779, 32.98047
454.0601, 23.40039
454.5422, 16.69360
455.0243, 17.06006
455.5064, 23.48584
455.9885, 33.04468
456.4706, 49.97559
456.9528, 63.75830
457.4349, 74.73853
457.9170, 81.40381
458.3991, 81.46362
458.8812, 76.16919
459.3633, 69.40625
459.8455, 63.61841
460.3276, 58.58398
460.8097, 52.16260
461.2918, 41.71338
461.7739, 39.26611
462.2560, 60.40454
462.7382, 87.10986
463.2203, 93.34790
463.7024, 72.22729
464.1845, 52.72632
464.6666, 51.76709
465.1487, 61.18530
465.6309, 69.57861
466.1130, 75.11719
466.5951, 77.40796
467.0772, 75.70117
467.5593, 70.55200
468.0414, 66.90210
468.5236, 65.44019
469.0057, 64.74951
469.4878, 65.10791
469.9699, 65.84546
470.4520, 66.58252
470.9341, 67.25928
471.4163, 67.52734
471.8984, 68.54565
472.3805, 70.48486
472.8626, 61.86938
473.3447, 31.26196
473.8268, 6.538330
474.3090, 1.613281
474.7911, 2.019531
475.2732, 13.24243
475.7553, 32.33325
476.2374, 48.09546
476.7195, 46.37646
477.2017, 32.22607
477.6838, 26.24219
478.1659, 33.54150
478.6480, 44.80566
479.1301, 53.44531
479.6122, 58.94995
480.0944, 56.58130
480.5765, 35.09790
481.0586, 17.02637
481.5407, 15.78516
482.0228, 24.51636
482.5049, 30.86011
482.9871, 30.51587
483.4692, 28.79932
483.9513, 34.31104
484.4334, 50.00708
484.9155, 60.56055
485.3976, 66.44043
485.8798, 66.02148
486.3619, 53.73462
486.8440, 35.69604
487.3261, 22.22778
487.8082, 18.27173
488.2903, 18.46460
488.7725, 14.93433
489.2546, 8.048340
489.7367, 5.756592
490.2188, 10.74756
490.7009, 18.82910
491.1830, 27.52002
491.6652, 36.39648
492.1473, 41.74829
492.6294, 43.54077
493.1115, 41.16602
493.5936, 29.99927
494.0757, 14.42700
494.5579, 6.314453
495.0400, 10.40015
495.5221, 18.67261
496.0042, 17.14160
496.4863, 1.553223
496.9684, 8.731689
497.4506, 6.432861
497.9327, 21.15405
498.4148, 24.52466
498.8969, 21.31909
499.3790, 22.72363
499.8611, 35.09912
500.3433, 47.92700
500.8254, 41.73486
501.3075, 16.44385
501.7896, 1.499268
502.2717, 4.052490
502.7538, 15.49292
503.2360, 34.70508
503.7181, 58.39404
504.2002, 69.32031
504.6823, 55.09546
505.1644, 35.73291
505.6465, 22.79761
506.1287, 14.95825
506.6108, 7.659180
507.0929, 0.7309570
507.5750, 6.403320
508.0571, 2.329102
508.5392, 16.64624
509.0214, 24.31079
509.5035, 8.451904
509.9856, 4.690186
510.4677, 4.515137
510.9498, 3.853516
511.4319, 11.56055
511.9141, 15.11499
512.3962, 16.20850
512.8783, 17.96997
513.3604, 20.24219
513.8425, 16.56421
514.3246, 2.294189
514.8068, 10.60132
515.2889, 9.514893
515.7710, 1.223877
516.2531, 7.922852
516.7352, 5.783447
517.2173, 3.108887
517.6995, 2.657959
518.1816, 3.114014
518.6637, 3.655762
519.1458, 4.193848
519.6279, 4.113525
520.1100, 2.372314
520.5922, 1.575684
521.0743, 2.252686
521.5564, 7.292236
522.0385, 12.42310
522.5206, 3.621094
523.0027, 9.044189
523.4849, 14.19482
523.9670, 8.599365
524.4491, 2.312012
524.9312, 17.24194
525.4133, 33.79907
525.8954, 40.34473
526.3776, 34.76367
526.8597, 23.92944
527.3418, 8.956787
527.8239, 7.337646
528.3060, 17.14844
528.7881, 19.31177
529.2703, 16.85181
529.7524, 6.331787
530.2345, 5.891113
530.7166, 13.26782
531.1987, 14.99536
531.6808, 11.92969
532.1630, 2.073486
532.6451, 11.43994
533.1272, 6.952637
533.6093, 34.39404
534.0914, 59.04102
534.5735, 44.45361
535.0557, 19.76660
535.5378, 7.110840
536.0199, 8.095703
536.5020, 11.26367
536.9841, 5.544434
537.4662, 1.739990
537.9484, 4.511719
538.4305, 23.63013
538.9126, 37.10986
539.3947, 36.35938
539.8768, 27.03735
540.3589, 19.01147
540.8411, 12.28491
541.3232, 6.895996
541.8053, 1.723877
542.2874, 0.9792480
542.7695, 0.3161620
543.2516, 5.157959
543.7338, 13.93872
544.2159, 27.32104
544.6980, 39.60229
545.1801, 36.62915
545.6622, 14.53857
546.1443, 5.124512
546.6265, 21.72827
547.1086, 38.68506
547.5907, 34.97510
548.0728, 18.92139
548.5549, 12.52466
549.0370, 30.30005
549.5192, 46.76123
550.0013, 38.54297
550.4834, 16.84277
550.9655, 6.669678
551.4476, 13.78076
551.9297, 23.43896
552.4119, 19.84961
552.8940, 2.935791
553.3761, 4.875732
553.8582, 4.355713
554.3403, 13.37744
554.8224, 19.40210
555.3046, 24.55884
555.7867, 31.32812
556.2688, 39.65674
556.7509, 45.64062
557.2330, 44.78320
557.7151, 39.26221
558.1973, 35.86694
558.6794, 35.03687
559.1615, 32.48413
559.6436, 24.96313
560.1257, 15.88062
560.6078, 12.08032
561.0900, 14.43506
561.5721, 17.47900
562.0542, 19.08252
562.5363, 22.24268
563.0184, 33.43311
563.5005, 47.96924
563.9827, 52.50122
564.4648, 39.85449
564.9469, 19.74365
565.4290, 13.00000
565.9111, 23.84473
566.3932, 26.76807
566.8754, 10.46606
567.3575, 2.585938
567.8396, 4.896484
568.3217, 24.42310
568.8038, 36.87451
569.2859, 35.58862
569.7681, 29.20386
570.2502, 20.36377
570.7323, 11.47461
571.2144, 6.892578
571.6965, 7.464111
572.1786, 13.56958
572.6608, 27.73730
573.1429, 48.03174
573.6250, 50.34888
574.1071, 11.96704
574.5892, 13.34180
575.0714, 13.62671
575.5535, 3.785400
576.0356, 6.281250
576.5177, 14.73340
576.9998, 22.02563
577.4819, 30.85742
577.9641, 37.17554
578.4462, 28.14795
578.9283, 5.050293
579.4104, 3.503174
579.8925, 16.55493
580.3746, 44.95972
580.8568, 53.95239
581.3389, 39.21021
581.8210, 27.49097
582.3031, 18.29443
582.7852, 12.55396
583.2673, 13.68188
583.7495, 17.48193
584.2316, 16.14331
584.7137, 7.820313
585.1958, 0.9921880
585.6779, 8.266113
586.1600, 28.05469
586.6421, 39.38843
587.1242, 42.24707
587.6063, 37.54419
588.0884, 18.08057
588.5706, 5.854492
589.0527, 16.33594
589.5348, 10.00806
590.0169, 2.609863
590.4990, 2.460449
590.9811, 0.7348630
591.4633, 17.10132
591.9454, 43.78931
592.4275, 54.05200
592.9096, 33.82007
593.3917, 0.7031250
593.8738, 7.647705
594.3560, 15.41284
594.8381, 36.18579
595.3202, 56.82520
595.8023, 70.38599
596.2844, 72.24072
596.7665, 65.30103
597.2487, 54.35669
597.7308, 38.73364
598.2129, 24.10864
598.6950, 11.29883
599.1771, 3.056152
599.6592, 7.280518
600.1414, 23.47241
600.6235, 38.39917
601.1056, 42.69067
601.5877, 38.20044
602.0698, 31.72876
602.5519, 16.57471
603.0341, 12.19971
603.5162, 29.94189
603.9983, 48.89209
604.4804, 55.70435
604.9625, 53.18066
605.4446, 52.27515
605.9268, 60.21582
606.4089, 67.52197
606.8910, 59.86523
607.3731, 42.44019
607.8552, 34.90576
608.3373, 41.96069
608.8195, 51.08691
609.3016, 50.89478
609.7837, 42.25342
610.2658, 36.84253
610.7479, 37.05762
611.2300, 37.04761
611.7122, 35.21265
612.1943, 34.47266
612.6764, 39.50903
613.1585, 48.81567
613.6406, 54.71875
614.1227, 50.72925
614.6049, 42.44116
615.0870, 37.74634
615.5691, 36.85034
616.0512, 44.14185
616.5333, 63.84766
617.0154, 81.59204
617.4976, 80.31494
617.9797, 59.16602
618.4618, 45.91357
618.9439, 45.36865
619.4260, 45.95508
619.9081, 45.30493
620.3903, 43.91797
620.8724, 40.42969
621.3545, 35.98364
621.8366, 36.91357
622.3187, 53.04883
622.8008, 74.83276
623.2830, 72.63501
623.7651, 45.11328
624.2472, 32.88037
624.7293, 54.14648
625.2114, 84.00952
625.6935, 93.17261
626.1757, 79.49414
626.6578, 71.49561
627.1399, 74.23926
627.6220, 77.43799
628.1041, 77.02979
628.5862, 75.06958
629.0684, 75.35425
629.5505, 77.98462
630.0326, 77.90649
630.5147, 68.30713
630.9968, 53.27686
631.4789, 47.68237
631.9611, 52.53735
632.4432, 57.56689
632.9253, 60.84448
633.4074, 63.87451
633.8895, 68.24292
634.3716, 73.81738
634.8538, 76.25049
635.3359, 75.91968
635.8180, 71.60962
636.3001, 57.69922
636.7822, 41.77124
637.2643, 33.70947
637.7465, 36.18384
638.2286, 43.88965
638.7107, 55.83325
639.1928, 68.31616
639.6749, 60.38989
640.1570, 26.70605
640.6392, 10.67358
641.1213, 35.86523
641.6034, 73.01050
642.0855, 84.47363
642.5676, 70.00342
643.0497, 59.34937
643.5319, 56.47021
644.0140, 56.48828
644.4961, 58.96167
644.9782, 62.27051
645.4603, 65.17432
645.9424, 67.02832
646.4246, 66.00879
646.9067, 59.75244
647.3888, 50.47852
647.8709, 41.59204
648.3530, 31.97168
648.8351, 30.08740
649.3173, 42.51245
649.7994, 57.75317
650.2815, 63.19067
650.7636, 58.85059
651.2457, 54.75903
651.7278, 50.65259
652.2100, 47.90552
652.6921, 44.74170
653.1742, 43.49658
653.6563, 49.56299
654.1384, 62.22534
654.6205, 71.96484
655.1027, 69.46558
655.5848, 58.15039
656.0669, 48.04883
656.5490, 39.84204
657.0311, 32.07251
657.5132, 23.24585
657.9954, 16.94556
658.4775, 17.98755
658.9596, 26.69556
659.4417, 33.00146
659.9238, 37.58447
660.4059, 38.64893
660.8881, 32.11816
661.3702, 26.09668
661.8523, 31.74170
662.3344, 47.81909
662.8165, 61.13354
663.2986, 61.46069
663.7808, 54.55396
664.2629, 50.91138
664.7450, 50.47876
665.2271, 51.92065
665.7092, 55.86792
666.1913, 56.79468
666.6735, 46.14575
667.1556, 25.56738
667.6377, 22.28906
668.1198, 59.83228
668.6019, 81.37500
669.0840, 66.36108
669.5662, 42.90576
670.0483, 36.65063
670.5304, 46.23462
671.0125, 54.12769
671.4946, 50.36230
671.9767, 41.94897
672.4589, 35.46045
672.9410, 31.90527
673.4231, 38.99707
673.9052, 58.93823
674.3873, 72.95361
674.8694, 64.17285
675.3516, 39.15796
675.8337, 28.11182
676.3158, 46.19360
676.7979, 53.51343
677.2800, 37.90723
677.7621, 22.44409
678.2443, 22.17969
678.7264, 32.10791
679.2085, 39.40601
679.6906, 38.78564
680.1727, 37.30835
680.6548, 43.56006
681.1370, 52.16284
681.6191, 50.81665
682.1012, 39.57568
682.5833, 30.25684
683.0654, 29.97900
683.5475, 34.86938
684.0297, 35.96777
684.5118, 31.59131
684.9939, 28.22705
685.4760, 25.25293
685.9581, 24.06128
686.4402, 28.14722
686.9224, 33.04272
687.4045, 31.27197
687.8866, 20.48901
688.3687, 10.77686
688.8508, 3.163086
689.3329, 1.632813
689.8151, 16.65308
690.2972, 41.20728
690.7793, 54.49023
691.2614, 48.44727
691.7435, 35.43896
692.2256, 33.53101
692.7078, 42.47681
693.1899, 39.14185
693.6720, 17.14478
694.1541, 1.327393
694.6362, 5.067627
695.1183, 16.46997
695.6005, 20.02148
696.0826, 15.90918
696.5647, 12.11450
697.0468, 10.80273
697.5289, 9.206787
698.0110, 2.376465
698.4932, 4.018799
698.9753, 0.2160640
699.4574, 15.09424
699.9395, 28.01611
700.4216, 26.91260
700.9037, 18.47925
701.3859, 19.74194
701.8680, 30.48022
702.3501, 40.74902
702.8322, 48.72314
703.3143, 54.14746
703.7964, 57.59766
704.2786, 58.65479
704.7607, 52.27954
705.2428, 30.34424
705.7249, 12.50464
706.2070, 1.912354
706.6891, 9.485596
707.1713, 2.076660
707.6534, 14.24194
708.1355, 22.73096
708.6176, 14.23511
709.0997, 2.486084
709.5818, 1.342773
710.0640, 6.292480
710.5461, 7.787842
711.0282, 5.048828
711.5103, 0.6411130
711.9924, 5.999268
712.4745, 11.46997
712.9567, 8.881104
713.4388, 4.649658
713.9209, 16.12793
714.4030, 26.69849
714.8851, 33.57861
715.3672, 36.82227
