##NAMES=Hemimorphite
##RRUFFID=R070536
##IDEAL CHEMISTRY=Zn_4_Si_2_O_7_(OH)_2_&#183;H_2_O
##LOCALITY=Potosi mine, Santa Eulalia District, Chihuahua, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless striated thin tabular crystals in fan-shaped aggregates
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070536
##MEASURED CHEMISTRY=Zn_4.00_Si_2.00_O_7_(OH)_2_·H_2_O; total H_2_O estimated by difference, (OH) by charge balance
243.8574, 20.51953
244.3395, 19.93164
244.8216, 15.06396
245.3038, 4.991699
245.7859, 8.228516
246.2680, 15.67773
246.7501, 8.387695
247.2322, 8.455566
247.7143, 22.58447
248.1965, 36.43115
248.6786, 39.30518
249.1607, 9.469238
249.6428, 37.91504
250.1249, 67.83789
250.6070, 56.41699
251.0892, 24.02295
251.5713, 1.749023
252.0534, 22.30664
252.5355, 29.07666
253.0176, 0.8251950
253.4997, 42.38623
253.9819, 62.13721
254.4640, 37.56934
254.9461, 0.9653320
255.4282, 15.93652
255.9103, 13.60303
256.3924, 10.76953
256.8745, 15.84961
257.3567, 26.76367
257.8388, 37.80908
258.3209, 47.07812
258.8030, 59.39551
259.2851, 83.87793
259.7672, 115.9771
260.2494, 134.5132
260.7315, 126.3286
261.2136, 107.1172
261.6957, 106.5195
262.1778, 129.6743
262.6599, 151.2329
263.1421, 161.0083
263.6242, 162.3921
264.1063, 159.8032
264.5884, 152.7188
265.0705, 148.0659
265.5526, 158.3799
266.0348, 185.8032
266.5169, 209.9619
266.9990, 226.2095
267.4811, 237.7959
267.9632, 246.4893
268.4453, 252.6353
268.9275, 261.7954
269.4096, 282.1113
269.8917, 316.8530
270.3738, 336.6357
270.8559, 330.0830
271.3380, 316.8423
271.8202, 308.1660
272.3023, 305.3296
272.7844, 307.0024
273.2665, 311.8750
273.7487, 320.1831
274.2308, 336.8247
274.7129, 382.3643
275.1950, 413.9067
275.6771, 404.9316
276.1592, 368.4922
276.6414, 334.3853
277.1235, 319.9058
277.6056, 319.8774
278.0877, 311.4702
278.5698, 277.1938
279.0519, 255.9351
279.5341, 267.6865
280.0162, 290.0562
280.4983, 293.6069
280.9804, 266.9883
281.4625, 224.7607
281.9446, 196.1597
282.4268, 196.0181
282.9089, 186.5781
283.3910, 158.6582
283.8731, 128.1738
284.3552, 107.3750
284.8373, 98.28760
285.3195, 95.32031
285.8016, 91.94922
286.2837, 87.95703
286.7658, 84.33838
287.2479, 80.07520
287.7300, 77.06689
288.2122, 77.63818
