##NAMES=Beta-fergusonite-(Y)
##RRUFFID=R080103
##IDEAL CHEMISTRY=YNbO_4_
##LOCALITY=Arendal, Aust-Agder, Norway
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Olive green fragment from metamict sample R070600, after heating at T = 1000 C for 20 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080103
281.4439, 9857.695
281.9260, 10003.27
282.4081, 10152.60
282.8903, 10313.88
283.3724, 10481.16
283.8545, 10647.55
284.3366, 10811.19
284.8187, 10962.67
285.3008, 11090.07
285.7830, 11197.96
286.2651, 11303.64
286.7472, 11412.94
287.2293, 11517.08
287.7114, 11614.66
288.1935, 11705.03
288.6757, 11742.80
289.1578, 11680.59
289.6399, 11535.72
290.1220, 11388.21
290.6041, 11239.62
291.0862, 11097.75
291.5684, 10991.76
292.0505, 10914.85
292.5326, 10803.55
293.0147, 10631.74
293.4968, 10402.49
293.9789, 10122.52
294.4611, 9792.719
294.9432, 9418.086
295.4253, 8979.695
295.9074, 8492.336
296.3895, 8024.984
296.8716, 7619.484
297.3538, 7248.758
297.8359, 6858.328
298.3180, 6446.227
298.8001, 6021.922
299.2822, 5580.250
299.7643, 5128.766
300.2465, 4689.844
300.7286, 4254.953
301.2107, 3848.344
301.6928, 3503.453
302.1749, 3220.344
302.6570, 2975.320
303.1392, 2792.867
303.6213, 2630.719
304.1034, 2413.938
304.5855, 2099.680
305.0676, 1747.672
305.5497, 1399.195
306.0319, 1058.359
306.5140, 737.9219
306.9961, 439.7734
307.4782, 170.3359
307.9603, 61.61719
308.4424, 246.4453
308.9246, 408.9219
309.4067, 560.1328
309.8888, 704.2812
310.3709, 851.0469
310.8530, 1039.000
311.3351, 1214.766
311.8173, 1328.688
312.2994, 1358.055
312.7815, 1374.531
313.2636, 1424.492
313.7457, 1491.578
314.2278, 1544.898
314.7100, 1577.102
315.1921, 1586.547
315.6742, 1573.672
316.1563, 1539.641
316.6384, 1468.109
317.1205, 1326.039
317.6027, 1154.086
318.0848, 1006.273
318.5669, 933.2188
319.0490, 852.7891
319.5311, 736.3125
320.0132, 582.4766
320.4954, 396.5938
320.9775, 163.0078
321.4596, 89.07812
321.9417, 327.5156
322.4238, 537.0859
322.9059, 746.1641
323.3881, 981.0859
323.8702, 1230.680
324.3523, 1425.406
324.8344, 1534.422
325.3165, 1598.961
325.7986, 1647.008
326.2808, 1680.227
326.7629, 1702.734
327.2450, 1708.664
327.7271, 1702.883
328.2092, 1704.680
328.6913, 1774.164
329.1735, 1797.500
329.6556, 1724.758
330.1377, 1469.453
330.6198, 1279.828
331.1019, 1188.516
331.5840, 1151.438
332.0662, 1092.219
332.5483, 1023.742
333.0304, 910.3750
333.5125, 714.4141
333.9946, 398.4453
334.4767, 198.5938
334.9589, 155.5625
335.4410, 187.3359
335.9231, 202.3828
336.4052, 212.1797
336.8873, 167.3438
337.3694, 31.57031
337.8516, 186.2734
338.3336, 322.9062
338.8158, 349.1562
339.2979, 351.5391
339.7800, 428.6328
340.2621, 605.1016
340.7442, 676.8125
341.2263, 588.9844
341.7085, 382.7812
342.1906, 214.4688
342.6727, 88.14844
343.1548, 49.81250
343.6369, 216.7812
344.1190, 413.5391
344.6012, 721.7812
345.0833, 1154.500
345.5654, 1684.602
346.0475, 2265.977
346.5296, 2895.070
347.0117, 3595.781
347.4939, 4371.516
347.9760, 5216.555
348.4581, 6127.578
348.9402, 7098.922
349.4223, 8154.828
349.9044, 9378.078
350.3866, 10739.61
350.8687, 12151.00
351.3508, 13573.40
351.8329, 15041.59
352.3150, 16606.58
352.7971, 18277.09
353.2793, 20050.74
353.7614, 21944.33
354.2435, 23973.27
354.7256, 26178.47
355.2077, 28594.24
355.6898, 31149.09
356.1720, 33842.55
356.6541, 36663.67
357.1362, 39538.53
357.6183, 42334.90
358.1004, 45244.81
358.5826, 48462.17
359.0647, 52089.67
359.5468, 55853.25
360.0289, 59583.39
360.5110, 63345.91
360.9931, 67284.41
361.4753, 71430.70
361.9574, 75732.49
362.4395, 80158.32
362.9216, 84705.23
363.4037, 89361.40
363.8858, 94105.42
364.3680, 98963.05
364.8501, 103983.7
365.3322, 109223.9
365.8143, 114511.1
366.2964, 119804.1
366.7785, 125129.5
367.2607, 130483.0
367.7428, 135821.2
368.2249, 141265.9
368.7070, 146920.0
369.1891, 153167.1
369.6712, 159046.1
370.1534, 164419.6
370.6355, 169432.3
371.1176, 174551.2
371.5997, 180020.6
372.0818, 185276.9
372.5639, 190176.0
373.0461, 194810.5
373.5282, 198852.8
374.0103, 202358.4
374.4924, 205305.9
374.9745, 207618.0
375.4566, 209291.6
375.9388, 210407.4
376.4209, 210983.1
376.9030, 211023.8
377.3851, 210482.3
377.8672, 209385.5
378.3493, 207670.5
378.8315, 205245.4
379.3136, 202092.9
379.7957, 198514.2
380.2778, 194463.6
380.7599, 190085.5
381.2420, 185532.8
381.7242, 180875.2
382.2063, 176187.2
382.6884, 171485.7
383.1705, 166801.6
383.6526, 162392.0
384.1347, 158285.4
384.6169, 154433.7
385.0990, 150834.7
385.5811, 147489.5
386.0632, 144574.7
386.5453, 142227.9
387.0274, 140318.8
387.5096, 138713.9
387.9917, 137416.6
388.4738, 136459.8
388.9559, 136064.2
389.4380, 135994.5
389.9201, 135948.2
390.4023, 135879.8
390.8844, 135757.2
391.3665, 135616.4
391.8486, 135421.8
392.3307, 135038.4
392.8128, 134613.8
393.2950, 133835.0
393.7771, 132491.8
394.2592, 130539.1
394.7413, 128058.1
395.2234, 125036.4
395.7055, 121513.6
396.1877, 117556.7
396.6698, 113084.9
397.1519, 108278.6
397.6340, 103073.1
398.1161, 97420.79
398.5982, 91805.05
399.0804, 86280.95
399.5625, 80844.80
400.0446, 75471.47
400.5267, 70040.43
401.0088, 64806.23
401.4909, 59784.52
401.9731, 54984.69
402.4552, 50556.52
402.9373, 46546.98
403.4194, 42801.61
403.9015, 39224.09
404.3836, 35747.53
404.8658, 32663.59
405.3479, 30013.45
405.8300, 27723.91
406.3121, 25682.12
406.7942, 23884.08
407.2763, 22407.93
407.7585, 21282.75
408.2406, 20495.76
408.7227, 20003.23
409.2048, 19803.98
409.6869, 19893.09
410.1690, 20286.02
410.6512, 20968.59
411.1333, 21895.42
411.6154, 23064.20
412.0975, 24467.88
412.5796, 26106.20
413.0617, 27983.22
413.5439, 30134.59
414.0260, 32613.08
414.5081, 35394.61
414.9902, 38400.48
415.4723, 41635.70
415.9544, 45152.78
416.4366, 48987.78
416.9187, 53108.17
417.4008, 57445.80
417.8829, 61971.28
418.3650, 66746.36
418.8471, 71897.59
419.3293, 77361.12
419.8114, 83058.04
420.2935, 89023.39
420.7756, 95143.20
421.2577, 101219.9
421.7398, 107442.2
422.2220, 113400.1
422.7041, 119244.1
423.1862, 124776.7
423.6683, 129669.9
424.1504, 134089.0
424.6325, 137733.6
425.1147, 140558.4
425.5968, 142633.2
426.0789, 143662.9
426.5610, 143576.9
427.0431, 142516.2
427.5252, 140568.0
428.0074, 137649.6
428.4895, 134018.2
428.9716, 129659.1
429.4537, 124664.8
429.9358, 119342.0
430.4179, 113680.6
430.9001, 107782.9
431.3822, 101684.5
431.8643, 95382.02
432.3464, 89133.23
432.8285, 82921.64
433.3106, 76823.30
433.7928, 70877.87
434.2749, 65102.34
434.7570, 59635.25
435.2391, 54501.17
435.7212, 49716.39
436.2033, 45278.64
436.6855, 41229.46
437.1676, 37588.02
437.6497, 34380.49
438.1318, 31598.95
438.6139, 29230.05
439.0960, 27269.69
439.5782, 25728.06
440.0603, 24625.04
440.5424, 23942.00
441.0245, 23656.78
441.5066, 23844.98
441.9887, 24345.89
442.4709, 25105.42
442.9530, 26115.23
443.4351, 27288.12
443.9172, 28717.37
444.3993, 30213.77
444.8814, 31624.33
445.3636, 32971.44
445.8457, 34179.05
446.3278, 35357.28
446.8099, 36383.28
447.2920, 36985.86
447.7741, 37188.44
448.2563, 36944.05
448.7384, 36264.59
449.2205, 35159.28
449.7026, 33506.28
450.1847, 31193.14
450.6668, 28507.55
451.1490, 25666.59
451.6311, 22598.34
452.1132, 19612.70
452.5953, 16685.98
453.0774, 13899.54
453.5595, 11308.23
454.0417, 8901.633
454.5238, 6693.266
455.0059, 4656.391
455.4880, 2810.133
455.9701, 1136.508
456.4522, 362.7578
456.9344, 1639.594
457.4165, 2609.320
457.8986, 3318.047
458.3807, 3862.312
458.8628, 4300.594
459.3449, 4569.359
459.8271, 4572.102
460.3092, 4335.023
460.7913, 3978.172
461.2734, 3622.953
461.7555, 3148.539
462.2376, 2453.281
462.7198, 1527.656
463.2019, 365.9844
463.6840, 1089.008
464.1661, 2754.398
464.6482, 4530.016
465.1303, 6352.422
465.6125, 8315.836
466.0946, 10435.54
466.5767, 12722.96
467.0588, 15146.20
467.5409, 17703.30
468.0230, 20406.89
468.5052, 23265.36
468.9873, 26288.33
469.4694, 29427.88
469.9515, 32665.06
470.4336, 36025.44
470.9157, 39635.76
471.3979, 43571.88
471.8800, 47438.42
472.3621, 51128.94
472.8442, 54660.03
473.3263, 58304.14
473.8084, 62090.45
474.2906, 65767.26
474.7727, 69207.30
475.2548, 72395.26
475.7369, 75268.73
476.2190, 77836.15
476.7011, 80049.08
477.1833, 81954.05
477.6654, 83494.71
478.1475, 84517.53
478.6296, 84956.73
479.1117, 84850.10
479.5938, 84187.90
480.0760, 82984.46
480.5581, 81381.88
481.0402, 79353.68
481.5223, 77012.99
482.0044, 74418.61
482.4865, 71562.88
482.9687, 68586.66
483.4508, 65473.27
483.9329, 62274.48
484.4150, 59111.06
484.8971, 55771.20
485.3792, 52678.19
485.8614, 49914.80
486.3435, 47466.12
486.8256, 45224.23
487.3077, 43123.80
487.7898, 41339.80
488.2719, 39980.89
488.7541, 39148.86
489.2362, 38516.62
489.7183, 38105.77
490.2004, 37867.67
490.6825, 37712.81
491.1646, 37634.07
491.6468, 37722.17
492.1289, 38043.83
492.6110, 38522.64
493.0931, 38951.89
493.5752, 39332.22
494.0573, 39709.94
494.5395, 40192.61
495.0216, 40688.23
495.5037, 41014.55
495.9858, 41150.14
496.4679, 41088.20
496.9500, 40776.61
497.4322, 40271.99
497.9143, 39680.53
498.3964, 39113.94
498.8785, 38419.42
499.3606, 37491.42
499.8427, 36339.47
500.3249, 35114.20
500.8070, 33848.04
501.2891, 32526.79
501.7712, 31142.19
502.2533, 29663.43
502.7354, 28216.68
503.2176, 26831.74
503.6997, 25480.77
504.1818, 24134.84
504.6639, 22775.23
505.1460, 21454.89
505.6281, 20183.40
506.1103, 18945.98
506.5924, 17755.36
507.0745, 16617.80
507.5566, 15515.71
508.0387, 14413.70
508.5208, 13315.50
509.0030, 12365.36
509.4851, 11579.27
509.9672, 10854.02
510.4493, 10079.02
510.9314, 9274.523
511.4135, 8504.508
511.8957, 7805.141
512.3778, 7136.203
512.8599, 6431.719
513.3420, 5723.547
513.8242, 5101.078
514.3063, 4638.781
514.7884, 4207.297
515.2705, 3732.117
515.7526, 3216.688
516.2347, 2701.086
516.7169, 2180.148
517.1990, 1688.961
517.6811, 1260.141
518.1632, 961.4297
518.6453, 656.7656
519.1274, 293.0000
519.6096, 75.21094
520.0917, 342.4688
520.5738, 481.3750
521.0559, 550.7734
521.5380, 584.1953
522.0201, 589.6562
522.5023, 571.0547
522.9844, 530.1016
523.4665, 461.4219
523.9486, 339.6328
524.4307, 169.8750
524.9128, 73.11719
525.3950, 76.96875
525.8771, 81.19531
526.3592, 69.36719
526.8413, 338.0625
527.3234, 590.4141
527.8055, 782.8359
528.2877, 930.4766
528.7698, 1029.422
529.2519, 1090.961
529.7340, 1159.047
530.2161, 1262.352
530.6982, 1381.000
531.1804, 1507.297
531.6625, 1651.102
532.1446, 1757.594
532.6267, 1784.383
533.1088, 1779.555
533.5909, 1791.758
534.0731, 1867.727
534.5552, 1909.172
535.0373, 1881.570
535.5194, 1820.617
536.0015, 1800.352
536.4836, 1832.633
536.9658, 1887.703
537.4479, 1971.617
537.9300, 2080.695
538.4121, 2118.922
538.8942, 2074.758
539.3763, 2007.453
539.8585, 1948.531
540.3406, 1903.273
540.8227, 1916.633
541.3048, 2003.164
541.7869, 2104.852
542.2690, 2158.781
542.7512, 2171.289
543.2333, 2158.125
543.7154, 2110.992
544.1975, 2053.594
544.6796, 2008.555
545.1617, 1969.625
545.6439, 1920.938
546.1260, 1842.781
546.6081, 1762.648
547.0902, 1699.320
547.5723, 1665.281
548.0544, 1617.430
548.5366, 1516.906
549.0187, 1416.547
549.5008, 1362.781
549.9829, 1381.852
550.4650, 1401.469
550.9471, 1421.289
551.4293, 1436.492
551.9114, 1416.305
552.3935, 1344.648
552.8756, 1316.633
553.3577, 1377.578
553.8398, 1511.500
554.3220, 1663.133
554.8041, 1833.977
555.2862, 1970.133
555.7683, 1979.203
556.2504, 1932.359
556.7325, 1981.430
557.2147, 2159.758
557.6968, 2362.781
558.1789, 2503.430
558.6610, 2612.129
559.1431, 2733.773
559.6252, 2881.934
560.1074, 3046.879
560.5895, 3240.562
561.0716, 3450.730
561.5537, 3636.293
562.0358, 3757.637
562.5179, 3885.023
563.0001, 4062.539
563.4822, 4304.535
563.9643, 4443.707
564.4464, 4421.266
564.9285, 4380.027
565.4106, 4428.145
565.8928, 4579.195
566.3749, 4727.191
566.8570, 4864.828
567.3391, 4997.797
567.8212, 5133.090
568.3033, 5269.629
568.7855, 5417.906
569.2676, 5608.137
569.7497, 5786.664
570.2318, 5846.879
570.7139, 5816.258
571.1960, 5804.543
571.6782, 5885.965
572.1603, 6003.102
572.6424, 6116.094
573.1245, 6222.754
573.6066, 6325.836
574.0887, 6390.445
574.5709, 6472.684
575.0530, 6615.574
575.5351, 6902.863
576.0172, 7135.684
576.4993, 7278.941
576.9814, 7378.477
577.4636, 7503.988
577.9457, 7659.855
578.4278, 7827.176
578.9099, 8003.703
579.3920, 8189.391
579.8741, 8385.906
580.3563, 8593.684
580.8384, 8809.953
581.3205, 9043.461
581.8026, 9287.645
582.2847, 9502.172
582.7668, 9681.090
583.2490, 9878.363
583.7311, 10161.72
584.2132, 10488.37
584.6953, 10792.64
585.1774, 11043.00
585.6595, 11307.37
586.1416, 11636.49
586.6237, 12001.04
587.1058, 12359.96
587.5880, 12715.20
588.0701, 13060.60
588.5522, 13366.57
589.0343, 13642.07
589.5164, 13962.66
589.9985, 14358.96
590.4807, 14772.06
590.9628, 15175.09
591.4449, 15561.89
591.9270, 15956.05
592.4091, 16362.87
592.8912, 16763.36
593.3734, 17124.86
593.8555, 17456.25
594.3376, 17810.79
594.8197, 18195.80
595.3018, 18587.77
595.7839, 18977.88
596.2661, 19365.02
596.7482, 19735.06
597.2303, 20053.69
