##NAMES=Hilgardite
##RRUFFID=R070427
##IDEAL CHEMISTRY=Ca_2_B_5_O_9_Cl&#183;H_2_O
##LOCALITY=Boulby mine, Loftus, Cleveland, England, UK
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Massive etched pink crystallline associated with pale green boracite, polytype 3TC
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070427
191.4182, 529.9607
191.9003, 554.6572
192.3824, 559.8339
192.8645, 569.5709
193.3467, 581.3763
193.8288, 601.7413
194.3109, 639.4958
194.7930, 698.3147
195.2751, 769.3462
195.7572, 833.1245
196.2394, 886.4934
196.7215, 938.8959
197.2036, 989.0266
197.6857, 1040.337
198.1678, 1095.788
198.6499, 1156.499
199.1321, 1220.662
199.6142, 1285.878
200.0963, 1356.240
200.5784, 1419.016
201.0605, 1484.554
201.5426, 1537.292
202.0248, 1562.146
202.5069, 1555.905
202.9890, 1529.757
203.4711, 1498.852
203.9532, 1455.428
204.4353, 1425.700
204.9175, 1426.908
205.3996, 1428.918
205.8817, 1413.699
206.3638, 1376.700
206.8459, 1322.227
207.3280, 1254.256
207.8102, 1169.881
208.2923, 1079.767
208.7744, 981.6360
209.2565, 880.3440
209.7386, 776.6648
210.2207, 672.2781
210.7029, 570.0852
211.1850, 472.4779
211.6671, 378.2194
212.1492, 296.5741
212.6313, 227.6523
213.1134, 170.1256
213.5956, 127.9312
214.0777, 98.67651
214.5598, 74.08533
215.0419, 45.36987
215.5240, 10.76562
216.0061, 15.37085
216.4883, 28.58069
216.9704, 37.75061
217.4525, 45.24548
217.9346, 51.22534
218.4167, 55.71997
218.8988, 59.28760
219.3810, 62.06763
219.8631, 59.46033
220.3452, 43.15430
220.8273, 29.07141
221.3094, 22.30408
221.7915, 20.94421
222.2737, 21.34680
222.7558, 22.14978
223.2379, 22.81689
223.7200, 13.82593
224.2021, 20.14514
224.6842, 47.22754
225.1664, 58.73792
225.6485, 59.94751
226.1306, 58.07190
226.6127, 56.67188
227.0948, 56.90210
227.5770, 63.17798
228.0591, 77.38416
228.5412, 95.42310
229.0233, 121.0259
229.5054, 147.8545
229.9875, 167.4170
230.4697, 175.7560
230.9518, 178.8044
231.4339, 191.7959
231.9160, 224.6311
232.3981, 249.4462
232.8802, 261.4790
233.3624, 265.6696
233.8445, 263.9398
234.3266, 257.4360
234.8087, 251.0785
235.2908, 254.5701
235.7729, 274.6265
236.2551, 288.8784
236.7372, 288.0098
237.2193, 286.5957
237.7014, 296.2354
238.1835, 318.2313
238.6656, 342.6591
239.1478, 357.3755
239.6299, 360.2544
240.1120, 362.1121
240.5941, 363.7538
241.0762, 364.1764
241.5583, 360.8760
242.0405, 354.9780
242.5226, 351.1943
243.0047, 351.8425
243.4868, 355.8644
243.9689, 371.6984
244.4510, 411.5220
244.9332, 452.9896
245.4153, 485.0862
245.8974, 511.6224
246.3795, 543.9619
246.8616, 593.5312
247.3437, 657.5714
247.8259, 709.7385
248.3080, 750.9914
248.7901, 777.4792
249.2722, 788.5499
249.7543, 785.8086
250.2364, 771.1411
250.7186, 744.1670
251.2007, 707.4955
251.6828, 668.7729
252.1649, 629.4086
252.6470, 584.3470
253.1291, 527.9357
253.6113, 467.4788
254.0934, 409.2900
254.5755, 354.6500
255.0576, 306.9832
255.5397, 273.0972
256.0219, 256.1216
256.5040, 241.5291
256.9861, 227.3113
257.4682, 212.7888
257.9503, 196.9706
258.4324, 179.6259
258.9146, 162.1438
259.3967, 145.3347
259.8788, 129.1046
260.3609, 115.1990
260.8430, 105.0328
261.3251, 96.36469
261.8073, 88.06958
262.2894, 79.97101
262.7715, 70.92334
263.2536, 58.47150
263.7357, 43.65558
264.2178, 32.67798
264.7000, 26.39362
265.1821, 24.02789
265.6642, 26.62048
266.1463, 32.65167
266.6284, 37.03375
267.1105, 37.35156
267.5927, 34.40497
268.0748, 28.70966
268.5569, 18.82483
269.0390, 10.98120
269.5211, 11.11688
270.0032, 16.16498
270.4854, 21.51367
270.9675, 27.03876
271.4496, 31.51886
271.9317, 32.74451
272.4138, 30.59747
272.8959, 29.40997
273.3781, 33.00909
273.8602, 37.77649
274.3423, 37.09930
274.8244, 28.22955
275.3065, 18.53619
275.7886, 13.05707
276.2708, 11.01935
276.7529, 9.369080
277.2350, 7.719910
277.7171, 5.264954
278.1992, 0.4656980
278.6813, 7.299561
279.1635, 14.68567
279.6456, 22.30353
280.1277, 28.52209
280.6098, 29.57172
281.0919, 24.13721
281.5740, 16.21234
282.0562, 10.31799
282.5383, 6.873413
283.0204, 4.815247
283.5025, 4.178467
283.9846, 4.793274
284.4667, 7.674805
284.9489, 12.51825
285.4310, 15.82227
285.9131, 14.34924
286.3952, 8.117065
286.8773, 3.215454
287.3594, 1.288086
287.8416, 3.729553
288.3237, 1.306091
288.8058, 4.041016
289.2879, 7.179443
289.7700, 5.118652
290.2521, 1.036865
290.7343, 6.724426
291.2164, 13.14813
291.6985, 17.70038
292.1806, 19.83069
292.6627, 19.92249
293.1448, 17.60205
293.6270, 12.82568
294.1091, 7.714539
294.5912, 6.053528
295.0733, 9.274170
295.5554, 13.65552
296.0375, 22.79071
296.5197, 30.42914
297.0018, 30.93408
297.4839, 24.47424
297.9660, 16.24475
298.4481, 11.75824
298.9302, 11.84747
299.4124, 9.795166
299.8945, 1.254578
300.3766, 5.043274
300.8587, 4.520447
301.3408, 0.6076660
301.8229, 5.231262
302.3050, 5.788330
302.7871, 3.348999
303.2693, 3.359680
303.7514, 6.482239
304.2335, 11.38953
304.7156, 19.06354
305.1977, 27.61072
305.6798, 34.76324
306.1620, 39.63428
306.6441, 43.84369
307.1262, 50.51001
307.6083, 60.71124
308.0904, 69.25092
308.5725, 74.79083
309.0547, 78.59540
309.5368, 79.50085
310.0189, 78.08344
310.5010, 79.12476
310.9831, 88.16180
311.4652, 104.3913
311.9474, 118.6910
312.4295, 129.1825
312.9116, 139.4280
313.3937, 151.8457
313.8758, 165.8181
314.3579, 179.5931
314.8401, 191.4558
315.3222, 203.0553
315.8043, 218.8275
316.2864, 240.0659
316.7685, 257.6426
317.2506, 263.2572
317.7328, 262.9582
318.2149, 266.6204
318.6970, 275.8478
319.1791, 288.3274
319.6612, 304.1715
320.1433, 322.3428
320.6255, 338.0636
321.1076, 348.6868
321.5897, 357.6265
322.0718, 372.1105
322.5539, 393.8903
323.0360, 409.8527
323.5182, 409.1887
324.0003, 403.7095
324.4824, 409.3779
324.9645, 428.8763
325.4466, 453.9224
325.9287, 477.6244
326.4109, 499.7970
326.8930, 519.1309
327.3751, 534.7128
327.8572, 549.1815
328.3393, 562.7693
328.8214, 576.1683
329.3036, 591.3759
329.7857, 609.8967
330.2678, 630.7692
330.7499, 649.0323
331.2320, 660.9623
331.7141, 675.0022
332.1963, 691.9671
332.6784, 711.5430
333.1605, 734.1660
333.6426, 759.7227
334.1247, 785.7937
334.6068, 808.3826
335.0890, 825.0247
335.5711, 844.6384
336.0532, 874.5178
336.5353, 900.3026
337.0174, 913.0161
337.4995, 914.3271
337.9817, 912.2200
338.4638, 914.7200
338.9459, 920.1031
339.4280, 910.9136
339.9101, 875.8367
340.3922, 842.7655
340.8744, 820.8394
