##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O^+^)_3_Mg_6_Fe_15_(SO_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
220.8462, 49.84198
221.3283, 47.79663
221.8104, 45.56595
222.2925, 43.20114
222.7746, 40.50311
223.2568, 37.68192
223.7389, 35.15172
224.2210, 33.17017
224.7031, 31.62222
225.1852, 29.88280
225.6673, 27.75447
226.1495, 25.67789
226.6316, 23.78532
227.1137, 22.05899
227.5958, 20.43445
228.0779, 18.87848
228.5600, 17.41768
229.0422, 16.22144
229.5243, 15.43970
230.0064, 14.66316
230.4885, 13.63947
230.9706, 12.48047
231.4527, 11.50288
231.9349, 10.88307
232.4170, 10.52777
232.8991, 10.17261
233.3812, 9.843536
233.8633, 9.471558
234.3454, 9.017990
234.8276, 8.491409
235.3097, 7.928528
235.7918, 7.346207
236.2739, 6.729767
236.7560, 6.018967
237.2381, 5.139343
237.7203, 4.391266
238.2024, 4.097015
238.6845, 4.177719
239.1666, 4.070084
239.6487, 3.402252
240.1308, 2.635651
240.6130, 2.371292
241.0951, 2.689240
241.5772, 3.034439
242.0593, 2.954132
242.5414, 2.477264
243.0235, 2.041779
243.5057, 1.693527
243.9878, 1.495361
244.4699, 1.611420
244.9520, 2.040665
245.4341, 2.317230
245.9162, 1.848801
246.3984, 0.6424560
246.8805, 9.8082997E-02
247.3626, 0.2093510
247.8447, 0.7143550
248.3268, 0.8500820
248.8089, 0.6294100
249.2911, 0.4241940
249.7732, 0.6880490
250.2553, 1.454376
250.7374, 1.820145
251.2195, 1.328690
251.7016, 0.7461090
252.1838, 0.4129490
252.6659, 0.3208620
253.1480, 0.3016660
253.6301, 0.1891480
254.1122, 3.3310000E-02
254.5943, 0.1073300
255.0765, 0.2269900
255.5586, 0.4744570
256.0407, 0.3529360
256.5228, 3.0959999E-02
257.0049, 0.3541410
257.4870, 0.3092500
257.9691, 0.1150820
258.4513, 0.3426670
258.9334, 6.5430000E-02
259.4155, 0.1324770
259.8976, 1.3916000E-02
260.3797, 0.3146210
260.8618, 0.6046140
261.3440, 0.6599730
261.8261, 0.4920650
262.3082, 0.4157560
262.7903, 0.6006770
263.2724, 0.7109530
263.7545, 0.6518710
264.2367, 0.4665530
264.7188, 0.2034450
265.2009, 0.1279750
265.6830, 0.4879910
266.1651, 0.5326540
266.6472, 0.4061740
267.1294, 0.9479220
267.6115, 0.5244900
268.0936, 0.3749850
268.5757, 0.9992070
269.0578, 0.9213870
269.5399, 0.3163760
270.0221, 5.0507002E-02
270.5042, 3.4194998E-02
270.9863, 0.1323700
271.4684, 0.2811430
271.9505, 0.3938290
272.4326, 0.3352810
272.9148, 4.0725999E-02
273.3969, 0.3891300
273.8790, 0.6716920
274.3611, 0.6753540
274.8432, 0.6775510
275.3253, 0.7084200
275.8075, 0.7329560
276.2896, 0.6727600
276.7717, 0.5025790
277.2538, 0.3353120
277.7359, 0.3902130
278.2180, 0.9119420
278.7002, 1.289108
279.1823, 1.315414
279.6644, 1.299149
280.1465, 1.591812
280.6286, 2.267502
281.1107, 3.050262
281.5929, 3.546265
282.0750, 3.620193
282.5571, 3.698013
283.0392, 3.640976
