##NAMES=Hydrocerussite
##RRUFFID=R070059
##IDEAL CHEMISTRY=Pb_3_(CO_3_)_2_(OH)_2_
##LOCALITY=Wanlockhead, Scotland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of colorless thin hexagonal plates, likely a pseudomorph after plumbonacrite
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070059
##MEASURED CHEMISTRY=Pb_3_(CO_3_)_2_(OH)_2_ ; Pb confirmed by EPMA, CO_2_ and H_2_O not analyzed but confirmed by Raman spectroscopy
354.6544, 162.5312
355.1366, 172.3311
355.6187, 206.9033
356.1008, 248.1611
356.5829, 271.7842
357.0650, 264.0742
357.5471, 233.2725
358.0293, 190.3545
358.5114, 125.3857
358.9935, 79.82812
359.4756, 78.72949
359.9577, 87.82520
360.4398, 84.79688
360.9220, 68.92871
361.4041, 56.66602
361.8862, 69.31250
362.3683, 99.05371
362.8504, 100.4395
363.3326, 52.62402
363.8147, 17.19727
364.2968, 58.19336
364.7789, 136.6191
365.2610, 177.2178
365.7431, 137.1006
366.2253, 77.87988
366.7074, 63.70996
367.1895, 88.20020
367.6716, 98.61523
368.1537, 66.40820
368.6358, 19.35840
369.1180, 13.46289
369.6001, 59.08105
370.0822, 93.86328
370.5643, 88.22949
371.0464, 68.68555
371.5285, 65.78906
372.0107, 84.15723
372.4928, 114.0703
372.9749, 149.0889
373.4570, 189.7637
373.9391, 219.7529
374.4212, 242.3730
374.9034, 252.6748
375.3855, 231.4492
375.8676, 199.5742
376.3497, 196.9980
376.8318, 243.2217
377.3139, 313.6641
377.7961, 351.5547
378.2782, 330.4590
378.7603, 325.3711
379.2424, 347.9199
379.7245, 377.6953
380.2066, 401.3975
380.6888, 418.6064
381.1709, 437.1035
381.6530, 463.8877
382.1351, 498.4395
382.6172, 532.2676
383.0993, 557.2920
383.5815, 595.9053
384.0636, 681.0742
384.5457, 775.4248
385.0278, 822.0723
385.5099, 790.7588
385.9920, 742.4160
386.4742, 750.2393
386.9563, 811.4600
387.4384, 870.5967
387.9205, 916.0283
388.4026, 951.5312
388.8847, 976.4824
389.3669, 991.4668
389.8490, 1017.311
390.3311, 1073.734
390.8132, 1138.043
391.2953, 1177.922
391.7774, 1192.910
392.2596, 1212.488
392.7417, 1258.725
393.2238, 1325.328
393.7059, 1374.607
394.1880, 1392.537
394.6701, 1412.947
395.1523, 1445.146
395.6344, 1484.653
396.1165, 1527.076
396.5986, 1570.710
397.0807, 1612.231
397.5628, 1646.943
398.0450, 1673.081
398.5271, 1698.319
399.0092, 1721.734
399.4913, 1745.256
399.9734, 1768.627
400.4555, 1792.764
400.9377, 1818.093
401.4197, 1843.471
401.9019, 1873.682
402.3840, 1927.884
402.8661, 2023.787
