##NAMES=Magnesiotaaffeite-2N2S
##RRUFFID=X090001
##IDEAL CHEMISTRY=Mg_3_BeAl_8_O_16_
##LOCALITY=Ratnapura, Sri Lanka
##OWNER=Bill Pinch
##SOURCE=William W. Pinch
##DESCRIPTION=Dark grey with a hint of purple, flattened tabular hexagonal crystal
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/X090001
279.9158, 41.20177
280.3979, 43.58507
280.8800, 46.10110
281.3621, 48.53337
281.8442, 50.79199
282.3264, 51.77019
282.8085, 51.23659
283.2906, 50.29297
283.7727, 50.23972
284.2548, 51.09001
284.7369, 51.77751
285.2191, 52.01680
285.7012, 52.08284
286.1833, 52.57617
286.6654, 53.45255
287.1475, 54.60379
287.6296, 56.36511
288.1118, 58.60796
288.5939, 59.82484
289.0760, 59.24266
289.5581, 57.79144
290.0402, 58.11644
290.5223, 60.28606
291.0045, 62.16078
291.4866, 61.55307
291.9687, 59.02580
292.4508, 57.37407
292.9329, 57.31364
293.4150, 58.09180
293.8972, 58.44856
294.3793, 58.41356
294.8614, 58.23932
295.3435, 58.16821
295.8256, 58.07724
296.3077, 57.65196
296.7899, 56.87427
297.2720, 55.67499
297.7541, 53.51224
298.2362, 50.70300
298.7183, 48.58051
299.2004, 48.68480
299.6826, 49.80077
300.1647, 49.36069
300.6468, 46.94623
301.1289, 44.45032
301.6110, 43.97987
302.0931, 44.99129
302.5753, 46.04591
303.0574, 46.31006
303.5395, 46.29919
304.0216, 46.71133
304.5037, 47.57434
304.9858, 48.51901
305.4680, 49.39461
305.9501, 50.12599
306.4322, 50.58873
306.9143, 51.01279
307.3964, 50.95917
307.8785, 49.90553
308.3607, 47.91310
308.8428, 45.54424
309.3249, 43.00212
309.8070, 40.35056
310.2891, 37.66939
310.7712, 34.92456
311.2534, 32.18022
311.7355, 29.24667
312.2176, 26.25430
312.6997, 23.79143
313.1818, 22.67325
313.6639, 21.95280
314.1461, 20.77246
314.6282, 18.60161
315.1103, 16.75229
315.5924, 16.23401
316.0745, 16.51146
316.5566, 16.46323
317.0388, 15.47386
317.5209, 14.15111
318.0030, 12.68109
318.4851, 10.92743
318.9672, 9.708054
319.4493, 9.627899
319.9315, 10.16112
320.4136, 10.61238
320.8957, 10.94855
321.3778, 11.02232
321.8599, 10.62468
322.3420, 9.684692
322.8242, 9.054733
323.3063, 9.367203
323.7884, 9.848221
324.2705, 9.822571
324.7526, 8.444824
325.2347, 7.332962
325.7169, 6.887070
326.1990, 7.060257
326.6811, 7.300903
327.1632, 7.618866
327.6453, 7.961578
328.1274, 8.301117
328.6096, 9.012238
329.0917, 9.249985
329.5738, 8.708817
330.0559, 7.650940
330.5380, 6.919449
331.0201, 6.776550
331.5023, 6.673767
331.9844, 6.317444
332.4665, 5.310349
332.9486, 5.092804
333.4307, 6.229965
333.9128, 7.861435
334.3950, 8.428329
334.8771, 7.344788
335.3592, 6.311188
335.8413, 5.932388
336.3234, 6.309814
336.8055, 6.272400
337.2877, 5.718124
337.7698, 4.888535
338.2519, 3.965057
338.7340, 2.869186
339.2161, 2.038208
339.6982, 1.696854
340.1803, 1.717834
340.6624, 1.255875
341.1446, 0.1772610
341.6267, 0.9542690
342.1088, 1.749023
342.5909, 2.196045
343.0730, 2.430634
343.5551, 2.398071
344.0373, 2.248596
344.5194, 2.407120
345.0015, 2.894440
345.4836, 3.262085
345.9657, 3.020721
346.4478, 2.349106
346.9300, 2.366287
347.4121, 3.289215
347.8942, 4.348602
348.3763, 4.472702
348.8584, 3.772949
349.3405, 2.922150
