##NAMES=Ktenasite
##RRUFFID=R070081
##IDEAL CHEMISTRY=(Cu,Zn)_5_(SO_4_)_2_(OH)_6_&#183;6H_2_O
##LOCALITY=Amot, Modum, Norway
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Radial aggregates of bluish green tabular crystals, associated with colorless tabular gypsum crystals.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070081
220.0876, 110.0346
220.5697, 117.0065
221.0518, 120.4418
221.5339, 118.3705
222.0160, 116.5604
222.4981, 116.0029
222.9803, 116.1578
223.4624, 121.1219
223.9445, 133.5054
224.4266, 148.7465
224.9087, 159.8932
225.3908, 166.4335
225.8730, 169.7478
226.3551, 169.5321
226.8372, 164.4961
227.3193, 161.0406
227.8014, 158.2684
228.2835, 157.5966
228.7657, 161.8623
229.2478, 174.0441
229.7299, 186.4702
230.2120, 196.5653
230.6941, 204.1865
231.1762, 210.4071
231.6584, 214.6526
232.1405, 217.7261
232.6226, 221.2170
233.1047, 225.1683
233.5868, 229.4902
234.0689, 234.3104
234.5511, 240.3922
235.0332, 244.7921
235.5153, 246.9357
235.9974, 247.6595
236.4795, 248.6888
236.9616, 250.3067
237.4438, 251.7797
237.9259, 252.1887
238.4080, 249.2056
238.8901, 251.7129
239.3722, 263.4094
239.8543, 279.4175
240.3365, 287.6092
240.8186, 281.4036
241.3007, 276.9551
241.7828, 282.6050
242.2649, 307.4471
242.7470, 319.9267
243.2292, 314.3131
243.7113, 297.8755
244.1934, 288.8245
244.6755, 288.8198
245.1576, 293.7735
245.6397, 303.5104
246.1219, 324.1625
246.6040, 335.9204
247.0861, 334.1687
247.5682, 324.0105
248.0503, 317.9684
248.5324, 318.6383
249.0146, 319.5593
249.4967, 317.7703
249.9788, 311.8950
250.4609, 306.5950
250.9430, 302.8442
251.4251, 299.4116
251.9073, 292.2778
252.3894, 278.0059
252.8715, 265.4891
253.3536, 259.3903
253.8357, 262.7793
254.3178, 264.5597
254.8000, 264.7391
255.2821, 263.1582
255.7642, 259.2025
256.2463, 251.9460
256.7284, 243.8441
257.2105, 235.4157
257.6927, 224.5023
258.1748, 219.7795
258.6569, 226.6436
259.1390, 237.9244
259.6211, 231.6545
260.1032, 196.9572
260.5854, 165.2507
261.0675, 152.5761
261.5496, 166.4204
262.0317, 177.0205
262.5138, 184.6302
262.9959, 188.3014
263.4781, 184.2202
263.9602, 168.8033
264.4423, 153.8340
264.9244, 145.5333
265.4065, 144.5245
265.8886, 142.8814
266.3708, 140.1467
266.8529, 136.8478
267.3350, 134.4335
267.8171, 133.2925
268.2992, 131.9630
268.7813, 130.2310
269.2635, 129.1743
269.7456, 125.7981
270.2277, 118.2889
270.7098, 109.0411
271.1919, 104.3744
271.6740, 105.1666
272.1562, 106.0025
272.6383, 104.2503
273.1204, 99.82166
273.6025, 97.05688
274.0846, 97.68091
274.5667, 99.47491
275.0489, 93.10327
275.5310, 74.31665
276.0131, 59.84265
276.4952, 62.14685
276.9773, 83.60608
277.4594, 90.55414
277.9416, 78.33527
278.4237, 57.48138
278.9058, 45.59863
279.3879, 43.58972
279.8700, 44.14075
280.3521, 44.72937
280.8343, 45.43939
281.3164, 44.11578
281.7985, 40.52795
282.2806, 35.31525
282.7627, 28.06696
283.2448, 18.73492
283.7270, 13.49103
284.2091, 17.64966
284.6912, 29.78333
285.1733, 35.16150
285.6554, 32.60846
286.1375, 26.94275
286.6197, 25.84033
287.1018, 28.99384
287.5839, 29.29169
288.0660, 18.74408
288.5481, 1.369507
289.0303, 0.2188720
289.5124, 18.08435
289.9945, 39.27618
290.4766, 43.25519
290.9587, 32.01294
291.4409, 19.56171
291.9230, 10.67078
292.4051, 5.511963
292.8872, 2.813049
293.3693, 2.197876
293.8514, 3.308838
294.3336, 8.291260
294.8157, 15.71570
295.2978, 19.63812
295.7799, 14.17926
296.2620, 4.952454
296.7441, 5.149780
297.2263, 15.11279
297.7084, 24.94983
298.1905, 22.63647
298.6726, 12.54309
299.1547, 5.607849
299.6368, 6.871460
300.1190, 12.68604
300.6011, 19.95935
301.0832, 28.80151
301.5653, 34.07220
302.0474, 27.81323
302.5295, 14.88831
303.0117, 3.724182
303.4938, 5.744751
303.9759, 9.289185
304.4580, 2.575928
304.9401, 27.77234
305.4222, 49.43060
305.9044, 54.28064
306.3865, 49.05713
306.8686, 42.74664
307.3507, 36.40448
307.8328, 31.54565
308.3149, 31.40314
308.7971, 34.64545
309.2792, 35.61609
309.7613, 25.95074
310.2434, 14.22552
310.7255, 9.189697
311.2076, 16.43292
311.6898, 26.14624
312.1719, 33.41437
312.6540, 38.43085
313.1361, 41.74927
313.6182, 44.65582
314.1003, 45.51843
314.5825, 42.31189
315.0646, 33.07336
315.5467, 24.01666
316.0288, 17.03247
316.5109, 12.10956
316.9930, 9.328674
317.4752, 9.743408
317.9573, 11.14832
318.4394, 11.68890
318.9215, 9.692871
319.4036, 12.25488
319.8857, 30.75391
320.3679, 53.38226
320.8500, 62.03375
321.3321, 32.69550
321.8142, 5.197205
322.2963, 2.520752
322.7784, 16.56909
323.2606, 30.26074
323.7427, 30.18121
324.2248, 23.18280
324.7069, 17.66766
325.1890, 18.74109
325.6711, 17.41785
326.1533, 9.903198
326.6354, 5.536377
327.1175, 16.01257
327.5996, 20.15118
328.0817, 19.80231
328.5638, 16.47369
329.0460, 7.501404
329.5281, 1.248169
330.0102, 11.19202
330.4923, 22.12286
330.9744, 23.16571
331.4565, 5.157227
331.9387, 13.92676
332.4208, 19.96729
332.9029, 4.048828
333.3850, 7.374512
333.8671, 9.872070
334.3492, 5.269470
