##NAMES=Magnesioferrite
##RRUFFID=R070127
##IDEAL CHEMISTRY=MgFe^3+^_2_O_4_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black poorly formed octahedral crystals with deep red highlites, associated with hematite and calcite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070127
229.2488, 16.26617
229.7310, 9.336365
230.2131, 20.10126
230.6952, 7.496277
231.1773, 4.536438
231.6594, 12.48468
232.1415, 16.96350
232.6237, 9.384644
233.1058, 21.30023
233.5879, 54.82800
234.0700, 65.46198
234.5521, 41.33185
235.0342, 15.19794
235.5164, 7.558350
235.9985, 28.80743
236.4806, 32.80212
236.9627, 7.797852
237.4448, 25.33594
237.9269, 38.21497
238.4091, 18.50360
238.8912, 0.9738770
239.3733, 11.47974
239.8554, 11.51526
240.3375, 9.894409
240.8196, 6.227417
241.3018, 1.181702
241.7839, 4.305969
242.2660, 9.755981
242.7481, 16.52057
243.2302, 25.62903
243.7123, 38.26062
244.1945, 48.10187
244.6766, 55.17236
245.1587, 59.40918
245.6408, 60.59747
246.1229, 57.55664
246.6050, 53.49896
247.0872, 49.42395
247.5693, 45.52783
248.0514, 40.64148
248.5335, 33.70764
249.0156, 26.40747
249.4977, 21.61108
249.9799, 19.65710
250.4620, 19.60675
250.9441, 21.52673
251.4262, 26.11456
251.9083, 30.13861
252.3904, 33.98041
252.8726, 36.98029
253.3547, 38.04803
253.8368, 37.51929
254.3189, 34.36261
254.8010, 26.51007
255.2831, 10.47119
255.7653, 4.141602
256.2474, 11.44958
256.7295, 25.84216
257.2116, 36.56927
257.6937, 45.25232
258.1758, 46.75537
258.6580, 35.85461
259.1401, 6.123657
259.6222, 7.392090
260.1043, 2.756042
260.5864, 23.59753
261.0685, 30.04773
261.5507, 14.98785
262.0328, 1.977234
262.5149, 0.5271610
262.9970, 13.61261
263.4791, 24.46863
263.9612, 33.08038
264.4434, 39.60144
264.9255, 44.09045
265.4076, 45.95471
265.8897, 47.35236
266.3718, 48.77319
266.8539, 49.93127
267.3361, 53.46857
267.8182, 61.45874
268.3003, 69.55322
268.7824, 68.91351
269.2645, 56.11334
269.7466, 45.34015
270.2288, 42.85968
270.7109, 49.88171
271.1930, 54.02856
271.6751, 54.04584
272.1572, 52.13123
272.6393, 55.12689
273.1215, 65.61578
273.6036, 73.45453
274.0857, 72.49316
274.5678, 61.79077
275.0499, 61.80920
275.5320, 76.53552
276.0142, 95.42621
276.4963, 101.4563
276.9784, 92.72589
277.4605, 82.87964
277.9426, 77.09015
278.4247, 75.26874
278.9069, 72.61353
279.3890, 68.71704
279.8711, 64.91229
280.3532, 62.45856
280.8354, 60.98865
281.3175, 61.70764
281.7996, 67.11749
282.2817, 77.43115
282.7638, 87.28192
283.2459, 96.78668
283.7281, 104.9943
284.2102, 111.0233
284.6923, 114.8745
285.1744, 118.2122
285.6565, 120.8743
286.1386, 122.1973
286.6208, 126.5743
287.1029, 137.1981
287.5850, 146.9557
288.0671, 140.0750
288.5492, 118.9542
289.0313, 110.0367
289.5135, 133.0265
289.9956, 175.6262
290.4777, 193.7159
290.9598, 185.7758
291.4419, 169.2542
291.9240, 161.3262
292.4062, 161.1436
292.8883, 164.3944
293.3704, 171.9052
293.8525, 179.6700
294.3346, 179.0436
294.8167, 171.2745
295.2989, 164.9337
295.7810, 171.1501
296.2631, 186.1377
296.7452, 197.9443
297.2273, 201.5292
297.7094, 200.2271
298.1916, 196.8014
298.6737, 191.5427
299.1558, 188.9480
299.6379, 196.3553
300.1200, 208.8313
300.6021, 215.6854
301.0843, 209.0513
301.5664, 199.4640
302.0485, 200.6797
302.5306, 211.8459
303.0127, 225.2780
303.4948, 240.3594
303.9770, 253.0670
304.4591, 256.4930
304.9412, 242.6116
305.4233, 226.2808
305.9054, 220.1504
306.3875, 223.5799
306.8697, 233.5264
307.3518, 258.3349
307.8339, 284.8090
308.3160, 295.9878
308.7981, 279.7397
309.2802, 260.2797
309.7624, 256.8723
310.2445, 265.5472
310.7266, 273.4973
311.2087, 274.8641
311.6908, 272.1985
312.1729, 266.9120
312.6551, 256.8264
313.1372, 249.0898
313.6193, 248.3811
314.1014, 253.0398
314.5835, 259.1938
315.0656, 269.8492
315.5478, 278.4554
316.0299, 280.0211
316.5120, 271.1448
316.9941, 262.1514
317.4762, 255.5298
317.9583, 251.7380
318.4405, 250.7758
318.9226, 257.0304
319.4047, 262.7328
319.8868, 263.7019
320.3689, 257.7480
320.8510, 253.0245
321.3332, 254.0673
321.8153, 256.8439
322.2974, 255.6511
322.7795, 240.9941
323.2616, 229.9621
323.7437, 229.8462
324.2259, 244.2448
324.7080, 254.1933
325.1901, 256.2117
325.6722, 253.4077
326.1543, 249.2711
326.6364, 243.3674
327.1186, 236.7424
327.6007, 226.8550
328.0828, 212.4159
328.5649, 208.9218
329.0470, 225.3542
329.5291, 246.9894
330.0113, 262.0518
330.4934, 272.4315
330.9755, 273.9928
331.4576, 260.8541
331.9397, 234.1092
332.4218, 218.2696
332.9040, 215.3607
333.3861, 221.2237
333.8682, 235.5491
334.3503, 267.6960
334.8324, 284.6473
335.3145, 276.7408
335.7967, 251.1331
336.2788, 243.2094
336.7609, 261.2217
337.2430, 278.8705
337.7251, 278.2418
338.2072, 255.6096
338.6894, 234.1851
339.1715, 213.0883
339.6536, 196.1105
340.1357, 195.9866
340.6178, 216.1982
341.0999, 235.5029
341.5821, 241.2938
342.0642, 233.7401
342.5463, 229.4171
343.0284, 229.7286
343.5105, 231.0574
343.9926, 227.3290
344.4748, 218.7164
344.9569, 210.2099
345.4390, 203.1304
345.9211, 197.8995
346.4032, 197.1539
346.8853, 201.4659
347.3675, 206.9697
347.8496, 212.5957
348.3317, 216.6801
348.8138, 211.8053
349.2959, 185.0691
349.7780, 151.1782
350.2602, 140.1353
350.7423, 152.2218
351.2244, 165.4354
351.7065, 158.6264
352.1887, 139.1931
352.6708, 122.0285
353.1529, 112.0856
353.6350, 106.3276
354.1171, 101.1372
354.5992, 96.89276
355.0814, 96.07220
355.5635, 103.9831
356.0456, 114.7917
356.5277, 121.8661
357.0098, 122.8332
357.4919, 121.0629
357.9741, 116.5270
358.4562, 110.2505
358.9383, 106.0544
359.4204, 110.1663
359.9025, 114.4024
360.3846, 112.0544
360.8668, 98.69244
361.3489, 87.68109
361.8310, 87.31616
362.3131, 92.32697
362.7952, 93.72943
363.2773, 83.34863
363.7595, 73.75867
364.2416, 70.62897
364.7237, 75.95123
365.2058, 80.10913
365.6879, 82.63428
366.1700, 82.99615
366.6522, 80.45898
367.1343, 69.95166
367.6164, 61.07812
368.0985, 54.85120
368.5806, 51.51996
369.0627, 56.76642
369.5449, 78.26813
370.0270, 96.58954
370.5091, 101.6752
370.9912, 86.12915
371.4733, 71.25250
371.9554, 58.18970
372.4376, 47.15588
372.9197, 40.83606
373.4018, 40.46576
373.8839, 42.81592
374.3660, 47.28693
374.8481, 55.60175
375.3303, 58.64508
375.8124, 54.14331
376.2945, 45.44574
376.7766, 39.84735
377.2587, 37.74493
377.7408, 37.28369
378.2230, 39.11725
378.7051, 43.01813
379.1872, 40.82245
379.6693, 30.51117
380.1514, 19.85529
380.6335, 22.18811
381.1157, 36.32153
381.5978, 46.50635
382.0799, 42.74188
382.5620, 31.80200
383.0441, 35.03778
383.5262, 52.89276
384.0084, 66.68713
384.4905, 51.62854
384.9726, 19.43323
385.4547, 0.5140380
385.9368, 10.57690
386.4189, 27.93256
386.9011, 24.71777
387.3832, 4.645508
387.8653, 13.54797
388.3474, 21.56543
388.8295, 19.65558
389.3116, 4.699036
389.7938, 30.79486
390.2759, 60.86011
390.7580, 64.79950
391.2401, 51.36108
391.7222, 39.20142
392.2043, 38.97253
392.6865, 40.39233
393.1686, 36.56781
393.6507, 24.96332
394.1328, 15.93994
394.6149, 13.64276
395.0970, 15.65472
395.5792, 19.13446
396.0613, 25.45673
396.5434, 31.15942
397.0255, 37.22083
397.5076, 43.57990
397.9897, 43.23425
398.4719, 29.78619
398.9540, 13.42358
399.4361, 7.7758998E-02
399.9182, 12.15137
400.4003, 18.44135
400.8824, 17.15369
401.3646, 9.685059
401.8467, 0.3825680
402.3288, 13.17334
402.8109, 24.40472
403.2930, 30.36316
403.7751, 30.52216
404.2573, 26.93317
404.7394, 17.90796
405.2215, 7.172607
405.7036, 0.7202760
406.1857, 1.169739
406.6678, 0.6727290
407.1500, 2.195923
407.6321, 7.005737
408.1142, 10.13489
408.5963, 11.00391
409.0784, 13.63916
409.5605, 26.08514
410.0427, 45.46246
410.5248, 55.58984
411.0069, 49.86346
411.4890, 36.36426
411.9711, 28.16553
412.4532, 24.93158
412.9354, 22.93964
413.4175, 19.33258
413.8996, 14.97650
414.3817, 10.52167
414.8638, 5.055481
415.3459, 3.172913
415.8281, 12.40344
416.3102, 28.11517
416.7923, 40.91217
417.2744, 46.29944
417.7565, 46.88196
418.2386, 42.59314
418.7208, 33.20892
419.2029, 25.58600
419.6850, 23.99902
420.1671, 25.11914
420.6492, 25.38586
421.1313, 21.74927
421.6135, 19.33826
422.0956, 21.14685
422.5777, 26.48944
423.0598, 29.12170
423.5420, 21.53589
424.0241, 15.50244
424.5062, 17.85449
424.9883, 43.03149
425.4704, 49.61853
425.9525, 20.77911
426.4347, 20.01849
426.9168, 27.84357
427.3989, 18.68744
427.8810, 57.39661
428.3631, 65.46063
428.8452, 41.60876
429.3274, 28.70587
429.8095, 29.14453
430.2916, 35.95575
430.7737, 44.25519
431.2558, 54.41589
431.7379, 59.15845
432.2201, 54.20996
432.7022, 44.90265
433.1843, 47.86151
433.6664, 63.32611
434.1485, 76.88525
434.6306, 76.39508
435.1128, 66.04340
435.5949, 57.00983
436.0770, 50.16803
436.5591, 46.84216
437.0412, 52.53503
437.5233, 63.42224
438.0055, 69.88983
438.4876, 62.65649
438.9697, 52.59302
439.4518, 49.33997
439.9339, 52.60992
440.4160, 58.81134
440.8982, 68.61310
441.3803, 79.20007
441.8624, 87.99298
442.3445, 93.06024
442.8266, 98.17358
443.3087, 107.0750
443.7909, 117.2256
444.2730, 120.8015
444.7551, 111.6503
445.2372, 99.90350
445.7193, 89.02930
446.2014, 77.88513
446.6836, 72.14276
447.1657, 71.31970
447.6478, 76.21222
448.1299, 90.30347
448.6120, 129.1355
449.0941, 149.5193
449.5763, 134.6918
450.0584, 88.44415
450.5405, 67.69879
451.0226, 78.81067
451.5047, 101.1960
451.9868, 122.9559
452.4690, 143.9807
452.9511, 157.4976
453.4332, 161.1362
453.9153, 159.6968
454.3974, 159.5488
454.8795, 160.7451
455.3617, 163.9373
455.8438, 175.2007
456.3259, 188.7195
456.8080, 185.1859
457.2901, 163.4912
457.7722, 142.1774
458.2544, 139.3041
458.7365, 149.3448
459.2186, 162.5250
459.7007, 184.1099
460.1828, 199.2816
460.6649, 188.6936
461.1471, 159.1924
461.6292, 136.5274
462.1113, 137.6749
462.5934, 146.6799
463.0755, 152.3622
463.5576, 151.9843
464.0398, 156.0414
464.5219, 176.8203
465.0040, 201.1143
465.4861, 211.9648
465.9682, 195.5771
466.4503, 177.4056
466.9325, 159.9715
467.4146, 143.7135
467.8967, 135.1182
468.3788, 141.7993
