##NAMES=Stibnite
##RRUFFID=R120137
##IDEAL CHEMISTRY=Sb_2_S_3_
##LOCALITY=Green Prospect, Churchill Co., Nevada, USA
##OWNER=RRUFF
##SOURCE=Benjamin N. Schumer
##DESCRIPTION=Lead-gray prismatic crystals on matrix of senarmontite, sulphur and selenium
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120137
219.5331, 5.583252
220.0153, 6.118896
220.4974, 7.686096
220.9795, 8.010681
221.4616, 6.452515
221.9437, 4.359497
222.4258, 3.403992
222.9080, 3.945129
223.3901, 4.854248
223.8722, 5.836304
224.3543, 6.887024
224.8364, 8.149231
225.3185, 9.573120
225.8007, 11.21674
226.2828, 13.24005
226.7649, 15.87311
227.2470, 18.35577
227.7291, 20.35406
228.2112, 21.79431
228.6934, 23.38025
229.1755, 24.64777
229.6576, 26.44232
230.1397, 29.80487
230.6218, 34.95117
231.1039, 41.35114
231.5861, 48.61914
232.0682, 56.67981
232.5503, 66.54382
233.0324, 76.53430
233.5145, 89.63153
233.9966, 109.6637
234.4788, 136.4879
234.9609, 170.3815
235.4430, 212.3983
235.9251, 263.5240
236.4072, 316.7518
236.8893, 376.7750
237.3715, 435.1041
237.8536, 480.6108
238.3357, 509.3081
238.8178, 532.8927
239.2999, 553.2309
239.7820, 569.4465
240.2642, 587.5793
240.7463, 608.2124
241.2284, 630.2149
241.7105, 651.9875
242.1926, 672.7095
242.6747, 695.0928
243.1569, 719.1113
243.6390, 744.5091
244.1211, 773.9982
244.6032, 806.8209
245.0853, 844.5065
245.5674, 888.2128
246.0496, 935.4988
246.5317, 993.1560
247.0138, 1060.745
247.4959, 1137.526
247.9780, 1236.326
248.4601, 1355.933
248.9423, 1498.843
249.4244, 1669.751
249.9065, 1877.268
250.3886, 2095.973
250.8707, 2322.029
251.3528, 2553.440
251.8350, 2799.242
252.3171, 3082.793
252.7992, 3352.511
253.2813, 3573.542
253.7634, 3802.060
254.2455, 3853.660
254.7277, 3659.583
255.2098, 3214.508
255.6919, 2749.290
256.1740, 2231.482
256.6561, 1734.140
257.1382, 1334.293
257.6204, 1044.501
258.1025, 814.7419
258.5846, 646.1516
259.0667, 535.9763
259.5488, 446.3445
260.0309, 382.2834
260.5131, 333.7117
260.9952, 294.3151
261.4773, 265.7318
261.9594, 241.1411
262.4415, 220.1689
262.9236, 202.5534
263.4058, 187.1931
263.8879, 174.4093
264.3700, 163.2270
264.8521, 152.4532
265.3342, 141.8551
265.8163, 132.4887
266.2985, 124.7202
266.7806, 118.5038
267.2627, 113.2492
267.7448, 109.3676
268.2269, 105.4247
268.7090, 100.0853
269.1912, 92.69720
269.6733, 86.55701
270.1554, 82.34576
270.6375, 79.56689
271.1196, 76.51581
271.6017, 72.98853
272.0839, 69.36090
272.5660, 65.96252
273.0481, 62.81720
273.5302, 59.54132
274.0123, 55.88324
274.4944, 52.21710
274.9766, 49.81989
275.4587, 49.08826
275.9408, 48.30188
276.4229, 46.07916
276.9050, 42.19342
277.3871, 39.57312
277.8693, 38.84772
278.3514, 39.03973
278.8335, 37.67487
279.3156, 34.40381
279.7977, 31.59015
280.2798, 30.99091
280.7620, 32.62524
281.2441, 33.04169
281.7262, 31.84009
282.2083, 29.77478
282.6904, 28.13489
283.1725, 26.94250
283.6547, 25.78510
284.1368, 24.25342
284.6189, 22.43951
285.1010, 21.44568
285.5831, 21.43536
286.0652, 21.84595
286.5474, 22.11743
287.0295, 22.23962
287.5116, 21.67987
287.9937, 19.59631
288.4758, 16.40155
288.9579, 14.78595
289.4401, 14.92334
289.9222, 15.63452
290.4043, 15.49854
290.8864, 14.61383
291.3685, 13.75568
291.8506, 13.21942
292.3328, 12.92926
292.8149, 12.71222
293.2970, 12.57355
293.7791, 12.42395
294.2612, 12.19250
294.7433, 11.87787
295.2255, 11.46423
295.7076, 10.86908
296.1897, 10.21588
296.6718, 9.866028
297.1539, 9.808594
297.6360, 9.598938
298.1182, 8.782104
298.6003, 7.517456
299.0824, 6.147644
299.5645, 4.584961
300.0466, 3.155518
300.5287, 2.419739
301.0109, 2.308716
301.4930, 2.325439
301.9751, 1.940918
302.4572, 1.477600
302.9393, 1.643433
303.4214, 3.046631
303.9036, 4.297241
304.3857, 3.374084
304.8678, 0.8569340
305.3499, 1.154175
305.8320, 0.7536620
306.3141, 0.6517330
306.7963, 1.299133
307.2784, 0.7112430
307.7605, 7.2936997E-02
308.2426, 0.2378540
308.7247, 5.7799999E-02
309.2068, 0.4391480
309.6890, 0.6979980
310.1711, 0.9503170
310.6532, 1.335205
311.1353, 1.900452
311.6174, 2.346436
312.0995, 2.547546
312.5817, 2.473206
313.0638, 2.091125
313.5459, 0.9130860
314.0280, 0.2253420
314.5101, 0.7333370
314.9922, 0.5328980
315.4744, 0.2749630
315.9565, 0.2741700
316.4386, 0.3610230
316.9207, 0.3468020
317.4028, 3.7170000E-02
317.8849, 0.2905270
318.3671, 0.7608640
318.8492, 1.343018
319.3313, 1.259521
319.8134, 0.4086910
320.2955, 2.508057
320.7776, 4.106079
321.2598, 5.025879
321.7419, 5.433838
322.2240, 5.238342
322.7061, 4.520691
323.1882, 3.671021
323.6703, 2.756775
324.1525, 1.743774
324.6346, 0.6197510
325.1167, 0.7761230
325.5988, 2.077393
326.0809, 3.804321
326.5630, 5.472900
327.0452, 5.750488
327.5273, 2.862732
328.0094, 3.9978001E-02
328.4915, 1.585327
328.9736, 1.543762
329.4557, 1.302612
329.9379, 0.6778560
330.4200, 9.0392999E-02
330.9021, 0.6125490
331.3842, 0.8824460
331.8663, 0.8969120
332.3484, 0.4748540
332.8306, 0.5662840
333.3127, 0.8793330
333.7948, 0.3311770
334.2769, 0.8226930
334.7590, 2.483337
335.2411, 5.352600
335.7233, 7.151550
336.2054, 7.045898
336.6875, 5.202942
337.1696, 4.289429
337.6517, 4.571350
338.1339, 5.294800
338.6160, 5.727844
339.0981, 5.676392
339.5802, 6.407593
340.0623, 8.319336
340.5444, 11.03851
341.0266, 13.24048
341.5087, 14.93152
341.9908, 16.19629
342.4729, 16.92010
342.9550, 17.08978
343.4371, 17.54150
343.9193, 18.34753
344.4014, 19.41406
344.8835, 20.64429
345.3656, 22.03717
345.8477, 23.35345
346.3298, 24.41510
346.8120, 25.30408
347.2941, 26.27118
347.7762, 27.33038
348.2583, 28.54395
348.7404, 30.16779
349.2225, 32.08167
349.7047, 33.73468
350.1868, 34.59003
350.6689, 35.19421
351.1510, 36.49780
351.6331, 38.48920
352.1152, 40.96008
352.5974, 43.84338
353.0795, 47.06415
353.5616, 50.51147
354.0437, 54.26514
354.5258, 58.06812
355.0079, 62.08411
355.4901, 66.09955
355.9722, 69.24933
356.4543, 70.32574
356.9364, 70.58789
357.4185, 71.62164
357.9006, 74.36041
358.3828, 76.12598
358.8649, 74.00330
359.3470, 69.73242
359.8291, 66.82208
360.3112, 67.60016
360.7933, 69.59735
361.2755, 71.54590
361.7576, 73.34998
362.2397, 74.88660
362.7218, 75.37415
363.2039, 75.70007
363.6860, 77.09851
364.1682, 79.98364
364.6503, 83.93164
365.1324, 88.63611
365.6145, 94.10449
366.0966, 100.8331
366.5787, 108.7505
367.0609, 118.1016
367.5430, 129.0308
368.0251, 142.1081
368.5072, 156.2280
368.9893, 171.3771
369.4714, 187.4363
369.9536, 203.7146
370.4357, 220.9322
370.9178, 237.7006
371.3999, 253.7032
371.8820, 270.4679
372.3641, 283.0583
372.8463, 293.1683
373.3284, 297.9460
373.8105, 292.3181
374.2926, 273.3574
374.7747, 250.2691
375.2568, 224.5218
375.7390, 195.9597
376.2211, 168.8023
376.7032, 142.2604
377.1853, 118.1439
377.6674, 97.37274
378.1495, 79.81946
378.6317, 65.82697
379.1138, 55.91144
379.5959, 49.29791
380.0780, 43.56451
380.5601, 38.81580
381.0422, 34.53723
381.5244, 30.45001
382.0065, 26.54517
382.4886, 22.73822
382.9707, 18.80463
383.4528, 15.48822
383.9349, 14.39124
384.4171, 15.12933
384.8992, 15.57709
385.3813, 14.52222
385.8634, 12.52136
386.3455, 10.29901
386.8276, 7.957581
387.3098, 6.080444
387.7919, 5.325195
388.2740, 5.368042
388.7561, 5.590576
389.2382, 5.668091
389.7203, 5.910950
390.2025, 6.719238
390.6846, 7.916199
391.1667, 8.974976
391.6488, 10.01215
392.1309, 10.61414
392.6130, 10.12183
393.0952, 7.568054
393.5773, 5.791992
394.0594, 6.659912
394.5415, 9.087830
395.0236, 11.06128
395.5057, 11.94208
395.9879, 12.29382
396.4700, 12.09711
396.9521, 11.18512
397.4342, 10.90289
397.9163, 12.13885
398.3984, 13.77692
398.8806, 14.79773
399.3627, 14.46954
399.8448, 14.29224
400.3269, 14.85156
400.8090, 15.90558
401.2911, 15.55145
401.7733, 12.69043
402.2554, 9.718445
402.7375, 7.910339
403.2196, 7.742981
403.7017, 7.601135
404.1838, 7.631348
404.6660, 7.553345
405.1481, 6.634216
405.6302, 4.520874
406.1123, 2.862183
406.5944, 2.298584
407.0765, 2.792603
407.5587, 3.701782
408.0408, 5.221313
408.5229, 6.426697
409.0050, 5.972229
409.4871, 3.997498
409.9692, 2.641235
410.4514, 2.511230
410.9335, 3.076599
411.4156, 3.303040
411.8977, 3.207153
412.3798, 3.069092
412.8619, 3.125427
413.3441, 3.262268
413.8262, 3.288574
414.3083, 3.201111
414.7904, 2.939758
415.2725, 2.253113
415.7546, 1.360535
416.2368, 0.7011720
416.7189, 0.7251590
417.2010, 0.8923950
417.6831, 0.7547000
418.1652, 0.3209230
418.6473, 0.1109010
419.1295, 0.5128170
419.6116, 0.7752080
420.0937, 0.7722170
420.5758, 0.1643070
421.0579, 0.2618410
