##NAMES=Walpurgite
##RRUFFID=R050573
##IDEAL CHEMISTRY=Bi^3+^_4_O_4_(U^6+^O_2_)(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow thin tabular crystals associated with metazeunerite, R060301
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050573
314.3211, 0.5042710
314.8032, 0.4150120
315.2853, 0.1442410
315.7674, 0.3993960
316.2495, 0.8271280
316.7317, 0.9844070
317.2138, 0.9736480
317.6959, 0.9300050
318.1780, 0.8059170
318.6601, 0.7971360
319.1422, 1.146294
319.6243, 1.793946
320.1064, 2.316809
320.5886, 2.564908
321.0707, 2.646199
321.5528, 2.651397
322.0349, 2.560707
322.5170, 2.630007
322.9991, 3.162111
323.4813, 3.967675
323.9634, 4.502836
324.4455, 4.627182
324.9276, 4.549324
325.4097, 4.432497
325.8918, 4.284098
326.3740, 4.136317
326.8561, 4.000831
327.3382, 3.872906
327.8203, 3.763147
328.3024, 3.687156
328.7845, 3.553335
329.2667, 3.253875
329.7488, 2.847637
330.2309, 2.480990
330.7130, 2.148762
331.1951, 1.813508
331.6772, 1.498918
332.1594, 1.215730
332.6415, 0.9308900
333.1236, 0.5747200
333.6057, 0.1546950
334.0878, 4.6987999E-02
334.5699, 0.7301440
335.0521, 1.156671
335.5342, 0.7880000
336.0163, 4.8482999E-02
336.4984, 0.5477680
336.9805, 0.3152610
337.4626, 9.4438002E-02
337.9448, 0.2743380
338.4269, 1.9153001E-02
338.9090, 0.2204320
339.3911, 0.6385280
339.8732, 1.060022
340.3553, 1.435338
340.8375, 1.737941
341.3196, 2.059687
341.8017, 2.522602
342.2838, 3.126581
342.7659, 3.766405
343.2480, 4.398974
343.7302, 5.025624
344.2123, 5.647118
344.6944, 6.285415
345.1765, 6.946226
345.6586, 7.656470
346.1407, 8.426150
346.6229, 9.123681
347.1050, 9.730380
347.5871, 10.30092
348.0692, 10.77094
348.5513, 11.17604
349.0334, 11.74227
349.5156, 12.59226
349.9977, 13.65379
350.4798, 14.71347
350.9619, 15.95697
351.4440, 16.90846
351.9261, 17.17521
352.4083, 17.07980
352.8904, 17.24850
353.3725, 17.87779
353.8546, 18.73395
354.3367, 19.49339
354.8188, 20.12463
355.3010, 20.79338
355.7831, 21.65858
356.2652, 22.48005
356.7473, 22.94341
357.2294, 23.05025
357.7115, 23.22909
358.1937, 23.94193
358.6758, 25.21596
359.1579, 25.86322
359.6400, 25.48529
360.1221, 24.93908
360.6042, 24.55708
361.0863, 24.33937
361.5685, 24.24709
362.0506, 24.26892
362.5327, 24.34811
363.0148, 24.25166
363.4969, 24.00285
363.9790, 23.66124
364.4612, 23.15944
364.9433, 22.55425
365.4254, 22.06765
365.9075, 21.73802
366.3896, 21.33718
366.8717, 20.46698
367.3539, 18.60975
367.8360, 17.35666
368.3181, 17.24201
368.8002, 17.31489
369.2823, 16.94244
369.7644, 16.07335
370.2466, 14.95353
370.7287, 13.73377
371.2108, 12.37574
371.6929, 11.29901
372.1750, 10.61491
372.6571, 10.04301
373.1393, 9.520104
373.6214, 9.042391
374.1035, 8.637629
374.5856, 8.340814
375.0677, 8.074997
375.5498, 7.570079
376.0320, 6.546508
376.5141, 5.694829
376.9962, 5.131668
377.4783, 4.715886
377.9604, 4.341655
378.4425, 3.975463
378.9247, 3.637304
379.4068, 3.356178
379.8889, 3.143575
380.3710, 2.949623
380.8531, 2.803955
381.3352, 2.650286
381.8174, 2.483804
382.2995, 2.290298
382.7816, 2.027307
383.2637, 1.653357
383.7458, 1.202534
384.2279, 1.015231
384.7101, 1.382869
385.1922, 1.600593
385.6743, 1.473793
386.1564, 1.129027
386.6385, 0.6504140
387.1206, 4.0936999E-02
387.6028, 3.1909000E-02
388.0849, 4.0764999E-02
388.5670, 9.6680000E-02
389.0491, 0.4883030
389.5312, 0.1386080
390.0133, 7.3201001E-02
390.4955, 1.5293000E-02
390.9776, 4.9853999E-02
391.4597, 0.4843390
391.9418, 0.7681640
392.4239, 0.9241620
392.9060, 0.8808970
393.3882, 0.5579570
393.8703, 0.2572180
394.3524, 0.2231960
394.8345, 0.3390610
395.3166, 0.3779160
395.7987, 0.2492630
396.2809, 3.3461001E-02
396.7630, 0.1581950
397.2451, 6.4510000E-03
397.7272, 0.1195640
398.2093, 0.1257260
398.6914, 9.6507996E-02
399.1736, 0.2079760
399.6557, 0.5575690
400.1378, 0.7500340
400.6199, 0.3979350
401.1020, 9.8061003E-02
401.5841, 0.3873030
402.0662, 0.5468100
402.5483, 0.4808930
403.0305, 0.2215820
403.5126, 0.2078540
403.9947, 0.1577690
404.4768, 0.5045280
404.9589, 0.7079050
405.4410, 0.5567950
405.9232, 8.2480997E-02
406.4053, 8.7559998E-02
406.8874, 0.1599160
407.3695, 0.2081640
407.8516, 0.1323150
408.3337, 0.1905830
408.8159, 7.0887998E-02
409.2980, 0.1494420
409.7801, 8.9125000E-02
410.2622, 0.4058450
410.7443, 0.4521930
411.2264, 0.1060100
411.7086, 0.4427190
412.1907, 0.6455200
412.6728, 0.7216120
413.1549, 0.2915800
413.6370, 0.5150370
414.1191, 0.4765680
414.6013, 0.4273380
415.0834, 0.7426970
415.5655, 0.3861410
416.0476, 0.6956680
416.5297, 0.7392710
417.0118, 0.9045480
417.4940, 0.8062890
417.9761, 0.7893960
418.4582, 1.036082
418.9403, 1.008136
419.4224, 1.299495
419.9045, 1.529989
420.3867, 1.702970
420.8688, 1.645868
421.3509, 1.886291
421.8330, 1.949996
422.3151, 2.201996
422.7972, 2.574106
423.2794, 2.986224
423.7615, 3.275158
424.2436, 3.256593
424.7257, 2.995546
425.2078, 2.957203
425.6899, 3.318026
426.1721, 3.591711
426.6542, 3.520766
427.1363, 3.310154
427.6184, 3.226582
428.1005, 3.377303
428.5826, 3.548720
429.0648, 3.406325
429.5469, 2.941958
430.0290, 2.714720
430.5111, 3.080768
430.9932, 3.455771
431.4753, 3.259061
431.9575, 2.560345
432.4396, 1.932287
432.9217, 1.677966
433.4038, 1.658199
433.8859, 1.653793
434.3680, 1.655945
434.8502, 1.669774
435.3323, 1.758675
435.8144, 1.841538
436.2965, 1.705520
436.7786, 1.185397
437.2607, 0.6854470
437.7429, 0.4272950
438.2250, 0.3513170
438.7071, 0.3764970
439.1892, 0.5100460
439.6713, 0.5623430
440.1534, 0.1809110
440.6356, 0.1262350
441.1177, 0.4047300
441.5998, 1.3910000E-03
442.0819, 0.3932860
442.5640, 0.2127950
443.0461, 0.3896570
443.5282, 0.3680620
444.0103, 0.3164200
444.4925, 0.4048940
444.9746, 0.4889040
445.4567, 0.3396770
445.9388, 0.2541090
446.4209, 0.2528260
446.9030, 0.3023560
447.3852, 0.4108370
447.8673, 0.4979220
448.3494, 0.4391390
448.8315, 0.4434760
449.3136, 0.1521830
449.7957, 0.5485160
450.2779, 0.5483270
450.7600, 0.5385250
451.2421, 0.6181260
451.7242, 0.7852150
452.2063, 1.039075
452.6884, 1.399652
453.1706, 1.796188
453.6527, 2.064189
454.1348, 2.185452
454.6169, 2.190664
455.0990, 1.925398
455.5811, 1.688710
456.0633, 1.752296
456.5454, 2.122246
457.0275, 2.468365
457.5096, 2.450617
457.9917, 2.202652
458.4738, 2.228403
458.9560, 2.627783
459.4381, 3.122606
459.9202, 3.619817
460.4023, 4.038381
460.8844, 4.167947
461.3665, 3.699143
461.8487, 3.286122
462.3308, 3.493062
462.8129, 4.153472
463.2950, 4.689598
463.7771, 4.933679
464.2592, 4.969309
464.7414, 4.846926
465.2235, 4.480942
465.7056, 4.420744
466.1877, 4.884096
466.6698, 5.537371
467.1519, 6.190438
467.6341, 6.815724
468.1162, 7.229302
468.5983, 7.293161
469.0804, 7.105742
469.5625, 7.125507
470.0446, 7.474847
470.5268, 7.885913
471.0089, 8.357406
471.4910, 8.869185
471.9731, 9.428649
472.4552, 10.02319
472.9373, 10.59795
473.4195, 11.11574
473.9016, 11.58852
474.3837, 11.82690
474.8658, 11.39709
475.3479, 11.21542
475.8300, 11.73467
476.3122, 12.59534
476.7943, 13.26246
477.2764, 13.49657
477.7585, 13.57412
478.2406, 13.96214
478.7227, 14.70823
479.2049, 15.32128
479.6870, 15.68581
480.1691, 15.91181
480.6512, 15.96458
481.1333, 15.91729
481.6154, 16.09212
482.0976, 16.73892
482.5797, 17.65904
483.0618, 18.59911
483.5439, 19.56035
484.0260, 20.41219
484.5081, 21.05784
484.9902, 21.57744
485.4724, 22.12048
485.9545, 22.61945
486.4366, 23.32304
486.9187, 24.45470
487.4008, 25.78378
487.8829, 26.98872
488.3651, 28.02656
488.8472, 29.06987
489.3293, 30.28407
489.8114, 31.67284
490.2935, 32.86927
490.7756, 33.50492
491.2578, 34.40892
491.7399, 35.87201
492.2220, 37.71254
492.7041, 39.72259
493.1862, 41.81662
493.6683, 43.96777
494.1505, 46.14526
494.6326, 48.35577
495.1147, 50.54269
495.5968, 52.60635
496.0789, 54.73215
496.5610, 57.06048
497.0432, 59.48861
497.5253, 61.82639
498.0074, 63.93695
498.4895, 65.91606
498.9716, 68.04626
499.4537, 70.41678
499.9359, 72.69533
500.4180, 74.85500
500.9001, 76.87701
501.3822, 78.68389
501.8643, 80.32877
502.3464, 82.03273
502.8286, 84.05471
503.3107, 86.15655
503.7928, 87.96108
504.2749, 89.45007
504.7570, 90.88155
505.2391, 92.42686
505.7213, 93.98331
506.2034, 95.31660
506.6855, 96.39653
507.1676, 97.37938
507.6497, 98.37391
508.1318, 99.20487
508.6140, 99.66455
509.0961, 99.72910
509.5782, 99.47585
510.0603, 98.99471
510.5424, 98.29456
511.0245, 97.39975
511.5067, 96.46799
511.9888, 95.12864
512.4709, 93.25803
512.9530, 90.95722
513.4351, 88.36636
513.9172, 85.49466
514.3994, 82.31627
514.8815, 78.69621
515.3636, 74.55979
515.8457, 70.56639
516.3278, 66.81520
516.8099, 63.10336
517.2921, 59.20208
517.7742, 55.34228
518.2563, 51.93692
518.7384, 49.18839
519.2205, 46.60440
519.7026, 43.55670
520.1848, 40.12385
520.6669, 36.94548
521.1490, 34.17234
521.6311, 31.65705
522.1132, 29.25803
522.5953, 26.96730
523.0775, 25.02468
523.5596, 23.71490
524.0417, 22.56739
524.5238, 21.30366
525.0059, 19.97688
525.4880, 18.76264
525.9702, 17.72460
526.4523, 16.76401
526.9344, 15.63387
527.4165, 14.10357
527.8986, 12.94717
528.3807, 12.48967
528.8629, 12.12687
529.3450, 11.53529
529.8271, 10.76803
530.3092, 10.01546
530.7913, 9.383798
531.2734, 8.845509
531.7556, 8.318135
532.2377, 7.769656
532.7198, 7.326723
533.2019, 7.137163
533.6840, 6.953125
534.1661, 6.622974
534.6483, 6.164823
535.1304, 5.696364
535.6125, 5.250378
536.0946, 4.854060
536.5767, 4.581114
537.0588, 4.438236
537.5410, 4.269280
538.0231, 3.987737
538.5052, 3.673628
538.9873, 3.456143
539.4694, 3.339398
539.9515, 3.252546
540.4337, 3.153176
540.9158, 3.088880
541.3979, 3.169729
541.8800, 3.356596
542.3621, 3.438977
542.8442, 3.281496
543.3264, 2.938406
543.8085, 2.591754
544.2906, 2.205116
544.7726, 1.872220
545.2548, 1.597948
545.7369, 1.374758
546.2190, 1.176992
546.7011, 1.021023
547.1832, 0.9801120
547.6653, 1.148396
548.1475, 1.441658
548.6296, 1.483875
549.1117, 1.131806
549.5938, 0.9065620
550.0759, 1.114100
550.5580, 1.404918
551.0402, 1.533855
551.5223, 1.480035
552.0044, 1.337408
552.4865, 1.085171
552.9686, 0.8061870
553.4507, 0.6808020
553.9329, 0.7169900
554.4150, 0.6938110
554.8971, 0.4375360
555.3792, 9.2274003E-02
555.8613, 8.0420002E-02
556.3434, 0.6174910
556.8256, 0.8863700
557.3077, 0.4496470
557.7898, 0.1269380
558.2719, 0.2902020
558.7540, 5.9647001E-02
559.2361, 0.1728860
559.7183, 0.1130550
560.2004, 0.1177320
560.6825, 6.8310998E-02
561.1646, 1.1401000E-02
561.6467, 3.0257000E-02
562.1288, 8.4570004E-03
562.6110, 0.2774320
563.0931, 0.2490530
563.5752, 0.3533110
564.0573, 0.3249500
564.5394, 0.3254410
565.0215, 0.3424190
565.5037, 0.3519140
565.9858, 0.3229010
566.4679, 0.3236560
566.9500, 5.8146998E-02
567.4321, 0.2076630
567.9142, 0.1709190
568.3964, 0.1895990
568.8785, 0.1427480
569.3606, 0.1338830
569.8427, 0.2731560
570.3248, 8.9856997E-02
570.8069, 0.3006250
571.2891, 6.1840001E-03
571.7712, 3.9427001E-02
572.2533, 0.2763920
572.7354, 0.2954430
573.2175, 2.3786001E-02
573.6996, 0.1599340
574.1818, 0.2613920
574.6639, 0.2363720
575.1460, 5.9655000E-02
575.6281, 7.7330001E-02
576.1102, 0.2715940
576.5923, 0.3425620
577.0745, 0.2248670
577.5566, 6.8727002E-02
578.0387, 0.1651440
578.5208, 0.2134400
579.0029, 0.1834930
579.4850, 0.5621330
579.9672, 0.5523550
580.4493, 0.2200610
580.9314, 0.1420360
581.4135, 1.3685000E-02
581.8956, 0.3113250
582.3777, 0.2095790
582.8599, 0.1950750
583.3420, 4.9325000E-02
583.8241, 0.3603570
584.3062, 0.4347260
584.7883, 1.8998999E-02
585.2704, 0.6914550
585.7526, 1.320938
586.2347, 0.9186350
586.7168, 0.4797940
587.1989, 0.4512410
587.6810, 0.6671690
588.1631, 0.8222710
588.6453, 0.8042360
589.1274, 0.7276910
589.6095, 0.7393320
590.0916, 0.8386300
590.5737, 1.057114
591.0558, 1.585485
591.5380, 1.951281
592.0201, 1.799873
592.5022, 1.407021
592.9843, 1.202798
593.4664, 1.334506
593.9485, 1.503376
594.4307, 1.423899
594.9128, 1.218858
595.3949, 1.214134
595.8770, 1.469923
596.3591, 1.708352
596.8412, 1.677218
597.3234, 1.440271
597.8055, 1.475191
598.2876, 2.077919
598.7697, 2.528081
599.2518, 2.528360
599.7339, 2.445736
600.2161, 2.733193
600.6982, 3.351094
601.1803, 3.808943
601.6624, 3.687631
602.1445, 3.123560
602.6266, 2.701776
603.1088, 2.383778
603.5909, 2.315463
604.0730, 2.930999
604.5551, 3.522001
605.0372, 3.395702
605.5193, 2.626109
606.0015, 2.103458
606.4836, 2.575864
606.9657, 3.319745
607.4478, 3.305347
607.9299, 2.665638
608.4120, 2.291459
608.8942, 2.583903
609.3763, 3.168556
609.8584, 3.497193
610.3405, 3.536290
610.8226, 3.384492
611.3047, 2.814007
