##NAMES=Vesuvianite
##RRUFFID=R060902
##IDEAL CHEMISTRY=(Ca,Na)_19_(Al,Mg,Fe)_13_(SiO_4_)_10_(Si_2_O_7_)_4_(OH,F,O)_10_
##LOCALITY=Jeffrey mine, Asbestos, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Purple equant, doubly terminated prismatic single crystals.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060902
363.2770, 626.3611
363.7591, 655.5583
364.2412, 685.2195
364.7233, 715.6282
365.2054, 744.4956
365.6876, 769.3860
366.1697, 790.2725
366.6518, 807.1919
367.1339, 821.2324
367.6160, 832.3884
368.0981, 835.0481
368.5803, 816.1213
369.0624, 798.0156
369.5445, 795.6582
370.0266, 829.3000
370.5087, 847.0225
370.9908, 839.3103
371.4730, 812.1995
371.9551, 790.4670
372.4372, 772.0972
372.9193, 762.0442
373.4014, 767.4204
373.8835, 800.0598
374.3657, 808.9612
374.8478, 787.2117
375.3299, 745.1738
375.8120, 702.9749
376.2941, 658.7615
376.7762, 620.4148
377.2584, 594.3909
377.7405, 580.9143
378.2226, 561.0903
378.7047, 532.4363
379.1868, 503.1416
379.6689, 485.1533
380.1511, 478.3638
380.6332, 471.7937
381.1153, 461.4346
381.5974, 448.1382
382.0795, 433.8020
382.5616, 418.0598
383.0438, 407.2812
383.5259, 407.3633
384.0080, 415.8301
384.4901, 427.6299
384.9722, 441.2629
385.4543, 460.5530
385.9364, 489.3396
386.4185, 526.0579
386.9007, 568.1428
387.3828, 618.5098
387.8649, 673.4456
388.3470, 725.7366
388.8291, 769.3381
389.3112, 816.7046
389.7934, 880.6155
390.2755, 957.5264
390.7576, 1034.092
391.2397, 1090.954
391.7218, 1150.851
392.2039, 1237.506
392.6861, 1365.221
393.1682, 1487.334
393.6503, 1574.554
394.1324, 1643.746
394.6145, 1722.097
395.0966, 1815.204
395.5788, 1922.278
396.0609, 2045.758
396.5430, 2187.283
397.0251, 2330.998
397.5072, 2473.992
397.9893, 2618.503
398.4715, 2767.991
398.9536, 2919.341
399.4357, 3079.856
399.9178, 3253.531
400.3999, 3439.500
400.8820, 3624.343
401.3642, 3804.451
401.8463, 3983.982
402.3284, 4169.350
402.8105, 4366.981
