##NAMES=Parisite-(Ce)
##RRUFFID=R120061
##IDEAL CHEMISTRY=CaCe_2_(CO_3_)_3_F_2_
##LOCALITY=Snowbird mine, Fish Creek, Alberton, Mineral County, Montana, USA
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Brown hexagonal prismatic crystals, associated with white quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120061
318.0513, 5.849304
318.5334, 5.958099
319.0155, 4.832687
319.4976, 3.584351
319.9797, 2.634842
320.4619, 2.015076
320.9440, 1.680054
321.4261, 1.865662
321.9082, 2.224945
322.3903, 2.429504
322.8724, 2.330872
323.3546, 2.145996
323.8367, 1.863785
324.3188, 1.493820
324.8009, 1.246948
325.2830, 1.193863
325.7651, 1.258011
326.2473, 1.391785
326.7294, 1.788376
327.2115, 2.034241
327.6936, 1.983994
328.1757, 1.718735
328.6578, 1.623871
329.1400, 2.002319
329.6221, 2.308868
330.1042, 2.285431
330.5863, 1.473511
331.0684, 1.102325
331.5505, 1.442001
332.0327, 2.171188
332.5148, 2.566452
332.9969, 2.362030
333.4790, 2.166412
333.9611, 2.200684
334.4432, 2.550217
334.9254, 2.780899
335.4075, 2.956879
335.8896, 2.951172
336.3717, 2.473450
336.8538, 1.166306
337.3359, 0.2782590
337.8180, 0.3056490
338.3001, 1.228790
338.7823, 1.707001
339.2644, 1.613571
339.7465, 1.330017
340.2286, 1.198181
340.7107, 1.231689
341.1928, 1.399307
341.6750, 1.787003
342.1571, 2.283249
342.6392, 2.400269
343.1213, 2.090820
343.6034, 1.661652
344.0855, 1.292923
344.5677, 0.9899290
345.0498, 0.7222900
345.5319, 0.4496000
346.0140, 0.2792660
346.4961, 0.5175630
346.9782, 1.146469
347.4604, 1.722672
347.9425, 2.016602
348.4246, 2.056091
348.9067, 1.857010
349.3888, 1.365524
349.8709, 0.9071200
350.3531, 1.010208
350.8352, 1.520813
351.3173, 1.867294
351.7994, 1.692261
352.2815, 1.234222
352.7636, 0.8297880
353.2458, 0.4780730
353.7279, 0.2567290
354.2100, 0.3219150
354.6921, 0.5468290
355.1742, 0.7088010
355.6563, 0.6785890
356.1385, 0.6183930
356.6206, 0.8015440
357.1027, 1.143295
357.5848, 1.232346
358.0669, 0.5164640
358.5490, 0.4160610
359.0312, 0.9659730
359.5133, 0.8672330
359.9954, 0.7286220
360.4775, 0.9505310
360.9596, 1.389526
361.4417, 1.727936
361.9239, 1.852661
362.4060, 1.816696
362.8881, 1.557861
363.3702, 0.9949490
363.8523, 0.7047730
364.3344, 1.166687
364.8166, 1.896301
365.2987, 2.344604
365.7808, 1.986420
366.2629, 1.711105
366.7450, 1.964874
367.2271, 2.733978
367.7093, 2.893707
368.1914, 1.622147
368.6735, 0.1687620
369.1556, 0.6670070
369.6377, 0.2458190
370.1198, 4.1351002E-02
370.6020, 2.6123000E-02
371.0841, 0.1827240
371.5662, 0.1415250
372.0483, 0.5344240
372.5304, 0.9958800
373.0125, 0.8121800
373.4947, 0.3783720
373.9768, 1.174896
374.4589, 1.472198
374.9410, 1.462006
375.4231, 1.412933
375.9052, 1.263229
376.3874, 1.269592
376.8695, 1.520859
377.3516, 2.009567
377.8337, 2.434341
378.3158, 2.782059
378.7979, 3.182343
379.2801, 3.812439
379.7622, 4.681427
380.2443, 5.331665
380.7264, 5.624008
381.2085, 5.698257
381.6906, 5.895264
382.1728, 6.212494
382.6549, 6.628647
383.1370, 7.226501
383.6191, 7.935394
384.1012, 8.411041
384.5833, 8.547531
385.0655, 8.605896
385.5476, 9.027649
386.0297, 9.709641
386.5118, 10.23459
386.9939, 10.17210
387.4760, 9.905853
387.9582, 10.10344
388.4403, 10.79782
388.9224, 11.41252
389.4045, 11.22026
389.8866, 10.70192
390.3687, 10.56352
390.8509, 11.31485
391.3330, 12.23851
391.8151, 12.91927
392.2972, 13.36514
392.7793, 13.63246
393.2614, 13.69543
393.7436, 13.62880
394.2257, 13.45142
394.7078, 13.08934
395.1899, 12.82903
395.6720, 12.82866
396.1541, 12.97202
396.6363, 13.08177
397.1184, 13.12823
397.6005, 13.12282
398.0826, 13.08632
398.5647, 13.03111
399.0468, 12.81372
399.5290, 12.19069
400.0111, 11.54245
400.4932, 11.17110
400.9753, 11.35585
401.4574, 11.43129
401.9395, 11.31404
402.4217, 11.03732
402.9038, 10.74669
403.3859, 10.40230
403.8680, 10.11548
404.3501, 9.992050
404.8322, 10.16672
405.3144, 10.00433
405.7965, 9.365173
406.2786, 8.535294
406.7607, 7.978561
407.2428, 7.730545
407.7249, 7.583099
408.2071, 7.528412
408.6892, 7.528839
409.1713, 7.307907
409.6534, 6.820877
410.1355, 6.344421
410.6176, 6.196732
411.0998, 6.314194
411.5819, 6.332062
412.0640, 6.175812
412.5461, 5.892944
413.0282, 5.474213
413.5103, 4.953690
413.9925, 4.525787
414.4746, 4.302673
414.9567, 4.239075
415.4388, 4.340698
415.9209, 4.635956
416.4030, 4.804474
416.8852, 4.476379
417.3673, 3.906204
417.8494, 3.463898
418.3315, 3.486282
418.8136, 3.478592
419.2957, 3.019150
419.7779, 2.201920
420.2600, 1.561035
420.7421, 1.443649
421.2242, 1.567230
421.7063, 1.719345
422.1884, 1.861572
422.6706, 1.922134
423.1527, 1.944336
423.6348, 1.927673
424.1169, 1.793289
424.5990, 1.230606
425.0811, 0.7520290
425.5633, 0.5813900
426.0454, 0.8399660
426.5275, 1.142220
427.0096, 1.517921
427.4917, 1.797188
427.9738, 1.854599
428.4560, 1.579491
428.9381, 1.359619
429.4202, 1.242455
429.9023, 1.165970
430.3844, 1.016205
430.8665, 0.8097990
431.3487, 0.6615070
431.8308, 0.5731200
432.3129, 0.5309910
432.7950, 0.4300840
433.2771, 0.2057950
433.7592, 0.1009750
434.2414, 0.6629710
434.7235, 1.807289
435.2056, 2.450310
435.6877, 2.029427
436.1698, 1.049339
436.6519, 0.5693660
437.1341, 0.5735860
437.6162, 0.6997150
438.0983, 0.7155530
438.5804, 0.6626280
439.0625, 0.6145100
439.5446, 0.5922700
440.0268, 0.5559770
440.5089, 0.3918910
440.9910, 0.1886370
441.4731, 0.1318660
441.9552, 0.5162810
442.4373, 0.9025420
442.9195, 0.9354250
443.4016, 0.6159290
443.8837, 0.4040680
444.3658, 0.6474530
444.8479, 0.9824600
445.3300, 1.114670
445.8122, 0.6892240
446.2943, 0.4476700
446.7764, 0.6456530
447.2585, 1.119080
447.7406, 1.449043
448.2227, 1.440544
448.7049, 1.452591
449.1870, 1.616600
449.6691, 1.979698
450.1512, 2.213638
450.6333, 2.331993
451.1154, 2.310074
451.5976, 2.074364
452.0797, 1.521065
452.5618, 1.127419
453.0439, 1.004082
453.5260, 1.072487
454.0081, 1.038689
454.4903, 0.8677220
454.9724, 0.8191680
455.4545, 1.189613
455.9366, 1.880554
456.4187, 2.121925
456.9008, 1.832710
457.3830, 1.390915
457.8651, 1.167763
458.3472, 1.152634
458.8293, 1.353218
459.3114, 1.971825
459.7935, 2.628151
460.2757, 2.841530
460.7578, 2.655815
461.2399, 2.315681
461.7220, 1.693504
462.2041, 1.132431
462.6862, 1.046982
463.1684, 1.605125
463.6505, 2.118927
464.1326, 2.235489
464.6147, 2.133820
465.0968, 2.038513
465.5789, 1.856964
466.0611, 1.809517
466.5432, 2.084068
467.0253, 2.617905
467.5074, 2.896622
467.9895, 2.681015
468.4716, 2.354073
468.9538, 2.076210
469.4359, 1.780655
469.9180, 1.694420
470.4001, 1.919029
470.8822, 2.280739
471.3643, 2.514595
471.8465, 2.574310
472.3286, 2.637108
472.8107, 2.757973
473.2928, 2.918266
473.7749, 3.025391
474.2570, 3.083214
474.7392, 3.078537
475.2213, 2.946381
475.7034, 2.721336
476.1855, 2.677345
476.6676, 2.884277
477.1497, 3.143234
477.6319, 3.077805
478.1140, 2.786087
478.5961, 2.675766
479.0782, 3.112854
479.5603, 3.745369
480.0424, 4.274086
480.5246, 4.677963
481.0067, 4.788811
481.4888, 4.102524
481.9709, 3.293159
482.4530, 3.030251
482.9352, 3.730377
483.4173, 4.266014
483.8994, 3.985603
484.3815, 3.314552
484.8636, 2.906250
485.3457, 3.058617
485.8279, 3.323509
486.3100, 3.635201
486.7921, 3.990997
487.2742, 4.246315
487.7563, 4.422729
488.2384, 4.486374
488.7206, 4.389122
489.2027, 4.020157
489.6848, 3.812050
490.1669, 3.844231
490.6490, 3.962074
491.1311, 3.894302
491.6133, 3.613785
492.0954, 3.389153
492.5775, 3.244492
493.0596, 3.210510
493.5417, 3.572586
494.0238, 4.320862
494.5060, 4.965988
494.9881, 5.161392
495.4702, 4.984436
495.9523, 4.531517
496.4344, 3.738235
496.9165, 3.016365
497.3987, 2.875374
497.8808, 3.090500
498.3629, 3.237030
498.8450, 3.053238
499.3271, 2.819717
499.8092, 2.754250
500.2914, 2.823715
500.7735, 2.850250
501.2556, 2.675072
501.7377, 2.495415
502.2198, 2.474869
502.7019, 2.760040
503.1841, 2.867386
503.6662, 2.598183
504.1483, 2.163139
504.6304, 1.814507
505.1125, 1.574066
505.5946, 1.397827
506.0768, 1.260498
506.5589, 1.173737
507.0410, 1.219017
507.5231, 1.451889
508.0052, 1.665611
508.4873, 1.743347
508.9695, 1.679749
509.4516, 1.607445
509.9337, 1.519295
510.4158, 1.419609
510.8979, 1.263695
511.3800, 1.090820
511.8622, 1.101425
512.3443, 1.484818
512.8264, 1.869576
513.3085, 1.611313
513.7906, 0.8981250
514.2728, 0.3799970
514.7549, 0.7546690
515.2370, 1.259026
515.7191, 1.156242
516.2012, 0.3631130
516.6833, 0.3493270
517.1655, 0.5926820
517.6476, 0.6121900
518.1297, 0.6214290
518.6118, 0.6879730
519.0939, 0.7252430
519.5760, 0.7270660
520.0582, 0.6954730
520.5403, 0.6150740
521.0224, 0.3498380
521.5045, 0.2074740
521.9866, 0.3464510
522.4688, 0.7699360
522.9509, 0.9610370
523.4330, 0.9067460
523.9151, 0.6638720
524.3972, 0.1312790
524.8793, 0.7033160
525.3615, 1.065781
525.8436, 0.7866210
526.3257, 0.2800520
526.8078, 0.2002790
527.2899, 0.4571530
527.7720, 0.6293950
528.2542, 0.4581150
528.7363, 0.1912770
529.2184, 0.2236330
529.7005, 0.4903410
530.1826, 0.6544420
530.6647, 0.3642730
531.1469, 2.8991999E-02
531.6290, 0.2134320
532.1111, 0.1100160
532.5932, 3.3103999E-02
533.0753, 0.2456970
533.5574, 0.3949580
534.0396, 0.3413930
534.5217, 0.3474040
535.0038, 0.7510910
535.4859, 0.6050260
535.9680, 7.9208001E-02
536.4501, 0.2976460
536.9323, 0.4368820
537.4144, 0.5939100
537.8965, 0.9039000
538.3786, 1.373878
538.8607, 1.533066
539.3428, 1.275345
539.8250, 1.010178
540.3071, 1.236153
540.7892, 1.881630
541.2713, 2.181183
541.7534, 1.914650
542.2355, 1.536255
542.7177, 1.756996
543.1998, 2.418274
543.6819, 2.996017
544.1640, 2.522987
544.6461, 2.354393
545.1282, 4.540436
545.6104, 8.584625
546.0925, 11.46630
546.5746, 10.89115
547.0567, 9.130692
547.5388, 7.579140
548.0209, 6.397362
548.5031, 5.573334
548.9852, 5.309685
549.4673, 5.297188
549.9494, 5.199570
550.4315, 4.780083
550.9136, 4.645653
551.3958, 4.990540
551.8779, 5.629593
552.3600, 5.981140
552.8421, 5.968277
553.3242, 5.942307
553.8063, 6.041321
554.2885, 6.254555
554.7706, 6.492416
555.2527, 6.755730
555.7348, 7.064827
556.2169, 7.465576
556.6990, 7.921463
557.1812, 8.358429
557.6633, 8.771248
558.1454, 9.144684
558.6275, 9.537971
559.1096, 9.869255
559.5917, 10.00446
560.0739, 9.545914
560.5560, 9.202835
561.0381, 9.463600
561.5202, 10.18141
562.0023, 10.71762
562.4844, 10.74603
562.9666, 10.69971
563.4487, 10.76888
563.9308, 10.98436
564.4129, 11.16042
564.8950, 11.19624
565.3771, 11.30314
565.8593, 11.68361
566.3414, 12.40666
566.8235, 13.13574
567.3056, 13.90314
567.7877, 14.57523
568.2698, 14.75806
568.7520, 14.49680
569.2341, 14.52708
569.7162, 15.31279
570.1983, 16.44553
570.6804, 17.23080
571.1625, 17.68727
571.6447, 17.98201
572.1268, 18.18773
572.6089, 18.31656
573.0910, 18.28476
573.5731, 18.03174
574.0552, 18.02470
574.5374, 18.61418
575.0195, 19.46211
575.5016, 20.25670
575.9837, 20.99931
576.4658, 21.59566
576.9479, 21.93906
577.4301, 22.15862
577.9122, 22.49249
578.3943, 22.90138
578.8764, 23.54131
579.3585, 24.55096
579.8406, 25.81967
580.3228, 26.62936
580.8049, 26.93452
581.2870, 27.19136
581.7691, 27.75433
582.2512, 28.55530
582.7333, 29.22905
583.2155, 29.74542
583.6975, 30.20700
584.1796, 30.78041
584.6617, 31.36488
585.1439, 31.75360
585.6260, 31.68571
586.1081, 31.78609
586.5902, 32.62462
587.0723, 33.88733
587.5544, 34.94829
588.0366, 35.47110
588.5187, 35.94519
589.0008, 36.54857
589.4829, 37.26537
589.9650, 37.83778
590.4471, 38.06931
590.9293, 38.40283
591.4114, 39.11673
591.8935, 40.31291
592.3756, 41.14047
592.8577, 41.54466
593.3398, 41.72168
593.8220, 41.78691
594.3041, 41.75034
594.7862, 41.79378
595.2683, 41.92337
595.7504, 42.21858
596.2325, 42.96739
596.7147, 43.99771
597.1968, 44.83192
597.6789, 45.15289
598.1610, 45.30461
598.6431, 45.64030
599.1252, 46.06168
599.6074, 46.13818
600.0895, 45.38631
600.5716, 44.56355
601.0537, 43.99799
601.5358, 43.73155
602.0179, 43.68764
602.5001, 44.07069
602.9822, 44.47574
603.4643, 44.59230
603.9464, 44.34959
604.4285, 44.08487
604.9106, 43.83722
605.3928, 43.54385
605.8749, 43.02408
606.3570, 42.30362
606.8391, 41.76801
607.3212, 41.62169
607.8033, 41.60744
608.2855, 41.30104
608.7676, 40.77444
609.2497, 40.28491
609.7318, 40.15685
610.2139, 39.98944
610.6960, 39.40411
611.1782, 38.39845
611.6603, 37.43745
612.1424, 36.77434
612.6245, 36.13222
613.1066, 35.33826
613.5887, 34.30920
614.0709, 33.26952
614.5530, 32.13860
615.0351, 31.06358
615.5172, 30.19583
615.9993, 29.56538
616.4814, 28.99661
616.9636, 28.50183
617.4457, 28.00352
617.9278, 27.27092
618.4099, 26.33559
618.8920, 25.54213
619.3741, 25.20216
619.8563, 24.95020
620.3384, 24.16483
620.8205, 22.94475
621.3026, 21.78827
621.7847, 21.04993
622.2668, 20.43176
622.7490, 19.69792
623.2311, 18.80099
623.7132, 18.05855
624.1953, 17.77580
624.6774, 17.53026
625.1595, 17.02141
625.6417, 16.09077
626.1238, 15.19994
626.6059, 14.33960
627.0880, 13.54546
627.5701, 12.87982
628.0522, 12.35181
628.5344, 11.87166
629.0165, 11.42212
629.4986, 11.00768
629.9807, 10.65254
630.4628, 10.34492
630.9449, 10.03473
631.4271, 9.662720
631.9092, 9.290497
632.3913, 8.984436
632.8734, 8.737076
633.3555, 8.517914
633.8376, 8.393738
634.3198, 8.222885
634.8019, 7.849350
635.2840, 7.167938
635.7661, 6.768738
636.2482, 7.021210
636.7303, 7.313263
637.2125, 7.238403
637.6946, 6.732635
638.1767, 5.986496
638.6588, 4.872208
639.1409, 3.751541
639.6230, 3.192596
640.1052, 3.162216
640.5873, 3.283295
641.0694, 3.558884
641.5515, 3.773834
642.0336, 3.531723
642.5157, 2.940887
642.9979, 2.301346
643.4800, 1.596375
643.9621, 1.071762
644.4442, 0.9335020
644.9263, 1.113953
645.4084, 1.300797
645.8906, 1.469254
646.3727, 1.546509
646.8548, 1.420334
647.3369, 1.072403
647.8190, 0.9610900
648.3011, 1.166580
648.7833, 1.368103
649.2654, 1.292969
649.7475, 0.9519350
650.2296, 0.7023770
650.7117, 0.5830690
651.1938, 0.4795680
651.6760, 0.1703030
652.1581, 0.2472690
652.6402, 0.4516600
653.1223, 0.3194270
653.6044, 3.5767000E-02
654.0865, 0.4508820
654.5687, 0.9440610
655.0508, 1.072723
655.5329, 0.2159120
656.0150, 0.5333250
656.4971, 0.6787720
656.9792, 0.3350220
657.4614, 0.1434330
657.9435, 0.2385860
658.4256, 0.3386080
658.9077, 0.3470150
659.3898, 0.2690120
659.8719, 0.2444920
660.3541, 0.2932590
660.8362, 0.3041690
661.3183, 0.1414030
661.8004, 0.1313480
662.2825, 0.2224270
662.7646, 0.1034390
663.2468, 3.0014001E-02
663.7289, 0.3036190
664.2110, 0.7301640
664.6931, 1.061981
665.1752, 1.240387
665.6573, 1.337189
666.1395, 1.363342
666.6216, 1.337128
667.1037, 1.280594
667.5858, 1.064896
668.0679, 0.9987340
668.5500, 1.178162
669.0322, 1.488892
669.5143, 1.695129
669.9964, 1.800293
670.4785, 1.767151
670.9606, 1.492706
671.4427, 1.134338
671.9249, 1.206360
672.4070, 1.656952
672.8891, 2.074295
673.3712, 2.086700
673.8533, 2.008453
674.3354, 2.240860
674.8176, 2.765427
675.2997, 3.273911
675.7818, 3.741714
676.2639, 4.041779
676.7460, 4.046417
677.2281, 3.642746
677.7103, 3.332123
678.1924, 3.095093
678.6745, 2.994324
679.1566, 3.114197
679.6387, 3.525421
680.1208, 3.817291
680.6030, 3.960007
681.0851, 4.008636
681.5672, 3.971085
682.0493, 3.886154
682.5314, 3.963165
683.0135, 4.350281
683.4957, 4.677444
683.9778, 4.456833
684.4599, 3.903549
684.9420, 3.434158
685.4241, 3.284271
685.9063, 3.153885
686.3884, 2.915527
686.8705, 2.604797
687.3526, 2.351822
687.8347, 2.298172
688.3168, 2.095734
688.7990, 1.569489
689.2811, 0.7991490
689.7632, 0.3970640
690.2453, 0.4090880
690.7274, 0.4823760
691.2095, 0.3745570
691.6917, 0.1736600
692.1738, 0.1762240
692.6559, 0.3762970
693.1380, 0.5715640
693.6201, 0.6437530
694.1022, 0.6185300
694.5844, 0.4857940
695.0665, 0.2199710
695.5486, 1.4954000E-02
696.0307, 6.4117000E-02
696.5128, 5.6350999E-02
696.9949, 1.6739000E-02
697.4771, 0.2401580
697.9592, 0.3303990
698.4413, 0.2071530
698.9234, 5.6777999E-02
699.4055, 0.2064360
699.8876, 0.6699220
700.3698, 0.7299500
700.8519, 0.1670230
701.3340, 0.5709080
701.8161, 0.9799190
702.2982, 1.064117
702.7803, 0.8009190
703.2625, 0.2951660
703.7446, 1.159241
704.2267, 0.7638240
704.7088, 0.3753970
705.1909, 1.125275
705.6730, 1.091354
706.1552, 0.7159120
706.6373, 0.1421810
707.1194, 1.281998
707.6015, 1.672821
708.0836, 1.009506
708.5657, 0.5227660
709.0479, 0.8755040
709.5300, 1.787781
710.0121, 1.958267
710.4942, 1.413437
710.9763, 0.8901520
711.4584, 0.8936920
711.9406, 1.186035
712.4227, 1.527344
712.9048, 1.899368
713.3869, 2.222946
713.8690, 2.366058
714.3511, 2.503510
714.8333, 2.816422
715.3154, 3.459534
715.7975, 3.731445
716.2796, 3.324387
716.7617, 2.929382
717.2438, 3.161240
717.7260, 4.093201
718.2081, 4.857285
718.6902, 5.387253
719.1723, 5.799850
719.6544, 6.120193
720.1365, 6.433701
720.6187, 6.953812
721.1008, 7.726013
721.5829, 8.652206
722.0650, 9.862473
722.5471, 11.13083
723.0292, 12.18695
723.5114, 12.47705
723.9935, 13.08011
724.4756, 14.45389
724.9577, 16.14621
725.4398, 17.37479
725.9219, 17.93390
726.4041, 18.62361
726.8862, 19.57507
727.3683, 20.76715
727.8504, 22.30470
728.3325, 24.11667
728.8146, 25.67072
729.2968, 26.49554
729.7789, 27.11003
730.2610, 28.07119
730.7431, 29.31865
731.2252, 30.65256
731.7073, 31.97565
732.1895, 33.39757
732.6716, 35.14400
733.1537, 37.12361
733.6358, 38.51602
734.1179, 39.12257
734.6000, 39.53503
735.0822, 39.93614
735.5643, 40.32091
736.0464, 40.71637
736.5285, 41.13084
737.0106, 41.58430
737.4927, 42.15446
737.9749, 42.74065
738.4570, 43.22920
738.9391, 43.60522
739.4212, 43.73712
739.9033, 43.43309
740.3854, 42.96025
740.8676, 42.49143
741.3497, 42.02885
741.8318, 41.47003
742.3139, 40.76943
742.7960, 40.01391
743.2781, 39.29704
743.7603, 38.66604
744.2424, 37.76605
744.7245, 36.55418
745.2066, 35.25861
745.6887, 34.05324
746.1708, 32.90716
746.6530, 31.78027
747.1351, 30.66578
747.6172, 29.68204
748.0993, 28.97279
748.5814, 28.38832
749.0635, 27.79141
749.5457, 26.98367
750.0278, 26.45145
750.5099, 26.39645
750.9920, 26.51706
751.4741, 26.52943
751.9562, 26.46560
752.4384, 26.16299
752.9205, 25.59069
753.4026, 24.77970
753.8847, 23.68029
754.3668, 22.38105
754.8489, 21.20036
755.3311, 20.26155
755.8132, 19.38422
756.2953, 18.37643
756.7774, 17.33990
757.2595, 16.48872
757.7416, 16.04143
758.2238, 15.59241
758.7059, 15.06902
759.1880, 14.43909
759.6701, 13.70341
760.1522, 12.86814
760.6343, 12.01161
761.1165, 11.11784
761.5986, 10.20990
762.0807, 9.409836
762.5628, 8.687210
763.0449, 8.018898
763.5270, 7.428566
764.0092, 6.949677
764.4913, 6.658035
764.9734, 6.478943
765.4555, 6.276131
765.9376, 5.861778
766.4197, 5.522087
766.9019, 5.462212
767.3840, 5.585312
767.8661, 5.387657
768.3482, 4.708130
768.8303, 4.190178
769.3124, 4.192406
769.7946, 4.519318
770.2767, 4.493942
770.7588, 4.136093
771.2409, 3.634232
771.7230, 2.738251
