##NAMES=Opal
##RRUFFID=X070002
##IDEAL CHEMISTRY=SiO_2_&#183;nH_2_O
##LOCALITY=Synthetic
##OWNER=Taka Yamanaka
##SOURCE=Taka Yamanaka
##DESCRIPTION=White polished cab, Raman spectra matches Polymethyl methacrylate (plexiglas)
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X070002
203.1768, 66.40576
203.6589, 60.96118
204.1410, 74.98950
204.6232, 83.52417
205.1053, 82.59595
205.5874, 76.52173
206.0695, 76.78711
206.5516, 81.97534
207.0337, 88.93652
207.5159, 93.33765
207.9980, 95.13721
208.4801, 102.6343
208.9622, 116.6907
209.4443, 132.7913
209.9264, 133.5574
210.4086, 113.4368
210.8907, 90.99805
211.3728, 82.65845
211.8549, 91.09888
212.3370, 96.26440
212.8191, 93.56030
213.3013, 84.50366
213.7834, 84.40381
214.2655, 97.60693
214.7476, 113.2451
215.2297, 121.9104
215.7118, 122.1982
216.1940, 119.7910
216.6761, 116.0061
217.1582, 110.7261
217.6403, 99.82056
218.1224, 78.88062
218.6045, 58.00757
219.0867, 46.68994
219.5688, 46.85254
220.0509, 52.49658
220.5330, 63.93481
221.0151, 81.54907
221.4972, 95.63306
221.9794, 106.3025
222.4615, 113.5388
222.9436, 116.9641
223.4257, 114.5720
223.9078, 112.4844
224.3899, 112.4338
224.8721, 115.1448
225.3542, 115.6450
225.8363, 112.3330
226.3184, 108.3601
226.8005, 108.4812
227.2827, 117.6294
227.7648, 120.9651
228.2469, 110.8535
228.7290, 83.37329
229.2111, 74.15747
229.6932, 92.46582
230.1754, 121.5854
230.6575, 140.0884
231.1396, 144.0505
231.6217, 144.0364
232.1038, 143.4966
232.5859, 143.7080
233.0681, 135.5610
233.5502, 113.2878
234.0323, 86.84351
234.5144, 70.58472
234.9965, 68.13184
235.4786, 70.06592
235.9608, 74.51172
236.4429, 82.25366
236.9250, 88.31250
237.4071, 91.82373
237.8892, 94.11890
238.3713, 97.90771
238.8535, 106.6240
239.3356, 110.9465
239.8177, 105.8511
240.2998, 86.38867
240.7819, 77.61792
241.2640, 86.98682
241.7462, 102.6262
242.2283, 102.0088
242.7104, 70.40454
243.1925, 46.93896
243.6746, 47.72461
244.1567, 83.89966
244.6389, 106.5308
245.1210, 113.6299
245.6031, 108.4434
246.0852, 94.78882
246.5673, 65.72241
247.0494, 40.00024
247.5316, 24.23950
248.0137, 20.14478
248.4958, 21.38623
248.9779, 33.34985
249.4600, 47.58521
249.9421, 46.17700
250.4243, 18.39258
250.9064, 5.746094
251.3885, 13.77246
251.8706, 0.7778320
252.3527, 9.740479
252.8348, 10.93457
253.3170, 7.901611
253.7991, 7.879150
254.2812, 13.88232
254.7633, 17.01392
255.2454, 12.45386
255.7275, 3.639160
256.2097, 13.34033
256.6918, 16.66943
257.1739, 13.54492
257.6560, 0.9631350
258.1381, 29.77466
258.6202, 51.96338
259.1024, 52.70703
259.5845, 25.00049
260.0666, 7.088379
260.5487, 1.062988
261.0308, 2.312988
261.5129, 2.001709
261.9951, 2.687256
262.4772, 2.716553
262.9593, 8.483154
263.4414, 36.32568
263.9235, 48.66113
264.4056, 39.75073
264.8878, 21.98706
265.3699, 14.67749
265.8520, 17.58618
266.3341, 25.90991
266.8162, 40.91650
267.2983, 65.21631
267.7805, 76.62061
268.2626, 70.01538
268.7447, 56.37646
269.2268, 54.00464
269.7089, 66.52783
270.1910, 82.55225
270.6732, 97.99780
271.1553, 112.1187
271.6374, 118.4646
272.1195, 115.8284
272.6016, 108.2642
273.0837, 101.8486
273.5659, 96.86230
274.0480, 91.43750
274.5301, 82.94116
275.0122, 71.19067
275.4943, 69.52197
275.9764, 81.00293
276.4586, 96.07031
276.9407, 100.0647
277.4228, 91.77881
277.9049, 82.28027
278.3870, 74.80542
278.8691, 69.41479
279.3513, 67.58838
279.8334, 69.55273
280.3155, 74.50537
280.7976, 81.67188
281.2798, 90.98755
281.7619, 102.1719
282.2440, 118.5469
282.7261, 138.1453
283.2082, 143.6147
283.6903, 132.4062
284.1725, 116.4468
284.6546, 108.9204
285.1367, 109.7581
285.6188, 116.6641
286.1009, 133.0479
286.5830, 155.2590
287.0652, 166.9514
287.5473, 167.1892
288.0294, 161.7263
288.5115, 154.6753
288.9936, 146.4495
289.4757, 140.4302
289.9579, 136.7952
290.4400, 136.3667
290.9221, 143.6973
291.4042, 159.4377
291.8863, 174.8118
292.3684, 177.0117
292.8506, 169.8982
293.3327, 171.2720
293.8148, 195.9299
294.2969, 227.2805
294.7790, 227.5242
295.2611, 196.5825
295.7433, 164.7764
296.2254, 163.0032
296.7075, 181.7251
297.1896, 193.6758
297.6717, 187.7146
298.1538, 174.1343
298.6360, 167.5940
299.1181, 167.7397
299.6002, 170.7246
300.0823, 177.8589
300.5644, 185.3066
301.0465, 185.0747
301.5287, 170.6440
302.0108, 153.2583
302.4929, 147.4878
302.9750, 151.3489
303.4571, 153.6152
303.9392, 143.0454
304.4214, 127.4319
304.9035, 117.5913
305.3856, 118.6589
305.8677, 122.2686
306.3498, 123.2876
306.8319, 121.3242
307.3141, 114.9688
307.7962, 95.84497
308.2783, 75.46069
308.7604, 65.58276
309.2425, 73.71460
309.7246, 84.23438
310.2068, 84.08838
310.6889, 76.95557
311.1710, 73.02563
311.6531, 87.82764
312.1352, 101.5310
312.6173, 95.95850
313.0995, 60.38135
313.5816, 27.81836
314.0637, 16.48706
314.5458, 19.28027
315.0279, 22.36890
315.5100, 23.69434
315.9922, 22.08984
316.4743, 14.77197
316.9564, 0.8010250
317.4385, 12.57153
317.9206, 16.64966
318.4027, 14.84253
318.8849, 9.328125
319.3670, 3.004150
319.8491, 15.28223
320.3312, 28.55469
320.8133, 45.81543
321.2954, 49.08496
321.7776, 19.70117
322.2597, 19.75586
322.7418, 45.24194
323.2239, 44.44824
323.7060, 38.31763
324.1881, 30.44141
324.6703, 20.92432
325.1524, 11.16064
325.6345, 7.374512
326.1166, 21.40820
326.5987, 20.20410
327.0808, 20.73730
327.5630, 48.05884
328.0451, 50.96265
328.5272, 30.71289
329.0093, 14.53076
329.4914, 3.447754
329.9735, 4.122559
330.4557, 9.074707
330.9378, 11.41455
331.4199, 10.83789
331.9020, 5.152832
332.3841, 3.821289
332.8662, 7.348145
333.3484, 5.245117
333.8305, 2.036621
334.3126, 15.97314
334.7947, 40.49609
335.2768, 58.74756
335.7589, 68.33789
336.2411, 72.01807
336.7232, 78.31396
337.2053, 90.00781
337.6874, 95.96484
338.1695, 85.47607
338.6516, 54.49023
339.1338, 46.06543
339.6159, 67.77051
340.0980, 101.4150
340.5801, 114.9263
341.0622, 106.5449
341.5443, 95.61816
342.0265, 87.50684
342.5086, 82.72510
342.9907, 88.29297
343.4728, 106.3965
343.9549, 126.0029
344.4370, 130.5049
344.9192, 121.6841
345.4013, 117.1577
345.8834, 126.0918
346.3655, 142.9146
346.8476, 150.6040
347.3297, 148.7544
347.8119, 148.3701
348.2940, 165.6680
348.7761, 193.5371
349.2582, 209.3618
349.7403, 200.6753
350.2225, 183.7266
350.7046, 180.8882
351.1867, 191.1543
351.6688, 206.7935
352.1509, 224.4937
352.6331, 243.4438
353.1152, 263.6318
353.5973, 288.5483
354.0794, 308.1079
354.5615, 306.1831
355.0436, 289.9619
355.5258, 281.3345
356.0079, 305.1660
356.4900, 334.7339
356.9721, 343.4160
357.4542, 320.0435
357.9363, 299.8286
358.4185, 309.0854
358.9006, 334.1709
359.3827, 351.4829
359.8648, 342.5142
360.3469, 330.7817
360.8290, 330.0015
361.3112, 343.2437
361.7933, 353.4761
362.2754, 351.9077
362.7575, 345.8843
363.2396, 343.3965
363.7217, 353.7905
364.2039, 360.3472
364.6860, 356.7280
365.1681, 342.7197
365.6502, 331.0361
366.1323, 319.0781
366.6144, 312.2378
367.0966, 314.4785
367.5787, 349.2803
368.0608, 364.0010
368.5429, 341.7749
369.0250, 292.4829
369.5071, 267.7710
369.9893, 282.1025
370.4714, 304.1143
370.9535, 320.2285
371.4356, 332.7178
371.9177, 332.6709
372.3998, 313.7866
372.8820, 285.3955
373.3641, 269.0356
373.8462, 268.5898
374.3283, 270.1245
374.8104, 267.2202
375.2925, 258.9385
375.7747, 255.6797
376.2568, 259.6699
376.7389, 265.3496
377.2210, 265.2607
377.7031, 258.6738
378.1852, 249.4204
378.6674, 237.4644
379.1495, 223.8706
379.6316, 212.1548
380.1137, 201.1079
380.5958, 191.9131
381.0779, 189.5371
381.5601, 192.6938
382.0422, 192.9351
382.5243, 186.3198
383.0064, 178.7329
383.4885, 184.0806
383.9706, 199.5796
384.4528, 208.9609
384.9349, 191.9004
385.4170, 162.2285
385.8991, 146.3164
386.3812, 152.5806
386.8633, 162.1094
387.3455, 156.1284
387.8276, 139.4365
388.3097, 123.3926
388.7918, 110.8862
389.2739, 103.3960
389.7560, 103.9482
390.2382, 113.2954
390.7203, 122.2676
391.2024, 130.6060
391.6845, 134.6479
392.1666, 129.8862
392.6487, 96.79248
393.1309, 71.53076
393.6130, 76.54199
394.0951, 108.5400
394.5772, 128.0293
395.0593, 106.8472
395.5414, 81.47217
396.0236, 74.94434
396.5057, 119.9292
396.9878, 148.8975
397.4699, 148.3540
397.9520, 126.2109
398.4341, 107.3535
398.9163, 91.80225
399.3984, 79.56934
399.8805, 70.95898
400.3626, 66.90283
400.8447, 63.71631
401.3268, 61.34277
401.8090, 59.88086
402.2911, 41.80518
402.7732, 63.53760
403.2553, 75.25146
403.7374, 77.48584
404.2195, 41.78760
404.7017, 55.13574
405.1838, 48.86719
405.6659, 41.82715
406.1480, 62.17285
406.6301, 32.16064
407.1122, 52.14453
407.5944, 52.21338
408.0765, 61.43652
408.5586, 50.92383
409.0407, 46.54297
409.5228, 61.95752
410.0049, 66.44238
410.4871, 47.42969
410.9692, 51.79150
411.4513, 50.38135
411.9334, 48.07910
412.4155, 50.14600
412.8976, 55.86279
413.3798, 62.96484
413.8619, 75.74121
414.3440, 86.42236
414.8261, 83.58398
415.3082, 67.11670
415.7903, 53.42529
416.2725, 56.81396
416.7546, 67.48633
417.2367, 74.34424
417.7188, 69.11133
418.2009, 64.51562
418.6830, 70.75098
419.1652, 83.63184
419.6473, 87.55615
420.1294, 62.28613
420.6115, 37.80127
421.0937, 31.99463
421.5758, 59.11621
422.0579, 79.50586
422.5400, 81.15283
423.0221, 74.47266
423.5042, 76.83105
423.9864, 106.8696
424.4685, 125.4351
424.9506, 117.6270
425.4327, 80.03027
425.9148, 62.88281
426.3969, 77.29883
426.8791, 99.47949
427.3612, 107.7695
427.8433, 96.27734
428.3254, 89.84180
428.8075, 94.04688
429.2896, 104.8037
429.7718, 106.6265
430.2539, 97.53613
430.7360, 90.01221
431.2181, 94.88770
431.7002, 110.7529
432.1823, 113.2227
432.6645, 96.90625
433.1466, 81.17871
433.6287, 101.5674
434.1108, 149.9272
434.5929, 185.4438
435.0750, 182.6841
435.5572, 159.9736
436.0393, 149.0293
436.5214, 149.3726
437.0035, 150.8340
437.4856, 139.1719
437.9677, 125.5405
438.4499, 128.0459
438.9320, 163.1455
439.4141, 195.1860
439.8962, 195.1187
440.3783, 171.8105
440.8604, 148.0972
441.3426, 124.6382
441.8247, 111.0381
442.3068, 118.3989
442.7889, 154.8203
443.2710, 178.6572
443.7531, 166.4468
444.2353, 140.7925
444.7174, 126.4653
445.1995, 135.8252
445.6816, 147.2139
446.1637, 158.1304
446.6458, 168.4150
447.1280, 177.4927
447.6101, 186.3403
448.0922, 192.9121
448.5743, 195.7876
449.0564, 193.7021
449.5385, 190.8711
450.0207, 186.0649
450.5028, 181.7847
450.9849, 183.7148
451.4670, 193.0840
451.9491, 202.3872
452.4312, 208.6890
452.9134, 212.4814
453.3955, 216.3389
453.8776, 220.3374
454.3597, 224.9126
454.8418, 233.6948
455.3239, 244.3008
455.8061, 245.4561
456.2882, 232.2954
456.7703, 214.7197
457.2524, 203.7705
457.7345, 199.3789
458.2166, 201.7163
458.6988, 217.5376
459.1809, 237.8267
459.6630, 251.6621
460.1451, 257.3652
460.6272, 263.2153
461.1093, 274.0693
461.5915, 288.1074
462.0736, 302.8774
462.5557, 315.7158
463.0378, 331.4810
463.5199, 357.7881
464.0020, 390.8867
464.4842, 408.8799
464.9663, 389.7676
465.4484, 367.8306
465.9305, 361.8008
466.4126, 383.0610
466.8947, 399.1030
467.3769, 408.5000
467.8590, 414.1831
468.3411, 419.7500
468.8232, 425.2124
469.3053, 431.1914
469.7874, 438.9849
470.2696, 447.9331
470.7517, 448.3628
471.2338, 435.0103
471.7159, 428.4229
472.1980, 454.8892
472.6801, 513.5435
473.1623, 552.8887
473.6444, 562.9165
474.1265, 556.1104
474.6086, 552.1030
475.0907, 550.4395
475.5728, 547.6255
476.0550, 535.4697
476.5371, 523.0659
477.0192, 527.8657
477.5013, 550.6328
477.9834, 576.1724
