##NAMES=Tausonite
##RRUFFID=X090004
##IDEAL CHEMISTRY=SrTiO_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless stone, cell parameters indicate a disordered structure
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090004
238.4583, 146.3334
238.9404, 146.3471
239.4225, 148.5403
239.9046, 150.5078
240.3867, 151.5344
240.8689, 151.7627
241.3510, 151.3629
241.8331, 150.2552
242.3152, 148.7696
242.7973, 148.0004
243.2794, 148.6232
243.7616, 148.7230
244.2437, 147.1494
244.7258, 144.2891
245.2079, 141.3926
245.6900, 138.9860
246.1721, 137.0952
246.6543, 135.9389
247.1364, 136.0428
247.6185, 135.3411
248.1006, 132.1247
248.5827, 127.0484
249.0648, 122.7325
249.5470, 120.5914
250.0291, 119.1168
250.5112, 116.0167
250.9933, 111.0898
251.4754, 105.7428
251.9576, 100.3677
252.4397, 95.20172
252.9218, 90.93591
253.4039, 88.02557
253.8860, 85.64105
254.3681, 83.03101
254.8503, 80.22095
255.3324, 76.99078
255.8145, 72.74622
256.2966, 67.81012
256.7787, 63.80560
257.2608, 61.26782
257.7430, 59.41992
258.2251, 57.44141
258.7072, 55.44922
259.1893, 54.01483
259.6714, 53.91107
260.1535, 54.78552
260.6357, 54.83276
261.1178, 53.49420
261.5999, 51.94568
262.0820, 50.87085
262.5641, 50.15857
263.0462, 49.54626
263.5284, 48.35803
264.0105, 46.94269
264.4926, 47.63379
264.9747, 52.29535
265.4568, 56.42480
265.9389, 57.22534
266.4211, 55.95447
266.9032, 55.24677
267.3853, 57.06964
267.8674, 60.66028
268.3495, 62.60950
268.8316, 61.61475
269.3138, 60.86987
269.7959, 61.84399
270.2780, 63.72992
270.7601, 65.34326
271.2422, 66.04480
271.7243, 66.05121
272.2065, 66.06854
272.6886, 66.30841
273.1707, 66.15405
273.6528, 64.84497
274.1349, 63.33502
274.6170, 62.89453
275.0992, 64.20685
275.5813, 66.40967
276.0634, 67.17780
276.5455, 65.20728
277.0276, 64.30762
277.5097, 66.01868
277.9919, 68.49664
278.4740, 70.13757
278.9561, 70.37457
279.4382, 69.53699
279.9203, 68.08301
280.4024, 65.40546
280.8846, 63.43335
281.3667, 62.31665
281.8488, 61.86926
282.3309, 62.19232
282.8130, 63.22705
283.2951, 64.46423
283.7773, 65.11218
284.2594, 64.83087
284.7415, 64.79620
285.2236, 65.37921
285.7057, 65.92786
286.1878, 65.92719
286.6700, 65.39325
287.1521, 64.84143
287.6342, 64.98901
288.1163, 66.21600
288.5984, 66.58569
289.0805, 65.15564
289.5627, 63.76898
290.0448, 63.48315
290.5269, 64.09766
291.0090, 64.61157
291.4911, 64.03979
291.9732, 62.25757
292.4554, 60.97083
292.9375, 60.62244
293.4196, 60.31287
293.9017, 59.82727
294.3838, 59.14966
294.8659, 58.28571
295.3481, 57.20361
295.8302, 55.94226
296.3123, 55.04749
296.7944, 55.42957
297.2765, 55.20557
297.7586, 53.27765
298.2408, 50.65491
298.7229, 48.96539
299.2050, 49.16113
299.6871, 50.66461
300.1692, 51.24908
300.6513, 49.91052
301.1335, 48.79388
301.6156, 48.29559
302.0977, 48.02686
302.5798, 47.64026
303.0619, 46.98883
303.5440, 46.01624
304.0262, 44.55634
304.5083, 42.03699
304.9904, 39.89203
305.4725, 38.26801
305.9546, 36.91675
306.4367, 35.68573
306.9189, 34.51721
307.4010, 33.36304
307.8831, 32.13684
308.3652, 30.72168
308.8473, 29.54199
309.3294, 28.87762
309.8116, 28.17358
310.2937, 27.13666
310.7758, 25.72766
311.2579, 24.01666
311.7400, 22.05109
312.2221, 19.76025
312.7043, 17.61218
313.1864, 15.20087
313.6685, 13.28552
314.1506, 12.31506
314.6327, 12.10455
315.1148, 12.30011
315.5970, 12.75903
316.0791, 13.37921
316.5612, 12.70642
317.0433, 9.127686
317.5254, 6.047974
318.0075, 4.332458
318.4897, 3.542175
318.9718, 2.984009
319.4539, 2.307678
319.9360, 1.592041
320.4181, 1.097107
320.9002, 1.342834
321.3824, 1.136353
321.8645, 7.6599002E-02
322.3466, 1.290649
322.8287, 2.514465
323.3108, 3.416016
323.7929, 3.993591
324.2751, 4.185669
324.7572, 3.599182
325.2393, 3.398254
325.7214, 4.288818
326.2035, 4.997742
326.6856, 4.368652
327.1678, 2.444580
327.6499, 0.3760380
328.1320, 0.5487060
328.6141, 5.0597999E-02
329.0962, 0.2342530
329.5783, 0.1409300
330.0605, 1.7333999E-02
330.5426, 3.5339002E-02
331.0247, 3.6619999E-03
331.5068, 0.1883540
331.9889, 0.6106570
332.4710, 1.226013
332.9532, 1.284729
333.4353, 0.3101810
333.9174, 0.7348020
334.3995, 1.689575
334.8816, 2.600342
335.3637, 3.594543
335.8459, 4.740967
336.3280, 5.930603
336.8101, 6.786621
337.2922, 6.886902
337.7743, 7.297424
338.2564, 8.466187
338.7386, 9.756348
339.2206, 10.44879
339.7028, 10.40833
340.1849, 10.26337
340.6670, 11.15948
341.1491, 14.08679
341.6312, 15.53149
342.1133, 14.30035
342.5955, 12.78247
343.0776, 12.07483
343.5597, 12.32550
344.0418, 13.29419
344.5239, 14.94013
345.0060, 17.34821
345.4882, 18.93250
345.9703, 18.62994
346.4524, 18.49451
346.9345, 19.34216
347.4166, 20.72607
347.8987, 21.74927
348.3809, 21.81458
348.8630, 21.19507
349.3451, 20.99835
349.8272, 21.29132
350.3093, 21.93958
350.7914, 23.23993
351.2736, 24.67413
351.7557, 25.62073
352.2378, 25.86963
352.7199, 25.92108
353.2020, 26.77423
353.6841, 28.94794
354.1663, 30.30670
354.6484, 29.73047
355.1305, 28.97119
355.6126, 29.04871
356.0947, 30.02826
356.5768, 31.32825
357.0590, 32.41925
357.5411, 33.29449
358.0232, 34.25171
358.5053, 35.49744
358.9874, 36.59814
359.4695, 37.20801
359.9517, 37.55682
360.4338, 38.16626
360.9159, 39.52386
361.3980, 41.23566
361.8801, 41.95593
362.3622, 41.14044
362.8444, 40.53491
363.3265, 40.75275
363.8086, 41.47223
364.2907, 42.52014
364.7728, 43.91925
365.2549, 45.18842
365.7371, 45.48468
366.2192, 44.64062
366.7013, 44.32581
367.1834, 45.49609
367.6655, 46.86859
368.1476, 47.34277
368.6298, 46.92993
369.1119, 46.67609
369.5940, 47.64038
370.0761, 49.50153
370.5582, 50.71228
371.0403, 51.05011
371.5225, 50.88470
372.0046, 50.20660
372.4867, 49.25470
372.9688, 48.56500
373.4509, 48.54047
373.9330, 48.77844
374.4152, 48.74231
374.8973, 48.43890
375.3794, 47.80847
375.8615, 46.43848
376.3436, 44.90521
376.8257, 44.14795
377.3079, 44.53406
377.7900, 44.96478
378.2721, 44.49274
378.7542, 43.33685
379.2363, 42.38159
379.7184, 41.68304
380.2006, 41.56531
380.6827, 42.85626
381.1648, 45.54120
381.6469, 47.50305
382.1290, 47.85504
382.6111, 47.19415
383.0933, 46.10193
383.5754, 44.58282
384.0575, 43.29877
384.5396, 42.87390
385.0217, 43.25061
385.5038, 43.43964
