##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
314.3149, 101.8784
314.7971, 105.3011
315.2792, 106.9092
315.7613, 107.8676
316.2434, 109.1183
316.7255, 110.1354
317.2076, 109.7911
317.6898, 106.3024
318.1719, 102.2952
318.6540, 99.13953
319.1361, 97.00684
319.6182, 95.84766
320.1003, 96.82031
320.5825, 98.49011
321.0646, 98.88550
321.5467, 96.63306
322.0288, 93.78442
322.5109, 90.68213
322.9930, 87.23389
323.4752, 84.93701
323.9573, 85.16626
324.4394, 86.17395
324.9215, 86.38306
325.4036, 84.72034
325.8857, 83.12146
326.3679, 81.62085
326.8500, 80.27197
327.3321, 80.04077
327.8142, 82.69824
328.2963, 85.37646
328.7784, 86.38354
329.2606, 84.67920
329.7427, 82.54089
330.2248, 79.39380
330.7069, 75.73840
331.1890, 73.60107
331.6711, 74.47791
332.1533, 75.27405
332.6354, 74.72717
333.1175, 72.45154
333.5996, 69.60535
334.0817, 65.63635
334.5638, 61.31592
335.0460, 58.30981
335.5281, 57.78918
336.0102, 56.32007
336.4923, 52.35474
336.9744, 45.33081
337.4565, 40.02051
337.9387, 36.94116
338.4208, 34.80237
338.9029, 32.05701
339.3850, 28.47620
339.8671, 25.02258
340.3492, 21.63831
340.8313, 18.45996
341.3134, 16.82458
341.7956, 17.17590
342.2777, 17.68860
342.7598, 16.70935
343.2419, 14.24963
343.7240, 12.10461
344.2061, 10.60425
344.6883, 9.713867
345.1704, 9.056519
345.6525, 8.615112
346.1346, 9.582397
346.6167, 13.50916
347.0988, 19.89392
347.5810, 25.01477
348.0631, 28.36755
348.5452, 31.28479
349.0273, 35.37012
349.5094, 40.57837
