##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=YW_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
214.3031, 1163.621
214.7852, 1134.734
215.2673, 1079.469
215.7494, 1021.184
216.2315, 957.4102
216.7136, 890.4648
217.1958, 849.7852
217.6779, 844.6953
218.1600, 852.9297
218.6421, 857.0312
219.1242, 857.9062
219.6063, 852.9688
220.0885, 843.3633
220.5706, 828.9258
221.0527, 801.1094
221.5348, 752.1680
222.0169, 698.5352
222.4990, 654.9844
222.9812, 614.7969
223.4633, 599.7891
223.9454, 627.1445
224.4275, 707.7500
224.9096, 737.1250
225.3917, 690.8672
225.8739, 616.0781
226.3560, 576.3477
226.8381, 598.9062
227.3202, 606.4922
227.8023, 568.2734
228.2844, 464.8203
228.7665, 414.6445
229.2487, 457.9883
229.7308, 528.0977
230.2129, 513.8555
230.6950, 353.8242
231.1771, 209.6875
231.6592, 133.3711
232.1414, 152.1875
232.6235, 166.2383
233.1056, 179.3047
233.5877, 184.8906
234.0698, 163.8945
234.5519, 88.54297
235.0341, 29.16797
235.5162, 17.19531
235.9983, 81.54688
236.4804, 119.7500
236.9625, 122.7812
237.4446, 102.1328
237.9268, 85.94922
238.4089, 79.00000
238.8910, 70.31250
239.3731, 54.72656
239.8552, 27.65625
240.3373, 3.585938
240.8195, 15.37891
241.3016, 31.75391
241.7837, 53.74219
242.2658, 92.04297
242.7479, 121.0312
243.2300, 125.7500
243.7122, 89.35547
244.1943, 65.17188
244.6764, 60.12109
245.1585, 68.55078
245.6406, 68.71875
246.1227, 60.92969
246.6048, 44.45312
247.0870, 18.48438
247.5691, 19.25000
248.0512, 62.46484
248.5333, 115.8945
249.0154, 175.1328
249.4975, 222.1016
249.9797, 259.1367
250.4618, 281.7969
250.9439, 285.6445
251.4260, 262.4922
