##NAMES=Henmilite
##RRUFFID=R060257
##IDEAL CHEMISTRY=Ca_2_Cu[B(OH)_4_]_2_(OH)_4_
##LOCALITY=Fuka mine, Okayama Prefecture, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep blue prismatic pinacoidal crystals with a melted looking exterior
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060257
##MEASURED CHEMISTRY=Ca_1.94_Cu_1.06_[B(OH)_4_]_2_(OH)_4_ ; B, H not measured but assumed by stoichiometry
189.0507, 9.283203
189.5328, 1.352539
190.0149, 5.100098
190.4970, 13.53174
190.9791, 28.12939
191.4612, 49.80127
191.9434, 75.93750
192.4255, 107.3525
192.9076, 141.7354
193.3897, 179.5454
193.8718, 220.0420
194.3539, 259.7275
194.8361, 295.0854
195.3182, 328.0317
195.8003, 347.3042
196.2824, 352.0117
196.7645, 343.5132
197.2466, 320.7085
197.7288, 283.2598
198.2109, 237.4653
198.6930, 189.0000
199.1751, 136.3418
199.6572, 91.19531
200.1393, 55.78516
200.6215, 28.93799
201.1036, 8.935547
201.5857, 4.590820
202.0678, -4.518641
202.5499, 9.129883
203.0320, 1.216797
203.5142, 13.55615
203.9963, 28.24023
204.4784, 43.35352
204.9605, 53.77637
205.4426, 57.12598
205.9247, 57.88086
206.4069, 61.61084
206.8890, 67.73535
207.3711, 70.82080
207.8532, 65.69531
208.3353, 54.15625
208.8174, 45.35596
209.2996, 41.14648
209.7817, 39.48779
210.2638, 38.19189
210.7459, 37.49170
211.2280, 38.91650
211.7101, 43.17676
212.1923, 50.26465
212.6744, 61.47119
213.1565, 82.26904
213.6386, 102.0908
214.1207, 113.8149
214.6028, 118.7983
215.0850, 124.3662
215.5671, 138.8945
216.0492, 164.3301
216.5313, 183.6431
217.0134, 189.6885
217.4955, 195.1265
217.9777, 202.4644
218.4598, 213.1558
218.9419, 229.4521
219.4240, 253.5752
219.9061, 285.9360
220.3882, 324.6255
220.8704, 377.2412
221.3525, 429.6616
221.8346, 478.1729
222.3167, 521.2065
222.7988, 557.4712
223.2809, 585.7725
223.7631, 606.5596
224.2452, 616.4873
224.7273, 621.1743
225.2094, 612.7065
225.6915, 582.9502
226.1736, 534.1323
226.6558, 476.7441
227.1379, 421.2397
227.6200, 368.5073
228.1021, 314.4785
228.5842, 249.2837
229.0663, 190.8833
229.5485, 151.8242
230.0306, 131.6914
230.5127, 120.8438
230.9948, 110.5952
231.4769, 101.1172
231.9590, 91.12402
232.4412, 78.20068
232.9233, 66.68750
233.4054, 60.00977
233.8875, 58.08643
234.3696, 57.42041
234.8517, 54.04883
235.3339, 47.51904
235.8160, 47.68945
236.2981, 55.69434
236.7802, 69.25537
237.2623, 90.82617
237.7444, 119.3506
238.2266, 143.8027
238.7087, 154.1948
239.1908, 150.0718
239.6729, 144.6050
240.1550, 135.0044
240.6371, 126.3125
241.1193, 122.3569
241.6014, 123.2871
242.0835, 127.8047
242.5656, 136.1548
243.0477, 148.5146
243.5298, 161.5493
244.0120, 175.7778
244.4941, 188.8428
244.9762, 196.6748
245.4583, 199.0933
245.9404, 205.3887
246.4225, 223.7539
246.9047, 250.2378
247.3868, 276.1382
247.8689, 301.8022
248.3510, 324.8950
248.8331, 340.8491
249.3152, 348.6152
249.7974, 358.3403
250.2795, 377.0654
250.7616, 400.7656
251.2437, 423.9829
251.7258, 445.5898
252.2079, 468.0698
252.6901, 495.7026
253.1722, 529.0977
253.6543, 560.1621
254.1364, 587.8457
254.6185, 609.2749
255.1006, 621.2217
255.5828, 622.8286
256.0649, 615.0215
256.5470, 597.0835
257.0291, 567.7168
257.5112, 536.1406
257.9933, 499.8359
258.4755, 465.9180
258.9576, 440.5957
259.4397, 425.7231
259.9218, 416.1694
260.4039, 405.8428
260.8860, 393.9766
261.3682, 386.1880
261.8503, 387.1646
262.3324, 390.7759
262.8145, 394.3203
263.2966, 397.1719
263.7787, 398.4541
264.2609, 397.1846
264.7430, 393.2056
265.2251, 387.3867
265.7072, 378.9863
266.1893, 369.2495
266.6714, 357.0874
267.1536, 343.1338
267.6357, 331.1934
268.1178, 325.5542
268.5999, 327.0371
269.0820, 330.2505
269.5641, 342.2559
270.0463, 350.0571
270.5284, 344.3511
271.0105, 327.3779
271.4926, 310.2954
271.9747, 305.6650
272.4568, 315.9238
272.9390, 317.0273
273.4211, 298.3013
273.9032, 279.2163
274.3853, 266.7959
274.8674, 259.8315
275.3495, 253.4673
275.8317, 243.6177
276.3138, 230.2393
276.7959, 217.2202
277.2780, 202.7271
277.7601, 190.5103
278.2422, 181.1455
278.7244, 174.9053
279.2065, 172.7275
279.6886, 175.9937
280.1707, 183.8394
280.6528, 186.9976
281.1349, 179.6001
281.6171, 173.4341
282.0992, 171.0449
282.5813, 171.2773
283.0634, 171.8506
283.5455, 171.2710
284.0276, 170.5669
284.5098, 174.5527
284.9919, 189.4717
285.4740, 201.6890
285.9561, 208.1509
286.4382, 211.5479
286.9203, 214.9893
287.4025, 219.8574
287.8846, 225.5908
288.3667, 230.7817
288.8488, 237.0234
289.3309, 240.1060
289.8130, 241.0015
290.2952, 238.2422
290.7773, 229.2168
291.2594, 213.4346
291.7415, 194.3643
292.2236, 178.7192
292.7057, 172.6123
293.1879, 159.3242
293.6700, 134.6895
294.1521, 106.6050
294.6342, 79.04492
295.1163, 53.70703
295.5984, 32.53711
296.0806, 18.44629
296.5627, 13.82129
297.0448, 10.11475
297.5269, 6.063965
298.0090, 3.768555
298.4911, 7.094727
298.9733, 14.52246
299.4554, 19.10498
299.9375, 12.98975
300.4196, 6.556152
300.9017, 18.50977
301.3839, 18.25439
301.8660, 16.39355
302.3481, 16.80957
302.8302, 19.42090
303.3123, 22.66455
303.7944, 25.49951
304.2766, 27.92578
304.7587, 29.18945
305.2408, 30.08789
305.7229, 29.09766
306.2050, 25.05518
306.6871, 18.91064
307.1693, 11.47314
307.6514, 2.902832
308.1335, 5.545410
308.6156, 7.733887
309.0977, 3.300293
309.5798, 12.65186
310.0620, 19.14014
310.5441, 23.04443
311.0262, 24.56738
311.5083, 23.81152
311.9904, 21.32178
312.4725, 18.39014
312.9547, 15.79736
313.4368, 11.40430
313.9189, 4.939941
314.4010, 3.065918
314.8831, 12.08398
315.3652, 21.98340
315.8474, 33.56055
316.3295, 48.61914
316.8116, 72.06592
317.2937, 85.29834
317.7758, 81.17285
318.2579, 73.96973
318.7401, 71.89648
319.2222, 75.67920
319.7043, 81.70264
320.1864, 86.24707
320.6685, 88.59424
321.1506, 95.40625
321.6328, 113.5850
322.1149, 128.6914
322.5970, 131.8994
323.0791, 127.1309
323.5612, 124.2915
324.0433, 130.3110
324.5255, 144.5098
325.0076, 159.1724
325.4897, 172.1333
325.9718, 188.1377
326.4539, 210.0156
326.9360, 235.1709
327.4182, 259.7510
327.9003, 282.0015
328.3824, 303.2715
328.8645, 327.4272
329.3466, 355.9922
329.8287, 386.0186
330.3109, 420.5527
330.7930, 454.7739
331.2751, 483.8789
331.7572, 506.6201
332.2393, 525.4028
332.7214, 544.2612
333.2036, 566.0762
333.6857, 580.6421
334.1678, 583.1543
334.6499, 583.6064
335.1320, 588.6392
335.6141, 598.1465
336.0963, 607.3921
336.5784, 611.6123
337.0605, 610.3916
337.5426, 607.7163
338.0247, 602.1768
338.5068, 596.6299
338.9890, 589.8506
339.4711, 583.8457
339.9532, 582.7983
340.4353, 590.0361
340.9174, 603.9717
341.3995, 614.2559
341.8817, 609.1440
342.3638, 615.1479
342.8459, 638.1802
343.3280, 673.4600
343.8101, 717.0830
344.2922, 767.3677
344.7744, 820.9951
345.2565, 870.3286
345.7386, 911.1963
346.2207, 955.9912
346.7028, 1001.465
347.1849, 1053.228
347.6671, 1119.063
348.1492, 1198.855
348.6313, 1279.944
349.1134, 1346.582
349.5955, 1394.330
350.0776, 1445.871
350.5598, 1502.121
351.0419, 1561.639
351.5240, 1622.627
352.0061, 1686.041
352.4882, 1754.854
352.9703, 1830.550
353.4525, 1913.468
353.9346, 2003.670
354.4167, 2100.342
354.8988, 2206.579
355.3809, 2321.936
355.8630, 2446.776
356.3452, 2580.161
356.8273, 2721.118
357.3094, 2872.539
357.7915, 3040.748
358.2736, 3223.403
358.7557, 3424.636
359.2379, 3651.171
359.7200, 3892.054
360.2021, 4148.422
360.6842, 4419.418
361.1663, 4681.993
361.6484, 4920.792
362.1306, 5136.161
362.6127, 5309.737
363.0948, 5452.766
363.5769, 5534.135
364.0590, 5541.706
364.5411, 5476.282
365.0233, 5344.759
365.5054, 5138.316
365.9875, 4867.171
366.4696, 4571.194
366.9517, 4235.620
367.4338, 3899.135
367.9160, 3573.319
368.3981, 3260.763
368.8802, 2966.949
369.3623, 2692.699
369.8444, 2437.076
370.3265, 2198.668
370.8087, 1976.524
371.2908, 1774.992
371.7729, 1600.684
372.2550, 1448.111
372.7371, 1312.512
373.2192, 1194.232
373.7014, 1088.433
374.1835, 993.7969
374.6656, 909.9287
375.1477, 833.6113
375.6298, 765.1855
376.1119, 704.4463
376.5941, 651.8311
377.0762, 606.3613
377.5583, 562.7461
378.0404, 516.4443
378.5225, 472.2500
379.0046, 438.2627
379.4868, 415.3770
379.9689, 395.7471
380.4510, 375.1465
380.9331, 353.9941
381.4152, 332.9922
381.8973, 313.0254
382.3795, 292.4248
382.8616, 268.5713
383.3437, 242.5264
383.8258, 218.9668
384.3079, 199.3779
384.7900, 183.7031
385.2722, 172.5283
385.7543, 166.5762
386.2364, 160.9229
386.7185, 154.4512
387.2006, 147.4678
387.6827, 141.0469
388.1649, 135.3916
388.6470, 127.7588
389.1291, 114.0889
389.6112, 93.18750
390.0933, 78.95801
390.5754, 72.99805
391.0576, 72.14551
391.5397, 77.25000
392.0218, 86.31934
392.5039, 93.92773
392.9860, 96.72852
393.4681, 95.53027
393.9503, 93.98828
394.4324, 90.59180
394.9145, 88.75586
395.3966, 88.32324
395.8787, 89.98242
396.3608, 94.98828
396.8430, 103.6260
397.3251, 114.3740
397.8072, 125.2666
398.2893, 137.5850
398.7714, 146.2764
399.2535, 150.6650
399.7357, 152.6328
400.2178, 151.7695
400.6999, 149.2012
401.1820, 147.3799
401.6641, 148.0439
402.1462, 151.2324
402.6284, 157.3965
403.1105, 170.6387
403.5926, 182.1240
404.0747, 186.3223
404.5568, 189.5566
405.0389, 200.4365
405.5211, 222.2695
406.0032, 248.8496
406.4853, 270.0645
406.9674, 286.6797
407.4495, 295.9307
407.9316, 289.2285
408.4138, 281.8076
408.8959, 281.1494
409.3780, 287.6982
409.8601, 298.6416
410.3422, 314.3320
410.8243, 333.4424
411.3065, 344.8867
411.7886, 344.0693
412.2707, 343.1436
412.7528, 347.8867
413.2349, 355.6934
413.7170, 362.9951
414.1992, 368.5029
414.6813, 373.0781
415.1634, 379.6289
415.6455, 388.6250
416.1276, 390.7402
416.6097, 383.1016
417.0919, 366.8105
417.5740, 341.7773
418.0561, 307.9248
418.5382, 275.3564
419.0203, 247.9932
419.5024, 226.1348
419.9846, 212.6143
420.4667, 209.5615
420.9488, 206.2559
