##NAMES=Burangaite
##RRUFFID=R070408
##IDEAL CHEMISTRY=NaFe^2+^Al_5_(PO_4_)_4_(OH)_6_&#183;2H_2_O
##LOCALITY=Buranga pegmatite, Gatumba District, Gisenyi Province, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue to blue-green prismatic, co-type specimen. This is the piece used by Selway et al (1997) to determine structure.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070408
270.6732, 39.35742
271.1553, 16.95288
271.6374, 10.54102
272.1195, 25.95898
272.6016, 48.82251
273.0837, 53.26660
273.5659, 35.47192
274.0480, 19.12451
274.5301, 14.96704
275.0122, 23.61621
275.4943, 26.00024
275.9764, 19.98975
276.4586, 11.71826
276.9407, 11.21387
277.4228, 19.35425
277.9049, 27.23511
278.3870, 30.42993
278.8691, 29.27686
279.3513, 31.74731
279.8334, 38.29077
280.3155, 47.29785
280.7976, 57.53223
281.2798, 68.99292
281.7619, 79.26880
282.2440, 89.64331
282.7261, 98.95239
283.2082, 96.40088
283.6903, 79.99463
284.1725, 59.06299
284.6546, 42.79077
285.1367, 31.36353
285.6188, 27.21997
286.1009, 37.36084
286.5830, 56.09668
287.0652, 55.88672
287.5473, 34.33643
288.0294, 8.017090
288.5115, 6.949951
288.9936, 11.00244
289.4757, 7.087158
289.9579, 9.916992
290.4400, 32.68408
290.9221, 40.30908
291.4042, 32.10498
291.8863, 17.35474
292.3684, 0.8825680
292.8506, 15.57617
293.3327, 24.52954
293.8148, 20.76685
294.2969, 9.758789
294.7790, 2.562256
295.2611, 0.8669430
295.7433, 5.549561
296.2254, 23.96973
296.7075, 48.20605
297.1896, 54.48584
297.6717, 27.60889
298.1538, 13.14795
298.6360, 42.45947
299.1181, 60.55518
299.6002, 67.19727
300.0823, 54.77832
300.5644, 31.68579
301.0465, 13.88965
301.5287, 7.412598
302.0108, 5.604736
302.4929, 5.572510
302.9750, 5.800049
303.4571, 2.309570
303.9392, 36.24292
304.4214, 78.53857
304.9035, 105.2932
305.3856, 104.6602
305.8677, 95.94971
306.3498, 89.42700
306.8319, 86.98193
307.3141, 95.42603
307.7962, 125.8120
308.2783, 165.6428
308.7604, 204.0271
309.2425, 239.2578
309.7246, 269.9019
310.2068, 290.5176
310.6889, 305.3462
311.1710, 325.6064
311.6531, 357.3308
312.1352, 396.2036
312.6173, 442.2639
313.0995, 501.2080
313.5816, 548.9968
314.0637, 572.3145
314.5458, 576.9209
315.0279, 574.0303
315.5100, 580.7798
315.9922, 571.4761
316.4743, 527.4556
316.9564, 438.5273
317.4385, 348.3359
317.9206, 263.0095
318.4027, 186.8945
318.8849, 126.0693
319.3670, 92.47827
319.8491, 65.38452
320.3312, 35.14551
320.8133, 1.524902
321.2954, 25.91309
321.7776, 29.88721
322.2597, 21.81494
322.7418, 10.61499
323.2239, 2.736084
323.7060, 18.80957
324.1881, 38.51978
324.6703, 62.18140
325.1524, 85.70923
