##NAMES=Jahnsite-(CaMnMg)
##RRUFFID=R060213
##IDEAL CHEMISTRY=CaMn^2+^Mg_2_Fe^3+^_2_(PO_4_)_4_(OH)_2_&#183;8H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Brown tabular crystals associated with black prismatic rockbridgeite, R060858
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R060213
220.5523, 35.14404
221.0344, 33.16116
221.5165, 30.89139
221.9986, 28.45703
222.4808, 25.95511
222.9629, 24.28653
223.4450, 23.37158
223.9271, 23.55786
224.4092, 26.10138
224.8913, 29.68793
225.3735, 32.08780
225.8556, 31.69266
226.3377, 28.82394
226.8198, 27.10809
227.3019, 28.04474
227.7840, 28.61035
228.2662, 27.62485
228.7483, 25.85263
229.2304, 24.83316
229.7125, 25.66043
230.1946, 28.05862
230.6767, 28.97415
231.1589, 27.74280
231.6410, 25.90622
232.1231, 22.85980
232.6052, 19.49686
233.0873, 17.48611
233.5694, 17.93399
234.0516, 20.49768
234.5337, 22.75986
235.0158, 24.93445
235.4979, 26.67520
235.9800, 27.78265
236.4621, 28.37759
236.9443, 28.58841
237.4264, 28.33603
237.9085, 27.91257
238.3906, 28.70102
238.8727, 32.38708
239.3548, 35.16690
239.8370, 35.13153
240.3191, 33.16025
240.8012, 31.38120
241.2833, 30.83646
241.7654, 31.17984
242.2475, 31.25784
242.7297, 30.31888
243.2118, 30.24231
243.6939, 32.72925
244.1760, 36.87897
244.6581, 39.76993
245.1402, 39.71606
245.6224, 38.29861
246.1045, 38.83868
246.5866, 41.96609
247.0687, 45.05423
247.5508, 46.72266
248.0329, 47.25204
248.5151, 47.55722
248.9972, 47.63705
249.4793, 48.03687
249.9614, 49.81741
250.4435, 53.25610
250.9256, 56.37167
251.4078, 57.44843
251.8899, 56.95685
252.3720, 57.22055
252.8541, 59.45422
253.3362, 61.98270
253.8183, 63.00220
254.3005, 62.59158
254.7826, 61.75833
255.2647, 60.65393
255.7468, 59.43066
256.2289, 58.92252
256.7110, 59.81598
257.1931, 60.82367
257.6753, 60.77182
258.1574, 59.81158
258.6395, 58.87448
259.1216, 58.84244
259.6037, 59.49219
260.0858, 59.13107
260.5680, 56.77698
261.0501, 54.52213
261.5322, 54.02374
262.0143, 54.74826
262.4964, 55.06619
262.9785, 53.65317
263.4607, 50.83594
263.9428, 48.42441
264.4249, 46.26437
264.9070, 44.85483
265.3891, 44.47839
265.8712, 44.90067
266.3534, 45.73703
266.8355, 47.13644
267.3176, 48.73425
267.7997, 48.71912
268.2818, 45.44095
268.7639, 43.08304
269.2461, 44.46161
269.7282, 47.33163
270.2103, 48.15625
270.6924, 44.57736
271.1745, 38.25720
271.6566, 34.86664
272.1388, 36.37054
272.6209, 37.62900
273.1030, 37.00098
273.5851, 35.50439
274.0672, 34.46069
274.5493, 34.54028
275.0315, 34.97592
275.5136, 33.79474
275.9957, 30.11923
276.4778, 26.38165
276.9599, 22.81558
277.4420, 19.51025
277.9242, 16.36832
