##NAMES=Natroboltwoodite
##RRUFFID=R060880
##IDEAL CHEMISTRY=Na(UO_2_)(SiO_3_OH)&#183;H_2_O
##LOCALITY=Alluaiv Mountain, Lovozero, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale yellow massive, X-ray diffraction indicates that this is amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060880
315.3337, 266.1406
315.8159, 252.1621
316.2980, 246.9922
316.7801, 253.8691
317.2622, 261.3184
317.7443, 253.9180
318.2264, 214.9727
318.7086, 171.0879
319.1907, 131.8008
319.6728, 97.95117
320.1549, 69.97852
320.6370, 34.80664
321.1191, 11.07227
321.6013, 17.02539
322.0834, 111.8555
322.5655, 181.2188
323.0476, 178.3496
323.5297, 102.2383
324.0118, 47.02930
324.4940, 36.34375
324.9761, 46.11523
325.4582, 58.69922
325.9403, 80.80469
326.4224, 95.54883
326.9045, 95.08008
327.3867, 81.30273
327.8688, 77.16016
328.3509, 92.17383
328.8330, 110.1504
329.3151, 122.7363
329.7972, 124.5254
330.2794, 129.5156
330.7615, 149.3184
331.2436, 174.6816
331.7257, 167.0312
332.2078, 97.48633
332.6899, 30.25391
333.1721, 4.701172
333.6542, 8.005859
334.1363, 22.31836
334.6184, 42.17188
335.1005, 62.54102
335.5826, 70.70898
336.0648, 60.09570
336.5469, 51.17578
337.0290, 52.73047
337.5111, 67.02344
337.9932, 77.03516
338.4753, 80.56641
338.9575, 80.99414
339.4396, 86.13867
339.9217, 98.83789
340.4038, 100.1602
340.8859, 75.63281
341.3680, 27.57617
341.8502, 13.15430
342.3323, 43.55469
342.8144, 76.33789
343.2965, 50.41797
343.7786, 34.66602
344.2607, 94.71680
344.7429, 98.65430
345.2250, 60.40820
345.7071, 25.89258
346.1892, 6.761719
346.6713, 26.98242
347.1534, 16.06445
347.6355, 18.69336
348.1176, 41.91797
348.5998, 47.50391
349.0819, 38.02539
349.5640, 14.05859
350.0461, 23.14648
350.5282, 62.50781
351.0103, 102.3320
351.4925, 137.0703
351.9746, 155.7148
352.4567, 153.3711
352.9388, 139.9648
353.4209, 117.2539
353.9030, 90.43750
354.3852, 76.78125
354.8673, 103.7754
355.3494, 142.0840
355.8315, 159.2695
356.3136, 150.8066
356.7957, 132.3516
357.2779, 108.2441
357.7600, 83.79102
358.2421, 67.88086
358.7242, 77.34180
359.2063, 86.97070
359.6884, 72.54883
360.1706, 31.41797
360.6527, 6.365234
361.1348, 26.44336
361.6169, 69.20508
362.0990, 110.4961
362.5811, 166.9316
363.0633, 197.1465
363.5454, 166.8164
364.0275, 83.46875
364.5096, 26.32031
364.9917, 42.99805
365.4738, 75.43555
365.9560, 86.69727
366.4381, 30.34766
366.9202, 0.1093750
367.4023, 21.79688
367.8844, 82.02148
368.3665, 127.2109
368.8487, 149.3887
369.3308, 160.6660
369.8129, 164.7207
370.2950, 154.2227
370.7771, 156.1621
371.2592, 173.9863
371.7414, 198.8145
372.2235, 218.6895
372.7056, 232.4297
373.1877, 245.0781
373.6698, 258.3184
374.1519, 272.2109
374.6341, 278.8711
375.1162, 274.4336
375.5983, 266.8145
376.0804, 264.2266
376.5625, 266.4102
377.0446, 272.3750
377.5267, 280.1875
378.0089, 291.8848
378.4910, 325.4922
378.9731, 388.3223
379.4552, 441.5176
379.9373, 446.2695
380.4194, 405.2910
380.9016, 367.4824
381.3837, 340.0176
381.8658, 321.3652
382.3479, 303.6445
382.8300, 288.3613
383.3121, 290.8184
383.7943, 341.5508
384.2764, 417.0020
384.7585, 449.3457
385.2406, 423.7344
385.7227, 385.0820
386.2048, 385.7539
386.6870, 415.1602
387.1691, 445.7676
387.6512, 462.9102
388.1333, 472.8027
388.6154, 485.5527
389.0975, 501.3379
389.5797, 506.8105
390.0618, 475.2812
390.5439, 430.5000
391.0260, 404.7461
391.5081, 435.4941
391.9902, 468.1250
392.4724, 475.7930
392.9545, 461.4160
393.4366, 437.5703
393.9187, 403.2871
394.4008, 368.4785
394.8829, 335.9004
395.3651, 300.1348
395.8472, 276.2461
396.3293, 274.3867
396.8114, 287.3770
397.2935, 299.2930
397.7756, 316.8555
398.2578, 323.5801
398.7399, 309.1504
399.2220, 261.0176
399.7041, 227.6992
400.1862, 214.2324
400.6683, 212.8086
401.1505, 215.4824
401.6326, 221.6152
402.1147, 225.5488
402.5968, 232.7656
403.0789, 245.3711
403.5610, 249.2227
404.0432, 242.4473
404.5253, 228.8262
405.0074, 206.0410
405.4895, 165.0312
405.9716, 150.7930
406.4537, 177.6602
406.9359, 228.4414
407.4180, 259.3496
407.9001, 269.2207
408.3822, 267.7578
408.8643, 257.7480
409.3464, 239.9512
409.8285, 218.6953
410.3106, 191.3398
410.7928, 171.6895
411.2749, 188.2812
411.7570, 232.6816
412.2391, 261.5645
412.7212, 245.7422
413.2033, 210.1836
413.6855, 199.2383
414.1676, 211.6855
414.6497, 228.7188
415.1318, 233.3438
415.6139, 233.1406
416.0960, 240.1680
416.5782, 262.1016
417.0603, 284.5000
417.5424, 298.1543
418.0245, 302.5195
418.5066, 297.1914
418.9887, 272.0352
419.4709, 245.7773
419.9530, 233.3965
420.4351, 242.4062
420.9172, 245.0957
421.3993, 230.0801
421.8814, 204.0996
422.3636, 175.9414
422.8457, 133.4141
423.3278, 106.0195
423.8099, 116.0078
424.2920, 165.9004
424.7741, 178.5430
425.2563, 117.2422
425.7384, 45.53320
426.2205, 4.736328
426.7026, 17.17578
427.1847, 19.53906
427.6668, 0.6191410
428.1490, 32.03320
428.6311, 39.77344
429.1132, 16.06836
429.5953, 13.45898
430.0774, 37.78516
430.5595, 56.13672
431.0417, 75.38281
431.5238, 98.02734
432.0059, 115.2324
432.4880, 110.7754
432.9701, 84.51953
433.4522, 64.73438
433.9344, 63.09180
434.4165, 72.69922
434.8986, 73.47656
435.3807, 65.71875
435.8628, 56.78320
436.3449, 51.78320
436.8271, 54.53516
437.3092, 59.79688
437.7913, 64.70703
438.2734, 70.95117
438.7555, 79.96875
439.2376, 90.41797
439.7197, 98.98633
440.2018, 106.9531
440.6840, 111.6895
441.1661, 103.3672
441.6482, 79.88867
442.1303, 68.00586
442.6124, 93.77930
443.0945, 133.7051
443.5767, 162.5000
444.0588, 163.4941
444.5409, 159.8086
445.0230, 161.0566
445.5051, 164.6367
445.9872, 152.5840
446.4694, 97.11719
446.9515, 47.66211
447.4336, 28.42383
447.9157, 48.22656
448.3978, 81.06836
448.8799, 148.6758
449.3621, 216.7617
449.8442, 230.5391
450.3263, 164.1035
450.8084, 97.58398
451.2905, 43.60742
451.7726, 3.646484
452.2548, 10.08594
452.7369, 75.13281
453.2190, 151.1875
453.7011, 203.9219
454.1832, 232.7773
454.6653, 238.5508
455.1475, 217.7324
455.6296, 182.3008
456.1117, 148.5273
456.5938, 118.5215
457.0759, 101.5801
457.5580, 116.4766
458.0402, 145.2402
458.5223, 149.7656
459.0044, 127.6582
459.4865, 101.6992
459.9686, 89.06836
460.4507, 86.38281
460.9329, 88.35742
461.4150, 97.84961
461.8971, 106.3691
462.3792, 106.5020
462.8613, 100.3203
463.3434, 96.37305
463.8256, 99.25977
464.3077, 105.2734
464.7898, 111.6152
465.2719, 115.5234
465.7540, 125.0957
466.2361, 140.5410
466.7183, 162.8691
467.2004, 193.4004
467.6825, 259.6172
468.1646, 301.4453
468.6467, 298.4766
469.1288, 252.5605
469.6110, 225.7949
470.0930, 218.1504
470.5752, 227.4922
471.0573, 262.1270
471.5394, 337.2324
472.0215, 363.2871
472.5036, 317.9980
472.9857, 242.6113
473.4679, 218.4180
473.9500, 247.7773
474.4321, 277.8125
474.9142, 291.7012
475.3963, 289.7012
475.8784, 266.8535
476.3606, 223.2090
476.8427, 177.7539
477.3248, 146.6895
477.8069, 127.5820
478.2890, 114.4297
478.7711, 102.5645
479.2533, 104.8789
479.7354, 153.9043
480.2175, 229.1602
480.6996, 276.3105
481.1817, 223.8379
481.6638, 165.6426
482.1460, 175.2441
482.6281, 265.5215
483.1102, 333.6426
483.5923, 323.3359
484.0744, 281.7832
484.5565, 252.4941
485.0387, 228.0840
485.5208, 229.4395
486.0029, 287.1270
486.4850, 377.3320
486.9671, 411.6289
487.4492, 356.4902
487.9314, 289.0801
488.4135, 238.3809
488.8956, 207.7891
489.3777, 183.1719
489.8598, 167.3086
490.3419, 155.3340
490.8241, 139.2871
491.3062, 118.8145
491.7883, 112.5371
492.2704, 136.6250
492.7525, 167.9355
493.2346, 131.5664
493.7168, 32.00391
494.1989, 50.11328
494.6810, 46.54492
495.1631, 7.347656
495.6452, 44.05859
496.1273, 56.64258
496.6095, 53.51172
497.0916, 29.05273
497.5737, 3.980469
498.0558, 25.83984
498.5379, 10.71484
499.0201, 1.785156
499.5022, 16.02148
499.9843, 57.05469
500.4664, 90.18750
500.9485, 109.4785
501.4306, 113.1660
501.9127, 96.08398
502.3948, 43.59180
502.8770, 4.861328
503.3591, 10.67188
503.8412, 10.94922
504.3233, 5.304688
504.8054, 16.21680
505.2875, 29.18750
505.7697, 29.64258
506.2518, 17.97461
506.7339, 10.97656
507.2160, 66.04883
507.6981, 107.0156
508.1802, 99.59180
508.6624, 45.83789
509.1445, 11.77344
509.6266, 1.873047
510.1087, 6.628906
510.5908, 23.20117
511.0729, 45.35547
511.5551, 50.50781
512.0372, 17.58203
512.5193, 23.36719
513.0014, 29.07227
513.4835, 5.498047
513.9656, 17.74609
514.4478, 12.72852
514.9299, 5.349609
515.4120, 20.39062
515.8941, 66.16016
516.3762, 111.7168
516.8583, 153.0332
517.3405, 182.6250
517.8226, 191.7461
518.3047, 156.0605
518.7868, 124.0996
519.2689, 99.08984
519.7510, 83.17383
520.2332, 92.77930
520.7153, 150.8848
521.1974, 202.1816
521.6795, 219.9277
522.1616, 197.6055
522.6437, 175.4512
523.1259, 151.9492
523.6080, 132.8789
524.0901, 123.4883
524.5722, 123.9785
525.0543, 139.2285
525.5364, 174.0293
526.0186, 220.2324
526.5007, 270.0918
526.9828, 320.2402
527.4649, 350.4824
527.9470, 323.7070
528.4291, 279.5156
528.9113, 283.8789
529.3934, 346.4043
529.8755, 390.1543
530.3576, 332.5820
530.8397, 239.0781
531.3218, 183.4961
531.8040, 226.9375
532.2861, 268.3145
532.7682, 285.5176
533.2503, 277.5156
533.7324, 238.9824
534.2145, 90.47461
534.6967, 9.994141
535.1788, 9.373047
535.6609, 175.9863
536.1430, 262.0098
536.6251, 229.9434
537.1072, 166.5664
537.5894, 147.6250
538.0715, 181.5664
538.5536, 210.0723
539.0357, 227.0098
539.5178, 232.8984
539.9999, 221.4609
540.4821, 193.9844
540.9642, 176.7832
541.4463, 181.7559
541.9284, 204.5195
542.4105, 243.7285
542.8926, 297.4609
543.3748, 344.5469
543.8569, 361.2266
544.3390, 364.4609
544.8211, 374.6309
545.3032, 398.4238
545.7853, 422.2363
546.2675, 455.4590
546.7495, 480.8672
547.2316, 472.2246
547.7137, 384.0371
548.1959, 302.4590
548.6780, 243.7500
549.1601, 209.5156
549.6422, 205.7734
550.1243, 259.9414
550.6064, 311.1973
551.0886, 329.7148
551.5707, 310.6406
552.0528, 268.4863
552.5349, 195.6172
553.0170, 131.3262
553.4991, 133.0977
553.9813, 197.5938
554.4634, 239.7891
554.9455, 230.3770
555.4276, 195.0703
555.9097, 185.9219
556.3918, 200.0391
556.8740, 210.9590
557.3561, 201.9922
557.8382, 178.7188
558.3203, 148.3887
558.8024, 112.4844
559.2845, 71.80469
559.7667, 6.433594
560.2488, 49.58203
560.7309, 66.98242
561.2130, 3.751953
561.6951, 45.66602
562.1772, 53.67578
562.6594, 35.91211
563.1415, 28.87109
563.6236, 37.96484
564.1057, 51.55664
564.5878, 67.20703
565.0699, 83.01953
565.5521, 103.9492
566.0342, 134.0117
566.5163, 156.8496
566.9984, 152.0781
567.4805, 122.8984
567.9626, 126.1074
568.4448, 172.8281
568.9269, 222.7773
569.4090, 214.8457
569.8911, 169.9277
570.3732, 147.3027
570.8553, 196.1387
571.3375, 248.2031
571.8196, 214.8711
572.3017, 123.3594
572.7838, 63.72852
573.2659, 114.6895
573.7480, 178.5273
574.2302, 199.4668
574.7123, 166.4941
575.1944, 131.7852
575.6765, 99.21680
576.1586, 71.86133
576.6407, 52.54688
577.1229, 46.62305
577.6050, 39.44336
578.0871, 29.96289
578.5692, 20.27539
579.0513, 11.90820
579.5334, 3.726563
580.0156, 7.800781
580.4977, 32.16992
580.9798, 70.30078
581.4619, 108.3730
581.9440, 145.3535
582.4261, 163.7441
582.9083, 128.8906
583.3904, 73.97461
583.8725, 53.33984
584.3546, 75.84766
584.8367, 102.9082
585.3188, 105.9512
585.8010, 99.50781
586.2831, 100.8047
586.7652, 119.4727
587.2473, 140.7422
587.7294, 162.3008
588.2115, 183.9473
588.6937, 205.2227
589.1758, 226.7246
589.6579, 247.5957
590.1400, 269.4004
590.6221, 292.1387
591.1042, 306.3125
591.5864, 312.4766
592.0685, 308.7070
592.5506, 280.7148
593.0327, 233.1348
593.5148, 235.8008
593.9969, 305.7969
594.4791, 377.4219
594.9612, 350.3066
595.4433, 262.9277
595.9254, 211.6133
596.4075, 250.3262
596.8896, 309.4160
597.3718, 330.1582
597.8539, 323.8301
598.3360, 320.7969
598.8181, 342.4375
599.3002, 362.7930
599.7823, 365.3418
600.2645, 346.6562
600.7466, 339.5898
601.2287, 336.0117
601.7108, 353.3730
602.1929, 410.1602
602.6750, 535.5859
603.1572, 610.2461
603.6393, 618.6758
604.1214, 597.3184
604.6035, 595.6758
605.0856, 613.6211
605.5677, 636.2734
606.0499, 662.5254
606.5320, 687.7988
607.0141, 703.0449
607.4962, 709.5977
607.9783, 714.2305
608.4604, 701.4492
608.9425, 700.7734
609.4246, 760.3105
609.9067, 880.0449
610.3889, 959.8418
610.8710, 901.9629
611.3531, 822.4238
611.8352, 807.5566
612.3173, 928.2793
612.7994, 1000.426
613.2816, 998.7676
613.7637, 958.0352
614.2458, 915.2754
614.7279, 861.9258
615.2100, 835.7168
615.6921, 848.8750
616.1743, 889.7734
616.6564, 932.9531
617.1385, 978.5840
617.6206, 1010.527
618.1027, 1015.600
618.5848, 1002.133
619.0670, 975.0176
619.5491, 936.1172
620.0312, 928.6953
620.5133, 1018.123
620.9954, 1128.918
621.4775, 1182.514
621.9597, 1149.076
622.4418, 1105.086
622.9239, 1074.025
623.4060, 1053.061
623.8881, 1038.654
624.3702, 1026.633
624.8524, 1026.262
