##NAMES=Hemimorphite
##RRUFFID=R070536
##IDEAL CHEMISTRY=Zn_4_Si_2_O_7_(OH)_2_&#183;H_2_O
##LOCALITY=Potosi mine, Santa Eulalia District, Chihuahua, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless striated thin tabular crystals in fan-shaped aggregates
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070536
##MEASURED CHEMISTRY=Zn_4.00_Si_2.00_O_7_(OH)_2_·H_2_O; total H_2_O estimated by difference, (OH) by charge balance
136.1740, 0.0000000E+00
136.6561, 3.243652
137.1382, 0.1811520
137.6203, 3.757813
138.1024, 1.966309
138.5845, 0.5478520
139.0667, 20.59863
139.5488, 73.65918
140.0309, 160.2153
140.5130, 227.9180
140.9951, 268.1831
141.4772, 298.5811
141.9594, 351.6362
142.4415, 441.4727
142.9236, 523.2783
143.4057, 578.5415
143.8878, 594.0967
144.3699, 618.6616
144.8521, 658.6602
145.3342, 706.4399
145.8163, 736.1602
146.2984, 736.5449
146.7805, 732.3198
147.2626, 735.6201
147.7448, 743.0024
148.2269, 763.1143
148.7090, 796.4956
149.1911, 843.9995
149.6732, 905.1118
150.1554, 992.3052
150.6375, 1084.965
151.1196, 1166.061
151.6017, 1212.145
152.0838, 1272.601
152.5659, 1352.731
153.0481, 1453.708
153.5302, 1570.259
154.0123, 1716.387
154.4944, 1872.644
154.9765, 2019.286
155.4586, 2123.725
155.9408, 2245.798
156.4229, 2404.314
156.9050, 2577.252
157.3871, 2719.349
157.8692, 2863.559
158.3513, 3008.108
158.8335, 3143.674
159.3156, 3259.105
159.7977, 3373.494
160.2798, 3493.592
160.7619, 3618.567
161.2440, 3767.296
161.7262, 3961.589
162.2083, 4178.095
162.6904, 4370.289
163.1725, 4514.061
163.6546, 4634.234
164.1367, 4756.514
164.6189, 4881.430
165.1010, 5006.958
165.5831, 5138.955
166.0652, 5274.113
166.5473, 5393.783
167.0294, 5498.725
167.5116, 5576.526
167.9937, 5613.298
168.4758, 5613.341
168.9579, 5564.532
169.4400, 5452.153
169.9221, 5277.574
170.4043, 5068.177
170.8864, 4840.949
171.3685, 4591.346
171.8506, 4307.592
172.3327, 3952.205
172.8148, 3582.858
173.2970, 3254.567
173.7791, 2971.362
174.2612, 2705.951
174.7433, 2437.599
175.2254, 2173.013
175.7076, 1923.222
176.1897, 1684.412
176.6718, 1467.835
177.1539, 1289.646
177.6360, 1156.158
178.1181, 1040.312
178.6003, 910.2988
179.0824, 770.0283
179.5645, 641.3979
180.0466, 531.6504
180.5287, 439.9355
181.0108, 369.0288
181.4930, 323.3188
181.9751, 287.9351
182.4572, 243.7734
182.9393, 191.2856
183.4214, 137.7939
183.9035, 83.23242
184.3857, 31.04541
184.8678, 8.959961
185.3499, 32.34912
185.8320, 44.70117
186.3141, 56.98486
186.7962, 68.95264
187.2784, 75.44336
187.7605, 70.91260
188.2426, 54.14160
188.7247, 39.87500
189.2068, 31.85352
189.6889, 41.50635
190.1711, 14.13867
190.6532, 2.064453
191.1353, 6.865234
191.6174, 24.01025
192.0995, 7.744629
192.5816, 9.520020
193.0638, 13.57129
193.5459, 7.991211
194.0280, 20.19287
194.5101, 1.211426
194.9922, 0.5634770
195.4743, 8.901855
195.9565, 0.1572270
196.4386, 2.669922
196.9207, 13.17383
197.4028, 18.91357
197.8849, 8.671875
198.3671, 19.70703
198.8492, 24.58447
199.3313, 32.33984
199.8134, 19.97314
200.2955, 12.57373
200.7776, 23.35840
201.2598, 53.01611
201.7419, 78.99268
202.2240, 100.5649
202.7061, 119.0791
203.1882, 136.4150
203.6703, 151.7524
204.1525, 169.0918
204.6346, 190.0127
205.1167, 214.2905
205.5988, 243.0645
206.0809, 276.1689
206.5630, 313.8076
207.0452, 358.2544
207.5273, 412.2559
208.0094, 465.2573
208.4915, 510.5820
208.9736, 545.7954
209.4557, 586.0127
209.9379, 636.9419
210.4200, 692.3687
210.9021, 727.9995
211.3842, 737.6548
211.8663, 741.9639
212.3484, 756.2979
212.8306, 785.3882
213.3127, 806.4448
213.7948, 817.1074
214.2769, 817.8135
214.7590, 809.5957
215.2411, 789.9893
215.7233, 766.0459
216.2054, 744.9238
216.6875, 730.9961
217.1696, 705.6748
217.6517, 661.1938
218.1338, 599.9414
218.6160, 552.9683
219.0981, 522.7705
219.5802, 502.2212
220.0623, 488.0176
220.5444, 486.9272
221.0265, 474.2148
221.5087, 439.7407
221.9908, 383.7437
222.4729, 347.8789
222.9550, 342.0425
223.4371, 344.3564
223.9192, 331.0244
224.4014, 292.5547
224.8835, 260.6504
225.3656, 243.5103
225.8477, 241.8818
226.3298, 240.2798
226.8119, 241.6348
227.2941, 239.9761
227.7762, 227.2017
228.2583, 197.6260
228.7404, 167.9219
229.2225, 137.8594
229.7046, 104.4951
230.1868, 98.26514
230.6689, 137.7295
231.1510, 188.8433
231.6331, 207.0977
232.1152, 175.5781
232.5974, 141.0449
233.0795, 115.3120
233.5616, 100.7041
234.0437, 84.01074
234.5258, 60.90674
235.0079, 38.38818
235.4901, 28.27197
235.9722, 39.99756
236.4543, 49.25635
236.9364, 47.74707
237.4185, 31.84131
237.9006, 23.02637
238.3828, 24.85840
238.8649, 30.30322
239.3470, 27.08057
239.8291, 4.833984
240.3112, 10.05957
240.7933, 5.124023
241.2755, 30.62109
241.7576, 51.37793
242.2397, 48.62842
242.7218, 31.13867
243.2039, 16.31738
243.6860, 3.851074
244.1682, 0.4570310
244.6503, 6.619629
245.1324, 29.41650
245.6145, 50.81006
246.0966, 74.99512
246.5787, 94.11279
247.0609, 91.86768
247.5430, 52.14160
248.0251, 21.93604
248.5072, 19.52246
248.9893, 55.20898
249.4714, 83.16309
249.9536, 102.3540
250.4357, 113.0337
250.9178, 119.6807
251.3999, 124.3804
251.8820, 126.9756
252.3641, 129.1982
252.8463, 129.3198
253.3284, 129.1270
253.8105, 126.2666
254.2926, 124.0083
254.7747, 130.3950
255.2568, 151.1294
255.7390, 170.1196
256.2211, 179.1260
256.7032, 171.1919
257.1853, 175.3882
257.6674, 198.1069
258.1495, 229.6885
258.6317, 249.0557
259.1138, 255.4805
259.5959, 250.6963
260.0780, 229.4927
260.5601, 176.2104
261.0422, 156.5991
261.5244, 180.6201
262.0065, 232.4272
262.4886, 276.8979
262.9707, 314.3115
263.4528, 344.6670
263.9349, 367.5049
264.4171, 381.3130
264.8992, 392.8345
265.3813, 401.4292
265.8634, 408.4082
266.3455, 416.1465
266.8276, 423.7856
267.3098, 434.4404
267.7919, 450.5386
268.2740, 473.5420
268.7561, 494.9204
269.2382, 513.8628
269.7203, 531.2563
270.2025, 550.2285
270.6846, 572.7524
271.1667, 590.3384
271.6488, 597.0605
272.1309, 590.1152
272.6130, 588.9893
273.0952, 595.4551
273.5773, 606.2817
274.0594, 617.9009
274.5415, 633.0259
275.0236, 638.0342
275.5057, 622.2422
275.9879, 582.8555
276.4700, 552.2500
276.9521, 532.1582
277.4342, 519.3809
277.9163, 510.7456
278.3984, 507.9111
278.8806, 499.6865
279.3627, 478.4326
279.8448, 443.8779
280.3269, 411.9966
280.8090, 382.1289
281.2911, 356.7427
281.7733, 341.4556
282.2554, 337.0620
282.7375, 332.7476
283.2196, 325.6387
283.7017, 315.3906
284.1838, 293.6064
284.6660, 256.1680
285.1481, 216.4360
285.6302, 199.0400
286.1123, 204.2944
286.5944, 202.1372
287.0765, 171.1172
287.5587, 116.9033
288.0408, 81.09668
288.5229, 65.78906
289.0050, 63.30273
289.4871, 68.24805
289.9692, 79.71973
290.4514, 85.83008
