##NAMES=Riebeckite
##RRUFFID=R120033
##IDEAL CHEMISTRY=[box]Na_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_(OH)_2_
##LOCALITY=Zagi Mountain, Hameed Abad Kafoor Dheri, Peshawar, Khyber Pakhtunkhwa, Pakistan
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Black prismatic crystals associated with titanite, R120030
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120033
128.7265, 36.67175
129.2086, 37.02518
129.6907, 38.74271
130.1729, 40.89978
130.6550, 43.20670
131.1371, 45.58154
131.6192, 48.01645
132.1013, 50.37589
132.5834, 52.08478
133.0656, 55.04901
133.5477, 59.76431
134.0298, 65.21286
134.5119, 70.55203
134.9940, 75.50305
135.4761, 80.49438
135.9583, 86.47665
136.4404, 93.93610
136.9225, 101.8665
137.4046, 109.1397
137.8867, 117.0893
138.3688, 127.4935
138.8510, 141.2451
139.3331, 158.0164
139.8152, 176.5726
140.2973, 195.9358
140.7794, 217.8177
141.2615, 243.9515
141.7437, 273.5677
142.2258, 304.4596
142.7079, 338.4973
143.1900, 370.7805
143.6721, 393.8693
144.1542, 409.1013
144.6364, 412.9113
145.1185, 399.2105
145.6006, 365.9337
146.0827, 327.6989
146.5648, 286.6239
147.0469, 246.0569
147.5291, 209.5602
148.0112, 178.2712
148.4933, 151.8821
148.9754, 129.8793
149.4575, 112.6962
149.9396, 99.72400
150.4218, 90.81326
150.9039, 84.96530
151.3860, 81.07376
151.8681, 79.15781
152.3502, 78.54227
152.8323, 78.34021
153.3145, 78.65384
153.7966, 79.35175
154.2787, 80.21432
154.7608, 81.43787
155.2429, 83.40240
155.7250, 86.45193
156.2072, 90.63556
156.6893, 95.33984
157.1714, 100.6056
157.6535, 106.2151
158.1356, 112.1194
158.6177, 118.3058
159.0999, 124.7899
159.5820, 131.5461
160.0641, 138.6265
160.5462, 146.4459
161.0283, 155.9144
161.5104, 165.4359
161.9926, 174.3077
162.4747, 182.3826
162.9568, 188.7821
163.4389, 192.3009
163.9210, 193.0244
164.4031, 191.7874
164.8853, 188.8455
165.3674, 183.9734
165.8495, 176.6527
166.3316, 166.4297
166.8137, 154.5634
167.2958, 141.6347
167.7780, 127.9320
168.2601, 114.6387
168.7422, 102.2411
169.2243, 90.68869
169.7064, 79.96246
170.1885, 69.93240
170.6707, 61.08862
171.1528, 53.67892
171.6349, 47.56927
172.1170, 42.10864
172.5991, 36.96011
173.0812, 32.13800
173.5634, 27.21368
174.0455, 21.42480
174.5276, 16.11658
175.0097, 11.84750
175.4918, 8.590912
175.9739, 6.059052
176.4561, 4.099091
176.9382, 2.923492
177.4203, 1.867523
177.9024, 0.8984990
178.3845, 0.1421510
178.8666, 0.3128970
179.3488, 0.4820250
179.8309, 0.4565120
180.3130, 0.3125610
180.7951, 0.1528630
181.2772, 0.3845830
181.7593, 1.386688
182.2415, 2.646210
182.7236, 4.045685
183.2057, 5.547577
183.6878, 7.127747
184.1699, 8.726349
184.6520, 10.20312
185.1342, 12.04862
185.6163, 14.18045
186.0984, 16.72177
186.5805, 19.98132
187.0626, 24.09061
187.5447, 28.48233
188.0269, 32.09924
188.5090, 34.70685
188.9911, 37.65808
189.4732, 41.14667
189.9553, 45.18445
190.4374, 49.83286
190.9196, 55.27420
191.4017, 61.08615
191.8838, 66.64151
192.3659, 71.85229
192.8480, 77.40042
193.3301, 84.07983
193.8123, 91.45975
194.2944, 97.96634
194.7765, 102.9541
195.2586, 107.1409
195.7407, 111.5147
196.2228, 116.0750
196.7050, 120.2113
197.1871, 123.6118
197.6692, 126.2700
198.1513, 128.0143
198.6334, 128.5730
199.1155, 128.2829
199.5977, 127.2099
200.0798, 125.4068
200.5619, 123.3593
201.0440, 121.5304
201.5261, 119.9574
202.0082, 118.2945
202.4904, 115.9971
202.9725, 113.9632
203.4546, 112.5180
203.9367, 111.7596
204.4188, 111.7611
204.9009, 112.7249
205.3831, 114.9263
205.8652, 117.2777
206.3473, 119.2039
206.8294, 121.6227
207.3115, 125.4132
207.7936, 130.5343
208.2758, 136.0014
208.7579, 140.3207
209.2400, 142.6007
209.7221, 145.6682
210.2042, 150.4703
210.6863, 155.2514
211.1685, 159.0772
211.6506, 161.6624
212.1327, 163.0382
212.6148, 163.2087
213.0969, 161.7245
213.5790, 159.7422
214.0612, 157.6285
214.5433, 154.8615
215.0254, 150.8800
215.5075, 145.6128
215.9896, 139.4811
216.4718, 133.0612
216.9539, 126.0729
217.4360, 119.4050
217.9181, 113.2500
218.4002, 107.3195
218.8823, 101.0984
219.3645, 94.47610
219.8466, 88.12924
220.3287, 83.13290
220.8108, 79.68985
221.2929, 76.30783
221.7750, 72.55783
222.2572, 68.77679
222.7393, 65.37820
223.2214, 62.44901
223.7035, 60.03220
224.1856, 58.43576
224.6677, 57.59262
225.1499, 56.72333
225.6320, 55.49396
226.1141, 54.15662
226.5962, 53.14145
227.0783, 52.55576
227.5604, 52.14240
228.0426, 51.43533
