##NAMES=Gustavite
##RRUFFID=R110011
##IDEAL CHEMISTRY=AgPbBi_3_S_6_
##LOCALITY=Rotgulden, Salzburg, Austria
##OWNER=RRUFF
##SOURCE=William Pinch
##DESCRIPTION=Black bladed reticulated crystals associated with arsenopyrite, siderite and pyrrhotite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110011
183.6878, 35.61934
184.1699, 35.12660
184.6520, 34.61201
185.1342, 34.46841
185.6163, 35.06345
186.0984, 35.88501
186.5805, 36.38829
187.0626, 36.40813
187.5447, 36.14500
188.0269, 35.88928
188.5090, 35.63060
188.9911, 35.41226
189.4732, 35.10658
189.9553, 34.86755
190.4374, 35.03964
190.9196, 35.83165
191.4017, 36.82140
191.8838, 37.41487
192.3659, 37.61841
192.8480, 37.67160
193.3301, 37.50542
193.8123, 37.23135
194.2944, 37.27849
194.7765, 37.84464
195.2586, 38.68315
195.7407, 39.53935
196.2228, 40.41331
196.7050, 41.23320
197.1871, 41.93204
197.6692, 42.51567
198.1513, 43.07803
198.6334, 43.39969
199.1155, 43.75255
199.5977, 44.18605
200.0798, 44.70714
200.5619, 45.32916
201.0440, 46.08620
201.5261, 46.99301
202.0082, 47.89656
202.4904, 48.83118
202.9725, 49.73201
203.4546, 50.51505
203.9367, 51.18462
204.4188, 51.86958
204.9009, 52.76694
205.3831, 53.98372
205.8652, 55.13776
206.3473, 56.00841
206.8294, 56.95969
207.3115, 58.29402
207.7936, 60.01018
208.2758, 61.80591
208.7579, 63.22916
209.2400, 64.04037
209.7221, 64.98265
210.2042, 65.82877
210.6863, 66.92477
211.1685, 68.72336
211.6506, 71.21729
212.1327, 73.80220
212.6148, 75.57324
213.0969, 75.83759
213.5790, 76.70456
214.0612, 78.59705
214.5433, 80.77731
215.0254, 82.56735
215.5075, 83.82968
215.9896, 85.12042
216.4717, 87.27850
216.9539, 90.95435
217.4360, 93.95546
217.9181, 95.95068
218.4002, 97.40900
218.8823, 98.61121
219.3644, 99.61621
219.8466, 100.8085
220.3287, 102.8416
220.8108, 105.9203
221.2929, 108.6985
221.7750, 110.7048
222.2571, 112.4296
222.7393, 114.5738
223.2214, 117.3396
223.7035, 120.1707
224.1856, 122.3553
224.6677, 123.9546
225.1498, 125.2785
225.6320, 126.0761
226.1141, 126.7250
226.5962, 127.9355
227.0783, 129.9668
227.5604, 132.1407
228.0425, 133.7617
228.5247, 134.9400
229.0068, 136.0887
229.4889, 137.3556
229.9710, 138.6947
230.4531, 140.0627
230.9352, 141.5598
231.4174, 142.8388
231.8995, 143.4931
232.3816, 143.7145
232.8637, 144.0125
233.3458, 144.6505
233.8279, 145.5554
234.3101, 146.5493
234.7922, 147.7940
235.2743, 148.8152
235.7564, 149.3752
236.2385, 149.5566
236.7206, 149.4892
237.2028, 149.0434
237.6849, 148.3941
238.1670, 148.3243
238.6491, 149.1963
239.1312, 150.1423
239.6133, 151.0739
240.0955, 151.8005
240.5776, 151.9417
241.0597, 151.0526
241.5418, 149.4562
242.0239, 148.8119
242.5060, 150.0127
242.9882, 150.9703
243.4703, 150.8633
243.9524, 150.1881
244.4345, 149.6909
244.9166, 149.8262
245.3987, 150.4418
245.8809, 150.8123
246.3630, 150.8018
246.8451, 150.6596
247.3272, 150.5010
247.8093, 150.2889
248.2914, 149.8885
248.7736, 149.1727
249.2557, 148.2204
249.7378, 147.4034
250.2199, 147.1876
250.7020, 146.5245
251.1841, 145.1487
251.6663, 143.3483
252.1484, 141.3996
252.6305, 139.3970
