##NAMES=Saneroite
##RRUFFID=R060488
##IDEAL CHEMISTRY=Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_
##LOCALITY=Molinello mine, Val Graveglia (Graveglia Valley), Ne, Genova, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange colored blebs associated with white quartz, black braunite and brown parsettensite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060488
243.015, 28.682
243.497, 14.930
243.980, 5.511
244.462, 26.029
244.944, 41.739
245.426, 52.578
245.908, 58.465
246.390, 56.212
246.872, 46.977
247.354, 49.052
247.836, 72.785
248.318, 95.791
248.801, 98.000
249.283, 66.468
249.765, 41.465
250.247, 31.388
250.729, 35.117
251.211, 31.609
251.693, 15.643
252.176, 1.112
252.658, 8.461
253.140, 1.700
253.622, 3.743
254.104, 5.954
254.586, 5.177
255.068, 1.112
255.550, 5.655
256.032, 17.450
256.514, 38.924
256.997, 79.388
257.479, 104.502
257.961, 103.727
258.443, 80.409
258.925, 74.734
259.407, 93.752
259.889, 118.824
260.371, 133.671
260.854, 131.890
261.336, 136.055
261.818, 153.549
262.300, 181.912
262.782, 194.176
263.264, 181.502
263.746, 165.873
264.228, 166.570
264.711, 188.644
265.193, 209.387
265.675, 227.165
266.157, 242.020
266.639, 250.907
267.121, 250.254
267.603, 248.915
268.085, 255.102
268.567, 271.347
269.050, 286.056
269.532, 296.214
270.014, 303.237
270.496, 316.452
270.978, 338.420
271.460, 359.806
271.942, 373.265
272.424, 377.551
272.906, 380.050
273.389, 380.861
273.871, 380.958
274.353, 385.006
274.835, 393.749
275.317, 403.837
275.799, 413.501
276.281, 422.844
276.763, 430.114
277.246, 434.767
277.728, 437.240
278.210, 438.538
278.692, 438.140
279.174, 438.552
279.656, 442.288
280.138, 449.478
280.620, 456.004
281.103, 462.899
281.585, 467.378
282.067, 458.977
282.549, 435.694
283.031, 413.498
283.513, 404.640
283.995, 408.429
284.477, 410.894
284.959, 411.112
285.441, 408.258
285.924, 398.904
286.406, 382.763
286.888, 366.760
